,"Author: Dickinson, Robert J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 14 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,593,64,75,139,50,782
2008,"Modified Spectral subtraction for de-noising heart sounds: Interference Suppression via Spectral Comparison","Tosanguan T., Dickinson R.J., Drakakis E.M.",,"2008 IEEE-BIOCAS Biomedical Circuits and Systems Conference, BIOCAS 2008",, ,0,0,0,0,0,0
2007,"Competitive inhibition at the glycine site of the N-methyl-D-aspartate receptor by the anesthetics xenon and isoflurane: Evidence from molecular modeling and electrophysiology","Dickinson R., Peterson B.K., Banks P., Simillis C., Martin J.C.S., Valenzuela C.A., Maze M., Franks N.P.",00033022,"Anesthesiology",107, 5,0,1,8,9,8,17
2007,"Determinants of the anesthetic sensitivity of two-pore domain acid-sensitive potassium channels: Molecular cloning of an anesthetic-activated potassium channel from Lymnaea stagnalis","Andres-Enguix I., Caley A., Yustos R., Schumacher M.A., Spanu P.D., Dickinson R., Maze M., Franks N.P.",00219258,"Journal of Biological Chemistry",282, 29,0,2,3,5,2,7
2007,"Oximetry feedback flow control simulation for oxygen therapy","Iobbi M.G., Simonds A.K., Dickinson R.J.",13871307,"Journal of Clinical Monitoring and Computing",21, 2,0,1,0,1,0,1
2007,"Removal of calcific deposits of the rotator cuff tendon using an intra-articular ultrasound probe","Bethune R., Bull A.M.J., Dickinson R.J., Emery R.J.H.",09422056,"Knee Surgery, Sports Traumatology, Arthroscopy",15, 3,0,1,0,1,2,3
2006,"Patient compatibility of devices","Dickinson R.",,"IET Seminar Digest",2006, 11600,0,0,0,0,0,0
2005,"Effects of isoflurane and xenon on Ba2+-currents mediated by N-type calcium channels","White I.L., Franks N.P., Dickinson R.",00070912,"British Journal of Anaesthesia",94, 6,1,0,0,0,2,3
2003,"The effects of general anaesthetics on carbachol-evoked gamma oscillations in the rat hippocampus in vitro","Dickinson R., Awaiz S., Whittington M.A., Lieb W.R., Franks N.P.",00283908,"Neuropharmacology",44, 7,16,4,4,8,3,27
2002,"Selective synaptic actions of thiopental and its enantiomers","Dickinson R., M. De Sousa S.L., Lieb W.R., Franks N.P.",00033022,"Anesthesiology",96, 4,7,2,2,4,1,12
2001,"The effects of xenon on NMDA and GABAA receptors","Dickinson R., De Sousa S.L.M., Lieb W.R., Franks N.P.",09414223,"Journal fur Anasthesie und Intensivbehandlung",8, 3,0,0,0,0,0,0
2000,"Stereoselective loss of righting reflex in rats by isoflurane","Dickinson R., White I., Lieb W.R., Franks N.P.",00033022,"Anesthesiology",93, 3,13,3,3,6,0,19
2000,"Contrasting synaptic actions of the inhalational general anesthetics isoflurane and xenon","De Sousa S.L.M., Dickinson R., Lieb W.R., Franks N.P.",00033022,"Anesthesiology",92, 4,98,8,10,18,5,121
1998,"How does xenon produce anaesthesia? [8]","Franks N.P., Dickinson R., De Sousa S.L.M., Hall A.C., Lieb W.R.",00280836,"Nature",396, 6709,137,17,24,41,11,189
1996,"Erratum: The effects of temperature on the interactions between volatile general anaesthetics and a neuronal nicotinic acetylcholine receptor (British Journal of Pharmacology (1995) 116 (2949-2956))","Dickinson R., Lieb W.R., Franks N.P.",00071188,"British Journal of Pharmacology",117, 6,0,0,0,0,0,0
1995,"The effects of temperature on the interactions between volatile general anaesthetics and a neuronal nicotinic acetylcholine receptor","Dickinson R., Lieb W.R., Franks N.P.",00071188,"British Journal of Pharmacology",116, 7,13,1,1,2,0,15
1994,"Can the stereoselective effects of the anesthetic isoflurane be accounted for by lipid solubility?","Dickinson R., Franks N.P., Lieb W.R.",00063495,"Biophysical Journal",66, 6,27,5,3,8,2,37
1994,"Erratum: (Biophysical Journal (1994) 66 (2019-2023))","Dickinson R., Franks N.P., Lieb W.R.",00063495,"Biophysical Journal",67, 4,0,0,0,0,0,0
1993,"Synthesis and use of the n-bromododecane-1,12-diols as conformational probes for general anesthetic target sites","Dickinson R., Smith E.H., Franks N.P., Lieb W.R.",00222623,"Journal of Medicinal Chemistry",36, 1,6,1,0,1,0,7
1993,"Thermodynamics of anesthetic/protein interactions. Temperature studies on firefly luciferase","Dickinson R., Franks N.P., Lieb W.R.",00063495,"Biophysical Journal",64, 4,33,0,3,3,1,37
1991,"Probing the molecular dimensions of general anaesthetic target sites in tadpoles (Xenopus laevis) and model systems using cycloalcohols","Curry S., Moss G.W.J., Dickinson R., Lieb W.R., Franks N.P.",00071188,"British Journal of Pharmacology",102, 1,18,1,1,2,0,20
1990,"Observation by MR imaging of in vivo temperature changes induced by radio frequency hyperthermia","Hall A.S., Prior M.V., Hand J.W., Young I.R., Dickinson R.J.",03638715,"Journal of Computer Assisted Tomography",14, 3,33,1,1,2,0,35
1986,"An assessment of local hyperthermia in clinical practice","Dunlop P.R.C., Hand J.W., Dickinson R.J., Field S.B.",02656736,"International Journal of Hyperthermia",2, 1,8,0,1,1,2,11
1986,"Measurement of changes in tissue temperature using MR imaging","Dickinson R.J., Hall A.S., Hind A.J., Young I.R.",03638715,"Journal of Computer Assisted Tomography",10, 3,104,1,1,2,2,108
1986,"The practical use of thermocouples for temperature measurement in clinical hyperthermia","Carnochan P., Dickinson R.J., Joiner M.C.",02656736,"International Journal of Hyperthermia",2, 1,6,3,1,4,0,10
1986,"Early experience with combined interstitial hyperthermia and brachytherapy","Dunlop P.R.C., Dickinson R.J., Hand J.W.",00071285,"British Journal of Radiology",59, 701,0,0,0,0,0,0
1985,"Comment on Vaknine, R. and Lorenz, W.J. Lateral filtering of medical ultrasonic B-scans before image generation, Ultrasonic Imaging 6, 152-158 (1984)","Dickinson R.J.",01617346,"Ultrasonic Imaging",7, 2,0,0,0,0,0,0
1984,"MICROWAVE SYSTEM FOR LOCALISED HYPERTHERMIA.","Hand J.W., Dickinson R.J., Dunlop P.R.C., Johnson R.H.",09633308,"IEE Colloquium (Digest)",, 1984,0,0,0,0,0,0
1984,"Linear thermocouple arrays for in vivo observation of ultrasonic hyperthermia fields.","Hand J.W., Dickinson R.J.",00071285,"British Journal of Radiology",57, 679,0,0,0,0,0,0
1984,"An ultrasound system for local hyperthermia using scanned focused transducers","Dickinson R.J.",00189294,"IEEE Transactions on Biomedical Engineering",31, 1,6,0,0,0,0,6
