,"This is a citation overview for a set of 58 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 58 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1238,162,191,353,127,1718
2009,"Epidermal growth factor stimulates translocation of the class II phosphoinositide 3-kinase PI3K-C2? to the nucleus","Banfic H., Visnjic D., Mise N., Balakrishnan S., Deplano S., Korchev Y.E., Domin J.",02646021,"Biochemical Journal",422, 1,0,0,0,0,0,0
2008,"Ca2+-regulated pool of phosphatidylinositol-3-phosphate produced by phosphatidylinositol 3-kinase C2? on neurosecretory vesicles","Wen P.J., Osborne S.L., Morrow I.C., Parton R.G., Domin J., Meunier F.A.",10591524,"Molecular Biology of the Cell",19, 12,0,0,0,0,1,1
2008,"Healthcare Provider Reform: The Emergence of a Demand-Based Regulation | La réforme du médecin traitant: l'émergence d'une régulation par la demande","Domin J.-P.",02940736,"Journal d'Economie Medicale",26, 6-7,0,0,0,0,0,0
2008,"Predictive value of PTEN and AR coexpression of sustained responsiveness to hormonal therapy in prostate cancer - A pilot study","El Sheikh S.S., Romanska H.M., Abel P., Domin J., Lalani E.-N.",15228002,"Neoplasia",10, 9,0,0,1,1,0,1
2008,"Jund is a determinant of macrophage activation and is associated with glomerulonephritis susceptibility","Behmoaras J., Foxwell B.M., Pusey C.D., Cook H.T., Aitman T.J., Bhangal G., Smith J., McDonald K., Mutch B., Lai P.C., Domin J., Game L., Salama A.",10614036,"Nature Genetics",40, 5,0,0,2,2,2,4
2007,"Human pancreatic secretory trypsin inhibitor stabilizes intestinal mucosa against noxious agents","Marchbank T., Ghosh S., Playford R.J., Mahmood A., Fitzgerald A.J., Domin J., Butler M., Goodlad R.A., Elia G., Cox H.M., Van Heel D.A.",00029440,"American Journal of Pathology",171, 5,0,0,0,0,2,2
2007,"Regulation of neuron survival through an intersectin-phosphoinositide 3?-kinase C2?-AKT pathway","Das M., Scappini E., Martin N.P., Wong K.A., Dunn S., Chen Y.-J., Miller S.L.H., Domin J., O'Bryan J.P.",02707306,"Molecular and Cellular Biology",27, 22,0,0,5,5,2,7
2007,"Platelet-derived growth factor reorganizes the actin cytoskeleton through 3-phosphoinositide-dependent and 3-phosphoinositide-independent mechanisms in human mesangial cells","Harper L., Kashiwagi Y., Pusey C.D., Hendry B.M., Domin J.",16602137,"Nephron - Physiology",107, 2,0,0,0,0,0,0
2006,"Does sanitary democracy help to create health consumers? | La démocratie sanitaire participe-t-elle à la construction d'un consommateur de soins?","Domin J.-P.",02940736,"Journal d'Economie Medicale",24, 7-8,0,1,1,2,0,2
2006,"The N-terminus of phosphoinositide 3-kinase-C2? regulates lipid kinase activity and binding to clathrin","Wheeler M., Domin J.",00219541,"Journal of Cellular Physiology",206, 3,2,3,2,5,2,9
2006,"Copy number polymorphism in Fcgr3 predisposes to glomerulonephritis in rats and humans","Aitman T.J., Petretto E., Hodges M.D., Bhangal G., Patel S.G., Sheehan-Rooney K., Duda M., Cook P.R., Evans D.J., Domin J., Flint J., Dong R., Boyle J.J., Pusey C.D., Cook H.T., Vyse T.J., Norsworthy P.J., Johnson M.D., Smith J., Mangion J., Roberton-Lowe C., Marshall A.J.",00280836,"Nature",439, 7078,34,49,67,116,48,198
2006,"FMS receptor for M-CSF (CSF-1) is sensitive to the kinase inhibitor imatinib and mutation of Asp-802 to Val confers resistance","Taylor J.R., Brownlow N., Domin J., Dibb N.J.",09509232,"Oncogene",25, 1,3,9,5,14,1,18
2005,"The class II phosphoinositide 3-kinase PI3K-C2? regulates cell migration by a PtdIns(3)P dependent mechanism","Domin J., Harper L., Aubyn D., Wheeler M., Florey O., Haskard D., Yuan M., Zicha D.",00219541,"Journal of Cellular Physiology",205, 3,3,6,5,11,1,15
2004,"Phosphorylation of both EGFR and ErbB2 is a reliable predictor of prostate cancer cell proliferation in response to EGF","El Sheikh S.S., Domin J., Abel P., Stamp G., Lalani E.-N.",15228002,"Neoplasia",6, 6,6,7,13,20,7,33
2003,"Topographical expression of class IA and class II phosphoinositide 3-kinase enzymes in normal human tissues is consistent with a role in differentiation","El Sheikh S.S., Domin J., Tomtitchong P., Abel P., Stamp G., Lalani E.-N.",14726890,"BMC Clinical Pathology",3, ,3,1,1,2,1,6
2003,"Androgen-independent prostate cancer: Potential role of androgen and ErbB receptor signal transduction crosstalk","El Sheikh S.S., Domin J., Abel P., Stamp G., Lalani E.-N.",15228002,"Neoplasia",5, 2,14,0,2,2,0,16
2002,"Elevated Akt phosphorylation as an indicator of renal tubular epithelial cell stress","Nishino T., Pusey C.D., Domin J.",00219258,"Journal of Biological Chemistry",277, 37,3,0,1,1,0,4
2001,"Recruitment of the class II phosphoinositide 3-kinase C2? to the epidermal growth factor receptor: Role of Grb2","Wheeler M., Domin J.",02707306,"Molecular and Cellular Biology",21, 19,25,2,2,4,2,31
2001,"The class II phosphoinositide 3-kinase C2? is activated by clathrin and regulates clathrin-mediated membrane trafficking","Gaidarov I., Smith M.E.K, Domin J., Keen J.H.",10972765,"Molecular Cell",7, 2,73,8,9,17,4,94
2001,"Overexpression of a rat kinase-deficient phosphoinositide 3-kinase, Vps34p, inhibits cathepsin D maturation","Row P.E., Reaves B.J., Domin J., Luzio J.P., Davidson H.W.",02646021,"Biochemical Journal",353, 3,19,0,5,5,0,24
2000,"Class II phosphoinositide 3-kinases are downstream targets of activated polypeptide growth factor receptors","Arcaro A., Zvelebil M.J., Wallasch C., Ullrich A., Waterfield M.D., Domin J.",02707306,"Molecular and Cellular Biology",20, 11,54,8,7,15,6,75
2000,"The class II phosphoinositide 3-kinase PI3K-C2? is concentrated in the trans-Golgi network and present in clathrin-coated vesicles","Domin J., Gaidarov I., Smith M.E.K., Keen J.H., Waterfield M.D.",00219258,"Journal of Biological Chemistry",275, 16,50,6,3,9,3,62
2000,"The century-long trends of the French hospital system: an analysis in terms of regulation | La dynamique séculaire du système hospitalier français: une analyse en termes de régulation.","Domin J.P.",00079995,"Cahiers de sociologie et de demographie medicales",40, 1,0,0,0,0,0,0
1999,"Insulin activates the ? isoform of class II phosphoinositide 3-kinase","Brown R.A., Domin J., Arcaro A., Waterfield M.D., Shepherd P.R.",00219258,"Journal of Biological Chemistry",274, 21,59,5,7,12,2,73
1998,"The CC chemokine monocyte chemotactic peptide-1 activates both the class I p85/p110 phosphatidylinositol 3-kinase and the class II PI3K-C2?","Turner S.J., Domin J., Waterfield M.D., Ward S.G., Westwick J.",00219258,"Journal of Biological Chemistry",273, 40,97,8,8,16,1,114
1997,"Cloning of a human phosphoinositide 3-kinase with a C2 domain that displays reduced sensitivity to the inhibitor wortmannin","Domin J., Pages F., Volinia S., Rittenhouse S.E., Zvelebil M.J., Stein R.C., Waterfield M.D.",02646021,"Biochemical Journal",326, 1,104,15,6,21,4,129
1997,"Molecular cloning and biochemical characterization of a Drosophila phosphatidylinositol-specific phosphoinositide 3-kinase","Linassier C., Macdougall L.K., Domin J., Waterfield M.D.",02646021,"Biochemical Journal",321, 3,15,2,3,5,0,20
1996,"Binding to the platelet-derived growth factor receptor transiently activates the p85?-p110? phosphoinositide 3-kinase complex in vivo","Domin J., Dhand R., Waterfield M.D.",00219258,"Journal of Biological Chemistry",271, 35,30,0,1,1,1,32
1995,"A family of phosphoinositide 3-kinases in Drosophila identifies a new mediator of signal transduction","MacDougall L.K., Domin J., Waterfield M.D.",09609822,"Current Biology",5, 12,75,4,2,6,0,81
1995,"A human phosphatidylinolsitol 3-kinase complex related to the yeast Vps34p-Vps15p protein sorting system","Volinia S., Dhand R., Vanhaesebroeck B., MacDougall L.K., Stein R., Zvelebil M.J., Domin J., Panaretou C., Waterfield M.D.",02614189,"EMBO Journal",14, 14,187,10,6,16,12,215
1994,"Preferential inhibition of platelet-derived growth factor-stimulated DNA synthesis and protein tyrosine phosphorylation by nordihydroguaiaretic acid","Domin J., Higgins T., Rozengurt E.",00219258,"Journal of Biological Chemistry",269, 11,20,3,1,4,1,25
1993,"Platelet-derived growth factor stimulates a biphasic mobilization of arachidonic acid in Swiss 3T3 cells. The role of phospholipase A2","Domin J., Rozengurt E.",00219258,"Journal of Biological Chemistry",268, 12,28,1,0,1,0,29
1992,"Heterologous desensitization of platelet-derived growth factor-mediated arachidonic acid release and prostaglandin synthesis","Domin J., Rozengurt E.",00219258,"Journal of Biological Chemistry",267, 21,4,0,0,0,0,4
1992,"Effects of peptide YY on the human cardiovascular system: Reversal of responses to vasoactive intestinal peptide","Playford R.J., Calam J., Benito-Orfila M.A., Nihoyannopoulos P., Nandha K.A., Cockcroft J., Todd S., Ghatei M.A., Domin J., Bloom S.R.",00029513,"American Journal of Physiology - Endocrinology and Metabolism",263, 4,7,1,0,1,0,8
1991,"Developmental patterns of glucagon-like peptide-1-(7-36) amide and peptide-YY in rat pancreas and gut","Kreymann B., Ghatei M.A., Domin J., Kanse S., Bloom S.R.",00137227,"Endocrinology",129, 2,13,0,1,1,0,14
1990,"The influence of adrenal hormone status on neuroendocrine peptides in the rat anterior pituitary gland","Jones P.M., O'Halloran D.J., Ghatei M.A., Domin J., Bloom S.R.",00220795,"Journal of Endocrinology",127, 3,6,0,0,0,0,6
1990,"Hypothalamic regulatory peptide disturbances in the spontaneously obese JCR: LA-corpulent rat.","Williams G., Cardoso H.M., Domin J., Ghatei M.A., Russell J.C., Bloom S.R.",02655985,"Diabetes Research",15, 1,4,0,0,0,1,5
1990,"Regional hemodynamic effects of neuromedin U in conscious rats","Gardiner S.M., Compton A.M., Bennett T., Domin J., Bloom S.R.",00029513,"American Journal of Physiology - Regulatory Integrative and Comparative Physiology",258, 1,29,0,3,3,3,35
1990,"The regulation of neuropeptide expression in rat anterior pituitary following chronic manipulation of estrogen status: A comparison between substance P, neuropeptide Y, neurotensin, and vasoactive intestinal peptide","O'Halloran D.J., Jones P.M., Ghatei M.A., Domin J., Bloom S.R.",00137227,"Endocrinology",127, 3,25,1,0,1,0,26
1990,"Phamacokinetics of the long-acting somatostatin analogue octreotide (SMS 201-995) in acromegaly","Nicholls J., Wynick D., Domin J., Sandler L.M., Bloom S.R.",03000664,"Clinical Endocrinology",32, 5,6,1,0,1,0,7
1990,"Is peptide YY trophic to the intestinal epithelium of parentally fed rats?","Goodlad R.A., Ghatei M.A., Domin J., Bloom S.R., Wright N.A.",00122823,"Digestion",46, 2,13,0,0,0,0,13
1989,"The distribution and biological effects of neuromedins B and U","Domin J., Polak J.M., Bloom S.R.",00778923,"Annals of the New York Academy of Sciences",547, ,5,0,2,2,1,8
1989,"Plasma enteroglucagon, peptide YY and gastrin in rats deprived of luminal nutrition, and after urogastrone-EGF administration. A proliferative role for PYY in the intestinal epithelium?","Goodlad R.A., Ghatei M.A., Domin J., Bloom S.R., Gregory H., Wright N.A.",00144754,"Experientia",45, 2,17,1,0,1,0,18
1989,"Regional differences in concentrations of regulatory peptides in human colon mucosal biopsy","Calam J., Ghatei M.A., Domin J., Adrian T.E., Myszor M., Gupta S., Tait C., Bloom S.R.",01632116,"Digestive Diseases and Sciences",34, 8,16,0,0,0,1,17
1989,"The generation of valosin-like peptides form a precursor protein in vitro as an extraction artifact","Gill J.S., Ghatei M.A., Domin J., Bloom S.R.",00243205,"Life Sciences",44, 7,1,0,0,0,0,1
1989,"Enterochromaffin-like cell populations in human fundic mucosa: Quantitative studies of their variations with age, sex, and plasma gastrin levels","Green D.M., Bishop A.E., Rindi G., Lee F.I., Daly M.J., Domin J., Bloom S.R., Polak J.M.",00223417,"Journal of Pathology",157, 3,11,0,1,1,0,12
1989,"Plasma enteroglucagon, gastrin and peptide YY in conventional and germ-free rats refed with a fibre-free or fibre-supplemented diet","Goodlad R.A., Ratcliffe B., Fordham J.P., Ghatei M.A., Domin J., Bloom S.R., Wright N.A.",01448757,"Quarterly Journal of Experimental Physiology",74, 4,8,2,0,2,1,11
1989,"The anterior pituitary content of neuromedin U-like immunoreactivity is altered by thyrotrophin-releasing hormone and thyroid hormone status in the rat","Domin J., Steel J.H., Adolphus N., Burrin J.M., Leonhardt U., Polak J.M., Bloom S.R.",00220795,"Journal of Endocrinology",122, 2,4,0,2,2,0,6
1989,"Peptide histidine valine-42 stimulates gastric acid secretion in man","Nikou G.C., Yiangou Y., Chrysanthou B.J., Domin J., Bloom S.R.",01448463,"Bioscience Reports",9, 3,0,0,0,0,0,0
1989,"Saturation of fat and cholecystokinin release: Implications for pancreatic carcinogenesis","Beardshall K., Morarji Y., Bloom S.R., Frost G., Domin J., Calam J.",01406736,"Lancet",2, 8670,31,0,1,1,1,33
1988,"A case of somatostatinoma: Responses to food and SMS 201-995 administration","Davis T.M.E., Bray G., Domin J., Bloom S.R.",08853177,"Pancreas",3, 6,3,0,0,0,0,3
1988,"Primary structure of neuromedin U from the rat","Conlon J.M., Domin J., Thim L., DiMarzo V., Morris H.R., Bloom S.R.",00223042,"Journal of Neurochemistry",51, 3,26,1,2,3,1,30
1988,"Localization of 7B2, neuromedin B, and neuromedin U in specific cell types of rat, mouse, and human pituitary, in rat hypothalamus, and in 30 human pituitary and extrapituitary tumors","Steel J.H., Polak J.M., Van Noorden S., Ballesta J., Gibson S.J., Ghatel M.A., Burrin J., Leonhardt U., Domin J., Bloom S.R.",00137227,"Endocrinology",122, 1,34,1,5,6,5,45
1988,"Occurrence and developmental pattern of neuromedin U-immunoreactive nerves in the gastrointestinal tract and brain of the rat","Ballesta J., Polak J.M., Carlei F., Bishop A.E., Steel J.H., Gibson S.J., Fahey M., Hennessey R., Domin J., Bloom S.R.",03064522,"Neuroscience",25, 3,36,4,7,11,7,54
1987,"Chronic administration of the somatostatin analogue SMS 201-995 does not lead to endogenous antibody formation.","Fuessl H.S., Domin J., Anderson J.V., Bloom S.R.",02692813,"Alimentary Pharmacology and Therapeutics",1, 1,1,0,0,0,0,1
1987,"Oral absorption of the somatostatin analogue SMS 201-995: Theoretical and practical implications","Fuessl H.S., Domin J., Bloom S.R.",01435221,"Clinical Science",72, 2,9,0,0,0,0,9
1986,"Characterization of neuromedin U like immunoreactivity in rat, porcine guinea-pig and human tissue extracts using a specific radioimmunoassay","Domin J., Ghatei M.A., Chohan P., Bloom S.R.",0006291X,"Biochemical and Biophysical Research Communications",140, 3,23,2,2,4,3,30
1986,"Is the C-terminal flanking peptide of rat cholecystokinin double sulphated?","Adrian T.E., Domin J., Bacarese-Hamilton A.J., Bloom S.R.",00145793,"FEBS Letters",196, 1,2,0,0,0,0,2
