,"This is a citation overview for a set of 64 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 30 (Of the 64 documents considered for the h-Index, 30 have been cited at least 30 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1513,309,375,684,210,2407
2009,"Leukotriene B4 release by human lung macrophages via receptor- not voltage- operated Ca2+ channels","Finney-Hayward T.K., Barnes P.J., Donnelly L.E., Bahra P., Li S., Poll C.T., Nicholson A.G., Russell R.E.K., Ford P.A., Westwick J., Fenwick P.S.",09031936,"European Respiratory Journal",33, 5,0,0,0,0,0,0
2008,"Th17 cells in airway diseases","Traves S.L., Donnelly L.E.",15665240,"Current Molecular Medicine",8, 5,0,0,0,0,4,4
2008,"Novel targets and drugs in inflammatory lung disease","Donnelly L.E., Rogers D.F.",14714892,"Current Opinion in Pharmacology",8, 3,0,0,0,0,0,0
2008,"Different mitogen-activated protein kinase-dependent cytokine responses in cells of the monocyte lineage","Tudhope S.J., Finney-Hayward T.K., Nicholson A.G., Mayer R.J., Barnette M.S., Barnes P.J., Donnelly L.E.",00223565,"Journal of Pharmacology and Experimental Therapeutics",324, 1,0,0,5,5,6,11
2008,"CXCR3 and CCR5 chemokines in induced sputum from patients with COPD","Costa C., Rufino R., Traves S.L., Lapa E Silva J.R., Barnes P.J., Donnelly L.E.",00123692,"Chest",133, 1,0,0,7,7,4,11
2007,"The role of I?B kinase 2, but not activation of NF-?B, in the release of CXCR3 ligands from IFN-?-stimulated human bronchial epithelial cells","Tudhope S.J., Catley M.C., Fenwick P.S., Russell R.E.K., Rumsey W.L., Newton R., Barnes P.J., Donnelly L.E.",00221767,"Journal of Immunology",179, 9,0,0,7,7,4,11
2007,"The non-neuronal cholinergic system in the airways: An unappreciated regulatory role in pulmonary inflammation?","Gwilt C.R., Donnelly L.E., Rogers D.F.",01637258,"Pharmacology and Therapeutics",115, 2,0,0,6,6,6,12
2006,"Analysis of the dissociated steroid RU24858 does not exclude a role for inducible genes in the anti-inflammatory actions of glucocorticoids","Chivers J.E., Gong W., King E.M., Seybold J., Mak J.C., Donnelly L.E., Holden N.S., Newton R.",0026895X,"Molecular Pharmacology",70, 6,0,5,5,10,2,12
2006,"Inhibitory effect of p38 mitogen-activated protein kinase inhibitors on cytokine release from human macrophages","Smith S.J., Fenwick P.S., Nicholson A.G., Kirschenbaum F., Finney-Hayward T.K., Higgins L.S., Giembycz M.A., Barnes P.J., Donnelly L.E.",00071188,"British Journal of Pharmacology",149, 4,0,5,11,16,9,25
2006,"Chemokine receptors as therapeutic targets in chronic obstructive pulmonary disease","Donnelly L.E., Barnes P.J.",01656147,"Trends in Pharmacological Sciences",27, 10,0,9,15,24,8,32
2005,"Sputum matrix metalloproteases: Comparison between chronic obstructive pulmonary disease and asthma","Culpitt S.V., Rogers D.F., Traves S.L., Barnes P.J., Donnelly L.E.",09546111,"Respiratory Medicine",99, 6,6,13,10,23,5,34
2005,"Resveratrol, an extract of red wine, inhibits lipopolysaccharide induced airway neutrophilia and inflammatory mediators through an NF-?B- independent mechanism","Birrell M.A., McCluskie K., Wong S., Donnelly L.E., Barnes P.J., Belvisi M.G.",08926638,"FASEB Journal",19, 7,12,13,12,25,7,44
2004,"Discovery of BRL 50481 [3-N,N-dimethylsulfonamido)-4-methyl-nitrobenzene], a selective inhibitor of phosphodiesterase 7: In vitro studies in human monocytes, lung macrophages, and CD8+ T-lymphocytes","Smith S.J., Cieslinski L.B., Newton R., Donnelly L.E., Fenwick P.S., Nicholson A.G., Barnes P.J., Barnette M.S., Giembycz M.A.",0026895X,"Molecular Pharmacology",66, 6,16,5,13,18,9,43
2004,"Exhaled nitric oxide and hydrogen peroxide concentrations in asthmatic smokers","Horvath I., Donnelly L.E., Kiss A., Balint B., Kharitonov S.A., Barnes P.J.",00257931,"Respiration",71, 5,8,6,9,15,4,27
2004,"Acidic mammalian chitinase - A potential target for asthma therapy","Donnelly L.E., Barnes P.J.",01656147,"Trends in Pharmacological Sciences",25, 10,4,7,7,14,3,21
2004,"Differential effects of RU486 reveal distinct mechanisms for glucocorticoid repression of prostaglandin E2 release","Chivers J.E., Cambridge L.M., Catley M.C., Mak J.C., Donnelly L.E., Barnes P.J., Newton R.",00142956,"European Journal of Biochemistry",271, 20,4,2,6,8,3,15
