,"This is a citation overview for a set of 68 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 20 (Of the 68 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,797,111,132,243,85,1125
2009,"Critical roles for thrombin in acute and chronic inflammation","Chen D., Dorling A.",15387933,"Journal of Thrombosis and Haemostasis",7, 1,0,0,0,0,0,0
2009,"Regulation of rat and human T-cell immune response by pharmacologically modified dendritic cells","Fazekasova H., Mirenda V., Golshayan D., Read J., Tsallios A., Tsang J.Y.-S., Dorling A., George A.J.T., Lechler R.I., Lombardi G.",00411337,"Transplantation",87, 11,0,0,0,0,0,0
2009,"Coagulation dysregulation as a barrier to xenotransplantation in the primate","Lin C.C., Cooper D.K.C., Dorling A.",09663274,"Transplant Immunology",21, 2,0,0,0,0,1,1
2008,"ABO incompatible living renal transplantation with a steroid sparing protocol","Galliford J., Papalois V., Malde R., Regan F., Redman M., Warrens A.N., Taube D., Charif R., Chan K.K., Loucaidou M., Cairns T., Cook H.T., Dorling A., Hakim N., McLean A.",00411337,"Transplantation",86, 7,0,0,1,1,2,3
2008,"Expression of tissue factor and initiation of clotting by human platelets and monocytes after incubation with porcine endothelial cells","Lin C.C., Chen D., McVey J.H., Cooper D.K.C., Dorling A.",00411337,"Transplantation",86, 5,0,0,1,1,3,4
2008,"Protease-activated receptor 1 activation is necessary for monocyte chemoattractant protein 1-dependent leukocyte recruitment in vivo","Chen D., Carpenter A., Abrahams J., Chambers R.C., Lechler R.I., McVey J.H., Dorling A.",00221007,"Journal of Experimental Medicine",205, 8,0,0,0,0,6,6
2008,"A pig allograft model of antibody-mediated rejection","Herbert P.E., Morgan M.F., Berton I., Lechler R.I., Dorling A., Williams G., Warrens A.N.",09663274,"Transplant Immunology",19, 3-4,0,0,0,0,0,0
2008,"Regenerative repair after endoluminal injury in mice with specific antagonism of protease activated receptors on CD34 + vascular progenitors","Chen D., Abrahams J.M., Smith L.M., McVey J.H., Lechler R.I., Dorling A.",00064971,"Blood",111, 8,0,0,0,0,1,1
2008,"Progenitor cells and vascular disease","Jevon M., Dorling A., Hornick P.I.",09607722,"Cell Proliferation",41, 1,0,0,2,2,4,6
2007,"?1,3-galactosyltransferase gene-knockout pigs for xenotransplantation: Where do we go from here?","Cooper D.K.C., Dorling A., Pierson III R.N., Rees M., Seebach J., Yazer M., Ohdan H., Awwad M., Ayares D.",00411337,"Transplantation",84, 1,0,3,13,16,12,28
2007,"Extraanatomic stents for transplant ureteric stenosis","Olsburgh J., Dorling A., Tait P., Williams G.",00071285,"British Journal of Radiology",80, 951,0,0,1,1,0,1
2007,"The interface between coagulation and immunity","Shrivastava S., McVey J.H., Dorling A.",16006135,"American Journal of Transplantation",7, 3,0,3,5,8,1,9
2007,"Response to Valdes-Gonzalez ""Clinical trial of islet xenotransplantation in Mexico"" [2]","Sykes M., Sandrin M., Cozzi E., D'Apice A.J.F., Pierson III R.N., O'Connell P., Cowan P., Dorling A., Hering B., Soulillou J.-P.",0908665X,"Xenotransplantation",14, 1,0,1,1,2,1,3
2006,"All anti-HBc-positive, HBsAg-negative dialysis patients on the transplant waiting list should be regarded as at risk of hepatitis B reactivation post-renal transplantation - Report of three cases from a single centre","Roberts R.C., Lane C., Hatfield P., Clutterbuck E., Atkins M., Brown A., Dorling A.",09310509,"Nephrology Dialysis Transplantation",21, 11,0,0,1,1,0,1
2006,"Clinical trial of islet xenotransplantation in Mexico","Sykes M., Rees M., Sandrin M., Cozzi E., D'Apice A., Pierson R., O'Connell P., Cowan P., Dorling A., Hering B., Leventhal J.",0908665X,"Xenotransplantation",13, 5,1,5,0,5,0,6
2006,"NK-cell-dependent acute xenograft rejection in the mouse heart-to-rat model","Chen D., Weber M., Lechler R., Dorling A.",0908665X,"Xenotransplantation",13, 5,0,4,3,7,3,10
2006,"Postinjury vascular intimal hyperplasia in mice is completely inhibited by CD34+ bone marrow-derived progenitor cells expressing membrane-tethered anticoagulant fusion proteins","Chen D., Dorling A., Weber M., Shiels P.G., Dong R., Webster Z., Mcvey J.H., Kemball-Cook G., Tuddenham E.G.D., Lechler R.I.",15387933,"Journal of Thrombosis and Haemostasis",4, 10,1,2,2,4,1,6
2005,"Microcoagulation processes after xenotransplantation","Chen D., Dorling A.",10872418,"Current Opinion in Organ Transplantation",10, 3,1,5,5,10,1,12
2005,"Cure of disseminated cryptococcal infection in a renal allograft recipient after addition of ?-interferon to anti-fungal therapy","Summers S.A., Dorling A., Boyle J.J., Shaunak S.",16006135,"American Journal of Transplantation",5, 8,2,2,2,4,3,9
2005,"Achieving permanent survival of islet xenografts by independent manipulation of direct and indirect T-cell responses","Mirenda V., Golshayan D., Read J., Berton I., Warrens A.N., Dorling A., Lechler R.I.",00121797,"Diabetes",54, 4,6,5,1,6,1,13
2005,"Tolerance or accommodation: The lesson from leflunomide","Sebille F., Dorling A.",00411337,"Transplantation",79, 2,2,0,0,0,0,2
2005,"Generation of a polyclonal rabbit anti-mouse tissue factor antibody by nucleic acid immunisation","Mumford A.D., Chen D., Dorling A., Kemball-Cook G., McVey J.H.",03406245,"Thrombosis and Haemostasis",93, 1,1,0,1,1,0,2
2004,"Complete inhibition of acute humoral rejection using regulated expression of membrane-tethered anticoagulants on xenograft endothelium","Chen D., Weber M., McVey J.H., Kemball-Cook G., Tuddenham E.G.D., Lechler R.I., Dorling A.",16006135,"American Journal of Transplantation",4, 12,19,11,12,23,8,50
