,"Author: Dumas, Marc Emmanuel",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 35 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,215,181,237,418,155,788
2009,"Statistical recoupling prior to significance testing in nuclear magnetic resonance based metabonomics","Blaise B.J., Shintu L., Elena B., Emsley L., Dumas M.-E., Toulhoat P.",00032700,"Analytical Chemistry",81, 15,0,0,0,0,0,0
2009,"Collecting skin biopsies could remain a tricky affair","Barnes L., Dumas M., Schnebert S., Guillot B., Moles J-P.",03036987,"Journal of Cutaneous Pathology",36, 7,0,0,0,0,0,0
2009,"Metabolic profiling strategy of caenorhabditis elegans by whole-organism nuclear magnetic resonance","Blaise B.J., Giacomotto J., Triba M.N., Toulhoat P., Piotto M., Emsley L., Segalat L., Dumas M.-E., Elena B.",15353893,"Journal of Proteome Research",8, 5,0,0,0,0,1,1
2009,"Endogenous survivin modulates survival and proliferation in UVB-treated human keratinocytes","Dallaglio K., Palazzo E., Marconi A., Dumas M., Truzzi F., Lotti R., Bonte F., Pincelli C.",09066705,"Experimental Dermatology",18, 5,0,0,0,0,0,0
2009,"Skin aquaporins: function in hydration, wound healing, and skin epidermis homeostasis.","Boury-Jamot M., Daraspe J., Bonte F., Perrier E., Schnebert S., Dumas M., Verbavatz J.M.",01712004,"Handbook of experimental pharmacology",, 190,0,0,0,0,0,0
2008,"Phylometabonomic patterns of adaptation to high fat diet feeding in inbred mice","Fearnside J.F., Barton R.H., Scott J., Nicholson J.K., Gauguier D., Dumas M.-E., Rothwell A.R., Wilder S.P., Cloarec O., Toye A., Blancher C., Holmes E., Tatoud R.",19326203,"PLoS ONE",3, 2,0,0,2,2,3,5
2008,"Variable Bax antigenicity is linked to keratinocyte position within epidermal strata and UV-induced apoptosis","Zuliani T., Obriot H., Tual M., Lachman-Weber N., Dumas M., Formstecher P., Polakowska R., Ratinaud M.-H.",09066705,"Experimental Dermatology",17, 2,0,0,0,0,1,1
2007,"Metabotyping of Caenorhabditis elegans reveals latent phenotypes","Blaise B.J., Giacomotto J., Elena B., Dumas M.-E., Toulhoat P., Segalat L., Emsley L.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 50,0,0,3,3,5,8
2007,"Genetic mapping of metabolic profiles: Genomic and metagenomic influences | Métabonomique et cartographie génétique","Gauguier D., Dumas M.-E.",07670974,"Medecine/Sciences",23, 12,0,0,1,1,0,1
2007,"Enhancing cell longevity for cosmetic application: a complementary approach.","Moreau M., Andre P., Perrier E., Neveu M., Stephan S., Noblesse E., Nizard C., Sadick N.S., Schnebert S., Bonte F., Dumas M.",15459616,"Journal of drugs in dermatology : JDD",6, 6,0,1,1,2,0,2
