,"Author: Edison, Paul N.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 5 (Of the 13 documents considered for the h-Index, 5 have been cited at least 5 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,5,44,69,113,61,179
2009,"Strategies for the generation of parametric images of [11C]PIB with plasma input functions considering discriminations and reproducibility","Edison P., Brooks D.J., Turkheimer F.E., Archer H.A., Hinz R.",10538119,"NeuroImage",48, 2,0,0,0,0,0,0
2009,"Microglial activation and amyloid deposition in mild cognitive impairment: A PET study","Okello A., Rossor M., Brooks D.J., Edison P., Archer H.A., Turkheimer F.E., Kennedy J., Bullock R., Walker Z., Kennedy A., Fox N.",00283878,"Neurology",72, 1,0,0,0,0,2,2
2008,"Amyloid load in Parkinson's disease dementia and Lewy body dementia measured with [11C]PIB positron emission tomography","Edison P., Chaudhury K.R., Masters C.L., Brooks D.J., Rowe C.C., Rinne J.O., Ng S., Ahmed I., Kemppainen N., Villemagne V.L., O'Keefe G., Nagren K.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",79, 12,0,0,0,0,9,9
2008,"Microglia, amyloid, and cognition in Alzheimer's disease: An [11C](R)PK11195-PET and [11C]PIB-PET study","Edison P., Kennedy A., Rossor M., Brooks D.J., Archer H.A., Gerhard A., Hinz R., Pavese N., Turkheimer F.E., Hammers A., Tai Y.F., Fox N.",09699961,"Neurobiology of Disease",32, 3,0,0,0,0,3,3
2008,"Novel reference region model reveals increased microglial and reduced vascular binding of11C-(R)-PK11195 in patients with Alzheimer's disease","Tomasi G., Edison P., Bertoldo A., Roncaroli F., Singh P., Gerhard A., Cobelli C., Brooks D.J., Turkheimer F.E.",01615505,"Journal of Nuclear Medicine",49, 8,0,0,1,1,2,3
2007,"Increased binding potential of [11C]PK11195 in Alzheimer disease using a new SRTM accounting for vascular binding","Tomasi G., Gerhard A., Turkheimer F., Bertoldo A., Edison P., Roncaroli F., Pavese N., Hammers A., Yen F.T., Cobelli C., Brooks D.J.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 1,0,0,0,0,0,0
2007,"Multi-resolution Bayesian regression for parametric imaging of [18F]FDG brain studies","Hinz R., Edison P., Brooks D.J., Turkheimer F.E.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 1,0,0,0,0,0,0
2007,"A systematic comparison of kinetic modelling methods generating parametric maps for [11C]-(R)-PK11195","Anderson A.N., Pavese N., Edison P., Tai Y.F., Hammers A., Gerhard A., Brooks D.J., Turkheimer F.E.",10538119,"NeuroImage",36, 1,0,0,4,4,1,5
2007,"Amyloid, hypometabolism, and cognition in Alzheimer disease: An [11C]PIB and [18F]FDG PET study","Edison P., Kennedy A., Rossor M., Brooks D.J., Archer H.A., Hinz R., Hammers A., Pavese N., Tai Y.F., Hotton G., Cutler D., Fox N.",00283878,"Neurology",68, 7,0,18,30,48,25,73
2007,"Reference and target region modeling of [11C]-(R)-PK11195 brain studies","Turkheimer F.E., Brooks D.J., Edison P., Pavese N., Roncaroli F., Anderson A.N., Hammers A., Gerhard A., Hinz R., Tai Y.F.",01615505,"Journal of Nuclear Medicine",48, 1,0,5,13,18,3,21
2006,"Amyloid load and cerebral atrophy in Alzheimer's disease: An 11C-PIB positron emission tomography study","Archer H.A., Edison P., Brooks D.J., Barnes J., Frost C., Yeatman T., Fox N.C., Rossor M.N.",03645134,"Annals of Neurology",60, 1,3,18,18,36,15,54
2003,"Conquest unrequited: French expeditionary science in Mexico, 1864-1867","Edison P.N.",00161071,"French Historical Studies",26, 3,2,0,2,2,0,4
2002,"Clostridium difficile associated diarhoea: How good are nurses at identifying the disease? [7]","Johansen A., Vasishta S., Edison P., Hosein I.",00020729,"Age and Ageing",31, 6,0,3,1,4,1,5
