,"Author: Edwards, M. R.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 5 (Of the 9 documents considered for the h-Index, 5 have been cited at least 5 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,216,14,15,29,9,254
2009,"Respiratory virus induction of alpha-, beta- and lambda-interferons in bronchial epithelial cells and peripheral blood mononuclear cells","Khaitov M.R., Johnston S.L., Laza-Stanca V., Edwards M.R., Walton R.P., Rohde G., Contoli M., Papi A., Stanciu L.A., Kotenko S.V.",01054538,"Allergy: European Journal of Allergy and Clinical Immunology",64, 3,0,0,0,0,0,0
2008,"Deficient interferon in virus-induced asthma exacerbations","Edwards M.R., Johnston S.L.",09547894,"Clinical and Experimental Allergy",38, 9,0,0,0,0,0,0
2006,"Production of alpha-, beta-, and lambda-interferons by epithelial and mononuclear cells during acute respiratory viral infection","Khaitov M.R., Laza-Stantca V., Edwards M.R., Johnston S.L.",03729311,"Zhurnal mikrobiologii, epidemiologii, i immunobiologii",, 7,0,0,0,0,1,1
2003,"Immunoglobulin gene rearrangement, repertoire diversity, and the allergic response","Collins A.M., Sewell W.A., Edwards M.R.",01637258,"Pharmacology and Therapeutics",100, 2,4,1,2,3,0,7
2001,"The application of phage display in allergy research: Characterization of IgE, identification of allergens and developmeent of novel therapeutics","Edwards M.R., Collins A.M., Ward R.L.",13892010,"Current Pharmaceutical Biotechnology",2, 3,2,1,1,2,1,5
1999,"The effectiveness of different rat IgG subclasses as IgE-blocking antibodies in the rat basophil leukaemia cell model","Philips J.R., Brouwer W., Edwards M., Mahler S., Ruhno J., Collins A.M.",08189641,"Immunology and Cell Biology",77, 2,9,1,0,1,1,11
1998,"Inhibition of bone resorption by 17?-estradiol in human bone marrow cultures","Sarma U., Edwards M., Motoyoshi K., Flanagan A.M.",00219541,"Journal of Cellular Physiology",175, 1,37,1,0,1,1,39
1998,"Macrophage colony-stimulating factor increases bone resorption by osteoclasts disaggregated from human fetal long bones","Edwards M., Sarma U., Flanagan A.M.",87563282,"Bone",22, 4,14,1,0,1,1,16
1998,"Anaerobic bacterial metabolism in the ancient eukaryote Giardia duodenalis","Brown D.M., Upcroft J.A., Edwards M.R., Upcroft P.",00207519,"International Journal for Parasitology",28, 1,40,4,4,8,1,49
1995,"Amino acid exchange activity of the alanine transporter of Giardia intestinalis","Schofield P.J., Edwards M.R., Grossman G., Tutticci E.A.",00144894,"Experimental Parasitology",80, 1,1,0,0,0,0,1
1994,"The intracellular amino acid pools of Giardia intestinalis, Trichomonas vaginalis, and Crithidia luciliae","Knodler L.A., Edwards M.R., Schofield P.J.",00144894,"Experimental Parasitology",79, 2,33,1,0,1,0,34
1992,"Glucose transport in Crithidia luciliae","Knodler L.A., Schofield P.J., Edwards M.R.",01666851,"Molecular and Biochemical Parasitology",56, 1,10,0,0,0,0,10
1992,"Arginine metabolism during culture of Giardia intestinalis","Edwards M.R., Schofield P.J., O'Sullivan W.J., Costello M.",01666851,"Molecular and Biochemical Parasitology",53, 1-2,18,1,0,1,0,19
1992,"The pathway of arginine catabolism in Giardia intestinalis","Schofield P.J., Edwards M.R., Matthews J., Wilson J.R.",01666851,"Molecular and Biochemical Parasitology",51, 1,20,1,5,6,1,27
1991,"Glucose metabolism in Giardia intestinalis","Schofield P.J., Edwards M.R., Kranz P.",01666851,"Molecular and Biochemical Parasitology",45, 1,18,1,1,2,0,20
1990,"The arginine dihydrolase pathway is present in Giardia intestinalis","Schofield P.J., Costello M., Edwards M.R., O'Sullivan W.J.",00207519,"International Journal for Parasitology",20, 5,6,1,2,3,0,9
1990,"Does Giardia intestinalis need glucose as an energy source?","Schofield P.J., Kranz P., Edwards M.R.",00207519,"International Journal for Parasitology",20, 5,1,0,0,0,0,1
1990,"A 31P nuclear magnetic resonance study of Crithidia luciliae","Grote R., Edwards M.R., Norton R.S., O'Sullivan W.J.",01666851,"Molecular and Biochemical Parasitology",42, 1,2,0,0,0,1,3
1989,"The application of nuclear magnetic resonance spectroscopy to parasite metabolism","O'Sullivan W.J., Edwards M.R., Norton R.S.",01694758,"Parasitology Today",5, 3,1,0,0,0,1,2
