,"Author: Elkington, Paul T G",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 14 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,25,56,39,95,44,164
2009,"Analysis of matrix metalloproteinase secretion by macrophages.","Elkington P.T., Green J.A., Friedland J.S.",10643745,"Methods in molecular biology (Clifton, N.J.)",531, ,0,0,0,0,0,0
2009,"Matrix metalloproteinase-1 is regulated in tuberculosis by a p38 MAPK-dependent, p-aminosalicylic acid-sensitive signaling cascade.","Rand L., Saraiva L., Friedland J.S., Elkington P.T.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",182, 9,0,0,0,0,0,0
2008,"Monocyte-dependent oncostatin M and TNF-? synergize to stimulate unopposed matrix metalloproteinase-1/3 secretion from human lung fibroblasts in tuberculosis","O'Kane C.M., Elkington P.T., Friedland J.S.",00142980,"European Journal of Immunology",38, 5,0,0,0,0,2,2
2007,"Synergistic up-regulation of epithelial cell matrix metalloprotemase-9 secretion in tuberculosis","Elkington P.T., Green J.A., Emerson J.E., Lopez-Pascua L.D., Boyle J.J., O'Kane C.M., Friedland J.S.",10441549,"American Journal of Respiratory Cell and Molecular Biology",37, 4,0,0,0,0,6,6
2007,"Monocyte-dependent fibroblast CXCL8 secretion occurs in tuberculosis and limits survival of mycobacteria within macrophages","O'Kane C.M., Boyle J.J., Horncastle D.E., Elkington P.T., Friedland J.S.",00221767,"Journal of Immunology",178, 6,0,1,3,4,5,9
2007,"IFN? synergizes with IL-1? to up-regulate MMP-9 secretion in a cellular model of central nervous system tuberculosis","Harris J.E., Fernandez-Vilaseca M., Elkington P.T.G., Horncastle D.E., Graeber M.B., Friedland J.S.",08926638,"FASEB Journal",21, 2,0,3,4,7,1,8
2007,"Monocytes infected with Mycobacterium tuberculosis regulate MAP kinase-dependent astrocyte MMP-9 secretion","Harris J.E., Green J.A., Elkington P.T., Friedland J.S.",07415400,"Journal of Leukocyte Biology",81, 2,0,1,1,2,0,2
2007,"Monocyte-astrocyte networks regulate matrix metalloproteinase gene expression and secretion in central nervous system tuberculosis in vitro and in vivo","Harris J.E., Nuttall R.K., Elkington P.T., Green J.A., Horncastle D.E., Graeber M.B., Edwards D.R., Friedland J.S.",00221767,"Journal of Immunology",178, 2,0,3,2,5,3,8
2006,"Matrix metalloproteinases in destructive pulmonary pathology","Elkington P.T.G., Friedland J.S.",00406376,"Thorax",61, 3,3,18,7,25,10,38
2006,"Filter sterilization of highly infectious samples to prevent false negative analysis of matrix metalloproteinase activity","Elkington P.T.G., Green J.A., Friedland J.S.",00221759,"Journal of Immunological Methods",309, 1-2,0,3,1,4,0,4
2005,"Mycobacterium tuberculosis, but not vaccine BCG, specifically upregulates matrix metalloproteinase-1","Elkington P.T.G., Nuttall R.K., Boyle J.J., O'Kane C.M., Horncastle D.E., Edwards D.R., Friedland J.S.",1073449X,"American Journal of Respiratory and Critical Care Medicine",172, 12,2,4,3,7,5,14
2005,"Mycobacterium tuberculosis up-regulates matrix metalloproteinase-1 secretion from human airway epithelial cells via a p38 MAPK switch","Elkington P.T.G., Emerson J.E., Lopez-Pascua L.D.C., O'Kane C.M., Horncastle D.E., Boyle J.J., Friedland J.S.",00221767,"Journal of Immunology",175, 8,4,10,6,16,5,25
2005,"The paradox of matrix metalloproteinases in infectious disease","Elkington P.T.G., O'Kane C.M., Friedland J.S.",00099104,"Clinical and Experimental Immunology",142, 1,11,13,11,24,7,42
1999,"Spatz-Lindenberg disease: A rare cause of vascular dementia","Larner A.J., Kidd D., Elkington P., Rudge P., Scaravilli F.",00392499,"Stroke",30, 3,5,0,1,1,0,6
