,"Author: Elliott, Gillian D.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 13 (Of the 20 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1094,126,94,74,294,0,1388
2009,"Virion incorporation of the herpes simplex virus type 1 tegument protein VP22 occurs via glycoprotein E-specific recruitment to the late secretory pathway","Stylianou J., Maringer K., Cook R., Bernard E., Elliott G.",0022538X,"Journal of Virology",83, 10,0,0,0,1,1,0,1
2008,"Characterization of a CRM1-dependent nuclear export signal in the C terminus of herpes simplex virus type 1 tegument protein UL47","Williams P., Verhagen J., Elliott G.",0022538X,"Journal of Virology",82, 21,0,0,0,1,1,0,1
2007,"RNA binding by the herpes simplex virus type 1 nucleocytoplasmic shuttling protein UL47 is mediated by an N-terminal arginine-rich domain that also functions as its nuclear localization signal","Donnelly M., Verhagen J., Elliott G.",0022538X,"Journal of Virology",81, 5,0,0,2,2,4,0,4
2006,"Characterization of a novel transferable CRM-1-independent nuclear export signal in a herpesvirus tegument protein that shuttles between the nucleus and cytoplasm","Verhagen J., Donnelly M., Elliott G.",0022538X,"Journal of Virology",80, 20,0,3,2,1,6,0,6
2006,"Nucleocytoplasmic shuttling of bovine herpesvirus 1 UL47 protein in infected cells","Verhagen J., Hutchinson I., Elliott G.",0022538X,"Journal of Virology",80, 2,1,2,2,0,4,0,5
2005,"Phosphorylation of the herpes simplex virus tegument protein VP22 has no effect on incorporation of VP22 into the virus but is involved in optimal expression and virion packaging of ICP0","Potel C., Elliott G.",0022538X,"Journal of Virology",79, 22,1,3,0,3,6,0,7
2005,"Herpes simplex virus tegument protein VP22 contains an internal VP16 interaction domain and a C-terminal domain that are both required for VP22 assembly into the virus particle","Hafezi W., Bernard E., Cook R., Elliott G.",0022538X,"Journal of Virology",79, 20,1,5,1,3,9,0,10
2005,"Deletion of the herpes simplex virus VP22-encoding gene (UL49) alters the expression, localization, and virion incorporation of ICP0","Elliott G., Hafezi W., Whiteley A., Bernard E.",0022538X,"Journal of Virology",79, 15,6,7,8,4,19,0,25
2002,"Sequential localization of two herpes simplex virus tegument proteins to punctate nuclear dots adjacent to ICP0 domains","Hutchinson I., Whiteley A., Browne H., Elliott G.",0022538X,"Journal of Virology",76, 20,9,5,2,2,9,0,18
2002,"Herpes simplex virus tegument protein VP22 contains overlapping domains for cytoplasmic localization, microtubule interaction, and chromatin binding","Martin A., O'Hare P., McLauchlan J., Elliott G.",0022538X,"Journal of Virology",76, 10,20,2,3,4,9,0,29
2001,"Fluorescent tagging of herpes simplex virus tegument protein VP13/14 in virus infection","Donnelly M., Elliott G.",0022538X,"Journal of Virology",75, 6,17,1,3,2,6,0,23
2001,"Nuclear localization and shuttling of herpes simplex virus tegument protein VP13/14","Donnelly M., Elliott G.",0022538X,"Journal of Virology",75, 6,18,2,2,2,6,0,24
2000,"Cytoplasm-to-nucleus translocation of a herpesvirus tegument protein during cell division","Elliott G., O'Hare P.",0022538X,"Journal of Virology",74, 5,40,2,3,2,7,0,47
1999,"Identification of phosphorylation sites within the herpes simplex virus tegument protein VP22","Elliott G., O'Reilly D., O'Hare P.",0022538X,"Journal of Virology",73, 7,19,5,3,2,10,0,29
1999,"Live-cell analysis of a green fluorescent protein-tagged herpes simplex virus infection","Elliott G., O'Hare P.",0022538X,"Journal of Virology",73, 5,78,5,5,5,15,0,93
1999,"Intercellular delivery of thymidine kinase prodrug activating enzyme by the herpes simplex virus protein, VP22","Dilber M.S., Phelan A., Aints A., Mohamed A.J., Elliott G., Edvard Smith C.I., O'Hare P.",09697128,"Gene Therapy",6, 1,102,12,5,1,18,0,120
1999,"Intercellular trafficking of VP22-GFP fusion proteins","Elliott G., O'Hare P.",09697128,"Gene Therapy",6, 1,80,6,2,4,12,0,92
1998,"Herpes simplex virus type 1 tegument protein VP22 induces the stabilization and hyperacetylation of microtubules","Elliott G., O'Hare P.",0022538X,"Journal of Virology",72, 8,62,4,11,6,21,0,83
1997,"Intercellular trafficking and protein delivery by a herpesvirus structural protein","Elliott G., O'Hare P.",00928674,"Cell",88, 2,458,44,33,21,98,0,556
1996,"Phosphorylation of the herpes simplex virus type 1 tegument protein VP22","Elliott G., O'Reilly D., O'Hare P.",00426822,"Virology",226, 1,42,2,1,2,5,0,47
1995,"Equine herpesvirus 1 gene 12, the functional homologue of herpes simplex virus VP16, transactivates via octamer sequences in the equine herpesvirus IE gene promoter","Elliott G., O'Hare P.",00426822,"Virology",213, 1,11,1,0,0,1,0,12
1995,"VP16 interacts via its activation domain with VP22, a tegument protein of herpes simplex virus, and is relocated to a novel macromolecular assembly in coexpressing cells","Elliott G., Mouzakitis G., O'Hare P.",0022538X,"Journal of Virology",69, 12,71,12,5,6,23,0,94
1995,"Real-time analysis of the transcriptional regulation of HIV and hCMV promoters in single mammalian cells","White M.R.H., Masuko M., Amet L., Elliott G., Braddock I., Kingsman A.J., Kingsman S.M.",00219533,"Journal of Cell Science",108, 2,43,2,1,0,3,0,46
1990,"A nuclear translational block imposed by the HIV-1 U3 region is relieved by the Tat-TAR interaction","Braddock M., Thorburn A.M., Chambers A., Elliott G.D., Anderson G.J., Kingsman A.J., Kingsman S.M.",00928674,"Cell",62, 6,15,1,0,0,1,0,16
