,"Author: Falchi, Mario",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 17 (Of the 65 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,640,147,201,348,198,1186
2009,"Genome-wide association study identifies variants at 9p21 and 22q13 associated with development of cutaneous nevi","Falchi M., Soranzo N., Elder D.E., Barrett J.H., Martin N.G., Bishop D.T., Montgomery G.W., Spector T.D., Bataille V., Hayward N.K., Duffy D.L., Bishop J.A.N., Pastinen T., Cervino A., Zhao Z.Z., Deloukas P.",10614036,"Nature Genetics",41, 8,0,0,0,0,0,0
2009,"Antioxidant activity of calendula officinalis extract: Inhibitory effects on chemiluminescence of human neutrophil bursts and electron paramagnetic resonance spectroscopy","Braga P.C., Dal Sasso M., Culici M., Spallino A., Falchi M., Bertelli A., Morelli R., Lo Scalzo R.",00317012,"Pharmacology",83, 6,0,0,0,0,0,0
2009,"Cardioprotection with the parrodiene 2,4,6-octatrienal and its potassium salt through activation of the Akt-Bcl-2 survival pathway","Mukherjee S., Ray D., Falchi M., Bertelli A., Pini E., Das D.K.",01633864,"Journal of Natural Products",72, 5,0,0,0,0,0,0
2009,"A novel variant on chromosome 7q22.3 associated with mean platelet volume, counts, and function.","Soranzo N., Erber W., Potter S.C., Bray S.L., Burns P., Jolley J., Falchi M., Kuhnel B., Erdmann J., Schunkert H., Samani N.J., Rendon A., Illig T., Garner S.F., Rankin A., Meisinger C., Bradley J.R., Thein S.L., Goodall A.H., Spector T.D., Deloukas P., Ouwehand W.H., Gieger C., Jones C.I., Watkins N.A., Menzel S., Doring A., Stephens J., Prokisch H.",15280020,"Blood",113, 16,0,0,0,0,1,1
2009,"Identification of quantitative trait loci for fibrin clot phenotypes: The EuroCLOT study","Williams F.M.K., Grant P.J., Carter A.M., Kato B., Falchi M., Bathum L., Surdulescu G., Kyvik K.O., Palotie A., Spector T.D.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",29, 4,0,0,0,0,0,0
2009,"Repeatability of published microarray gene expression analyses","Ioannidis J.P.A., Jurman G., Mangion J., Mehta T., Nitzberg M., Page G.P., Petretto E., Van Noort V., Allison D.B., Ball C.A., Coulibaly I., Cui X., Culhane A.C., Falchi M., Furlanello C., Game L.",10614036,"Nature Genetics",41, 2,0,0,0,0,5,5
