,"Author: Farrell, Paul J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 24 (Of the 55 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2924,239,227,466,198,3588
2009,"RUNX3-mediated repression of RUNX1 in B cells.","Brady G., Farrell P.J.",10974652,"Journal of cellular physiology",221, 2,0,0,0,0,0,0
2009,"Downregulation of RUNX1 by RUNX3 requires the RUNX3 VWRPY sequence and is essential for Epstein-Barr virus-driven B-cell proliferation","Brady G., Whiteman H.J., Spender L.C., Farrell P.J.",0022538X,"Journal of Virology",83, 13,0,0,0,0,1,1
2009,"Epstein-Barr virus BART gene expression","Al-Mozaini M., Bodelon G., Karstegl C.E., Jin B., Al-Ahdal M., Farrell P.J.",00221317,"Journal of General Virology",90, 2,0,0,0,0,0,0
2009,"Interaction of epstein-barr virus BZLF1 C-terminal tail structure and core zipper is required for DNA replication but not for promoter transactivation","McDonald C.M., Petosa C., Farrell P.J.",0022538X,"Journal of Virology",83, 7,0,0,0,0,0,0
2008,"Differential gene regulation by Epstein-Barr virus type 1 and type 2 EBNA2","Lucchesi W., Brady G., Dittrich-Breiholz O., Kracht M., Russ R., Farrell P.J.",0022538X,"Journal of Virology",82, 15,0,0,1,1,2,3
2008,"Epstein-Barr virus and Burkitt lymphoma","Brady G., MacArthur G.J., Farrell P.J.",00325473,"Postgraduate Medical Journal",84, 993,0,0,0,0,4,4
2007,"Epstein-Barr virus and Burkitt lymphoma","Brady G., MacArthur G.J., Farrell P.J.",00219746,"Journal of Clinical Pathology",60, 12,0,0,4,4,8,12
2007,"Role for HLA in susceptibility to infectious mononucleosis","Farrell P.J.",00219738,"Journal of Clinical Investigation",117, 10,0,0,0,0,0,0
2006,"The role of Epstein-Barr virus in cancer","Patrie S.B., Farrell P.J.",14712598,"Expert Opinion on Biological Therapy",6, 11,0,6,7,13,8,21
2006,"Cell target genes of Epstein-Barr virus transcription factor EBNA-2: Induction of the p55? regulatory subunit of PI3-kinase and its role in survival of EREB2.5 cells","Spender L.C., Farrell P.J., Lucchesi W., Bodelon G., Bilancio A., Elgueta Karstegl C., Asano T., Dittrich-Breiholz O., Kracht M., Vanhaesebroeck B.",00221317,"Journal of General Virology",87, 10,0,1,3,4,5,9
2006,"Epstein-Barr virus origin of lytic replication mediates association of replicating episomes with promyelocytic leukaemia protein nuclear bodies and replication compartments","Amon W., White R.E., Farrell P.J.",00221317,"Journal of General Virology",87, 5,0,0,2,2,0,2
2006,"RUNX expression and function in human B cells","Whiteman H.J., Farrell P.J.",10454403,"Critical Reviews in Eukaryotic Gene Expression",16, 1,0,1,3,4,2,6
2006,"Transcriptional silencing of Polo-like kinase 2 (SNK/PLK2) is a frequent event in B-cell malignancies","Syed N., Crawford D., Griffin B., Farrell P.J., Crook T., Smith P., Sullivan A., Spender L.C., Dyer M., Karran L., O'Nions J., Allday M., Hoffmann I.",00064971,"Blood",107, 1,4,10,4,14,2,20
2005,"Reactivation of Epstein-Barr virus from latency","Amon W., Farrell P.J.",10529276,"Reviews in Medical Virology",15, 3,11,3,9,12,3,26
2005,"Transcriptional cross-regulation of RUNX1 by RUNX3 in human B cells","Spender L.C., Whiteman H.J., Karstegl C.E., Farrell P.J.",09509232,"Oncogene",24, 11,10,2,7,9,6,25
2005,"Can plasma Esptein-Barr virus DNA levels be used to monitor nasopharyngeal carcinoma progression?","Farrell P.J.",17434254,"Nature Clinical Practice Oncology",2, 1,0,0,0,0,0,0
2004,"Lytic cycle gene regulation of Epstein-Barr virus","Amon W., Binne U.K., Bryant H., Jenkins P.J., Karstegl C.E., Farrell P.J.",0022538X,"Journal of Virology",78, 24,4,5,1,6,1,11
2004,"Polymorphism in wild-type p53 modulates response to chemotherapy in vitro and in vivo","Sullivan A., Lu X., Crook T., Syed N., Gasco M., Bergamaschi D., Trigiante G., Attard M., Hiller L., Farrell P.J., Smith P.",09509232,"Oncogene",23, 19,37,19,25,44,11,92
2003,"Updated Epstein-Barr virus (EBV) DNA sequence and analysis of a promoter for the BART (CST, BARFO) RNAs of EBV","de Jesus O., Smith P.R., Spender L.C., Karstegl C.E., Niller H.H., Huang D., Farrell P.J.",00221317,"Journal of General Virology",84, 6,16,4,6,10,2,28
2003,"p53 polymorphism influences response in cancer chemotherapy via modulation of p73-dependent apoptosis","Bergamaschi D., Comino A., Attard M., Reelfs O., Gusterson B., Bell A.K., Heath V., Tavassoli M., Farrell P.J., Smith P., Lu X., Gasco M., Crook T., Hiller L., Sullivan A., Syed N., Trigiante G., Yulug I., Merlano M., Numico G.",15356108,"Cancer Cell",3, 4,123,34,26,60,10,193
2002,"Signal transduction and transcription factor modification during reactivation of Epstein-Barr virus from latency","Bryant H., Farrell P.J.",0022538X,"Journal of Virology",76, 20,16,5,2,7,1,24
2002,"Promoter sequences required for reactivation of Epstein-Barr virus from latency","Binne U.K., Amon W., Farrell P.J.",0022538X,"Journal of Virology",76, 20,13,2,0,2,1,16
2002,"Tumour viruses - Could they be an Achilles' heel of cancer?","Farrell P.J",09598049,"European Journal of Cancer",38, 14,1,0,0,0,0,1
2002,"Cell-switching and kissing","Farrell P.J.",10788956,"Nature Medicine",8, 6,1,0,0,0,0,1
2002,"Expression of transcription factor AML-2 (RUNX3, CBF?-3) is induced by Epstein-Barr virus EBNA-2 and correlates with the B-cell activation phenotype","Spender L.C., Cornish G.H., Sullivan A., Farrell P.J.",0022538X,"Journal of Virology",76, 10,25,3,1,4,3,32
2002,"Epigenetic inactivation of 14-3-3 ? in oral carcinoma: Association with p16INK4a silencing and human papillomavirus negativity","Gasco M., Farrell P.J., Tavassoli M., Gusterson B., Crook T., Bell A.K., Heath V., Sullivan A., Smith P., Hiller L., Yulug I., Numico G., Merlano M.",00085472,"Cancer Research",62, 7,42,5,4,9,8,59
2002,"Coincident inactivation of 14-3-3? and p16INK4a is an early event in vulval squamous neoplasia","Gasco M., Crook T., Sullivan A., Repellin C., Brooks L., Farrell P.J., Tidy J.A., Dunne B., Gusterson B., Evans D.J.",09509232,"Oncogene",21, 12,38,5,3,8,9,55
2002,"Analysis of CHK2 in vulval neoplasia","Reddy A., Gasco M., Crook T., Yuille M., Sullivan A., Repellin C., Bell A., Tidy J.A., Evans D.J., Farrell P.J., Gusterson B.",00070920,"British Journal of Cancer",86, 5,15,1,2,3,1,19
2002,"Concomitant inactivation of p53 and Chk2 in breast cancer","Sullivan A., Farrell P.J., Yulug I., Evans A., Ozcelik T., Gasco M., Crook T., Yuille M., Repellin C., Reddy A., Reelfs O., Bell A., Dunne B., Gusterson B.A., Osin P.",09509232,"Oncogene",21, 9,30,5,6,11,5,46
2002,"E7 proteins from oncogenic human papillomavirus types transactivate p73: Role in cervical intraepithelial neoplasia","Brooks L.A., Gusterson B., Farrell P.J., Storey A., Gasco M., Sakai T., Crook T., Sullivan A., O'Nions J., Bell A., Dunne B., Tidy J.A., Evans D.J., Osin P., Vousden K.H.",00070920,"British Journal of Cancer",86, 2,12,4,1,5,1,18
2001,"p73 is over-expressed in vulval cancer principally as the ?2 isoform","O'Nions J., Farrell P.J., Evans A., Gasco M., Gusterson B., Crook T., Brooks L.A., Sullivan A., Bell A., Dunne B., Rozycka M., Reddy A., Tidy J.A., Evans D.",00070920,"British Journal of Cancer",85, 10,21,0,2,2,3,26
2001,"Variant chromatin structure of the oriP region of Epstein-Barr virus and regulation of EBER1 expression by upstream sequences and oriP","Wensing B., Stuhler A., Jenkins P., Hollyoake M., Karstegl C.E., Farrell P.J.",0022538X,"Journal of Virology",75, 13,9,1,2,3,1,13
2001,"Epstein-Barr virus. The B95-8 strain map.","Farrell P.J.",10643745,"Methods in molecular biology (Clifton, N.J.)",174, ,3,0,0,0,0,3
2001,"Direct and indirect regulation of cytokine and cell cycle proteins by EBNA-2 during Epstein-Barr virus infection","Spender L.C., Cornish G.H., Rowland B., Kempkes B., Farrell P.J.",0022538X,"Journal of Virology",75, 8,30,0,1,1,0,31
2001,"Activators of the Epstein-Barr virus lytic program concomitantly induce apoptosis, but lytic gene expression protects from cell death","Inman G.J., Binnie U.K., Parker G.A., Farrell P.J., Allday M.J.",0022538X,"Journal of Virology",75, 5,23,5,3,8,3,34
2000,"Preferential retention of codon 72 arginine p53 in squamous cell carcinomas of the vulva occurs in cancers positive and negative for human papillomavirus","Brooks L.A., Crook T., Tidy J.A., Gusterson B., Hiller L., O'Nions J., Gasco M., Marin M.C., Farrell P.J., Kaelin W.G. Jr.",00085472,"Cancer Research",60, 24,34,5,6,11,1,46
2000,"Structure and coding content of CST (BART) family RNAs of Epstein-Barr virus","Smith P.R., Farrell P.J., De Jesus O., Turner D., Hollyoake M., Karstegl C.E., Griffin B.E., Karran L., Wang Y., Hayward S.D.",0022538X,"Journal of Virology",74, 7,40,3,4,7,3,50
2000,"Histone acetylation and reactivation of Epstein-Barr virus from latency","Jenkins P.J., Binne U.K., Farrell P.J.",0022538X,"Journal of Virology",74, 2,45,7,6,13,4,62
2000,"Regulation of cell growth and death by Epstein-Barr virus","Wensing B., Farrell P.J.",12864579,"Microbes and Infection",2, 1,13,1,2,3,1,17
1999,"DNA binding of USF is required for specific E-box dependent gene activation in vivo","Kiermaier A., Gawn J.M., Desbarats L., Saffrich R., Ansorge W., Farrell P.J., Eilers M., Packham G.",09509232,"Oncogene",18, 51,16,0,2,2,1,19
1999,"Control of cell cycle entry and apoptosis in B lymphocytes infected by Epstein-Barr virus","Spender L.C., Cannell E.J., Hollyoake M., Wensing B., Gawn J.M., Brimmell M., Packham G., Farrell P.J.",0022538X,"Journal of Virology",73, 6,37,1,1,2,3,42
