,"Author: Fenwick, Alan J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 18 (Of the 68 documents considered for the h-Index, 18 have been cited at least 18 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,370,223,286,509,187,1066
2009,"Process evaluation of schistosomiasis control in Uganda, 2003 to 2006: perceptions, attitudes and constraints of a national programme","FLEMING F.M., FENWICK A., TUKAHEBWA E.M., LUBANGA R.G.N., NAMWANGYE H., ZARAMBA S., KABATEREINE N.B.",00311820,"Parasitology",, ,0,0,0,0,0,0
2009,"Present and future schistosomiasis control activities with support from the Schistosomiasis Control Initiative in West Africa","GARBA A., TOURE S., DEMBELE R., BOISIER P., TOHON Z., BOSQUE-OLIVA E., KOUKOUNARI A., FENWICK A.",00311820,"Parasitology",, ,0,0,0,0,0,0
2009,"The Schistosomiasis Control Initiative (SCI): rationale, development and implementation from 2002-2008","FENWICK A., CLEMENTS A.C.A., KABATEREINE N.B., TOURE S., DEMBELE R., NYANDINDI U., MWANSA J., KOUKOUNARI A., WEBSTER J.P., BOSQUE-OLIVA E., BLAIR L., FLEMING F.M., GARBA A., STOTHARD J.R., GABRIELLI A.F.",00311820,"Parasitology",, ,0,0,0,0,0,0
2009,"New graphical techniques for studying acoustic ray stability","Bodai T., Fenwick A.J., Wiercigroch M.",0022460X,"Journal of Sound and Vibration",324, 3-5,0,0,0,0,0,0
2009,"Evaluation and application of potential schistosome-associated morbidity markers within large-scale mass chemotherapy programmes","WEBSTER J.P., KOUKOUNARI A., LAMBERTON P.H.L., STOTHARD J.R., FENWICK A.",00311820,"Parasitology",, ,0,0,0,0,0,0
2009,"HIV/AIDS, schistosomiasis, and girls","Stoever K., Molyneux D., Hotez P., Fenwick A.",01406736,"The Lancet",373, 9680,0,0,0,0,0,0
2009,"A comparative study of the spatial distribution of schistosomiasis in Mali in 1984-1989 and 2004-2006","Clements A.C.A., Brooker S., Bosque-Oliva E., Sacko M., Landoure A., Dembele R., Traore M., Coulibaly G., Gabrielli A.F., Fenwick A.",,"PLoS Neglected Tropical Diseases",3, 5,0,0,0,0,1,1
2009,"Rescuing the bottom billion through control of neglected tropical diseases","Hotez P.J., Fenwick A., Molyneux D.H.",01406736,"The Lancet",373, 9674,0,0,0,0,0,0
2009,"Chapter 10 Host-Parasite Relations and Implications for Control","Fenwick A.",0065308X,"Advances in Parasitology",68, ,0,0,0,0,0,0
2009,"Neglected tropical diseases and the Global Fund","Molyneux D.H., Hotez P.J., Fenwick A., Newman R.D., Greenwood B., Sachs J.",01406736,"The Lancet",373, 9660,0,0,0,0,2,2
2008,"Mapping the probability of schistosomiasis and associated uncertainty, West Africa","Clements A.C.A., Garba A., Sacko M., Toure S., Dembele R., Landoure A., Bosque-Oliva E., Gabrielli A.F., Fenwick A.",10806040,"Emerging Infectious Diseases",14, 10,0,0,0,0,2,2
2008,"Two-year impact of single praziquantel treatment on infection in the national control programme on schistosomiasis in Burkina Faso","Toure S., Fenwick A., Zhang Y., Bosque-Oliva E., Ky C., Ouedraogo A., Koukounari A., Gabrielli A.F., Sellin B., Webster J.P.",00429686,"Bulletin of the World Health Organization",86, 10,0,0,1,1,1,2
2008,"Ray chaos in underwater acoustics and its application","Bodai T., Fenwick A.J., Wiercigroch M.",02181274,"International Journal of Bifurcation and Chaos",18, 5,0,0,0,0,0,0
2008,"Bayesian spatial analysis of a national urinary schistosomiasis questionnaire to assist geographic targeting of schistosomiasis control in Tanzania, East Africa","Clements A.C.A., Brooker S., Nyandindi U., Fenwick A., Blair L.",00207519,"International Journal for Parasitology",38, 3-4,0,0,2,2,5,7
2008,"A Global Fund to Fight neglected tropical diseases: Is the G8 Hokkaido Toyako 2008 summit ready?","Hotez P.J., Molyneux D.H., Fenwick A., Savioli L., Takeuchi T.",,"PLoS Neglected Tropical Diseases",2, 3,0,0,0,0,2,2
2007,"The authors reply [11]","Molyneux D., Fenwick A., Savioli L.",00284793,"New England Journal of Medicine",357, 23,0,0,0,0,0,0
2007,"Chaotic signals in radar?","Harman S.A., Fenwick A.J., Williams C.",,"Proceedings of the 3rd European Radar Conference, EuRAD 2006",, ,0,0,0,0,0,0
2007,"Recent progress in integrated neglected tropical disease control","Hotez P., Raff S., Fenwick A., Richards Jr. F., Molyneux D.H.",14714922,"Trends in Parasitology",23, 11,0,0,6,6,5,11
2007,"A high-performance liquid chromatography and nuclear magnetic resonance spectroscopy-based analysis of commercially available praziquantel tablets","Li J., Wang Y., Fenwick A., Clayton T.A., Lau Y.Y.K., Legido-Quigley C., Lindon J.C., Utzinger J., Holmes E.",07317085,"Journal of Pharmaceutical and Biomedical Analysis",45, 2,0,0,2,2,0,2
2007,"Control of neglected tropical diseases","Hotez P.J., Molyneux D.H., Fenwick A., Kumaresan J., Sachs S.E., Sachs J.D., Savioli L.",00284793,"New England Journal of Medicine",357, 10,0,7,58,65,29,94
2007,"Parasitological impact of 2-year preventive chemotherapy on schistosomiasis and soil-transmitted helminthiasis in Uganda","Zhang Y., Koukounari A., Kabatereine N., Fleming F., Kazibwe F., Tukahebwa E., Stothard J.R., Webster J.P., Fenwick A.",17417015,"BMC Medicine",5, ,0,0,1,1,2,3
2007,"Erratum: Incorporating a rapid-impact package for neglected tropical diseases with programs for HIV/AIDS, tuberculosis, and malaria (PLoS Medicine (2006) 3, 5, DOI: 10.1371/journal.pmed.0030102)","Hotez P.J., Molyneux D.H., Fenwick A., Ottesen E., Sachs S.E., Sachs J.D.",15491277,"PLoS Medicine",4, 9,0,0,0,0,0,0
2007,"Schistosoma haematobium infection and morbidity before and after large-scale administration of praziquantel in Burkina Faso","Koukounari A., Gabrielli A.F., Toure S., Bosque-Oliva E., Zhang Y., Sellin B., Donnelly C.A., Fenwick A., Webster J.P.",00221899,"Journal of Infectious Diseases",196, 5,0,0,4,4,4,8
2007,"Substitution of Malachite Green with Nigrosin - Eosin Yellow Stain in the Kato-Katz method: Microscopical appearance of the helminth eggs","Odongo-Aginya E.I., Kabatereine N., Ludwig S., Wabinga H., Fenwick A., Montresor A.",16806905,"African Health Sciences",7, 1,0,0,1,1,0,1
2007,"Impact of a national helminth control programme on infection and morbidity in Ugandan schoolchildren","Kabatereine N.B., Fenwick A., Brooker S., Koukounari A., Kazibwe F., Tukahebwa E.M., Fleming F.M., Zhang Y., Webster J.P., Stothardd J.R.",00429686,"Bulletin of the World Health Organization",85, 2,0,2,6,8,10,18
2006,"Assessment of ultrasound morbidity indicators of schistosomiasis in the context of large-scale programs illustrated with experiences from Malian children","Koukounari A., Fenwick A., Traore M., Webster J.P., Sacko M., Keita A.D., Gabrielli A.F., Landoure A., Dembele R., Clements A.C., Whawell S., Donnelly C.A.",00029637,"American Journal of Tropical Medicine and Hygiene",75, 6,0,1,2,3,4,7
2006,"Schistosomiasis: Challenges for control, treatment and drug resistance","Fenwick A., Webster J.P.",09517375,"Current Opinion in Infectious Diseases",19, 6,0,12,14,26,3,29
2006,"Morbidity indicators of Schistosoma mansoni: Relationship between infection and anemia in Ugandan schoolchildren before and after praziquantel and albendazole chemotherapy","Koukounari A., Fenwick A., Whawell S., Kabatereine N.B., Kazibwe F., Tukahebwa E.M., Stothard J.R., Donnelly C.A., Webster J.P.",00029637,"American Journal of Tropical Medicine and Hygiene",75, 2,1,3,1,4,2,7
2006,"Schistosoma mansoni in infants (aged <3 years) along the Ugandan shoreline of Lake Victoria","Odogwu S.E., Ramamurthy N.K., Kabatereine N.B., Kazibwe F., Tukahebwa E., Webster J.P., Fenwick A., Stothard J.R.",00034983,"Annals of Tropical Medicine and Parasitology",100, 4,1,3,2,5,1,7
2006,"The neglected tropical diseases: The ancient afflictions of stigma and poverty and the prospects for their control and elimination","Hotez P., Ottesen E., Fenwick A., Molyneux D.",00652598,"Advances in Experimental Medicine and Biology",582, ,3,5,8,13,11,27
2006,"Response [3]","Fenwick A.",00368075,"Science",314, 5802,0,0,0,0,0,0
