,"Author: Fidler, Sarah J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 35 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,281,83,86,169,66,516
2009,"Reductions in HIV transmission risk behaviour following diagnosis of primary HIV infection: A cohort of high-risk men who have sex with men","Fox J., White P.J., Macdonald N., Weber J., McClure M., Fidler S., Ward H.",14642662,"HIV Medicine",10, 7,0,0,0,0,0,0
2009,"Effects of HIV status and antiretroviral therapy on blood pressure","Wilson S.L., Scullard G., Fidler S.J., Weber J.N., Poulter N.R.",14642662,"HIV Medicine",10, 6,0,0,0,0,0,0
2009,"Adaptation of HIV-1 to human leukocyte antigen class I","Kawashima Y., Koizumi H., Kuse N., Oka S., Duda A., Prendergast A., Crawford H., Leslie A., Brumme Z., Brumme C., Allen T., Pfafferott K., Brander C., Kaslow R., Tang J., Hunter E., Allen S., Mulenga J., Branch S., Roach T., John M., Mallal S., Frater J., Ogwu A., Shapiro R., Prado J.G., Fidler S., Weber J., Pybus O.G., Klenerman P., Ndungu T., Phillips R., Heckerman D., Matthews P., Harrigan P.R., Walker B.D., Takiguchi M., Goulder P., Payne R., Addo M., Gatanaga H., Fujiwara M., Hachiya A.",00280836,"Nature",458, 7238,0,0,0,0,8,8
2009,"HLA-associated clinical progression correlates with epitope reversion rates in early human immunodeficiency virus infection","Duda A., Mclean A.R., Fidler S., Weber J., Phillips R.E., Frater A.J., Breckenridge A., Conlon C., Cooper D., Conradie F., Kaldor J., Lee-Turner L., Schechter M., Claydon P., Kaleebu P., Ramjee G., Ssali F., Tambussi G., Fox J., Robinson N., Dustan S., Kaye S., Fryer H., Carrington M., McClure M.",0022538X,"Journal of Virology",83, 3,0,0,0,0,3,3
2008,"Human immunodeficiency virus (HIV)-specific T helper responses fail to predict CD4+ T cell decline following short-course treatment at primary HIV-1 infection","Fox J., Scriba T.J., Robinson N., Weber J.N., Phillips R.E., Fidler S.",00099104,"Clinical and Experimental Immunology",152, 3,0,0,0,0,0,0
2008,"Increasing incidence of acute hepatitis C in individuals diagnosed with primary HIV in the United Kingdom","Fox J., Nastouli E., Thomson E., Muir D., McClure M., Weber J., Fidler S.",02699370,"AIDS",22, 5,0,0,1,1,3,4
2008,"Primary HIV infection: To treat or not to treat?","Fidler S., Fox J., Porter K., Weber J.",09517375,"Current Opinion in Infectious Diseases",21, 1,0,0,2,2,2,4
2008,"Survival following HIV infection of a cohort followed up from seroconversion in the UK","Ewings F.M., Johnson M., Phillips A., Porter K., Bhaskaran K., McLean K., Hawkins D., Fisher M., Fidler S., Gilson R., Nock D., Brettle R.",02699370,"AIDS",22, 1,0,0,1,1,2,3
