,"Author: Field, B. C T",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 2 (Of the 5 documents considered for the h-Index, 2 have been cited at least 2 times.)",,,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,1,3,5,9,0,9
2009,"Investigation of structure-activity relationships of oxyntomodulin (Oxm) using oxm analogs","Druce M.R., Bloom S.R., Minnion J.S., Field B.C.T., Patel S.R., Shillito J.C., Tilby M., Beale K.E.L., Murphy K.G., Ghatei M.A.",00137227,"Endocrinology",150, 4,0,0,0,1,1,0,1
2009,"Differential patterns of neuronal activation in the brainstem and hypothalamus following peripheral injection of GLP-1, oxyntomodulin and lithium chloride in mice detected by manganese-enhanced magnetic resonance imaging (MEMRI)","Parkinson J.R.C., Chaudhri O.B., Kuo Y.-T., Field B.C.T., Herlihy A.H., Dhillo W.S., Ghatei M.A., Bloom S.R., Bell J.D.",10538119,"NeuroImage",44, 3,0,0,0,1,1,0,1
2008,"Gastrointestinal satiety signals","Chaudhri O.B., Field B.C.T., Bloom S.R.",03070565,"International Journal of Obesity",32, 7,0,0,0,0,0,0,0
2008,"Gut hormones as potential new targets for appetite regulation and the treatment of obesity","Field B.C.T., Wren A.M., Cooke D., Bloom S.R.",00126667,"Drugs",68, 2,0,0,2,2,4,0,4
2006,"Editorial: From gut to mind - Hormonal satiety signals and anorexia nervosa","Chaudhri O.B., Field B.C.T., Bloom S.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",91, 3,0,1,1,1,3,0,3
