,"Authors: Firmin, D. M.; Firmin, David N.; Firmin, D. N.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 27 (Of the 130 documents considered for the h-Index, 27 have been cited at least 27 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3276,493,510,1003,389,4668
2009,"Variability of myocardial perfusion dark rim Gibbs artifacts due to sub-pixel shifts","Ferreira P., Gatehouse P., Kellman P., Bucciarelli-Ducci C., Firmin D.",10976647,"Journal of Cardiovascular Magnetic Resonance",11, 1,0,0,0,0,0,0
2009,"Keenan NG, Grasso A, Locca D, et al. Comparison of 2D and multislab 3D magnetic resonance techniques for measuring carotid wall volumes (Journal of Magnetic Resonance Imaging (2008) 28, (1476-1482))","Keenan N.G., Grasso A., Locca D., Varghese A., Roughton M., Gatehouse P.D., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",29, 6,0,0,0,0,0,0
2009,"On using T2 to assess extrinsic magnetic field inhomogeneity effects on T2* measurements in myocardial siderosis in thalassemia","He T., Smith G.C., Gatehouse P.D., Mohiaddin R.H., Firmin D.N., Pennell D.J.",07403194,"Magnetic Resonance in Medicine",61, 3,0,0,0,0,1,1
2009,"Motion in cardiovascular MR imaging","Scott A.D., Keegan J., Firmin D.N.",00338419,"Radiology",250, 2,0,0,0,0,0,0
2009,"Response","Bradlow W.M., Gatehouse P.D., Hughes R.L., O'Brien A.B., Gibbs J.S.R., Firmin D.N., Mohiaddin R.H.",10531807,"Journal of Magnetic Resonance Imaging",29, 2,0,0,0,0,0,0
2009,"Novel technique used to detect swallowing in volume-selective turbo spin-echo (TSE) for carotid artery wall imaging","Chan C.F., Gatehouse P.D., Hughes R., Roughton M., Pennell D.J., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",29, 1,0,0,0,0,0,0
2008,"Towards comprehensive assessment of mitral regurgitation using cardiovascular magnetic resonance","Chan K.M.J., Wage R., Symmonds K., Rahman-Haley S., Mohiaddin R.H., Firmin D.N., Pepper J.R., Pennell D.J., Kilner P.J.",10976647,"Journal of Cardiovascular Magnetic Resonance",10, 1,0,0,0,0,3,3
2008,"Multi-center transferability of a breath-hold T2 technique for myocardial iron assessment","He T., Biceroglu S., Aydinok Y., Fogel M.A., Cohen A.R., Pennell D.J., Kirk P., Firmin D.N., Lam W.M., Chu W.C.W., Au W.-Y., Chan G.C.F., Tan R.S., Ng I.",10976647,"Journal of Cardiovascular Magnetic Resonance",10, 1,0,0,2,2,4,6
2008,"Bayesian motion recovery framework for myocardial phase-contrast velocity MRI.","Huntbatch A., Lee S.L., Firmin D., Yang G.Z.",,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention",11, 2,0,0,0,0,0,0
2008,"Bayesian motion recovery framework for myocardial phase-contrast velocity MRI","Huntbatch A., Lee S.-L., Firmin D., Yang G.-Z.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",5242, 2,0,0,0,0,0,0
