,"This is a citation overview for a set of 272 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 48 (Of the 272 documents considered for the h-Index, 48 have been cited at least 48 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,7382,733,913,1646,505,9533
2009,"Polycystic ovary syndrome","Franks S.",13573039,"Medicine",37, 9,0,0,0,0,0,0
2009,"Plasticity, Not Adaptation to Salt Level, Explains Variation Along a Salinity Gradient in a Salt Marsh Perennial","Richards C.L., McGuire M.A., Franks S.J., Donovan L.A., Mauricio R.",15592723,"Estuaries and Coasts",, ,0,0,0,0,0,0
2009,"Defining polycystic ovary syndrome.","Balen A., Homburg R., Franks S.",14685833,"BMJ (Clinical research ed.)",338, ,0,0,0,0,0,0
2009,"Inferring biological mechanisms from spatial analysis: Prediction of a local inhibitor in the ovary","Da Silva-Buttkus P., Marcelli G., Franks S., Stark J., Hardy K.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 2,0,0,0,0,1,1
2008,"Effect of cell shape and packing density on granulosa cell proliferation and formation of multiple layers during early follicle development in the ovary","Da Silva-Buttkus P., Jayasooriya G.S., Mora J.M., Mobberley M., Ryder T.A., Baithun M., Stark J., Franks S., Hardy K.",00219533,"Journal of Cell Science",121, 23,0,0,0,0,0,0
2008,"Comparison of metabolic and inflammatory outcomes in women who used oral contraceptives and the levonorgestrel-releasing intrauterine device in a general population","Morin-Papunen L., Jarvelin M.-R., Pouta A., Martikainen H., McCarthy M.I., Franks S., Sovio U., Hartikainen A.-L., Ruokonen A., Leinonen M., Laitinen J.",00029378,"American Journal of Obstetrics and Gynecology",199, 5,0,0,0,0,4,4
2008,"The resurrection initiative: Storing ancestral genotypes to capture evolution in action","Franks S.J., Avise J.C., Bradshaw W.E., Conner J.K., Etterson J.R., Mazer S.J., Shaw R.G., Weis A.E.",00063568,"BioScience",58, 9,0,0,0,0,0,0
2008,"Ovarian morphology is a marker of heritable biochemical traits in sisters with polycystic ovaries","Franks S., Webber L.J., Goh M., Valentine A., White D.M., Conway G.S., Wiltshire S., McCarthy M.I.",0021972X,"Journal of Clinical Endocrinology and Metabolism",93, 9,0,0,0,0,5,5
2008,"Fecundability and spontaneous abortions in women with self-reported oligo-amenorrhea and/or hirsutism: Northern Finland Birth Cohort 1966 Study","Koivunen R., Jarvelin M.-R., Morin-Papunen L., Pouta A., Franks S., Martikainen H., Sovio U., Hartikainen A.-L., McCarthy M.I., Ruokonen A., Bloigu A.",02681161,"Human Reproduction",23, 9,0,0,0,0,0,0
2008,"A change in climate causes rapid evolution of multiple life-history traits and their interactions in an annual plant","Franks S.J., Weis A.E.",1010061X,"Journal of Evolutionary Biology",21, 5,0,0,0,0,0,0
2008,"Erratum: Follicle dynamics and anovulation in polycystic ovary syndrome (Human Reproduction Update (2008) vol. 24 (367-378))","Franks S., Stark J., Hardy K.",13554786,"Human Reproduction Update",14, 5,0,0,0,0,0,0
2008,"Polycystic ovary syndrome in adolescents","Franks S.",03070565,"International Journal of Obesity",32, 7,0,0,0,0,5,5
2008,"Follicle dynamics and anovulation in polycystic ovary syndrome","Franks S., Stark J., Hardy K.",13554786,"Human Reproduction Update",14, 4,0,0,0,0,10,10
2008,"Serum levels of retinol-binding protein 4 and adiponectin in women with polycystic ovary syndrome: Associations with visceral fat but no evidence for fat mass-independent effects on pathogenesis in this condition","Barber T.M., Franks S., McCarthy M.I., Hazell M., Christodoulides C., Golding S.J., Alvey C., Burling K., Vidal-Puig A., Groome N.P., Wass J.A.H.",0021972X,"Journal of Clinical Endocrinology and Metabolism",93, 7,0,0,0,0,5,5
2008,"Association of variants in the fat mass and obesity associated (FTO) gene with polycystic ovary syndrome","Barber T.M., Lindgren C.M., Freathy R.M., Koch K., Ouwehand W.H., Karpe F., Conway G.S., Wass J.A.H., Jarvelin M.-R., Franks S., McCarthy M.I., Bennett A.J., Groves C.J., Sovio U., Ruokonen A., Martikainen H., Pouta A., Hartikainen A.-L., Elliott P.",0012186X,"Diabetologia",51, 7,0,0,0,0,3,3
2008,"Genetic aspects of female reproduction","Crosignani P.G., Regan L., Baird D.T., Devroey P., Diczfalusy E., Evers J.L.H., Fauser B.C.J.M., Fraser L., Gianaroli L., Glasier A., Liebaers I., Collins J., Ragni G., Sunde A., Tarlatzis B., Van Steirteghem A., Diedrich K., Franks S., Geraedts J.P.M., Jacobs P.A., Karges B., Kennedy S., Marozzi A.",13554786,"Human Reproduction Update",14, 4,0,0,0,0,1,1
2008,"Consensus on infertility treatment related to polycystic ovary syndrome (Human Reproduction (2007) 23, (462))","Tarlatzis B.C., Homburg R., Lobo R., Rebar R.W., Fleming R., Carr B.R., Bouchard Ph., Chang J., Hugues J.N., Azziz R., Kolibianakis E.M., Fauser B.C.J.M., Griesinger G., Diedrich K., Balen A., Farquhar C., Devroey P., Ho P.C., Collins J., Goulis D.G., Eijkemans R., Crosignani P.G., Legro R.S., DeCherney A., Van Steirteghem A., Norman R.J., Hoeger K., Pasquali R., Franks S., Messinis I.E., Casper R.F.",02681161,"Human Reproduction",23, 6,0,0,0,0,0,0
2008,"Selection on herbivory resistance and growth rate in an invasive plant","Franks S.J., Pratt P.D., Dray F.A., Simms E.L.",00030147,"American Naturalist",171, 5,0,0,0,0,2,2
2008,"No evolution of increased competitive ability or decreased allocation to defense in Melaleuca quinquenervia since release from natural enemies","Franks S.J., Pratt P.D., Dray F.A., Simms E.L.",13873547,"Biological Invasions",10, 4,0,0,1,1,0,1
2008,"Ghrelin levels are suppressed and show a blunted response to oral glucose in women with polycystic ovary syndrome","Barber T.M., Casanueva F.F., Karpe F., Lage M., Franks S., McCarthy M.I., Wass J.A.H.",08044643,"European Journal of Endocrinology",158, 4,0,0,1,1,2,3
2008,"Consensus on infertility treatment related to polycystic ovary syndrome","Tarlatzis B.C., Homburg R., Lobo R., Rebar R.W., Fleming R., Carr B.R., Bouchard Ph., Chang J., Hugues J.N., Azziz R., Kolibianakis E.M., Fauser B.C.J.M., Griesinger G., Diedrich K., Balen A., Farquhar C., Devroey P., Ho P.C., Collins J., Goulis D.G., Eijkemans R., Crosignani P.G., Legro R.S., DeCherney A., Van Steirteghem A., Norman R.J., Hoeger K., Pasquali R., Franks S., Messinis I.E., Casper R.F.",02681161,"Human Reproduction",23, 3,0,0,2,2,12,14
2008,"Global adiposity rather than abnormal regional fat distribution characterizes women with polycystic ovary syndrome","Barber T.M., Golding S.J., Alvey C., Wass J.A.H., Karpe F., Franks S., McCarthy M.I.",0021972X,"Journal of Clinical Endocrinology and Metabolism",93, 3,0,0,2,2,4,6
2008,"Cyproterone acetate/ethinyl estradiol for acne and hirsutism: Time to revise prescribing policy","Franks S., Layton A., Glasier A.",02681161,"Human Reproduction",23, 2,0,0,2,2,2,4
2008,"No evidence that established type 2 diabetes susceptibility variants in the PPARG and KCNJ11 genes have pleiotropic effects on early growth","Bennett A.J., McCarthy M.I., Sovio U., Ruokonen A., Martikainen H., Pouta A., Hartikainen A.-L., Franks S., Elliott P., Jarvelin M.-R.",0012186X,"Diabetologia",51, 1,0,0,1,1,4,5
2007,"How good are we at diagnosing polycystic ovary syndrome?","Franks S.",03000664,"Clinical Endocrinology",67, 6,0,0,0,0,0,0
2007,"Abnormal preantral folliculogenesis in polycystic ovaries is associated with increased granulosa cell division","Stubbs S.A., Stark J., Dilworth S.M., Franks S., Hardy K.",0021972X,"Journal of Clinical Endocrinology and Metabolism",92, 11,0,0,5,5,3,8
2007,"Disparate genetic influences on polycystic ovary syndrome (PCOS) and type 2 diabetes revealed by a lack of association between common variants within the TCF7L2 gene and PCOS","Barber T.M., Wass J.A.H., Jarvelin M.-R., Zeggini E., Franks S., McCarthy M.I., Bennett A.J., Groves C.J., Sovio U., Ruokonen A., Martikainen H., Pouta A., Hartikainen A.-L., Elliott P.",0012186X,"Diabetologia",50, 11,0,0,2,2,2,4
2007,"Detailed analysis of variation at and around mitochondrial position 16189 in a large finnish cohort reveals no significant associations with early growth or metabolic phenotypes at age 31 years","Das S., Poulton J., Jarvelin M.-R., McCarthy M.I., Bennett A.J., Sovio U., Ruokonen A., Martikainen H., Pouta A., Hartikainen A.-L., Franks S., Elliott P.",0021972X,"Journal of Clinical Endocrinology and Metabolism",92, 8,0,0,0,0,1,1
2007,"Role of central nervous system and ovarian insulin receptor substrate 2 signaling in female reproductive function in the mouse","Neganova I., Bloom S.R., Franks S., Huhtaniemi I., Hardy K., Withers D.J., Al-Qassab H., Heffron H., Selman C., Choudhury A.I., Lingard S.J., Diakonov I., Patterson M., Ghatei M.",00063363,"Biology of Reproduction",76, 6,0,1,0,1,2,3
2007,"Relationship between E23K (an established type II diabetes-susceptibility variant within KCNJ11), polycystic ovary syndrome and androgen levels","Barber T.M., Weedon M.N., Hartikainen A.-L., Wass J.A.H., Jarvelin M.-R., Zeggini E., Franks S., McCarthy M.I., Bennett A.J., Gloyn A.L., Groves C.J., Sovio U., Ruokonen A., Martikainen H., Pouta A., Taponen S.",10184813,"European Journal of Human Genetics",15, 6,0,0,2,2,0,2
2007,"Brief report: Prolonged survival in culture of preantral follicles from polycystic ovaries","Webber L.J., Stubbs S.A., Stark J., Margara R.A., Trew G.H., Lavery S.A., Hardy K., Franks S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",92, 5,0,0,9,9,1,10
2007,"Metabolic characteristics of women with polycystic ovaries and oligo-amenorrhoea but normal androgen levels: Implications for the management of polycystic ovary syndrome","Barber T.M., Wass J.A.H., McCarthy M.I., Franks S.",03000664,"Clinical Endocrinology",66, 4,0,2,12,14,12,26
2007,"Disordered follicle decelopment in ovaries of prenatally androgenized ewes","Fordslike R.A., Hardy K., Bull L., Stark J., Webber L.J., Stubbs S., Robinson J.E., Franks S.",00220795,"Journal of Endocrinology",192, 2,0,0,6,6,3,9
2007,"Rapid evolution of flowering time by an annual plant in response to a climate fluctuation","Franks S.J., Sim S., Weis A.E.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 4,0,6,23,29,20,49
2007,"Metabolic syndrome in polycystic ovary syndrome.","Barber T.M., McCarthy M.I., Franks S., Wass J.A.",0423104X,"Endokrynologia Polska",58, 1,0,0,2,2,2,4
2006,"Severe endothelial dysfunction in young women with polycystic ovary syndrome is only partially explained by known cardiovascular risk factors","Sorensen M.B., Franks S., Robertson C., Pennell D.J., Collins P.",03000664,"Clinical Endocrinology",65, 5,0,4,4,8,2,10
2006,"Determination of androgen bioactivity in human serum samples using a recombinant cell based in vitro bioassay","Roy P., Franks S., Read M., Huhtaniemi I.T.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",101, 1,0,1,4,5,2,7
2006,"Infertility in polycystic ovary syndrome: Focus on low-dose gonadotropin treatment","Gorry A., White D.M., Franks S.",0969711X,"Endocrine",30, 1,0,1,4,5,5,10
2006,"Obesity and Polycystic Ovary Syndrome","Barber T.M., McCarthy M.I., Wass J.A.H., Franks S.",03000664,"Clinical Endocrinology",65, 2,0,14,26,40,8,48
2006,"Variants implicated in cortisone reductase deficiency do not contribute to susceptibility to common forms of polycystic ovary syndrome","Draper N., Powell B.L., Franks S., Conway G.S., Stewart P.M., McCarthy M.I.",03000664,"Clinical Endocrinology",65, 1,0,3,6,9,0,9
2006,"Candidate genes in women with polycystic ovary syndrome","Franks S.",00150282,"Fertility and Sterility",86, 1,0,1,1,2,2,4
2006,"Genetic and environmental origins of obesity relevant to reproduction","Franks S.",14726483,"Reproductive BioMedicine Online",12, 5,0,5,5,10,5,15
2006,"What is polycystic ovary syndrome?","Franks S.",17441870,"Women's Health Medicine",3, 3,0,0,0,0,0,0
2006,"Diagnosing polycystic ovary syndrome","Franks S.",17441870,"Women's Health Medicine",3, 3,0,0,0,0,0,0
2006,"Herbivory tolerance and coevolution: An alternative to the arms race?","Weis A.E., Franks S.J.",0028646X,"New Phytologist",170, 3,1,0,1,1,0,2
2006,"Management of polycystic ovary syndrome","Franks S.",17441870,"Women's Health Medicine",3, 3,0,0,0,0,0,0
2006,"Herbivory by introduced insects reduces growth and survival of Melaleuca quinquenervia seedlings","Franks S.J., Kral A.M., Pratt P.D.",0046225X,"Environmental Entomology",35, 2,3,5,3,8,2,13
2006,"Diagnosis of polycystic ovarian syndrome: In defense of the Rotterdam criteria","Franks S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",91, 3,10,20,16,36,8,54
2006,"Development of polycystic ovary syndrome: Involvement of genetic and environmental factors","Franks S., McCarthy M.I., Hardy K., Skakkebaek N.E., Aitken R.J., Swan S., De Muinck Keizer-Schrama S.",01056263,"International Journal of Andrology",29, 1,5,9,15,24,8,37
2006,"A steroid cell tumor outside the ovary is a rare cause of virilization","Smith D., Crotty T.B., Murphy J.F., Crofton M.E., Franks S., McKenna T.J.",00150282,"Fertility and Sterility",85, 1,0,0,1,1,0,1
2005,"Polycystic ovary syndrome","Franks S.",13573039,"Medicine",33, 11,0,0,1,1,1,2
2005,"FET biasing targets battery-powered PWM applications","Franks S.",00127515,"EDN",50, 24,0,0,0,0,0,0
2005,"Anti-müllerian hormone protein expression is reduced during the initial stages of follicle development in human polycystic ovaries","Stubbs S.A., Franks S., Hardy K., Da Silva-Buttkus P., Stark J., Webber L.J., Flanagan A.M., Themmen A.P.N., Visser J.A., Groome N.P.",0021972X,"Journal of Clinical Endocrinology and Metabolism",90, 10,8,11,11,22,3,33
2005,"Polycystic ovary syndrome. Revised diagnostic criteria and long-term health consequences.","Kousta E., Tolis G., Franks S.",11093099,"Hormones (Athens, Greece)",4, 3,0,2,2,4,3,7
2005,"Analysis of multiple data sets reveals no association between the insulin gene variable number tandem repeat element and polycystic ovary syndrome or related traits","Powell B.L., Ruokonen A., Martikainen H., Pouta A., Taponen S., Hartikainen A.-L., Halford S., Zeggini E., Jarvelin M.-R., Franks S., McCarthy M.I., Haddad L., Bennett A., Gharani N., Sovio U., Groves C.J., Rush K., Goh M.J., Conway G.S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",90, 5,10,10,6,16,1,27
2005,"No association between insulin gene variation and adult metabolic phenotypes in a large Finnish birth cohort","Bennett A., Elliott P., Jarvelin M.-R., McCarthy M.I., Sovio U., Ruokonen A., Martikainen H., Pouta A., Taponen S., Hartikainen A.-L., Franks S., Peltonen L.",0012186X,"Diabetologia",48, 5,7,4,1,5,0,12
2005,"Herbivory alters competitive interactions between two invasive aquatic plants","Center T.D., Van T.K., Dray Jr. F.A., Franks S.J., Rebelo M.T., Pratt P.D., Rayamajhi M.B.",10499644,"Biological Control",33, 2,3,1,0,1,2,6
2005,"Impaired insulin-dependent glucose metabolism in granulosa-lutein cells from anovulatory women with polycystic ovaries","Rice S., Christoforidis N., Gadd C., Nikolaou D., Seyani L., Donaldson A., Margara R., Hardy K., Franks S.",02681161,"Human Reproduction",20, 2,10,3,7,10,5,25
2005,"Metabolic cardiovascular disease risk factors in women with self-reported symptoms of oligomenorrhea and/or hirsutism: Northern Finland birth cohort 1966 study","Taponen S., Paldanius M., Ruokonen A., Martikainen H., Jarvelin M.-R., Sovio U., Laitinen J., Pouta A., Hartikainen A.-L., McCarthy M.I., Franks S.",00297828,"Obstetrical and Gynecological Survey",60, 1,0,0,0,0,0,0
2005,"Follicle-stimulating hormone affects metaphase I chromosome alignment and increases aneuploidy in mouse oocytes matured in vitro","Roberts R., Iatropoulou A., Ciantar D., Stark J., Becker D.L., Franks S., Hardy K.",00063363,"Biology of Reproduction",72, 1,9,8,8,16,5,30
2004,"Definitions, prevalence and symptoms of polycystic ovaries and polycystic ovary syndrome","Hart R., Hickey M., Franks S.",15216934,"Best Practice and Research: Clinical Obstetrics and Gynaecology",18, 5,19,13,12,25,5,49
2004,"Multi-scale genetic analysis of Uniola paniculata (Poaceae): A coastal species with a linear, fragmented distribution","Franks S.J., Richards C.L., Gonzales E., Cousins J.E., Hamrick J.L.",00029122,"American Journal of Botany",91, 9,6,1,3,4,2,12
2004,"Energy substrate metabolism of mouse cumulus-oocyte complexes: Response to follicle-stimulating hormone is mediated by the phosphatidylinositol 3-kinase pathway and is associated with oocyte maturation","Roberts R., Stark J., Iatropoulou A., Becker D.L., Franks S., Hardy K.",00063363,"Biology of Reproduction",71, 1,4,4,6,10,3,17
2004,"Large-Scale Analysis of the Relationship between CYP11A Promoter Variation, Polycystic Ovarian Syndrome, and Serum Testosterone","Gaasenbeek M., Conway G.S., Ruokonen A., Martikainen H., Pouta A., Taponen S., Hartikainen A.-L., Halford S., Jarvelin M.-R., Franks S., McCarthy M.I., Powell B.L., Sovio U., Haddad L., Gharani N., Bennett A., Groves C.J., Rush K., Goh M.J.",0021972X,"Journal of Clinical Endocrinology and Metabolism",89, 5,12,4,8,12,3,27
2004,"Metabolic Cardiovascular Disease Risk Factors in Women with Self-Reported Symptoms of Oligomenorrhea and/or Hirsutism: Northern Finland Birth Cohort 1966 Study","Taponen S., Paldanius M., Ruokonen A., Martikainen H., Jarvelin M.-R., Sovio U., Laitinen J., Pouta A., Hartikainen A.-L., McCarthy M.I., Franks S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",89, 5,11,12,4,16,5,32
2004,"Prevalence of polycystic ovaries in women with self-reported symptoms of oligomenorrhoea and/or hirsutism: Northern Finland birth cohort 1966 study","Taponen S., King V., Franks S., McCarthy M.I., Jarvelin M.-R., Ahonkallio S., Martikainen H., Koivunen R., Ruokonen A., Sovio U., Hartikainen A.-L., Pouta A., Laitinen J.",02681161,"Human Reproduction",19, 5,8,4,10,14,2,24
2004,"Genetics of Ovarian Disorders: Polycystic Ovary Syndrome","Franks S., McCarthy M.",13899155,"Reviews in Endocrine and Metabolic Disorders",5, 1,10,3,9,12,3,25
2003,"Prevalence of polycystic ovaries in women with androgenic alopecia","Cela E., Franks S., Robertson C., Rush K., Kousta E., White D.M., Wilson H., Lyons G., Kingsley P., McCarthy M.I.",08044643,"European Journal of Endocrinology",149, 5,14,5,3,8,1,23
2003,"Formation and early development of follicles in the polycystic ovary","Webber L.J., Stubbs S., Stark J., Trew G.H., Margara R., Hardy K., Franks S.",01406736,"Lancet",362, 9389,46,21,15,36,12,94
2003,"Assessment and management of anovulatory infertility in polycystic ovary syndrome","Franks S.",08898529,"Endocrinology and Metabolism Clinics of North America",32, 3,9,4,2,6,1,16
2003,"Facilitation in multiple life-history stages: Evidence for nucleated succession in coastal dunes","Franks S.J.",13850237,"Plant Ecology",168, 1,10,4,4,8,0,18
2003,"Burial disturbance leads to facilitation among coastal dune plants","Franks S.J., Peterson C.J.",13850237,"Plant Ecology",168, 1,6,2,5,7,1,14
2003,"Body size from birth to adulthood as a predictor of self-reported polycystic ovary syndrome symptoms","Laitinen J., Franks S., Jarvelin M.R., Taponen S., Martikainen H., Pouta A., Millwood I., Hartikainen A.-L., Ruokonen A., Sovio U., McCarthy M.I.",03070565,"International Journal of Obesity",27, 6,15,7,7,14,2,31
2003,"Competitive and facilitative interactions within and between two species of coastal dune perennials","Franks S.J.",00084026,"Canadian Journal of Botany",81, 4,4,2,4,6,1,11
2003,"Delivering the power of discovery in large pharmaceutical organizations","Peakman T., Franks S., White C., Beggs M.",13596446,"Drug Discovery Today",8, 5,14,2,1,3,0,17
2003,"Gonadotrophine regimens and oocyte quality in women with polycystic ovaries","Franks S., Roberts R., Hardy K.",14726483,"Reproductive BioMedicine Online",6, 2,13,2,1,3,1,17
2003,"Hormonal profile of women with self-reported symptoms of oligomenorrhea and/or hirsutism: Northern Finland birth cohort 1966 study","Taponen S., Ruokonen A., Martikainen H., Jarvelin M.-R., Laitinen J., Pouta A., Hartikainen A.-L., Sovio U., McCarthy M.I., Franks S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",88, 1,16,3,8,11,1,28
2002,"Intraovarian insulin-like growth factor-system. Importance in polycystic ovary syndrome | Intraovarielles insulin-like growth faktor-system: Bedeutung beim polyzystischen ovarsyndrom","Seelig A.S., Schwartz P.T., Diedrich K., Ortmann O., Franks S.",00175994,"Gynakologe",35, 1,1,0,0,0,0,1
2002,"Adult polycystic ovary syndrome begins in childhood","Franks S.",1521690X,"Best Practice and Research: Clinical Endocrinology and Metabolism",16, 2,23,7,7,14,2,39
2002,"Culture environment modulates maturation and metabolism of human oocytes","Roberts R., Franks S., Hardy K.",02681161,"Human Reproduction",17, 11,11,6,5,11,7,29
2002,"Environment, lifestyle and infertility - An inter-generational issue","Sharpe R.M., Franks S.",10788956,"Nature Medicine",8, 10,26,6,6,12,3,41
2002,"Developmental origin of polycystic ovary syndrome - A hypothesis","Abbott D.H., Dumesic D.A., Franks S.",00220795,"Journal of Endocrinology",174, 1,81,15,31,46,7,134
2002,"Luteal phase progesterone excretion in ovulatory women with polycystic ovaries","Joseph-Horne R., Mason H., Batty S., White D., Hillier S., Urquhart M., Franks S.",02681161,"Human Reproduction",17, 6,6,2,3,5,2,13
2002,"Variation within the type 2 diabetes susceptibility gene calpain-10 and polycystic ovary syndrome","Haddad L., Millward A., Hattersley A.T., Conway G., Cox N.J., Bell G.I., Franks S., McCarthy M.I., Evans J.C., Gharani N., Robertson C., Rush K., Wiltshire S., Frayling T.M., Wilkin T.J., Demaine A.",0021972X,"Journal of Clinical Endocrinology and Metabolism",87, 6,24,6,5,11,4,39
2002,"Three-dimensional assessment of ultrasound features in women with clomiphene citrate-resistant polycystic ovarian syndrome (PCOS): Ovarian stromal volume does not correlate with biochemical indices","Nardo L.G., Buckett W.M., White D., Digesu A.G., Franks S., Khullar V.",02681161,"Human Reproduction",17, 4,12,4,2,6,0,18
2001,"Are women with polycystic ovary syndrome at increased risk of cardiovascular disease? Too early to be sure, but not too early to act!","Franks S.",00029343,"American Journal of Medicine",111, 8,5,2,0,2,1,8
2001,"Mathematical model of FSH-induced cAMP production in ovarian follicles","Clement F., Monniaux D., Stark J., Hardy K., Thalabard J.C., Franks S., Claude D.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",281, 1,6,2,0,2,0,8
2001,"Candidate genes in polycystic ovary syndrome","Franks S., Gharani N., McCarthy M.",13554786,"Human Reproduction Update",7, 4,58,6,4,10,1,69
2001,"The in vitro role of tumour necrosis factor-alpha and interleukin-6 in the hypothalamic-pituitary gonadal axis","Russell S.H., Small C.J., Stanley S.A., Franks S., Ghatei M.A., Bloom S.R.",09538194,"Journal of Neuroendocrinology",13, 3,10,4,4,8,1,19
2000,"Human granulosa cells are a site of sulphatase activity and are able to utilize dehydroepiandrosterone sulphate as a precursor for oestradiol production","Bonser J., Walker J., Purohit A., Reed M.J., Potter B.V.L., Willis D.S., Franks S., Mason H.D.",00220795,"Journal of Endocrinology",167, 3,10,2,0,2,2,14
2000,"In vitro maturation of oocytes","Hardy K., Wright C.S., Franks S., Winston R.M.L.",00071420,"British Medical Bulletin",56, 3,19,1,3,4,1,24
2000,"In-vitro ovarian steroidogenesis in women with pelvic congestion","Gilling-Smith C., Mason H., Willis D., Franks S., Beard R.W.",02681161,"Human Reproduction",15, 12,1,0,0,0,0,1
2000,"The prevalence of polycystic ovaries in women with a history of gestational diabetes","Kousta E., McCarthy M., Franks S., Cela E., Lawrence N., Penny A., Millauer B., White D., Wilson H., Robinson S., Johnston D.",03000664,"Clinical Endocrinology",53, 4,35,3,6,9,2,46
2000,"Pathogenesis of polycystic ovary syndrome: Evidence for a genetically determined disorder of ovarian androgen production","Franks S., Gilling-Smith C., Gharani N., McCarthy M.",14647273,"Human Fertility",3, 2,3,1,1,2,0,5
2000,"Follicular dynamics in the polycystic ovary syndrome","Franks S., Mason H., Willis D.",03037207,"Molecular and Cellular Endocrinology",163, 1-2,32,9,11,20,4,56
1999,"A new contributing factor to polycystic ovary syndrome: The genetic variant of luteinizing hormone","Tapanainen J.S., Pettersson K.S.I., Huhtaniemi I.T., Koivunen R., Fauser B.C.J.M., Taylor A.E., Clayton R.N., Rajkowa M., White D., Franks S., Anttila L.",0021972X,"Journal of Clinical Endocrinology and Metabolism",84, 5,47,2,2,4,1,52
1999,"The prevalence of polycystic ovaries in women with infertility","Kousta E., White D.M., Cela E., McCarthy M.I., Franks S.",02681161,"Human Reproduction",14, 11,32,2,2,4,4,40
1999,"Genetic abnormalities in polycystic ovary syndrome","Franks S., Gharani N., Mccarthy M.",00034266,"Annales d'Endocrinologie",60, 2,18,0,1,1,1,20
1999,"Effects of follicle-stimulating hormone and serum substitution on the in-vitro growth of human ovarian follicles","Wright C.S., Hovatta O., Margara R., Trew G., Winslon R.M.L., Franks, Hardy K.",02681161,"Human Reproduction",14, 6,63,8,14,22,7,92
1999,"Insulin action in the normal and polycystic ovary","Franks S., Gilling-Smith C., Watson H., Willis D.",08898529,"Endocrinology and Metabolism Clinics of North America",28, 2,74,11,11,22,1,97
1999,"Polycystic ovary syndrome: Evidence for a primary disorder of ovarian steroidogenesis","Franks S., Gharani N., Gilling-Smith C.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",69, 1-6,10,0,2,2,0,12
1998,"Growth hormone and ovarian function","Franks S.",0950351X,"Bailliere's Clinical Endocrinology and Metabolism",12, 2,15,1,0,1,1,17
1998,"Premature response to luteinizing hormone of granulosa cells from anovulatory women with polycystic ovary syndrome: Relevance to mechanism of anovulation","Willis D.S., Watson H., Mason H.D., Galea R., Brincat M., Franks S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",83, 11,53,11,14,25,5,83
1998,"Recombinant human luteinizing hormone (LH) to support recombinant human follicle-stimulating hormone (FSH)-induced follicular development in LH- and FSH-deficient anovulatory women: A dose-finding study","Loumaye E., Baird D., Cittadini E., Palermo R., Homburg R., Shoham Z., Insler V., Flamigni C., Porcu E., Schaison G., Bouchard P., Piazzi A., Franks S., Hull M., Jacobs H., Warne D., Kalubi M., Cox P., Lancaster S., Rotem S., Sauvage M., Ursicino G.",0021972X,"Journal of Clinical Endocrinology and Metabolism",83, 5,114,3,13,16,2,132
1998,"Potent inhibition of human ovarian steroidogenesis by insulin-like growth factor binding protein-4 (IGFBP-4)","Mason H.D., Cwyfan-Hughes S., Holly J.M.P., Franks S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",83, 1,36,0,2,2,1,39
1998,"Developmentally regulated responses of human granulosa cells to insulin- like growth factors (IGFs):IGF-I and IGF-II action mediated via the type-I IGF receptor","Willis D.S., Mason H.D., Watson H., Franks S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",83, 4,18,2,0,2,0,20
1998,"Genetics of polycystic ovary syndrome","Franks S., Gharani N., Waterworth D., Batty S., White D., Williamson R., McCarthy M.",03037207,"Molecular and Cellular Endocrinology",145, 1-2,25,0,2,2,2,29
1998,"Regulation of epidermal growth factor receptor by androgens in human endometrial cells in culture","Watson H., Franks S., Bonney R.C.",02681161,"Human Reproduction",13, 9,16,1,2,3,0,19
