,"This is a citation overview for a set of 37 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 12 (Of the 37 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,453,75,92,63,230,0,683
2009,"Endometriosis is a risk factor for spontaneous hemoperitoneum during pregnancy","Brosens I.A., Fusi L., Brosens J.J.",00150282,"Fertility and Sterility",, ,0,0,0,0,0,0,0
2008,"Inhibition of steroid sulfatase activity in endometriotic implants by STX64 (667Coumate): A potential new therapy","Fusi L., Purohit A., Brosens J., Woo L.W.L., Potter B.V.L., Reed M.J.",1537744X,"TheScientificWorldJournal",8, ,0,0,0,0,0,0,0
2008,"The androgen and progesterone receptors regulate distinct gene networks and cellular functions in decidualizing endometrium","Cloke B., Trew G., Kim J.J., Lam E.W.-F., Cartwright J.E., Poutanen M., Brosens J.J., Huhtinen K., Fusi L., Kajihara T., Yliheikkila M., Ho K.-K., Teklenburg G., Lavery S., Jones M.C.",00137227,"Endocrinology",149, 9,0,0,0,3,3,0,3
2008,"Uterine adenomyosis: A need for uniform terminology and consensus classification","Brosens J.J., Fusi L., Benagiano G., Brosens I.",14726483,"Reproductive BioMedicine Online",17, 2,0,0,0,1,1,0,1
2008,"Inhibition of steroid sulphatase activity in endometriotic implants by 667 COUMATE: A potential new therapy","Purohit A., Fusi L., Brosens J., Woo L.W.L., Potter B.V.L., Reed M.J.",02681161,"Human Reproduction",23, 2,0,0,3,4,7,0,7
2008,"Mechanism and functional consequences of loss of FOXO1 expression in endometrioid endometrial cancer cells","Goto T., Sajin M., Dina R.E., Ishihara O., Takeda S., Lam E.W.-F., Bamberger A.M., Ghaem-Maghami S., Brosens J.J., Takano M., Albergaria A., Briese J., Pomeranz K.M., Cloke B., Fusi L., Feroze-Zaidi F., Maywald N.",09509232,"Oncogene",27, 1,0,0,5,2,7,0,7
2007,"Transcriptional cross talk between the forkhead transcription factor forkhead box O1A and the progesterone receptor coordinates cell cycle regulation and differentiation in human endometrial stromal cells","Takano M., Stavropoulou A.V., Ishihara O., Lam E.W.-F., Unterman T.G., Brosens J.J., Kim J.J., Lu Z., Goto T., Fusi L., Higham J., Francis J., Withey A., Hardt J., Cloke B.",08888809,"Molecular Endocrinology",21, 10,0,0,4,1,5,0,5
2007,"Role and regulation of the serum- and glucocorticoid-regulated kinase 1 in fertile and infertile human endometrium","Feroze-Zaidi F., Palmada M., Kamps R., Groothuis P.G., Lam E.W.-F., Smith S.K., Lang F., Sharkey A.M., Brosens J.J., Fusi L., Takano M., Higham J., Salker M.S., Goto T., Edassery S., Klingel K., Boini K.M.",00137227,"Endocrinology",148, 10,0,0,2,3,5,0,5
2006,"Regulation of the SUMO pathway sensitizes differentiating human endometrial stromal cells to progesterone","Jones M.C., Fusi L., Higham J.H., Abdel-Hafiz H., Horwitz K.B., Lam E.W.-F., Brosens J.J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 44,0,6,5,4,15,0,15
2006,"Differential expression of FOXO1 and FOXO3a confers resistance to oxidative cell death upon endometrial decidualization","Kajihara T., Lam E.W.-F., Brosens J.J., Jones M., Fusi L., Takano M., Feroze-Zaidi F., Pirianov G., Mehmet H., Ishihara O., Higham J.M.",08888809,"Molecular Endocrinology",20, 10,1,7,8,6,21,0,22
2006,"The uterine junctional zone","Fusi L., Cloke B., Brosens J.J.",15216934,"Best Practice and Research: Clinical Obstetrics and Gynaecology",20, 4,0,1,2,5,8,0,8
2006,"Progestins regulate the expression and activity of the Forkhead transcription factor FOXO1 in differentiating human endometrium","Labied S., Essafi A., De Mattos S.F., Lam E.W.-F., Brosens J.J., Kajihara T., Madureira P.A., Fusi L., Jones M.C., Higham J.M., Varshochi R., Francis J.M., Zoumpoulidou G.",08888809,"Molecular Endocrinology",20, 1,6,5,7,5,17,0,23
2004,"Convergence of interferon-? and progesterone signaling pathways in human endometrium: Role of PIASy (protein inhibitor of activated signal transducer and activator of transcription-y)","Zoumpoulidou G., Brosens J.J., Jones M.C., Fernandez De Mattos S., Francis J.M., Fusi L., Yun S.L., Christian M., Varshochi R., Lam E.W.-F.",08888809,"Molecular Endocrinology",18, 8,6,4,4,1,9,0,15
2003,"A randomised trial of timed delivery for the compromised preterm fetus: Short term outcomes and bayesian interpretation","Van Bulck B., Tenore A.C., Roncaglia N., Frusca T., Groningen A.Z., Weinans M.J.N., Leiden A.Z., Van Roosmalen J., De Heel, Zaandam, Van der Slikke J.W., Kalakoutis G.M., Van Geijn H., Pernet P.J.M., Wolf H., Utrecht A.Z., Stigter R.H., Wilczynski J., Vasco E., Rashid M., Novak-Antolic Z., Danielian P., Sak P., Jenkinson S.D., Welch C.R., Griffin C., Gee H., Tuffnell D., Cresswell J., Tariq T., Sengupta B., Tydeman G., Kumarendran M.K., Schneider K.T.M., Churchill D., Bewley S., Fusi L., Lindow S.W., Johal W., Fairlie F.M., Neales K., Thornton J.G., Scudamore I., Konje J., Major T., Walkinshaw S.A., Griffiths M., Dawson A., Mires G., Johanson R., Fraser R.B., Hendy Ibbs P., Steel S.A., Ramsay M., Robins J.B., Karpathios S.E., Heard M.J., Tonge H.M., Manyonda I.T., Walker J., Maresh M., Yoong A., Soothill P., Cameron H., Byrne D., Beattie B., Todros T., Bober S., Felber B., Isaac E., Liddle L., McGhee T., Rowsell P., Howie P., Field D., Levene M., Lilford R.J., Arduini D., Grant A., Steer P., Breart G., Torgeson D., Hornbuckle J., Vail A., Spiegelhalter D., Tranquilli A.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",110, 1,0,0,0,0,0,0,0
2002,"Aromatase P450 messenger RNA expression in eutopic endometrium is not a specific marker for pelvic endometriosis","Dheenadayalu K., Brosens J., Mak I., Gordts S., Campo R., Higham J., Puttemans P., White J., Christian M., Fusi L.",00150282,"Fertility and Sterility",78, 4,16,2,2,1,5,0,21
2002,"Magnetic resonance imaging in preeclampsia and eclampsia complicated by visual disturbance and other neurological abnormalities","Holdcroft A., Oatridge A., Fusi L., Hajnal J.V., Saeed N., Bydder G.M.",0959289X,"International Journal of Obstetric Anesthesia",11, 4,1,0,0,0,0,0,1
2002,"Change in brain size during and after pregnancy: Study in healthy women and women with preeclampsia","Oatridge A., Holdcroft A., Saeed N., Hajnal J.V., Puri B.K., Fusi L., Bydder G.M.",01956108,"American Journal of Neuroradiology",23, 1,10,1,2,3,6,0,16
2001,"The oxytocin antagonist atosiban versus the ?-agonist terbutaline in the treatment of preterm labor. A randomized, double-blind, controlled study","Marsal K., Owen E., Fisk N.M., Calder A.A., Cameron A.D., Elder M.G., Fusi L., Greer I.A., Lamont R.F., Mason G.C.",00016349,"Acta Obstetricia et Gynecologica Scandinavica",80, 5,26,6,5,2,13,0,39
2001,"Association of maternal endothelial dysfunction with preeclampsia","Chambers J.C., Fusi L., Malik I.S., Haskard D.O., De Swiet M., Kooner J.S.",00987484,"Journal of the American Medical Association",285, 12,78,19,18,16,53,0,131
1999,"Endothelial dysfunction may be an early manifestation of future vascular disease in women with a previous episode of pre-eclampsia","Chambers J., Rowley M., De Swiet M., Fusi L., Kooner J.S.",13556037,"Heart",81, 1,0,0,0,0,0,0,0
1995,"Correlation between umbilical arterial flow and placental morphology","Kreczy A., Fusi L., Wigglesworth J.S.",02771691,"International Journal of Gynecological Pathology",14, 4,7,0,0,1,1,0,8
1994,"Hemiplegia in pregnancy due to metastatic cerebral angiosarcoma [5]","Chaudhuri K.R., Jager R., Bridger J., Fusi L., Thomas D.G.T., Frackowiak R.S.J.",00143022,"European Neurology",34, 5,4,0,0,0,0,0,4
1992,"Antenatal ultrasound diagnosis in early amnion rupture","Scott R.J., Fusi L.",01443615,"Journal of Obstetrics and Gynaecology",12, 6,0,0,0,0,0,0,0
1992,"Prospective modulation of platelet function and volumes by aspirin and dipyridamole in an at-risk pregnancy","Sullivan M.H.F., Fusi L., Brosens J., Elder M.G.",03065456,"British Journal of Obstetrics and Gynaecology",99, 1,1,0,0,0,0,0,1
