,"Authors: Gabra, Hani O S; Gabra, Hany O S",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 51 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,689,127,155,282,132,1103
2009,"Promising molecular targets in ovarian cancer","Blagden S., Gabra H.",10408746,"Current Opinion in Oncology",21, 5,0,0,0,0,0,0
2009,"Aortopexy for persistent tracheal obstruction after double aortic arch repair","Fraga J.C., Calkoen E.E., Gabra H.O.S., McLaren C.A., Roebuck D.J., Elliott M.J.",00223468,"Journal of Pediatric Surgery",44, 7,0,0,0,0,0,0
2009,"WWOX gene expression abolishes ovarian cancer tumorigenicity in vivo and decreases attachment to fibronectin via integrin ?3","Gourley C., Muir M., Smyth J.F., Gabra H., Paige A.J.W., Taylor K.J., Ward C., Kuske B., Zhang J., Sun M., Janczar S., Harrison D.J.",00085472,"Cancer Research",69, 11,0,0,0,0,0,0
2009,"PPM1D is a potential therapeutic target in ovarian clear cell carcinomas","Tan D.S.P., Parry S., Fenwick K., Tamber N., Mackay A., Dexter T., Jameson C., McCluggage W.G., Williams A., Graham A., Faratian D., Lambros M.B.K., El-Bahrawy M., Paige A.J., Gabra H., Gore M.E., Zvelebil M., Lord C.J., Kaye S.B., Ashworth A., Reis-Filho J.S., Rayter S., Natrajan R., Vatcheva R., Gao Q., Marchio C., Geyer F.C., Savage K.",10780432,"Clinical Cancer Research",15, 7,0,0,0,0,0,0
2009,"Extended weekly dose-dense paclitaxel/carboplatin is feasible and active in heavily pre-treated platinum-resistant recurrent ovarian cancer","Sharma R., Graham J., Mitchell H., Brooks A., Blagden S., Gabra H.",00070920,"British Journal of Cancer",100, 5,0,0,0,0,0,0
2009,"Long segment congenital tracheal stenosis in twins successfully treated by slide tracheoplasty","Fraga J.C., Gabra H.O.S., Calkoen E.E., McLaren C.A., Roebuck D.J., Elliott M.J.",00223468,"Journal of Pediatric Surgery",44, 3,0,0,0,0,0,0
2008,"A phase Ib trial of docetaxel, carboplatin and erlotinib in ovarian, fallopian tube and primary peritoneal cancers","Vasey P.A., Kaye S., Gore M., Wilson R., Rustin G., Gabra H., Guastalla J.-P., Lauraine E.P., Paul J., Carty K.",00070920,"British Journal of Cancer",98, 11,0,0,1,1,5,6
2008,"Future directions in the management of epithelial ovarian cancer","Blagden S., Gabra H.",14796694,"Future Oncology",4, 3,0,0,0,0,1,1
2008,"Endometrioid epithelial ovarian cancer: 20 years of prospectively collected data from a single center","Storey D.J., Rush R., Stewart M., Rye T., Al-Nafussi A., Williams A.R., Smyth J.F., Gabra H.",0008543X,"Cancer",112, 10,0,0,1,1,1,2
2008,"Homozygous deletions may be markers of nearby heterozygous mutations: The complex deletion at FRA16D in the HCT116 colon cancer cell line removes exons of WWOX","Alsop A.E., Taylor K., Zhang J., Gabra H., Paige A.J.W., Edwards P.A.W.",10452257,"Genes Chromosomes and Cancer",47, 5,0,0,1,1,2,3
2008,"Patterns of expression of retinoic acid receptor beta 2 (RAR-?2)-LacZ reporter gene in the embryonic foregut","Gabra H.O.S., Marven S., Ward S.J.",01790358,"Pediatric Surgery International",24, 2,0,0,0,0,0,0
2008,"Evaluation of an inflammation-based prognostic score in patients with advanced ovarian cancer","Sharma R., Hook J., Kumar M., Gabra H.",09598049,"European Journal of Cancer",44, 2,0,0,3,3,2,5
2007,"Midgut malrotation and associated Hirschsprung's disease: A diagnostic dilemma","Gabra H.O.S., Stewart R.J., Nour S.",01790358,"Pediatric Surgery International",23, 7,0,0,0,0,0,0
2007,"Antiestrogen therapy is active in selected ovarian cancer cases: The use of letrozole in estrogen receptor-positive patients","Smyth J.F., Stewart M., McCurdy J., Mano M., Reed N., McMahon T., Vasey P., Gabra H., Langdon S.P., Gourley C., Walker G., MacKean M.J., Stevenson A., Williams A.R.W., Al Nafussi A., Rye T., Rye R.",10780432,"Clinical Cancer Research",13, 12,0,2,4,6,7,13
2007,"Expression of eEF1A2 is associated with clear cell histology in ovarian carcinomas: Overexpression of the gene is not dependent on modifications at the EEF1A2 locus","Tomlinson V.A.L., Williams A.R.W., Abbott C.M., Newbery H.J., Bergmann J.H., Boyd J., Scott D., Wray N.R., Sellar G.C., Gabra H., Graham A.",00070920,"British Journal of Cancer",96, 10,0,0,3,3,2,5
2007,"In vitro effects of adriamycin: A dose-response study","Gabra H.O.S., Bankart J., Marven S., Ward S.J.",01790358,"Pediatric Surgery International",23, 5,0,0,0,0,0,0
2007,"p53 therapy in a patient with Li-Fraumeni syndrome","Senzer N., Zumstein L.A., Menander K.B., Sobol R.E., Chada S., Nemunaitis J., Nemunaitis M., Lamont J., Gore M., Gabra H., Eeles R., Sodha N., Lynch F.J.",15357163,"Molecular Cancer Therapeutics",6, 5,0,2,4,6,3,9
2006,"Drug-induced exacerbation of glomus tumour pain.","Daghir A., Anand P., Gabra H., Elliot D.",02667681,"Journal of hand surgery (Edinburgh, Lothian)",31, 6,0,0,0,0,0,0
2006,"Letter to the Editor","Daghir A., Anand P., Gabra H., Elliot D.",02667681,"Journal of Hand Surgery",31, 6,0,0,0,0,0,0
2006,"Sacrococcygeal teratoma-a 25-year experience in a UK regional center","Gabra H.O., Jesudason E.C., McDowell H.P., Pizer B.L., Losty P.D.",00223468,"Journal of Pediatric Surgery",41, 9,0,1,3,4,3,7
2006,"10th Biennial Helene Harris Memorial Trust Meeting","Balkwill F.R., Jacobs I.J., Kaye S.B., Kohn E.C., Mills G.B., Urban N.D., Ashworth A., Bast R.C., Berek J.S., Boyd J., Disis M.L., Gabra H., Gore M.E., Hamilton T.C.",00085472,"Cancer Research",66, 6,0,0,0,0,0,0
2005,"Ovarian carcinomas: CCN genes are aberrantly expressed and CCN1 promotes proliferation of these cells","Gery S., Said J.W., Koeffler H.P., Xie D., Yin D., Gabra H., Miller C., Wang H., Scott D., Yi W.S., Popoviciu M.L.",10780432,"Clinical Cancer Research",11, 20,1,2,3,5,4,10
