,"Author: Gavins, Felicity N E",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 9 (Of the 18 documents considered for the h-Index, 9 have been cited at least 9 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,291,83,59,142,32,465
2008,"Annexin A1 and the formyl peptide receptor family: neuroendocrine and metabolic aspects","John C.D., Gavins F.N., Buss N.A., Cover P.O., Buckingham J.C.",14714892,"Current Opinion in Pharmacology",8, 6,0,0,0,0,1,1
2008,"Inflamed phenotype of the mesenteric microcirculation of melanocortin type 3 receptor-null mice after ischemia-reperfusion","Leoni G., Patel H.B., Sampaio A.L.F., Gavins F.N.E., Murray J.F., Grieco P., Getting S.J., Perretti M.",08926638,"FASEB Journal",22, 12,0,0,0,0,0,0
2008,"Annexin A1 in the brain - undiscovered roles?","Solito E., McArthur S., Christian H., Gavins F., Buckingham J.C., Gillies G.E.",01656147,"Trends in Pharmacological Sciences",29, 3,0,0,0,0,0,0
2007,"The evolving paradigm for blood cell-endothelial cell interactions in the cerebral microcirculation","Gavins F., Yilmaz G., Granger D.N.",10739688,"Microcirculation",14, 7,0,0,2,2,4,6
2007,"Activation of the annexin 1 counter-regulatory circuit affords protection in the mouse brain microcirculation","Gavins F.N.E., Dalli J., Flower R.J., Granger D.N., Perretti M.",08926638,"FASEB Journal",21, 8,0,2,5,7,1,8
2007,"Stem/progenitor cell-like properties of desmoglein 3dim cells in primary and immortalized keratinocyte lines","Wan H., Hart I.R., Yuan M., Simpson C., Allen K., Gavins F.N.E., Ikram M.S., Basu S., Baksh N., O'Toole E.A.",10665099,"Stem Cells",25, 5,0,0,1,1,1,2
2006,"[D-Trp8]-?-melanocyte-stimulating hormone exhibits anti-inflammatory efficacy in mice bearing a nonfunctional MC1R (recessive yellow e/e mouse)","Getting S.J., Lam C.W., Leoni G., Gavins F.N.E., Grieco P., Perretti M.",0026895X,"Molecular Pharmacology",70, 6,0,0,1,1,0,1
2006,"Annexin 1 and melanocortin peptide therapy for protection against ischaemic-reperfusion damage in the heart","Gavins F.N.E., Leoni G., Getting S.J.",1537744X,"TheScientificWorldJournal",6, ,0,0,0,0,0,0
2005,"A twist in anti-inflammation: Annexin 1 acts via the lipoxin A4 receptor","Gavins F.N.E., Sawmynaden P., Chatterjee B.E., Perretti M.",09523278,"Prostaglandins Leukotrienes and Essential Fatty Acids",73, 3-4,2,6,1,7,0,9
2005,"Formyl-peptide receptor is not involved in the protection afforded by annexin 1 in murine acute myocardial infarct","Gavins F.N.E., Kamal A.M., D'Amico M., Oliani S.M., Perretti M.",08926638,"FASEB Journal",19, 1,7,4,4,8,2,17
2004,"Intravital microscopy for the study of mouse microcirculation in anti-inflammatory drug research: Focus on the mesentery and cremaster preparations","Gavins F.N.E., Chatterjee B.E.",10568719,"Journal of Pharmacological and Toxicological Methods",49, 1,6,2,2,4,2,12
2003,"Leukocyte antiadhesive actions of annexin 1: ALXR- and FPR-related anti-inflammatory mechanisms","Gavins F.N.E., Yona S., Kamal A.M., Flower R.J., Perretti M.",00064971,"Blood",101, 10,45,13,7,20,6,71
2003,"Annexin 1: An endogenous anti-inflammatory protein","Perretti M., Gavins F.N.E.",08861714,"News in Physiological Sciences",18, 2,30,10,6,16,0,46
2003,"Redundancy of a functional melanocortin 1 receptor in the anti-inflammatory actions of melanocortin peptides: Studies in the recessive yellow (e/e) mouse suggest an important role for melanocortin 3 receptor","Getting S.J., Christian H.C., Lam C.W., Gavins F.N.E., Flower R.J., Schioth H.B., Perretti M.",00221767,"Journal of Immunology",170, 6,25,5,4,9,2,36
2003,"Aberrant inflammation and resistance to glucocorticoids in annexin 1-/- mouse.","Hannon R., Buckingham J.C., Flower R.J., Croxtall J.D., Getting S.J., Roviezzo F., Yona S., Paul-Clark M.J., Gavins F.N., Perretti M., Morris J.F.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",17, 2,55,16,13,29,4,88
2002,"The annexin-1 knockout mouse: What it tells us about the inflammatory response","Roviezzo F., Flower R.J., Getting S.J., Paul-Clark M.J., Yona S., Gavins F.N.E., Perretti M., Hannon R., Croxtall J.D., Buckingham J.C.",08675910,"Journal of Physiology and Pharmacology",53, 4 I,26,8,3,11,2,39
2001,"Annexin 1 peptides protect against experimental myocardial ischemia-reperfusion: Analysis of their mechanism of action","La M., D'Amico M., Bandiera S., Filippo C.D.I., Oliani S.M., Gavins F.N.E., Flower R.J., Perretti M.",08926638,"FASEB Journal",15, 12,29,5,0,5,1,35
2001,"The use of lymphocyte function-associated antigen (LFA)-1-deficient mice to determine the role of LFA-1, Mac-1, and ?4 integrin in the inflammatory response of neutrophils","Henderson R.B., Lim L.H.K., Tessier P.A., Gavins F.N.E., Mathies M., Perretti M., Hogg N.",00221007,"Journal of Experimental Medicine",194, 2,66,12,10,22,6,94
