,"This is a citation overview for a set of 124 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 25 (Of the 124 documents considered for the h-Index, 25 have been cited at least 25 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1569,258,215,473,116,2158
2009,"Reply","Kakkos S.K., Sabetai M., Tegos T., Stevens J., Thomas D., Griffin M., Geroulakos G., Nicolaides A.N.",07415214,"Journal of Vascular Surgery",50, 3,0,0,0,0,0,0
2009,"Silent embolic infarcts on computed tomography brain scans and risk of ipsilateral hemispheric events in patients with asymptomatic internal carotid artery stenosis","Kakkos S.K., Sabetai M., Tegos T., Stevens J., Thomas D., Griffin M., Geroulakos G., Nicolaides A.N.",07415214,"Journal of Vascular Surgery",49, 4,0,0,0,0,3,3
2009,"Combined Intermittent Pneumatic Leg Compression and Pharmacological Prophylaxis for Prevention of Venous Thrombo-Embolism in High-Risk Patients","Kakkos S.K., Caprini J.A., Geroulakos G., Nicolaides A.N., Stansby G.P., Reddy D.J.",10785884,"European Journal of Vascular and Endovascular Surgery",37, 3,0,0,0,0,1,1
2009,"Debranching of the aorta produces thrombosis of the false lumen in selected cases of chronic type A aortic dissection","Geroulakos G., Zambas N.",03929590,"International Angiology",28, 1,0,0,0,0,1,1
2009,"Crossectomy and foam: Has it got a role in the contemporary management of primary varicose veins?","Geroulakos G., Davies A.H.",02683555,"Phlebology",24, 1,0,0,0,0,0,0
2008,"Combined intermittent pneumatic leg compression and pharmacological prophylaxis for prevention of venous thromboembolism in high-risk patients.","Kakkos S.K., Caprini J.A., Geroulakos G., Nicolaides A.N., Stansby G.P., Reddy D.J.",1469493X,"Cochrane database of systematic reviews (Online)",, 4,0,0,0,0,0,0
2008,"Combined intermittent pneumatic leg compression and pharmacological prophylaxis for prevention of venous thromboembolism in high-risk patients","Kakkos S.K., Caprini J.A., Geroulakos G., Nicolaides A.N., Stansby G.P., Reddy D.J.",1469493X,"Cochrane Database of Systematic Reviews",, 4,0,0,0,0,2,2
2008,"Association between ankle-brachial index and risk factor profile in patients newly diagnosed with intermittent claudication","Daskalopoulou S.S., Pathmarajah M., Kakkos S.K., Daskalopoulos M.E., Holloway P.A.H., Mikhailidis D.P., Mayo N.E., Geroulakos G.",13469843,"Circulation Journal",72, 3,0,0,2,2,2,4
2008,"Management of chronic venous disorders of the lower limbs guidelines according to scientific evidence","Nicolaides A.N., Fassiadis N., Georgiou N., Geroulakos G., Hoffmann U., Jantet G., Jawien A., Kakkos S., Kalodiki E., Labropoulos N., Neglen P., Allegra C., Pappas P., Partsch H., Perrin M., Rabe E., Ramelet A.A., Vayssairat M., Ioannidou E., Taft A., Bergan J., Bradbury A., Cairols M., Carpentier P., Comerota A., Delis C., Eklof B.",03929590,"International Angiology",27, 1,0,0,4,4,6,10
2008,"Lymphoedema","Geroulakos G., Robless P., Lim J.",02639319,"Surgery",26, 1,0,0,0,0,0,0
2007,"Comparison of three intermittent pneumatic compression systems in patients with varicose veins: A hemodynamic study","Griffin M., Kakkos S.K., Geroulakos G., Nicolaides A.N.",03929590,"International Angiology",26, 2,0,0,1,1,0,1
2007,"Texture Analysis of Ultrasonic Images of Symptomatic Carotid Plaques can Identify Those Plaques Associated with Ipsilateral Embolic Brain Infarction","Kakkos S.K., Stevens J.M., Nicolaides A.N., Kyriacou E., Pattichis C.S., Geroulakos G., Thomas D.",10785884,"European Journal of Vascular and Endovascular Surgery",33, 4,0,1,4,5,2,7
2007,"Immediate Hemodynamic Effect of the Additional Use of the SCD EXPRESS? Compression System in Patients with Venous Ulcers Treated with the Four-layer Compression Bandaging System","Kalodiki E., Ellis M., Kakkos S.K., Williams A., Davies A.H., Geroulakos G.",10785884,"European Journal of Vascular and Endovascular Surgery",33, 4,0,1,3,4,0,4
2007,"Pharmacological treatment of chronic venous disorders","Perrin M., Geroulakos G.",12860107,"Phlebolymphology",14, 1,0,0,0,0,1,1
2006,"Trichophyia and hypertrichosis: A side effect of foam sclerotherapy","Kalodiki E., Azzam M., Geroulakos G.",07415214,"Journal of Vascular Surgery",44, 6,0,0,0,0,0,0
2006,"Review on the value of graduated elastic compression stockings after deep vein thrombosis","Kakkos S.K., Daskalopoulou S.S., Daskalopoulos M.E., Nicolaides A.N., Geroulakos G.",03406245,"Thrombosis and Haemostasis",96, 4,0,4,7,11,1,12
2006,"Foam sclerotherapy for the management of varicose veins: A critical reappraisal","Geroulakos G.",12860107,"Phlebolymphology",13, 4,0,0,0,0,0,0
2006,"Effectiveness and safety of ultrasound-guided foam sclerotherapy for recurrent varicose veins: Immediate results","Kakkos S.K., Bountouroglou D.G., Azzam M., Kalodiki E., Daskalopoulos M., Geroulakos G.",15266028,"Journal of Endovascular Therapy",13, 3,1,7,11,18,2,21
2006,"Severity of asymptomatic carotid stenosis and risk of ipsilateral hemispheric ischaemic events: Results from the ACSRS study. Nicolaides et al.: EJVES 2005; 30: 275-284 [1]","Nicolaides A.N., Kakkos S., Griffin M., Geroulakos G., Ioannidou E.",10785884,"European Journal of Vascular and Endovascular Surgery",31, 3,0,0,3,3,0,3
2006,"Effect of zooming on texture features of ultrasonic images","Kakkos S.K., Nicolaides A.N., Kyriacou E., Pattichis C.S., Geroulakos G.",14767120,"Cardiovascular Ultrasound",4, ,1,1,1,2,2,5
2006,"Warfarin-induced skin necrosis: A case report","Abdul-Jabar H.B., Geroulakos G., Philpott N., Fareed J.",10760296,"Clinical and Applied Thrombosis/Hemostasis",12, 1,0,0,0,0,1,1
2006,"Ultrasound-guided foam sclerotherapy combined with sapheno-femoral ligation compared to surgical treatment of varicose veins: Early results of a randomised controlled trial","Bountouroglou D.G., Azzam M., Kakkos S.K., Pathmarajah M., Young P., Geroulakos G.",10785884,"European Journal of Vascular and Endovascular Surgery",31, 1,5,17,9,26,8,39
2005,"Comparison of two intermittent pneumatic compression systems. A hemodynamic study","Kakkos S.K., Nicolaides A.N., Griffin M., Geroulakos G.",03929590,"International Angiology",24, 4,0,2,3,5,0,5
