,"This is a citation overview for a set of 252 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 34 (Of the 252 documents considered for the h-Index, 34 have been cited at least 34 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2935,423,512,935,309,4179
2009,"Diurnal pattern of cortisol output in postnatal depression","Taylor A., Glover V., Marks M., Kammerer M.",03064530,"Psychoneuroendocrinology",34, 8,0,0,0,0,0,0
2009,"Symptoms associated with the DSM IV diagnosis of depression in pregnancy and post partum","Kammerer M., Marks M.N., Pinard C., Taylor A., Von Castelberg B., Kunzli H., Glover V.",14341816,"Archives of Women's Mental Health",12, 3,0,0,0,0,0,0
2009,"Association between maternal and amniotic fluid cortisol is moderated by maternal anxiety","Glover V., Bergman K., Sarkar P., O'Connor T.G.",03064530,"Psychoneuroendocrinology",34, 3,0,0,0,0,2,2
2008,"The effect of short-term administration of (-)-deprenyl and isatin on the expressions of some genes in the mouse brain cortex","Fedchenko V., Globa A., Kaloshin A., Kapitsa I., Nerobkova L., Val'dman E., Buneeva O., Glover V., Medvedev A.",12341010,"Medical Science Monitor",14, 12,0,0,0,0,1,1
2008,"Isatin causes a rapid accumulation of ATP in synaptosomes: Implication for stress and regulation of natriuretic peptide receptors","Globa A.G., Glover V., Medvedev A.E.",19907508,"Biochemistry (Moscow) Supplement Series B: Biomedical Chemistry",2, 4,0,0,0,0,0,0
2008,"Isatin causes a rapid accumulation of ATP in synaptosomes: Implication for stress and regulation of natriuretic peptide receptors","Globa A.G., Glover V., Medvedev A.E.",00428809,"Biomeditsinskaya Khimiya",54, 4,0,0,0,0,0,0
2008,"Quality of child-parent attachment moderates the impact of antenatal stress on child fearfulness","Bergman K., Sarkar P., Glover V., O'Connor T.G.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",49, 10,0,0,0,0,1,1
2008,"Postnatal depression and mother and infant outcomes after infant massage","OHiggins M., St. James Roberts I., Glover V.",01650327,"Journal of Affective Disorders",109, 1-2,0,0,0,0,3,3
2008,"Maternal antenatal anxiety and amniotic fluid cortisol and testosterone: Possible implications for foetal programming","Sarkar P., Bergman K., O'Connor T.G., Glover V.",09538194,"Journal of Neuroendocrinology",20, 4,0,0,0,0,2,2
2007,"Endogenous oxidized indoles share inhibitory potency against [3H]isatin binding in rat brain.","Crumeyrolle-Arias M., Medvedev A., Cardona A., Tournaire M.C., Glover V.",03036995,"Journal of neural transmission. Supplementum",, 72,0,0,0,0,0,0
