,"Author: Gnani, Shamini",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 4 (Of the 7 documents considered for the h-Index, 4 have been cited at least 4 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,22,10,8,18,3,43
2008,"A London view","Gnani S.",17571472,"London Journal of Primary Care",, 1,0,0,0,0,0,0
2008,"Association between quality of primary care and hospitalization for coronary heart disease in England: National cross-sectional study","Bottle A., Gnani S., Saxena S., Aylin P., Mainous III A.G., Majeed A.",08848734,"Journal of General Internal Medicine",23, 2,0,0,1,1,0,1
2004,"Questioning the claims from Kaiser","Talbot-Smith A., Gnani S., Pollock A.M., Pereira Gray D.",09601643,"British Journal of General Practice",54, 503,9,4,1,5,0,14
2004,"Prospective validity of measuring angina severity with Canadian Cardiovascular Society Class: The ACRE study","Hemingway H., Fitzpatrick N.K., Gnani S., Feder G., Walker N., Crook A.M., Magee P., Timmis A.",0828282X,"Canadian Journal of Cardiology",20, 3,5,4,4,8,3,16
2004,"Managing heart failure in primary care: First steps in implementing the National Service Framework","Gnani S., Gray J., Khunti K., Majeed A.",17413842,"Journal of Public Health",26, 1,3,0,1,1,0,4
2003,"The new GMS contract - A trojan horse?","Gnani S., Pollock A.M.",09601643,"British Journal of General Practice",53, 490,3,1,0,1,0,4
2003,"Primary care in the United States: Profiling performance in primary care in the United States","Goldfield N., Gnani S., Majeed A.",09598146,"British Medical Journal",326, 7392,2,1,1,2,0,4
