,"This is a citation overview for a set of 142 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 29 (Of the 142 documents considered for the h-Index, 29 have been cited at least 29 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2618,422,451,873,267,3758
2009,"Visible and near infrared autofluorescence and hyperspectral imaging spectroscopy for the investigation of colorectal lesions and detection of exogenous fluorophores","Koh K.R., Wood T.C., Goldin R.D., Yang G.-Z., Elson D.S.",0277786X,"Proceedings of SPIE - The International Society for Optical Engineering",7169, ,0,0,0,0,0,0
2009,"A missense mutation in the non-neural G-protein ?-subunit isoforms modulates susceptibility to obesity","Kelly M.L., Peters J., Cox R.D., Moir L., Jones L., Whitehill E., Anstee Q.M., Goldin R.D., Hough A., Cheeseman M., Jansson J.-O.",03070565,"International Journal of Obesity",33, 5,0,0,0,0,0,0
2009,"Phenotyping murine models of non-alcoholic fatty liver disease through metabolic profiling of intact liver tissue","Cobbold J.F.L., Cox R.D., Taylor-Robinson S.D., Cox I.J., Anstee Q.M., Goldin R.D., Williams H.R.T., Matthews H.C., North B.V., Absalom N., Thomas H.C., Thursz M.R.",01435221,"Clinical Science",116, 5,0,0,0,0,1,1
2009,"Parenchymal Extinction: Coagulation and Hepatic Fibrogenesis","Anstee Q.M., Wright M., Goldin R., Thursz M.R.",10893261,"Clinics in Liver Disease",13, 1,0,0,0,0,0,0
2008,"Using terahertz pulsed imaging (TPI) to identify colonic pathology","Reese G., Reid C., Goldin R., Tran-Dang M.-A., Fitzgerald A., Tekkis P., Wallace V.P.",,"33rd International Conference on Infrared and Millimeter Waves and the 16th International Conference on Terahertz Electronics, 2008, IRMMW-THz 2008",, ,0,0,0,0,0,0
2008,"NICE guidelines and a treatment algorithm for the management of chronic hepatitis B: A review of 12 years experience in west London","Kennedy P.T.F., Smith B., Brown A., Thomas H.C., Lee H.C., Jeyalingam L., Malik R., Karayiannis P., Muir D., Main J., Thursz M., Goldin R.",13596535,"Antiviral Therapy",13, 8,0,0,0,0,0,0
2008,"Treatment of primary rectal squamous cell carcinoma by primary chemoradiotherapy: Should surgery still be considered a standard of care?","Clark J., Cleator S., Goldin R., Lowdell C., Darzi A., Ziprin P.",09598049,"European Journal of Cancer",44, 16,0,0,0,0,0,0
2008,"Effect of a thrombin receptor (protease-activated receptor 1, PAR-1) gene polymorphism in chronic hepatitis C liver fibrosis","Martinelli A., Knapp S., Anstee Q., Worku M., Tommasi A., Zucoloto S., Goldin R., Thursz M.",08159319,"Journal of Gastroenterology and Hepatology",23, 9,0,0,0,0,1,1
2008,"Coagulation status modulates murine hepatic fibrogenesis: Implications for the development of novel therapies","Anstee Q.M., Goldin R.D., Wright M., Martinelli A., Cox R., Thursz M.R.",15387933,"Journal of Thrombosis and Haemostasis",6, 8,0,0,1,1,1,2
2008,"Characterization of materials eliciting foreign body reaction in stapled human gastrointestinal anastomoses","Lim C.B.B., Goldin R.D., Darzi A., Hanna G.B.",00071323,"British Journal of Surgery",95, 8,0,0,0,0,0,0
2007,"Stricturing associated with epithelial inclusion cysts following stapled intestinal anastomosis [4]","Lim C.B.B., Darzi A., Goldin R.D.",03090167,"Histopathology",51, 6,0,0,0,0,0,0
2007,"31P MR spectroscopy in assessment of response to antiviral therapy for hepatitis C virus-related liver disease","Lim A.K.P., Patel N., Hamilton G., Mylvanan K., Kuo Y.-T., Goldin R.D., Taylor-Robinson S.D.",0361803X,"American Journal of Roentgenology",189, 4,0,0,0,0,1,1
2007,"Long-term follow-up of the hepatitis C HENCORE cohort: Response to therapy and occurrence of liver-related complications","Pradat P., Esteban J.-I., Hadziyannis S., Rizzetto M., Thomas H., Manns M.P., Trepo C., Tillmann H.L., Sauleda S., Braconier J.-H., Saracco G., Thursz M., Goldin R., Winkler R., Alberti A.",13520504,"Journal of Viral Hepatitis",14, 8,0,0,1,1,4,5
2007,"Response to Mallet et al., 'Nodular regenerative hyperplasia is a new cause of chronic liver disease in HIV-infected patients' [3]","Garvey L.J., Thomson E.C., Lloyd J., Cooke G.S., Goldin R.D., Main J.",02699370,"AIDS",21, 11,0,0,0,0,2,2
