,"Author: Gooderham, Nigel J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 17 (Of the 44 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1262,141,135,276,80,1618
2009,"Expression of cox-2, nf-?b-p65, nf-?b-p50 and ikk? in malignant and adjacent normal human colorectal tissue","Charalambous M.P., Lightfoot T., Speirs V., Horgan K., Gooderham N.J.",00070920,"British Journal of Cancer",101, 1,0,0,0,0,0,0
2009,"Biomonitoring of 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP) and its carcinogenic metabolites in urine","Fede J.-M., Thakur A.P., Gooderham N.J., Turesky R.J.",0893228X,"Chemical Research in Toxicology",22, 6,0,0,0,0,0,0
2008,"Early events in the mammalian response to DNA double-strand breaks","Riches L.C., Lynch A.M., Gooderham N.J.",02678357,"Mutagenesis",23, 5,0,0,1,1,6,7
2007,"The cooked meat carcinogen 2-amino-1-methyl-6-phenylimidazo [4,5-b]pyridine activates the extracellular signal-regulated kinase mitogen-activated protein kinase pathway","Creton S.K., Zhu H., Gooderham N.J.",00085472,"Cancer Research",67, 23,0,0,1,1,1,2
2007,"The cooked meat-derived genotoxic carcinogen 2-amino-3-methylimidazo[4,5-b] pyridine has potent hormone-like activity: Mechanistic support for a role in breast cancer","Lauber S.N., Gooderham N.J.",00085472,"Cancer Research",67, 19,0,0,1,1,0,1
2007,"Mechanisms of action of the carcinogenic heterocyclic amine PhIP","Gooderham N.J., Creton S., Lauber S.N., Zhu H.",03784274,"Toxicology Letters",168, 3,0,2,3,5,2,7
2006,"Mechanisms of induction of cell cycle arrest and cell death by cryptolepine in human lung adenocarcinoma A549 cells","Zhu H., Gooderham N.J.",10966080,"Toxicological Sciences",91, 1,0,3,3,6,1,7
2006,"DNA damage responses after exposure to DNA-based products","Smith C.C., Aylott M.C., Fisher K.J., Lynch A.M., Gooderham N.J.",1099498X,"Journal of Gene Medicine",8, 2,0,0,1,1,0,1
2005,"No evidence that polymorphisms in CYP2C8, CYP2C9, UGT1A6, PPAR? and PPAR? act as modifiers of the protective effect of regular NSAID use on the risk of colorectal carcinoma","McGreavey L.E., Garner R.C., Gooderham N., Lightfoot T., Sachse C., Waxman R., Turner F., Smith G., Boylan K., Bishop D.T., Forman D., Wolf C.R., Barrett J.H., Boobis A.R.",17446872,"Pharmacogenetics and Genomics",15, 10,4,4,5,9,2,15
2005,"Responses of genes involved in cell cycle control to diverse DNA damaging chemicals in human lung adenocarcinoma A549 cells","Zhu H., Smith C., Ansah C., Gooderham N.J.",14752867,"Cancer Cell International",5, ,0,0,2,2,0,2
2005,"A mechanistic basis for the role of cycle arrest in the genetic toxicology of the dietary carcinogen 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP)","Creton S., Zhu H., Gooderham N.J.",10966080,"Toxicological Sciences",84, 2,1,0,1,1,1,3
2005,"Formation of a mutagenic heterocyclic aromatic amine from creatinine in urine of meat eaters and vegetarians","Holland R.D., Gehring T., Taylor J., Lake B.G., Gooderham N.J., Turesky R.J.",0893228X,"Chemical Research in Toxicology",18, 3,2,0,2,2,0,4
2005,"In vitro genotoxicity of the West African anti-malarial herbal Cryptolepis sanguinolenta and its major alkaloid cryptolepine","Ansah C., Khan A., Gooderham N.J.",0300483X,"Toxicology",208, 1,4,1,4,5,0,9
2004,"The cooked food derived carcinogen 2-amino-1-methyl-6-phenylimidazo[4,5-b] pyridine is a potent oestrogen: A mechanistic basis for its tissue-specific carcinogenicity","Lauber S.N., Ali S., Gooderham N.J.",01433334,"Carcinogenesis",25, 12,10,10,5,15,2,27
2004,"Cruciferous vegetable consumption alters the metabolism of the dietary carcinogen 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP) in humans","Walters D.G., Young P.J., Agus C., Knize M.G., Boobis A.R., Gooderham N.J., Lake B.G.",01433334,"Carcinogenesis",25, 9,8,6,5,11,5,24
2004,"Rapid biomonitoring of heterocyclic aromatic amines in human urine by tandem solvent solid phase extraction liquid chromatography electrospray ionization mass spectrometry","Holland R.D., Taylor J., Schoenbachler L., Jones R.C., Freeman J.P., Miller D.W., Lake B.G., Gooderham N.J., Turesky R.J.",0893228X,"Chemical Research in Toxicology",17, 8,5,6,2,8,2,15
2004,"Phytoalexin resveratrol attenuates the mutagenicity of the heterocyclic amines 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine and 2-amino-3,8- dimethylimidazo[4,5-f]quinoxaline","Boyce A., Doehmer J., Gooderham N.J.",15700232,"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences",802, 1,3,0,1,1,0,4
2003,"Upregulation of cyclooxygenase-2 is accompanied by increased expression of nuclear factor-?B and I?B kinase-? in human colorectal cancer epithelial cells","Charalambous M.P., Maihofner C., Bhambra U., Lightfoot T., Gooderham N.J.",00070920,"British Journal of Cancer",88, 10,16,5,1,6,3,25
2003,"Evaluating the genetic toxicology of DNA-based products using existing genetic toxicology assays","Smith C.C., Lynch A.M., Gooderham N.J.",02678357,"Mutagenesis",18, 3,2,1,0,1,0,3
2003,"Expression of cyclooxygenase-2 parallels expression of interleukin-1beta, interleukin-6 and NF-kappaB in human colorectal cancer","Maihofner C., Forman D., Garner R.C., Sachse C., Smith G., Waxman R., Wolf C.R., Charalambous M.P., Bhambra U., Lightfoot T., Geisslinger G., Gooderham N.J., Barrett J., Bishop D.T., Boobis A.R.",01433334,"Carcinogenesis",24, 4,18,1,2,3,0,21
2003,"Investigation of interaction between N-acetyltransferase 2 and heterocyclic amines as potential risk factors for colorectal cancer","Barrett J.H., Forman D., Boobis A.R., Colin R., Sachse C., Smith G., Waxman R., Gooderham N., Lightfoot T., Garner R.C., Augustsson K., Wolf C.R., Bishop D.T.",01433334,"Carcinogenesis",24, 2,29,6,11,17,2,48
2003,"Polymorphisms in the cytochrome P450 CYP1A2 gene (CYP1A2) in colorectal cancer patients and controls: Allele frequencies, linkage disequilibrium and influence on caffeine metabolism","Sachse C., Gooderham N.J., Bishop D.T., Forman D., Waxman R., Bhambra U., Smith G., Lightfoot T.J., Barrett J.H., Scollay J., Garner R.C., Boobis A.R., Wolf C.R.",03065251,"British Journal of Clinical Pharmacology",55, 1,40,12,10,22,5,67
2002,"The popular herbal antimalarial, extract of Cryptolepis sanguinolenta, is potently cytotoxic","Ansah C., Gooderham N.J.",10966080,"Toxicological Sciences",70, 2,6,3,5,8,0,14
2002,"A pharmacogenetic study to investigate the role of dietary carcinogens in the etiology of colorectal cancer","Sachse C., Barrett J., Boobis A.R., Garner R.C., Gooderham N., Lightfoot T., Smith G., Wilkie M.J.V., Barrett J.H., Waxman R., Sullivan F., Forman D., Bishop D.T., Wolf C.R.",01433334,"Carcinogenesis",23, 11,81,20,18,38,5,124
2002,"Molecular and genetic toxicology of 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP)","Gooderham N.J., Zhu H., Lauber S., Boyce A., Creton S.",00275107,"Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis",506-507, ,16,4,3,7,0,23
2002,"Neoplastic transformation of human lung fibroblast MRC-5 SV2 cells induced by benzo[a]pyrene and confluence culture","Zhu H., Gooderham N.",00085472,"Cancer Research",62, 16,6,3,2,5,0,11
2001,"Editorial","Fry J., Panter G., Wild C., De Matteis F., Benowitz N., Bennetau-Pelissero C., Dolphin C., Gooderham N., Shuker D., Viarengo A., Porte C., Haselden J., Phillips D., Osterman-Golkar A., Crooks P., Brandt Rauf P., Viau C., Anderson D., Paine A., Tsatsakis A., Evans S., Timbrell J., Canesi L., De Pomerai D., Kortenkamp A., Cocker J., Lindstrom-Seppa P., Hylland K., Di Giulio R.T.",1354750X,"Biomarkers",6, 6,0,0,0,0,0,0
2001,"Effect of cruciferous vegetable consumption on heterocyclic aromatic amine metabolism in man","Murray S., Lake B.G., Gray S., Edwards A.J., Springall C., Bowey E.A., Williamson G., Boobis A.R., Gooderham N.J.",01433334,"Carcinogenesis",22, 9,30,3,3,6,6,42
2001,"Food-derived heterocyclic amine mutagens: Variable metabolism and significance to humans","Gooderham N.J., Murray S., Lynch A.M., Yadollahi-Farsani M., Zhao K., Boobis A.R., Davies D.S.",00909556,"Drug Metabolism and Disposition",29, 4,13,1,2,3,3,19
2000,"Mass spectrometric detection and measurement of N2-(2'-deoxyguanosin-8-yl)PhIP adducts in DNA","Crosbie S.J., Murray S., Boobis A.R., Gooderham N.J.",13872273,"Journal of Chromatography B: Biomedical Sciences and Applications",744, 1,9,4,2,6,0,15
2000,"The food-derived carcinogen 2-amino-1-methyl-6-phenylimidazo[4,5- b]pyridine activates S-phase checkpoint and apoptosis, and induces gene mutation in human lymphoblastoid TK6 cells","Zhu H., Boobis A.R., Gooderham N.J.",00085472,"Cancer Research",60, 5,14,1,1,2,0,16
1999,"Nucleosomes bind to cell surface proteoglycans","Watson K., Gooderham N.J., Davies D.S., Edwards R.J.",00219258,"Journal of Biological Chemistry",274, 31,21,3,3,6,2,29
1999,"Interaction of the transactivating protein HIV-1 tat with sulphated polysaccharides","Watson K., Gooderham N.J., Davies D.S., Edwards R.J.",00062952,"Biochemical Pharmacology",57, 7,17,4,4,8,1,26
1999,"The mutagenicity of benzo[a]pyrene in mouse small intestine","Brooks R.A., Gooderham N.J., Edwards R.J., Boobis A.R., Winton D.J.",01433334,"Carcinogenesis",20, 1,14,2,0,2,1,17
1998,"Genetic analysis of PHIP intestinal mutations in Muta®Mouse","Lynch A.M., Gooderham N.J., Davies D.S., Boobis A.R.",02678357,"Mutagenesis",13, 6,21,0,0,0,0,21
1998,"Food-derived heterocyclic amines induce a spectrum of mutations which are diagnostic of their mutagenicity","Lynch A.M., Gooderham N.J., Davies D.S., Boobis A.R.",02678357,"Mutagenesis",13, 3,1,0,0,0,0,1
1997,"Anti-HIV type 1 activity of sulfated derivatives of dextrin against primary viral isolates of HIV type 1 in lymphocytes and monocyte-derived macrophages","Javan C.M., Gooderham N.J., Edwards R.J., Davies D.S., Shaunak S.",08892229,"AIDS Research and Human Retroviruses",13, 10,24,1,1,2,4,30
1997,"Assessing human risk to heterocyclic amines","Gooderham N.J., Murray S., Lynch A.M., Yadollahi-Farsani M., Zhao K., Rich K., Boobis A.R., Davies D.S.",00275107,"Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis",376, 1-2,27,0,0,0,1,28
1996,"Organ distinctive mutagenicity in Muta®Mouse after short-term exposure to PhIP","Lynch A.M., Gooderham N.J., Boobis A.R.",02678357,"Mutagenesis",11, 5,16,0,0,0,0,16
1996,"Chemical methods for assessing systemic exposure to dietary heterocyclic amines in man.","Davies D.S., Gooderham N.J., Murray S., Lynch A., de la Torre R., Segura J., Boobis A.R.",01719750,"Archives of toxicology. Supplement. = Archiv für Toxikologie. Supplement",18, ,3,0,0,0,0,3
1996,"Enzymic and interindividual differences in the human metabolism of heterocyclic amines.","Boobis A.R., Gooderham N.J., Edwards R.J., Murray S., Lynch A.M., Yadollahi-Farsani M., Davies D.S.",01719750,"Archives of toxicology. Supplement. = Archiv für Toxikologie. Supplement",18, ,15,1,0,1,0,16
1996,"Heterocyclic amines: Evaluation of their role in diet associated human cancer","Gooderham N.J., Bhadresa S., Crosbie S.J., Boobis A.R., Davies D.S., Murray S., Lynch A.M., Edwards R.J., Yadollahi-Farsani M., Bratt C., Rich K.J., Zhao K., Murray B.P.",03065251,"British Journal of Clinical Pharmacology",42, 1,28,2,0,2,2,32
1996,"Mutational spectra of the dietary carcinogen 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP) at the Chinese hamster hprt locus","Yadollahi-Farsani M., Gooderham N.J., Davies D.S., Boobis A.R.",01433334,"Carcinogenesis",17, 4,49,2,0,2,0,51
1996,"Developmental changes in hepatic activation of 2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline in rabbit","Rich K.J., Zhao K., Davies D.S., Boobis A.R., Gooderham N.J.",01433334,"Carcinogenesis",17, 3,4,0,0,0,0,4
1995,"Exposure to and activation of dietary heterocyclic amines in humans","Lynch A.M., Murray S., Gooderham N.J., Boobis A.R.",10408428,"Critical Reviews in Oncology/Hematology",21, 1-3,9,0,0,0,0,9
1995,"Systemic exposure to dietary heterocyclic amines in man.","Davies D.S., Gooderham N.J., Murray S., Lynch A., de la Torre R., Segura J., Boobis A.R.",,"Princess Takamatsu symposia",23, ,2,1,0,1,0,3
1995,"Enzymatic studies of the activation of heterocyclic food mutagens in man.","Boobis A.R., Gooderham N.J., Rich K.J., Zhao K., Edwards R.J., Murray B.P., Lynch A.M., Murray S., Davies D.S.",,"Princess Takamatsu symposia",23, ,8,0,0,0,0,8
1995,"Extra-nuclear location of histones in activated human peripheral blood lymphocytes and cultured T-cells","Watson K., Edwards R.J., Shaunak S., Parmelee D.C., Sarraf C., Gooderham N.J., Davies D.S.",00062952,"Biochemical Pharmacology",50, 3,32,4,5,9,4,45
1994,"Metabolism of the food derived mutagen and carcinogen 2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine (PhIP) by human liver microsomes","Zhao K., Murray S., Davies D.S., Boobis A.R., Gooderham N.J.",01433334,"Carcinogenesis",15, 6,46,2,1,3,1,50
1994,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine is a potent mutagen in the mouse small intestine","Brooks R.A., Gooderham N.J., Zhao K., Edwards R.J., Howard L.A., Boobis A.R., Winton D.J.",00085472,"Cancer Research",54, 7,32,1,0,1,0,33
1994,"Infection by HIV-1 blocked by binding of dextrin 2-sulphate to the cell surface of activated human peripheral blood mononuclear cells and cultured T-cells","Shaunak S., Gooderham N.J., Edwards R.J., Payvandi N., Javan C.M., Baggett N., MacDermot J., Weber J.N., Davies D.S.",00071188,"British Journal of Pharmacology",113, 1,27,2,1,3,2,32
1994,"The role of CYP1A enzymes in murine activation of the cooked food carcinogen 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine","Zhao K., Boobis A.R., Davies D.S., Gooderham N.J.",03005127,"Biochemical Society Transactions",22, 2,0,0,0,0,0,0
