,"Author: Goodier, Martin R.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 5 (Of the 17 documents considered for the h-Index, 5 have been cited at least 5 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,219,25,22,47,20,286
2009,"Innate natural killer cell phenotype and function during HIV-1 infection: Potential avenues for modulation","Goodier M.R., Coleman A.",17469600,"Future HIV Therapy",3, 2,0,0,0,0,0,0
2009,"Elevated plasma lipopolysaccharide is not sufficient to drive natural killer cell activation in HIV-1-infected individuals","Gregson J.N.S., Steel A., Bower M., Gazzard B.G., Gotch F.M., Goodier M.R.",02699370,"AIDS",23, 1,0,0,0,0,1,1
2009,"Human NK cell up-regulation of CD69, HLA-DR, interferon ? secretion and cytotoxic activity by plasmacytoid dendritic cells is regulated through overlapping but different pathways","Benlahrech A., Donaghy H., Rozis G., Goodier M., Klavinskis L., Gotch F., Patterson S.",14248220,"Sensors",9, 1,0,0,0,0,0,0
2007,"Depletion of natural killer cells in the colonic lamina propria of viraemic HIV-1-infected individuals","Mela C.M., Steel A., Lindsay J., Gazzard B.G., Gotch F.M., Goodier M.R.",02699370,"AIDS",21, 16,0,0,2,2,3,5
2007,"Erratum: Altered monocyte cyclooxygenase response to lipopolysaccharide in type 1 diabetes (Diabetes (2006) 55 (3439-3445))","Beyan H., Goodier M.R., Nawroly N.S., Hawa M.I., Bustin S.A., Ogunkolade W.B., Londei M., Yousaf N., Leslie R.D.G.",00121797,"Diabetes",56, 2,0,0,0,0,1,1
2007,"NKG2C+ NK cells are enriched in AIDS patients with advanced-stage Kaposi's sarcoma","Goodier M.R., Mela C.M., Steel A., Gazzard B., Bower M., Gotch F.",0022538X,"Journal of Virology",81, 1,0,1,1,2,2,4
2007,"The contribution of cytomegalovirus to changes in NK cell receptor expression in HIV-1-infected individuals [1]","Mela C.M., Goodier M.R.",00221899,"Journal of Infectious Diseases",195, 1,0,1,0,1,1,2
2006,"Altered monocyte cyclooxygenase response to lipopolysaccharide in type 1 diabetes","Beyan H., Goodier M.R., Nawroly N.S., Hawa M.I., Bustin S.A., Ogunkolade W.B., Londei M., Yousaf N., Leslie R.D.G.",00121797,"Diabetes",55, 12,0,1,1,2,1,3
2006,"Identical twins discordant for type 1 diabetes show a different pattern of in vitro CD56+ cell activation","Goodier M.R., Nawroly N., Beyan H., Hawa M., Leslie R.D.G., Londei M.",15207552,"Diabetes/Metabolism Research and Reviews",22, 5,0,1,0,1,0,1
2005,"Switch from inhibitory to activating NKG2 receptor expression in HIV-1 infection: Lack of reversion with highly active antiretroviral therapy","Mela C.M., Burton C.T., Imami N., Nelson M., Steel A., Gazzard B.G., Gotch F.M., Goodier M.R.",02699370,"AIDS",19, 16,6,8,9,17,6,29
2004,"CD28 is not directly involved in the response of human CD3 -CD56+ natural killer cells to lipopolysaccharide: A role for T cells","Goodier M.R., Londei M.",00192805,"Immunology",111, 4,4,1,0,1,0,5
2004,"Erratum: Loss of the CD56hiCD16- NK cell subset and NK cell interferon-? production during antiretroviral therapy for HIV-1: Partial recovery by human growth hormone (Clinical and Experimental Immunology (2003) 134 (470-476))","Goodier M.R., Imami N., Moyle G., Gazzard B., Gotch F.",00099104,"Clinical and Experimental Immunology",135, 2,0,0,0,0,0,0
2003,"Loss of the CD56hiCD16- NK cell subset and NK cell interferon-? production during antiretroviral therapy for HIV-1: Partial recovery by human growth hormone","Goodier M.R., Imami N., Moyle G., Gazzard B., Gotch F.",00099104,"Clinical and Experimental Immunology",134, 3,9,4,5,9,3,21
2001,"Low concentrations of lipopolysaccharide synergize with peptides to augment human T-cell proliferation and can prevent the induction of non-responsiveness by CTLA4-Ig","Goodier M.R., Londei M.",00192805,"Immunology",102, 1,3,1,1,2,0,5
2000,"Lipopolysaccharide stimulates the proliferation of human CD56+CD3- NK cells: A regulatory role of monocytes and IL-10","Goodier M.R., Londei M.",00221767,"Journal of Immunology",165, 1,30,2,1,3,2,35
1997,"Evidence for CD4+ T cell responses common to Plasmodium falciparum and recall antigens","Goodier M.R., Targett G.A.T.",09538178,"International Immunology",9, 12,7,1,0,1,0,8
1997,"Polyclonal T-cell responses to plasmodium falciparum gametocytes in malaria nonexposed donors","Goodier M.R., Targett G.A.T.",01419838,"Parasite Immunology",19, 9,7,0,0,0,0,7
1995,"Cytokine profiles for human V?9+ T cells stimulated by Plasmodium falciparum","Goodier M.R., Lundqvist C., Hammarstrom M.-L., Troye-Blomberg M., Langhorne J.",01419838,"Parasite Immunology",17, 8,46,0,1,1,0,47
1993,"?? T cells in the peripheral blood of individuals from an area of holoendemic Plasmodium falciparum transmission","Goodier M., Krause-Jauer M., Sanni A., Massougbodji A., Sadeler B.-C., Mitchell G.H., Modolell M., Eichmann K., Langhorne J.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",87, 6,20,1,0,1,0,21
1992,"Is there a role for ?? T cells in malaria?","Langhorne J., Goodier M., Behr C., Dubois P.",01675699,"Immunology Today",13, 8,24,0,0,0,0,24
1992,"Human peripheral blood ?? T cells respond to antigens of Plasmodium falciparum","Goodier M., Fey P., Eichmann K., Langhorne J.",09538178,"International Immunology",4, 1,42,1,1,2,0,44
1991,"Post-transcriptional regulation of cytoskeletal actin and T lymphocyte receptor ? chain mRNA by phorbol ester","Goodier M.R., Kay J.E.",01674889,"Biochimica et Biophysica Acta - Molecular Cell Research",1092, 1,3,0,0,0,0,3
1989,"Inhibition of T-lymphocyte activation by the immunosuppressive drug FK-506","Kay J.E., Benzie C.R., Goodier M.R., Wick C.J., Doe S.E.A.",00192805,"Immunology",67, 4,18,2,0,2,0,20
1978,"British steel corporation data network","Goodier M.",01403664,"Computer Communications",1, 4,0,0,0,0,0,0
