,"Author: Gordon, Myrtle Y A",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 75 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2357,165,209,374,109,2840
2009,"Abnormal centrosome-centriole cycle in chronic myeloid leukaemia?","Patel H., Gordon M.Y.",00071048,"British Journal of Haematology",146, 4,0,0,0,0,0,0
2008,"Autologous infusion of expanded mobilized adult bone marrow-derived CD34+ cells into patients with alcoholic liver cirrhosis","Pai M., Jestice K., Glibetic M., Bansi D., Khan S.A., Kyriakou D., Rountas C., Thillainayagam A., Nicholls J.P., Jensen S., Apperley J.F., Zacharoulis D., Gordon M.Y., Habib N.A., Milicevic M.N., Helmy S., Jiao L.R., Levicar N., Tait P., Scott M., Marley S.B.",00029270,"American Journal of Gastroenterology",103, 8,0,0,0,0,4,4
2008,"Stem cells for regenerative medicine-Biological attributes and clinical application","Gordon M.Y.",0301472X,"Experimental Hematology",36, 6,0,0,1,1,3,4
2008,"High frequency of fetal cells within a primitive stem cell population in maternal blood.","Mikhail M.A., Gordon M.Y., M'Hamdi H., Welsh J., Levicar N., Marley S.B., Nicholls J.P., Habib N.A., Louis L.S., Fisk N.M.",14602350,"Human reproduction (Oxford, England)",23, 4,0,0,1,1,3,4
2008,"Strontium can increase some osteoblasts without increasing hematopoietic stem cells","Lymperi S., Horwood N., Marley S., Gordon M.Y., Cope A.P., Dazzi F.",00064971,"Blood",111, 3,0,0,4,4,2,6
2007,"Stem cells as a treatment for chronic liver disease and diabetes.","Levicar N., Dimarakis I., Flores C., Tracey J., Gordon M.Y., Habib N.A.",01712004,"Handbook of experimental pharmacology",, 180,0,1,1,2,0,2
2007,"Potential of CD34 in the regulation of symmetrical and asymmetrical divisions by hematopoietic progenitor cells","Bullock T.E., Wen B., Marley S.B., Gordon M.Y.",10665099,"Stem Cells",25, 4,0,1,4,5,2,7
2007,"Conventional Western blotting techniques will not reliably quantify p210BCR-ABL1 levels in CML mononuclear cells [2]","Patel H., Marley S.B., Gordon M.Y.",00064971,"Blood",109, 3,0,0,0,0,1,1
2006,"Detection in primary chronic myeloid leukaemia cells of p210BCR-ABL1 in complexes with adaptor proteins CBL, CRKL, and GRB2","Patel H., Marley S.B., Gordon M.Y.",10452257,"Genes Chromosomes and Cancer",45, 12,0,3,2,5,4,9
2006,"A novel HSV-1 virus, JS1/34.5-/47- purges contaminating breast cancer cells from bone marrow","Hu J.C., Coffin R.S., Coombes R.C., Kamalati T., Booth M.J., Tripuraneni G., Davies D., Zaidi S.A.A., De Bella M.T., Slade M.J., Marley S.B., Gordon M.Y.A.",10780432,"Clinical Cancer Research",12, 22,0,1,1,2,0,2
2006,"In vitro stem cell differentiation into cardiomyocytes. Part 2: Chemicals, extracellular matrix, physical stimuli and coculture assays","Dimarakis I., Levicar N., Nihoyannopoulos P., Gordon M.Y., Habib N.A.",15740668,"Journal of Cardiothoracic-Renal Research",1, 2,0,0,0,0,0,0
2006,"In vitro stem cell differentiation into cardiomyocytes. Part 1. Culture medium and growth factors","Dimarakis I., Levicar N., Nihoyannopoulos P., Habib N.A., Gordon M.Y.",15740668,"Journal of Cardiothoracic-Renal Research",1, 2,0,0,0,0,0,0
2006,"Characterization and clinical application of human CD34+ stem/progenitor cell populations mobilized into the blood by granulocyte colony-stimulating factor","Gordon M.Y., Marley S.B., Davies J., Dazzi F., Marelli-Berg F., Tait P., Playford R., Jiao L., Jensen S., Nicholls J.P., Ayav A., Levicar N., Nohandani M., Farzaneh F., Gaken J., Dodge R., Alison M., Apperley J.F., Lechler R., Habib N.A., Pai M., Bachellier P., Dimarakis I., Al-Allaf F., M'Hamdi H., Thalji T., Welsh J.P.",10665099,"Stem Cells",24, 7,1,13,23,36,4,41
2006,"Why do chronic myelogenous leukemia stem cells survive allogeneic stem cell transplantation or imatinib: Does it really matter?","Goldman J., Gordon M.",10428194,"Leukemia and Lymphoma",47, 1,2,4,14,18,4,24
2005,"Adult bone marrow-derived stem cells and the injured heart: Just the beginning?","Dimarakis I., Habib N.A., Gordon M.Y.A.",10107940,"European Journal of Cardio-thoracic Surgery",28, 5,3,3,3,6,0,9
2005,"Chronic myeloid leukaemia: Stem cell derived but progenitor cell driven","Marley S.B., Gordon M.Y.",01435221,"Clinical Science",109, 1,4,7,3,10,3,17
