,"Author: Gorelik, Julia V.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 30 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,184,45,74,119,50,353
2009,"Loss of T-tubules and other changes to surface topography in ventricular myocytes from failing human and rat heart","Lyon A.R., MacLeod K.T., Zhang Y., Garcia E., Kanda G.K., Lab M.J., Korchev Y.E., Harding S.E., Gorelik J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 16,0,0,0,0,0,0
2009,"Nanoscale live-cell imaging using hopping probe ion conductance microscopy","Novak P., Lab M.J., Moss G.W.J., Frolenkov G.I., Klenerman D., Korchev Y.E., Li C., Shevchuk A.I., Stepanyan R., Caldwell M., Hughes S., Smart T.G., Gorelik J., Ostanin V.P.",15487091,"Nature Methods",6, 4,0,0,0,0,1,1
2008,"Non-invasive imaging of stem cells by scanning ion conductance microscopy: Future perspective","Gorelik J., Bennett D.C., Lako M., Harding S.E., Stojkovic M., Korchev Y.E., Ali N.N., Sheikh Abdul Kadir S.H., Lab M., Stojkovic P., Armstrong L., Sviderskaya E.V., Negulyaev Y.A., Klenerman D.",19373384,"Tissue Engineering - Part C: Methods",14, 4,0,0,0,0,0,0
2008,"Immortalization of human alveolar epithelial cells to investigate nanoparticle uptake","Kemp S.J., Thorley A.J., Gorelik J., Seckl M.J., O'Hare M.J., Arcaro A., Korchev Y., Goldstraw P., Tetley T.D.",10441549,"American Journal of Respiratory Cell and Molecular Biology",39, 5,0,0,0,0,4,4
2008,"Noncontact measurement of the local mechanical properties of living cells using pressure applied via a pipette","Sanchez D., Frolenkov G.I., Benham C., Lab M., Ostanin V.P., Schaffer T.E., Klenerman D., Korchev Y.E., Johnson N., Li C., Novak P., Rheinlaender J., Zhang Y., Anand U., Anand P., Gorelik J.",00063495,"Biophysical Journal",95, 6,0,0,0,0,3,3
2007,"Basolateral P2X4-like receptors regulate the extracellular ATP-stimulated epithelial Na+ channel activity in renal epithelia","Zhang Y., Sanchez D., Gorelik J., Klenerman D., Lab M., Edwards C., Korchev Y.",03636127,"American Journal of Physiology - Renal Physiology",292, 6,0,0,4,4,1,5
2007,"The human embryonic stem cell-derived cardiomyocyte as a pharmacological model","Harding S.E., Ali N.N., Brito-Martins M., Gorelik J.",01637258,"Pharmacology and Therapeutics",113, 2,0,2,7,9,3,12
2007,"Localized and non-contact mechanical stimulation of dorsal root ganglion sensory neurons using scanning ion conductance microscopy","Sanchez D., Korchev Y., Anand U., Gorelik J., Benham C.D., Bountra C., Lab M., Klenerman D., Birch R., Anand P.",01650270,"Journal of Neuroscience Methods",159, 1,0,0,2,2,2,4
2006,"A novel Z-groove index characterizing myocardial surface structure","Gorelik J., Yang L.Q., Zhang Y., Lab M., Korchev Y., Harding S.E.",00086363,"Cardiovascular Research",72, 3,0,0,2,2,1,3
2006,"Genes encoding bile acid, phospholipid and anion transporters are expressed in a human fetal cardiomyocyte culture","Gorelik J., Patel P., Ng'andwe C., Vodyanoy I., Diakonov I., Lab M., Korchev Y., Williamson C.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",113, 5,0,0,0,0,0,0
2006,"Functional characterization of embryonic stem cell-derived cardiomyocytes using scanning ion conductance microscopy","Gorelik J., Ali N.N., Shevchuk A.I., Lab M., Williamson C., Harding S.E., Korchev Y.E.",10763279,"Tissue Engineering",12, 4,0,1,2,3,0,3
2005,"Aldosterone acts via an ATP autocrine/paracrine system: The Edelman ATP hypothesis revisited","Gorelik J., Zhang Y., Sanchez D., Shevchuk A., Frolenkov G., Lab M., Klenerman D., Edwards C., Korchev Y.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",102, 42,1,3,6,9,2,12
2005,"Scanning ion conductance microscopy reveals how a functional renal epithelial monolayer maintains its integrity","Zhang Y., Gorelik J., Sanchez D., Shevchuk A., Lab M., Vodyanoy I., Klenerman D., Edwards C., Korchev Y.",00852538,"Kidney International",68, 3,0,1,3,4,0,4
2005,"The scanned nanopipette: A new tool for high resolution bioimaging and controlled deposition of biomolecules","Ying L., Bruckbauer A., Zhou D., Gorelik J., Shevchuk A., Lab M., Korchev Y., Klenerman D.",14639076,"Physical Chemistry Chemical Physics",7, 15,3,8,5,13,2,18
2004,"Measuring ion fluxes in sperm","Darszon A., Wood C.D., Beltran C., Sanchez D., Rodriguez E., Gorelik J., Korchev Y.E., Nishigaki T.",0091679X,"Methods in Cell Biology",2004, 74,3,0,0,0,0,3
2004,"Comparison of the arrhythmogenic effects of tauro- and glycoconjugates of cholic acid in an in vitro study of rat cardiomyocytes","Gorelik J., Shevchuk A., De Swiet M., Lab M., Korchev Y., Williamson C.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",111, 8,2,1,1,2,0,4
2004,"The use of scanning ion conductance microscopy to image A6 cells","Gorelik J., Korchev Y.E., Zhang Y., Shevchuk A.I., Frolenkov G.I., Sanchez D., Lab M.J., Vodyanoy I., Edwards C.R.W., Klenerman D.",03037207,"Molecular and Cellular Endocrinology",217, 1-2,7,0,2,2,3,12
2003,"Esmolol is antiarrhythmic in doxorubicin-induced arrhythmia in cultured cardiomyocytes - Determination by novel rapid cardiomyocyte assay","Gorelik J., Vodyanoy I., Shevchuk A.I., Diakonov I.A., Lab M.J., Korchev Y.E.",00145793,"FEBS Letters",548, 1-3,1,0,2,2,0,3
2003,"Dynamic assembly of surface structures in living cells","Gorelik J., Klenerman D., Korchev Y.E., Shevchuk A.I., Frolenkov G.I., Diakonov I.A., Lab M.J., Kros C.J., Richardson G.P., Vodyanoy I., Edwards C.R.W.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",100, 10,15,4,5,9,2,26
2003,"Dexamethasone and ursodeoxycholic acid protect against the arrhythmogenic effect of taurocholate in an in vitro study of rat cardiomyocytes","Gorelik J., Shevchuk A.I., Diakonov I., De Swiet M., Lab M., Korchev Y., Williamson C.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",110, 5,7,0,1,1,1,9
2003,"A novel light source for SICM-SNOM of living cells","Rothery A.M., Gorelik J., Bruckbauer A., Yu W., Korchev Y.E., Klenerman D.",00222720,"Journal of Microscopy",209, 2,6,1,1,2,0,8
2002,"Scanning surface confocal microscopy for simultaneous topographical and fluorescence imaging: Application to single virus-like particle entry into a cell","Gorelik J., Korchev Y., Shevchuk A., Ramalho M., Elliott M., Lei C., Higgins C.F., Lab M.J., Klenerman D., Krauzewicz N.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",99, 25,11,2,6,8,1,20
