,"Author: Gotch, Frances M.",,,,,,,,,,,
,,,,,,,,,,,,
,"Unable to display h index. There are no citations to documents published after 1995. ()",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0
2009,"TLR-stimulated CD34 stem cell-derived human skin-like and monocyte-derived dendritic cells fail to induce Th17 polarization of naive T cells but do stimulate Th1 and Th17 memory responses.","Duraisingham S.S., Hornig J., Gotch F., Patterson S.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",183, 4,0,0,0,0,0,0
2009,"The CD8 and CD4 T-cell response against Kaposi's sarcoma-associated herpesvirus is skewed towards early and late lytic antigens","Robey R.C., Lagos D., Gratrix F., Henderson S., Matthews N.C., Vart R.J., Bower M., Boshoff C., Gotch F.M.",19326203,"PLoS ONE",4, 6,0,0,0,0,0,0
2009,"Monocyte-derived dendritic cells from HIV type 1-Infected individuals show reduced ability to stimulate T cells and have altered production of interleukin (IL)-12 and IL-10","Buisson S., Benlahrech A., Gazzard B., Gotch F., Kelleher P., Patterson S.",00221899,"Journal of Infectious Diseases",199, 12,0,0,0,0,0,0
1977,"Pseudotumor cerebri","Gotch F.",00471852,"Nippon rinsho. Japanese journal of clinical medicine",35, ,0,0,0,0,0,0
