,"Author: Gregson, Simon A J",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 76 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,680,277,315,592,153,1425
2009,"Patterns of Self-reported Behaviour Change Associated with Receiving Voluntary Counselling and Testing in a Longitudinal Study from Manicaland, Zimbabwe","Cremin I., Nyamukapa C., Sherr L., Hallett T.B., Chawira G., Cauchemez S., Lopman B., Garnett G.P., Gregson S.",10907165,"AIDS and Behavior",, ,0,0,0,0,0,0
2009,"The role of testing and counselling for HIV prevention and care in the era of scaling-up antiretroviral therapy","Hallett T.B., Dube S., Cremin I., Lopman B., Mahomva A., Ncube G., Mugurungi O., Gregson S., Garnett G.P.",17554365,"Epidemics",1, 2,0,0,0,0,0,0
2009,"Assessing evidence for behaviour change affecting the course of HIV epidemics: A new mathematical modelling approach and application to data from Zimbabwe","Hallett T.B., Gregson S., Mugurungi O., Gonese E., Garnett G.P.",17554365,"Epidemics",1, 2,0,0,0,0,0,0
2009,"Is education the link between orphanhood and HIV/HSV-2 risk among female adolescents in urban Zimbabwe?","Birdthistle I., Floyd S., Nyagadza A., Mudziwapasi N., Gregson S., Glynn J.R.",02779536,"Social Science and Medicine",68, 10,0,0,0,0,0,0
2009,"Role of widows in the heterosexual transmission of HIV in Manicaland, Zimbabwe, 1998-2003.","Lopman B.A., Nyamukapa C., Hallett T.B., Mushati P., Spark-du Preez N., Kurwa F., Wambe M., Gregson S.",14723263,"Sexually transmitted infections",85, ,0,0,0,0,0,0
2009,"Measuring trends in age at first sex and age at marriage in Manicaland, Zimbabwe.","Cremin I., Mushati P., Hallett T., Mupambireyi Z., Nyamukapa C., Garnett G.P., Gregson S.",14723263,"Sexually transmitted infections",85, ,0,0,0,0,0,0
