,"Author: Grundling, A.;Gründling, Angelika",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 13 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,187,51,53,104,48,339
2007,Synthesis of glycerol phosphate lipoteichoic acid in Staphylococcus aureus,"Grundling A., Schneewind O.",278424,Proceedings of the National Academy of Sciences of the United States of America,104,20,0,2,8,10,12,22
2007,Genes required for glycolipid synthesis and lipoteichoic acid anchoring in Staphylococcus aureus,"Grundling A., Schneewind O.",219193,Journal of Bacteriology,189,6,0,3,2,5,6,11
2006,A bifunctional O-GlcNAc transferase governs flagellar motility through anti-repression,"Shen A., Kamp H.D., Grundling A., Higgins D.E.",8909369,Genes and Development,20,23,0,2,8,10,6,16
2006,Staphylococcus aureus mutants with increased lysostaphin resistance,"Grundling A., Missiakas D.M., Schneewind O.",219193,Journal of Bacteriology,188,17,0,1,1,2,2,4
2006,Cross-linked peptidoglycan mediates lysostaphin binding to the cell wall envelope of Staphylococcus aureus,"Grundling A., Schneewind O.",219193,Journal of Bacteriology,188,7,3,5,5,10,3,16
2004,"Listeria monocytogenes regulates flagellar motility gene expression through MogR, a transcriptional repressor required for virulence","Grundling A., Burrack L.S., Bouwer H.G.A., Higgins D.E.",278424,Proceedings of the National Academy of Sciences of the United States of America,101,33,20,7,5,12,6,38
2003,Requirement of the Listeria monocytogenes Broad-Range Phospholipase PC-PLC during Infection of Human Epithelial Cells,"Grundling A., Gonzalez M.D., Higgins D.E.",219193,Journal of Bacteriology,185,21,13,5,3,8,6,27
2002,"Effects of ribosomal proteins S1, S2 and the DeaD/CsdA DEAD-box helicase on translation of leaderless and canonical mRNAs in Escherichia coli","Moll I., Grill S., Grundling A., Blasi U.",0950382X,Molecular Microbiology,44,5,19,5,2,7,3,29
2001,Holins kill without warning,"Grundling A., Manson M.D., Young R.",278424,Proceedings of the National Academy of Sciences of the United States of America,98,16,33,7,6,13,3,49
2000,Genetic and biochemical analysis of dimer and oligomer interactions of the ? S holin,"Grundling A., Blasi U., Young R.",219193,Journal of Bacteriology,182,21,13,4,6,10,0,23
2000,Dimerization between the holin and holin inhibitor of phage ?,"Grundling A., Smith D.L., Blasi U., Young R.",219193,Journal of Bacteriology,182,21,13,5,1,6,1,20
2000,"Biochemical and genetic evidence for three transmembrane domains in the class I holin, ? S","Grundling A., Blasi U., Young R.",219258,Journal of Biological Chemistry,275,2,27,4,4,8,0,35
1996,Downstream box-anti-downstream box interactions are dispensable for translation initiation of leaderless mRNAs,"Resch A., Tedin K., Grundling A., Mundlein A., Blasi U.",2614189,EMBO Journal,15,17,46,1,2,3,0,49
