,"Author: Guillot, Pascale Valerie",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 48 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,400,77,115,192,76,668
2009,"Steroid injections in the sacro-iliac joint | Les infiltrations de corticoïdes dans la sacro-iliaque","Maugars Y., Le Goff B., Guillot P., Glemarec J., Berthelot J.-M.",11698330,"Revue du Rhumatisme (Edition Francaise)",76, 8,0,0,0,0,0,0
2009,"Treatment of shoulder calcifications of the cuff: A controlled study","Maugars Y., Passutti N., Berthelot J.-M., Varin S., Gouin F., Huguet D., Rodet D., Nizard J., N'Guyen J.-M., Guillot P., Glemarec J.",1297319X,"Joint Bone Spine",76, 4,0,0,0,0,0,0
2009,"Treatment of shoulder calcifications of the cuff: A controlled study | Traitement des calcifications de la coiffe des rotateurs : une étude contrôlée","Maugars Y., Passutti N., Berthelot J.-M., Varin S., Gouin F., Huguet D., Rodet D., Nizard J., N'Guyen J.-M., Guillot P., Glemarec J.",11698330,"Revue du Rhumatisme (Edition Francaise)",76, 7,0,0,0,0,0,0
2008,"Comparative osteogenic transcription profiling of various fetal and adult mesenchymal stem cell sources","Guillot P.V., De Bari C., Dell'Accio F., Kurata H., Polak J., Fisk N.M.",03014681,"Differentiation",76, 9,0,0,0,0,3,3
2008,"Ultrasonography for the diagnosis of atypical gout. Two cases | Intérêt de l'échographie dans le diagnostic des gouttes atypiques. À propos de deux observations","Le Goff B., Berthelot J.-M., Andre V., Guillot P., Maugars Y.",11698330,"Revue du Rhumatisme (Edition Francaise)",75, 9,0,0,0,0,0,0
2008,"Ultrasonography for diagnosing atypical gout. Two case reports","Le Goff B., Berthelot J.-M., Andre V., Guillot P., Maugars Y.",1297319X,"Joint Bone Spine",75, 5,0,0,0,0,0,0
2008,"Transplantation of human fetal mesenchymal stem cells improves glomerulopathy in a collagen type I?2-deficient mouse","Guillot P.V., Cook H.T., Pusey C.D., Fisk N.M., Harten S., Moss J., Shore I., Bou-Gharios G.",00223417,"Journal of Pathology",214, 5,0,0,3,3,5,8
2008,"Intrauterine transplantation of human fetal mesenchymal stem cells from first-trimester blood repairs bone and reduces fractures in osteogenesis imperfecta mice","Guillot P.V., Fisk N.M., Abass O., Bassett J.H.D., Shefelbine S.J., Bou-Gharios G., Chan J., Kurata H., Williams G.R., Polak J.",00064971,"Blood",111, 3,0,0,8,8,8,16
2008,"A biomarker-based mathematical model to predict bone-forming potency of human synovial and periosteal mesenchymal stem cells","De Bari C., Mitsiadis T.A., Donaldson A.N., Luyten F.P., Pitzalis C., Dell'Accio F., Karystinou A., Guillot P.V., Fisk N.M., Jones E.A., McGonagle D., Khan I.M., Archer C.W.",00043591,"Arthritis and Rheumatism",58, 1,0,0,1,1,6,7
2007,"Stem cell differentiation and expansion for clinical applications of tissue engineering: Tissue Engineering Review Series","Guillot P.V., Cui W., Fisk N.M., Polak D.J.",15821838,"Journal of Cellular and Molecular Medicine",11, 5,0,0,7,7,3,10
2007,"Osterix induces osteogenic gene expression but not differentiation in primary human fetal mesenchymal stem cells","Kurata H., Guillot P.V., Chan J., Fisk N.M.",10763279,"Tissue Engineering",13, 7,0,0,5,5,2,7
2007,"Pertrochanteric fractures in elderly subjects aged over 75 | Les fractures du massif trochantérien chez les sujets âgés de plus de 75 ans","Waast D., Touraine D., Wessely L., Ropars M., Coipeau P., Perrier C., Guillot P.",00351040,"Revue de Chirurgie Orthopedique et Reparatrice de l'Appareil Moteur",93, 4,0,0,0,0,0,0
2007,"Widespread distribution and muscle differentiation of human fetal mesenchymal stem cells after intrauterine transplantation in dystrophic mdx mouse","Chan J., Waddington S.N., O'Donoghue K., Kurata H., Guillot P.V., Gotherstrom C., Themis M., Morgan J.E., Fisk N.M.",10665099,"Stem Cells",25, 4,0,4,8,12,8,20
2007,"Human first-trimester fetal MSC express pluripotency markers and grow faster and have longer telomeres than adult MSC","Guillot P.V., Gotherstrom C., Chan J., Kurata H., Fisk N.M.",10665099,"Stem Cells",25, 3,0,6,26,32,14,46
2007,"25 mg etanercept once weekly in rheumatoid arthritis and spondylarthropathy{lozenge, open}{lozenge, open}Pour citer cet article, utiliser ce titre en anglais et sa référence dans le même volume de Joint Bone Spine. | Traitement par etanercept des polyarthrites rhumatoïdes et des spondylarthropathies à la posologie de 25 mg par semaine","Berthelot J.-M., Varin S., Cormier G., Tortellier L., Guillot P., Glemarec J., Maugars Y.",11698330,"Revue du Rhumatisme (Edition Francaise)",74, 3,0,0,0,0,0,0
2007,"25 mg etanercept once weekly in rheumatoid arthritis and spondylarthropathy","Berthelot J.-M., Varin S., Cormier G., Tortellier L., Guillot P., Glemarec J., Maugars Y.",1297319X,"Joint Bone Spine",74, 2,0,0,1,1,0,1
2006,"Fetal stem cells: Betwixt and between","Guillot P.V., O'Donoghue K., Kurata H., Fisk N.M.",15268004,"Seminars in Reproductive Medicine",24, 5,0,8,7,15,3,18
2006,"Splicing speckles are not reservoirs of RNA polymerase II, but contain an inactive form, phosphorylated on serine2 residues of the C-terminal domain","Xie S.Q., Martin S., Guillot P.V., Bentley D.L., Pombo A.",10591524,"Molecular Biology of the Cell",17, 4,3,9,8,17,8,28
