,"This is a citation overview for a set of 234 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 26 (Of the 234 documents considered for the h-Index, 26 have been cited at least 26 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1883,283,308,591,200,2674
2009,"Pilot study for a new bipolar radiofrequency ablation/aspirator device in the management of primary and secondary liver cancers","Zacharoulis D., Khorsandi S.E., Vavra P., Dostalik J., Navarra G., Nicholls J.P., Jiao L.R., Habib N.A.",14783223,"Liver International",29, 6,0,0,0,0,0,0
2009,"Transanal endoscopic microsurgery:A novel technique for the repair of begin rectovaginal fistula","Vavra P., Dostalik J., Vavrova M., Cunkova P., Pai M., El-Cendi A., Habib N., Papaevangelou A.",1479666X,"Surgeon",7, 2,0,0,0,0,0,0
2009,"Generation in vivo of peptide-specific cytotoxic T cells and presence of regulatory T cells during vaccination with hTERT (class I and II) peptide-pulsed DCs","Aloysius M.M., Satthaporn S., Sreenivasan T., El-Sheemy M., Eremin O., Mc Kechnie A.J., Robins R.A., Verma C., Eremin J.M., Farzaneh F., Habib N.A., Bhalla J., Hardwick N.R.",14795876,"Journal of Translational Medicine",7, ,0,0,0,0,1,1
2008,"Laparoscopic liver resection assisted by the laparoscopic Habib Sealer","Jiao L.R., Ayav A., Navarra G., Sommerville C., Pai M., Damrah O., Khorsandi S., Habib N.A.",00396060,"Surgery",144, 5,0,0,0,0,1,1
2008,"Management of delayed postoperative hemorrhage after pancreaticoduodenectomy: A meta-analysis","Limongelli P., Khorsandi S.E., Pai M., Jackson J.E., Tait P., Tierris J., Habib N.A., Williamson R.C.N., Jiao L.R.",00040010,"Archives of Surgery",143, 10,0,0,0,0,0,0
2008,"Repeat hepatic resection using a radiofrequency-assisted technique","El-Gendi A.M., Khorsandi S.E., Pai M., Zacharoulis D., Nicholls J.P., Spalding D.R.C., Jiao L.R., Habib N.A.",02534886,"Digestive Surgery",25, 4,0,0,0,0,0,0
2008,"The phosphorylated membrane Estrogen receptor and cytoplasmic signaling and apoptosis proteins in human breast cancer","Mintz P.J., Habib N.A., Jones J.L., Giamas G., Lewis J.S., Bowen R.L., Coombes R.C., Stebbing J.",0008543X,"Cancer",113, 6,0,0,0,0,0,0
2008,"Laparoscopic Habib? 4X: A bipolar radiofrequency device for bloodless laparoscopic liver resection","Pai M., Navarra G., Ayav A., Sommerville C., Khorsandi S.K., Damrah O., Jiao L.R., Habib N.A.",1365182X,"HPB",10, 4,0,0,0,0,1,1
2008,"Liver resection with bipolar radiofrequency device: Habib? 4X","Pai M., Jiao L.R., Khorsandi S., Canelo R., Spalding D.R.C., Habib N.A.",1365182X,"HPB",10, 4,0,0,0,0,0,0
2008,"Protein crystals in adenovirus type 5-infected cells: Requirements for intranuclear crystallogenesis, structural and functional analysis","Franqueville L., Hong S.S., Boulanger P., Henning P., Magnusson M., Vigne E., Schoehn G., Blair-Zajdel M.E., Habib N., Lindholm L., Blair G.E.",19326203,"PLoS ONE",3, 8,0,0,0,0,1,1
2008,"Autologous infusion of expanded mobilized adult bone marrow-derived CD34+ cells into patients with alcoholic liver cirrhosis","Pai M., Jestice K., Glibetic M., Bansi D., Khan S.A., Kyriakou D., Rountas C., Thillainayagam A., Nicholls J.P., Jensen S., Apperley J.F., Zacharoulis D., Gordon M.Y., Habib N.A., Milicevic M.N., Helmy S., Jiao L.R., Levicar N., Tait P., Scott M., Marley S.B.",00029270,"American Journal of Gastroenterology",103, 8,0,0,0,0,4,4
2008,"Liver resection with a new multiprobe bipolar radiofrequency device","Ayav A., Jiao L., Dickinson R., Nicholls J., Milicevic M., Pellicci R., Bachellier P., Habib N.",00040010,"Archives of Surgery",143, 4,0,0,1,1,1,2
2008,"Minimally invasive and selective hydrodynamic gene therapy of liver segments in the pig and human","Khorsandi S.E., Al-Waracky M., Salama H., Jiao L., Nicholls J., Davies A.J., Levicar N., Jensen S., Habib N., Bachellier P., Weber J.C., Greget M., Jaeck D., Zacharoulis D., Rountas C., Helmy S., Helmy A.",09291903,"Cancer Gene Therapy",15, 4,0,0,3,3,4,7
2008,"High frequency of fetal cells within a primitive stem cell population in maternal blood.","Mikhail M.A., Gordon M.Y., M'Hamdi H., Welsh J., Levicar N., Marley S.B., Nicholls J.P., Habib N.A., Louis L.S., Fisk N.M.",14602350,"Human reproduction (Oxford, England)",23, 4,0,0,1,1,3,4
2008,"Management of delayed arterial hemorrhage after pancreaticoduodenectomy. A case series","Khorsandi S.E., Limongelli P., Jackson J.E., Tait P., Williamson R.C., Habib N.A., Jiao L.R.",15908577,"Journal of the Pancreas",9, 2,0,0,0,0,0,0
2008,"Long-term clinical results of autologous infusion of mobilized adult bone marrow derived CD34+ cells in patients with chronic liver disease","Levicar N., Jensen S.L., Nicholls J.P., Apperley J.F., Gordon M.Y., Pai M., Habib N.A., Tait P., Jiao L.R., Marley S.B., Davis J., Dazzi F., Smadja C.",09607722,"Cell Proliferation",41, 1,0,0,2,2,2,4
2008,"Preoperative portal vein embolization for major liver resection: A meta-analysis","Abulkhir A., Limongelli P., Healey A.J., Damrah O., Tait P., Jackson J., Habib N., Jiao L.R.",00034932,"Annals of Surgery",247, 1,0,0,9,9,15,24
2007,"Induction of tumor-specific T-cell responses by vaccination with tumor lysate-loaded dendritic cells in colorectal cancer patients with carcinoembryonic-antigen positive tumors","Tamir A., Harrison P., Stauss H., George A.J.T., Habib N., Lechler R.I., Lombardi G., Basagila E., Kagahzian A., Jiao L., Jensen S., Nicholls J., Tate P., Stamp G., Farzaneh F.",03407004,"Cancer Immunology, Immunotherapy",56, 12,0,0,4,4,6,10
2007,"Erratum: Induction of tumor-specific T-cell responses by vaccination with tumor lysate-loaded dendritic cells in colorectal cancer patients with carcinoembryonic-antigen positive tumors (Cancer Immunology, Immunotherapy DOI 10.1007/s00262-007-0299-y)","Tamir A., Harrison P., Stauss H., George A.J.T., Habib N., Lechler R.I., Lombardi G., Basaglia E., Kagahzian A., Jiao L., Jensen S., Nicholls J., Tate P., Stamp G., Farzaneh F.",03407004,"Cancer Immunology, Immunotherapy",56, 12,0,0,0,0,0,0
2007,"Inhibition of angiogenesis and HCT-116 xenograft tumor growth in mice by kallistatin","Diao Y., Xu R.-A., Ma J., Xiao W.-D., Lu J., Li X.-Y., Chu K.-W., Fung P.W.C., Habib N., Farzaneh F.",10079327,"World Journal of Gastroenterology",13, 34,0,0,0,0,1,1
2007,"Correlation between preoperative biliary drainage, bile duct contamination, and postoperative outcomes for pancreatic surgery","Limongelli P., Pai M., Bansi D., Thiallinagram A., Tait P., Jackson J., Habib N.A., Williamson R.C.N., Jiao L.R.",00396060,"Surgery",142, 3,0,0,0,0,4,4
2007,"Stem cells as a treatment for chronic liver disease and diabetes.","Levicar N., Dimarakis I., Flores C., Tracey J., Gordon M.Y., Habib N.A.",01712004,"Handbook of experimental pharmacology",, 180,0,1,1,2,0,2
2007,"Vaccination of colorectal cancer patients with modified vaccinia ankara encoding the tumor antigen 5T4 (TroVax) given alongside chemotherapy induces potent immune responses","Harrop R., Nicholls J., Wassan H., Habib N., Anthoney A., Drury N., Shingler W., Chikoti P., Redchenko I., Carroll M.W., Kingsman S.M., Naylor S., Melcher A.",10780432,"Clinical Cancer Research",13, 15,0,0,8,8,9,17
2007,"Bloodless liver resection using radiofrequency energy","Ayav A., Jiao L.R., Habib N.A.",02534886,"Digestive Surgery",24, 4,0,0,8,8,1,9
2007,"Clinical and imaging experience with yttrium-90 microspheres in the management of unresectable liver tumours","Jiao L.R., Thillainayagam A., Bansi D., Rubello D., Limongelli P., Woo K., Habib N.A., Szyszko T., Al-Nahhas A., Tait P., Canelo R., Stamp G., Wasan H., Lowdell C., Philips R.",07487983,"European Journal of Surgical Oncology",33, 5,0,2,6,8,3,11
2007,"Recent advances and current challenges in tumor immunology and immunotherapy","Guinn B.-A., Kasahara N., Farzaneh F., Habib N.A., Norris J.S., Deisseroth A.B.",15250016,"Molecular Therapy",15, 6,0,0,2,2,3,5
2007,"Adenovirus 5 vector genetically re-targeted by an Affibody molecule with specificity for tumor antigen HER2/neu","Magnusson M.K., Habib N.A., Stahl S., Boulanger P., Lindholm L., Henning P., Myhre S., Wikman M., Uil T.G., Friedman M., Andersson K.M.E., Hong S.S., Hoeben R.C.",09291903,"Cancer Gene Therapy",14, 5,0,1,6,7,7,14
2007,"Laparoscopic liver resection assisted with radiofrequency","Bachellier P., Ayav A., Pai M., Weber J.-C., Rosso E., Jaeck D., Habib N.A., Jiao L.R.",00029610,"American Journal of Surgery",193, 4,0,0,4,4,4,8
2007,"Experimental and clinical radiofrequency ablation: Proposal for standardized description of coagulation size and geometry","Mulier S., Jansen M.C., Lacrosse M., Leveillee R., Miao Y., Mulier P., Mutter D., Ng K.K., Santambrogio R., Stippel D., Tamaki K., Ni Y., Van Gulik T.M., Marchal G., Michel L., Frich L., Burdio F., Denys A.L., De Wispelaere J.-F., Dupas B., Habib N., Hoey M.",10689265,"Annals of Surgical Oncology",14, 4,0,2,4,6,4,10
2007,"Results of major hepatectomy without vascular clamping using radiofrequency-assisted technique compared with total vascular exclusion","Ayav A., Navarra G., Basaglia E., Tierris J., Healey A., Spalding D., Canelo R., Habib N.A., Jiao L.R.",01726390,"Hepato-Gastroenterology",54, 75,0,0,1,1,0,1
2007,"Impact of radiofrequency assisted hepatectomy for reduction of transfusion requirements","Ayav A., Bachellier P., Habib N.A., Pellicci R., Tierris J., Milicevic M., Jiao L.R.",00029610,"American Journal of Surgery",193, 2,0,1,10,11,5,16
2007,"Assessment of response to treatment of unresectable liver tumours with 90Y microspheres: Value of FDG PET versus computed tomography","Szyszko T., Al-Nahhas A., Canelo R., Habib N., Jiao L., Wasan H., Pagou M., Tait P.",01433636,"Nuclear Medicine Communications",28, 1,0,4,7,11,1,12
2007,"Management and prevention of adverse effects related to treatment of liver tumours with 90Y microspheres","Szyszko T., Thillainayagam A., Nijran K., Stamp G., O'Rourke E., Al-Nahhas A., Tait P., Rubello D., Canelo R., Habib N., Jiao L., Wasan H., Bansi D.",01433636,"Nuclear Medicine Communications",28, 1,0,3,3,6,3,9
2006,"A modified radiofrequency-assisted approach to right hemihepatectomy","Ferko A., Koci J., Motycka P., Lesko M., Subrt Z., Melichar B., Hoffman P., Dvorak P., Vacek Z., Liao L.R., Habib N.A.",07487983,"European Journal of Surgical Oncology",32, 10,0,1,5,6,1,7
2006,"Radio frequency assisted liver resection: The habib's technique","Jiao L.R., Navarra G., Weber J.-C., Havlic R., Nicholls J.P., Habib N.A.",00652598,"Advances in Experimental Medicine and Biology",574, ,0,0,1,1,0,1
2006,"A new technique for spleen preservation with radiofrequency","Jiao L.R., Tierris I., Ayav A., Milicevic M., Pellicci R., Navarra G., Habib N.A.",00396060,"Surgery",140, 3,0,0,1,1,1,2
2006,"In vitro stem cell differentiation into cardiomyocytes. Part 2: Chemicals, extracellular matrix, physical stimuli and coculture assays","Dimarakis I., Levicar N., Nihoyannopoulos P., Gordon M.Y., Habib N.A.",15740668,"Journal of Cardiothoracic-Renal Research",1, 2,0,0,0,0,0,0
2006,"In vitro stem cell differentiation into cardiomyocytes. Part 1. Culture medium and growth factors","Dimarakis I., Levicar N., Nihoyannopoulos P., Habib N.A., Gordon M.Y.",15740668,"Journal of Cardiothoracic-Renal Research",1, 2,0,0,0,0,0,0
2006,"Randomized clinical trial of the effects of abdominal drainage after elective hepatectomy using the crushing clamp method (Br J Surg 2006; 93: 422-426) [5]","Jiao L.R., Habib N.A.",00071323,"British Journal of Surgery",93, 8,0,0,0,0,0,0
2006,"Characterization and clinical application of human CD34+ stem/progenitor cell populations mobilized into the blood by granulocyte colony-stimulating factor","Gordon M.Y., Marley S.B., Davies J., Dazzi F., Marelli-Berg F., Tait P., Playford R., Jiao L., Jensen S., Nicholls J.P., Ayav A., Levicar N., Nohandani M., Farzaneh F., Gaken J., Dodge R., Alison M., Apperley J.F., Lechler R., Habib N.A., Pai M., Bachellier P., Dimarakis I., Al-Allaf F., M'Hamdi H., Thalji T., Welsh J.P.",10665099,"Stem Cells",24, 7,1,13,23,36,4,41
2006,"Analysis of p53 mutations for a mutational signature in human intrahepatic cholangiocarcinoma.","Khan S.A., Taylor-Robinson S.D., Carmichael P.L., Habib N., Lemoine N.R., Thomas H.C.",10196439,"International journal of oncology.",28, 5,1,0,0,0,0,1
2006,"Immune suppression uncovers endogenous cytopathic effects of the hepatitis B virus","Meuleman P., Libbrecht L., Wieland S., De Vos R., Habib N., Kramvis A., Roskams T., Leroux-Roels G.",0022538X,"Journal of Virology",80, 6,2,6,7,13,4,19
2005,"Portal hypertension secondary to 90Yttrium microspheres: An unknown complication [4]","Ayav A., Habib N., Jiao L.R.",0732183X,"Journal of Clinical Oncology",23, 32,1,5,2,7,1,9
2005,"Interferon-?2a is sufficient for promoting dendritic cell immunogenicity","Tamir A., Jordan W.J., Ritter M., Habib N., Lechler R.I., Foster G.R., Lombardi G.",00099104,"Clinical and Experimental Immunology",142, 3,3,1,4,5,0,8
2005,"New technique for liver resection using heat coagulative necrosis [4]","Ayav A., Navarra G., Habib N.A., Jiao L.R.",00034932,"Annals of Surgery",242, 5,0,3,2,5,0,5
2005,"Short- and -long term results of intraoperative radiofrequency ablation of liver metastases","Navarra G., Ayav A., Weber J.-C., Jensen S.L., Smadga C., Nicholls J.P., Habib N.A., Jiao L.R.",01791958,"International Journal of Colorectal Disease",20, 6,4,7,4,11,3,18
2005,"Radiofrequency assisted liver resection - A novel technique","Jiao L.R., Navarra G., Weber J.-C., Havlik R., Nicholls J.P., Habib N.A.",01726390,"Hepato-Gastroenterology",52, 66,2,6,1,7,1,10
2005,"Adult bone marrow-derived stem cells and the injured heart: Just the beginning?","Dimarakis I., Habib N.A., Gordon M.Y.A.",10107940,"European Journal of Cardio-thoracic Surgery",28, 5,3,3,3,6,0,9
