,"This is a citation overview for a set of 41 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 41 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,369,63,70,133,43,545
2009,"The impact of enteral feeding protocols on nutritional support in critically ill children","Meyer R., Harrison S., Sargent S., Ramnarayan P., Habibi P., Labadarios D.",09523871,"Journal of Human Nutrition and Dietetics",22, 5,0,0,0,0,1,1
2008,"Evaluation of the M-COVX metabolic monitor in mechanically ventilated adult patients","Meyer R., Briassouli E., Briassoulis G., Habibi P.",17514991,"e-SPEN",3, 5,0,0,0,0,1,1
2007,"Successful blind placement of nasojejunal tubes in paediatric intensive care: Impact of training and audit","Meyer R., Harrison S., Cooper M., Habibi P.",03092402,"Journal of Advanced Nursing",60, 4,0,0,0,0,2,2
2007,"Comparing methods for measuring energy expenditure in the critically ill","Meyer R., Habibi P.",08999007,"Nutrition",23, 3,0,0,0,0,0,0
2005,"Unattended home sleep studies for the evaluation of suspected obstructive sleep apnoea syndrome in children","Patel A., Watson M., Habibi P.",1357633X,"Journal of Telemedicine and Telecare",11, 1,0,0,1,1,0,1
2005,"Early application of generic mortality risk scores in presumed meningococcal disease","Festa M.S., Tibby S.M., Taylor D., Durward A., Habibi P., Murdoch I.A.",15297535,"Pediatric Critical Care Medicine",6, 1,5,1,1,2,0,7
2004,"Influence of a multidisciplinary paediatric allergy clinic on parental knowledge and rate of subsequent allergic reactions","Kapoor S., Roberts G., Bynoe Y., Gaughan M., Habibi P., Lack G.",01054538,"Allergy: European Journal of Allergy and Clinical Immunology",59, 2,14,5,7,12,2,28
2004,"Children with human immunodeficiency virus admitted to a paediatric intensive care unit in the United Kingdom over a 10-year period","Cooper S., Lyall H., Walters S., Tudor-Williams G., Habibi P., De Munter C., Britto J., Nadel S.",03424642,"Intensive Care Medicine",30, 1,3,3,3,6,0,9
2003,"Does the use of a specialised paediatric retrieval service result in the loss of vital stabilisation skills among referring hospital staff?","Ramnarayan P., Britto J., Tanna A., Thomas D., Alexander S., Habibi P.",00039888,"Archives of Disease in Childhood",88, 10,3,0,0,0,1,4
2003,"Food allergy as a risk factor for life-threatening asthma in childhood: A case-controlled study","Roberts G., Patel N., Levi-Schaffer F., Habibi P., Lack G.",00916749,"Journal of Allergy and Clinical Immunology",112, 1,40,15,9,24,5,69
2003,"Let's work together. Interview by Kathy Oxtoby.","Morgan H., Habibi P., Swann E., Kilgallon C., Taylor C., McDonald P., Knott L., Stewart J.",09547762,"Nursing times",99, 4,0,0,0,0,0,0
2002,"Reduction in case fatality rate from meningococcal disease is due to genuine teamwork [6]","Nadel S., Habibi P., De-Munter C., Britto J., Levin M., Booy R.",00039888,"Archives of Disease in Childhood",87, 6,0,0,0,0,0,0
2002,"A comparison of three scoring systems for mortality risk among retrieved intensive care patients","Tibby S.M., Taylor D., Festa M., Hanna S., Hatherill M., Jones G., Habibi P., Durward A., Murdoch I.A.",00039888,"Archives of Disease in Childhood",87, 5,10,5,0,5,2,17
2002,"Should charities have a role in funding the NHS?","Habibi P., Lister J.",09547762,"Nursing times",98, 21,0,0,0,0,0,0
2002,"Noninvasive measurement of cardiac output in critically ill children","Mohan U.R., Britto J., Habibi P., De Munter C., Nadel S.",01720643,"Pediatric Cardiology",23, 1,3,0,3,3,1,7
2001,"Reduction in case fatality rate from meningococcal disease associated with improved Healthcare delivery","Booy R., Habibi P., Nadel S., De Munter C., Britto J., Morrison A., Levin M.",00039888,"Archives of Disease in Childhood",85, 5,70,12,20,32,12,114
2001,"Non-invasive ventilation in infants during interhospital transfer","Killick C., Habibi P., Britto J.",02660970,"Care of the Critically Ill",17, 5,0,0,0,0,0,0
2000,"A myocardial cytotoxic process is involved in the cardiac dysfunction of meningococcal septic shock","Thiru Y., Pathan N., Bignall S., Habibi P., Levin M.",00903493,"Critical Care Medicine",28, 8,40,7,2,9,2,51
2000,"Efficacy of chest CT in a pediatric ICU: A prospective study","Thomas K.E., Owens C.M., Britto J., Nadel S., Habibi P., Nicholson R.",00123692,"Chest",117, 6,4,0,0,0,0,4
2000,"The orthopaedic management of peripheral ischaemia in meningococcal septicaemia in children","Davies M.S., Nadel S., Habibi P., Levin M., Hunt D.M.",0301620X,"Journal of Bone and Joint Surgery - Series B",82, 3,10,3,2,5,2,17
1999,"Emergency cranial computed tomography in the management of acute febrile encephalopathy in children","Nadel S., Joarder R., Gibson M., Stevens J., Britto J., Habibi P., Owens C.",13510622,"Journal of Accident and Emergency Medicine",16, 6,5,1,1,2,1,8
1999,"Distribution and pathophysiology of acute lobar collapse in the pediatric intensive care unit","Thomas K., Habibi P., Britto J., Owens C.M.",00903493,"Critical Care Medicine",27, 8,2,1,1,2,2,6
1999,"Pertussis is increasing in unimmunised infants: Is a change in policy needed?","Ranganathan S., Tasker R., Booy R., Habibi P., Nadel S., Britto J.",00039888,"Archives of Disease in Childhood",80, 3,26,2,1,3,0,29
1998,"Human albumin administration in critically ill patients. Review did not provide recommendations for alternative treatment.","Nadel S., Marriage S., De Munter C., Britto J., Habibi P., Levin M.",09598138,"BMJ (Clinical research ed.)",317, 7162,5,0,1,1,0,6
1998,"Human albumin administration in critically ill patients (multiple letters) [1]","Petros A., Britto J., Habibi P., Levin M., Kaag M., Zoetmulder F.A.N., Riordan F.A.I., Williams A., Thomson A.P.J., Shwe K.H., Bhavnani M., Schindler M., Roberts I., Pierce C., Jacobe S., Mok Q., Nel M.R., Nadel S., Marriage S., De Munter C.",09598146,"British Medical Journal",317, 7162,1,0,0,0,0,1
1998,"Avoidable deficiencies in the delivery of health care to children with meningococcal disease","Nadel S., Britto J., Booy R., Maconochie I., Habibi P., Levin M.",13510622,"Emergency Medicine Journal",15, 5,21,2,2,4,3,28
1997,"ECMO for refractory cardiorespiratory failure due to meningococcal disease.","De Munter C., Nadel S., Britto J., Habibi P., Levin M.",01406736,"Lancet",349, 9062,4,0,0,0,0,4
1996,"Severity of illness scores and risk of complication during transfer.","Britto J., Nadel S., Levin M., Habibi P.",03424642,"Intensive care medicine",22, 10,0,0,0,0,0,0
1996,"Systemic complications associated with bacterial tracheitis","Britto J., Habibi P., Walters S., Levin M., Nadel S.",00039888,"Archives of Disease in Childhood",74, 3,13,1,1,2,3,18
1996,"Impact of specialised paediatric retrieval teams [1]","Mok Q., Cooper R.M., Cray S.H., Sharples A., O'Neill M., Dearlove O., Britto J., Maconochie I., Nadel S., Levin M., Habibi P., Tasker R., Macrae D., James I., Morrison A., Runcie C., Kelleher A., Murdoch L., Raffles A.",09598146,"British Medical Journal",312, 7023,1,0,0,0,0,1
1995,"Morbidity and severity of illness during interhospital transfer: Impact of a specialised paediatric retrieval team","Britto J., Nadel S., Maconochie I., Levin M., Habibi P.",09598146,"British Medical Journal",311, 7009,47,3,10,13,2,62
1995,"Letter to editor [1]","Pilkington S.N., McQuillan P.J., Smith G.B., Taylor B.L., Russell R.I.R., Jones N., Nadel S., Habibi P., Levin M.",02660970,"Care of the Critically Ill",11, 3,0,0,0,0,0,0
1995,"Mobile paediatric intensive care: The ethos of transfering critically ill children","Britto J., Nadel S., Levin M., Habibi P.",02660970,"Care of the Critically Ill",11, 6,2,0,1,1,0,3
1995,"Management of meningococcal septicaemia","Nadel S., Habibi P., Levin M.",02660970,"Care of the Critically Ill",11, 1,4,0,0,0,0,4
1995,"Gastrointestinal perforation complicating meningococcal disease","Britto J., Nadel S., Habibi P., Levin M.",08913668,"Pediatric Infectious Disease Journal",14, 5,3,0,2,2,0,5
1994,"Adverse events occurring during interhospital transfer of the critically ill [3]","Britto J., Nadel S., Habibi P., Levin M.",00039888,"Archives of Disease in Childhood",71, 6,0,0,0,0,0,0
1994,"Hypoglycaemia and Golytely in distal intestinal obstruction syndrome","Shah A., Madge S., Dinwiddie R., Habibi P.",01410768,"Journal of the Royal Society of Medicine",87, 2,0,0,0,0,0,0
1994,"Pediatric risk of mortality score underestimates the requirement for intensive care during interhospital transport [4]","Britto J., McCloskey K.A., Nadel S., Habibi P., Levin M., Orr R.A., Venkataraman S.T., Cinoman M.I., Hogue B.L., Singleton C.A.",00903493,"Critical Care Medicine",22, 12,1,0,0,0,0,1
1991,"Lobar emphysema: Long-term imaging follow-up","Kennedy C.D., Habibi P., Matthew D.J., Gordon I.",00338419,"Radiology",180, 1,23,0,1,1,0,24
1988,"The trisomy (5)(q31-qter) syndrome: Study of a family with a t(5:14) translocation","Elias-Jones A.C., Habibi P., Larcher V.F., Spencer T., Butler L.J.",00039888,"Archives of Disease in Childhood",63, 4,9,2,1,3,1,13
1984,"Hepatitis B virus infection in thalassemia major.","Larcher V., Habibi P., Price E.",02670623,"British medical journal (Clinical research ed.)",289, 6443,0,0,0,0,0,0
