,"Author: Hajitou, Amin",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 22 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,422,107,130,237,85,744
2009,"A heterotypic bystander effect for tumor cell killing after adeno-associated virus/phage-mediated, vascular-targeted suicide gene transfer","Trepel M., Stoneham C.A., Eleftherohorinou H., Mazarakis N.D., Pasqualini R., Arap W., Hajitou A.",15357163,"Molecular Cancer Therapeutics",8, 8,0,0,0,0,0,0
2009,"Launching a novel preclinical infrastructure: Comparative oncology trials consortium directed therapeutic targeting of TNF? to cancer vasculature","Paoloni M.C., Thamm D., Sorenmo K., Hajitou A., Pasqualini R., Arap W., Khanna C., Libutti S.K., Tandle A., Mazcko C., Hanna E., Kachala S., LeBlanc A., Newman S., Vail D., Henry C.",19326203,"PLoS ONE",4, 3,0,0,0,0,0,0
2009,"An unrecognized extracellular function for an intracellular adapter protein released from the cytoplasm into the tumor microenvironment","Mintz P.J., Souza G.R., Easley J., Salameh A., Oliviero S., Brentani R.R., Koivunen E., Arap W., Pasqualini R., Cardo-Vila M., Ozawa M.G., Hajitou A., Rangel R., Guzman-Rojas L., Christianson D.R., Arap M.A., Giordano R.J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 7,0,0,0,0,0,0
2009,"Tumor vasculature-targeted delivery of tumor necrosis factor-?","Tandle A., Hewitt S., Libutti S.K., Hanna E., Lorang D., Hajitou A., Moya C.A., Pasqualini R., Arap W., Adem A., Starker E.",0008543X,"Cancer",115, 1,0,0,0,0,4,4
2008,"A preclinical model for predicting drug response in soft-tissue sarcoma with targeted AAVP molecular imaging","Hajitou A., Gelovani J.G., Pasqualini R., Arap W., Lev D.C., Hannay J.A.F., Korchin B., Staquicini F.I., Soghomonyan S., Alauddin M.M., Benjamin R.S., Pollock R.E.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",105, 11,0,0,4,4,5,9
2007,"Design and construction of targeted AAVP vectors for mammalian cell transduction","Hajitou A., Rangel R., Trepel M., Soghomonyan S., Gelovani J.G., Alauddin M.M., Pasqualini R., Arap W.",17542189,"Nature Protocols",2, 3,0,0,7,7,4,11
2007,"Molecular PET imaging of HSV1-tk reporter gene expression using [18F]FEAU","Soghomonyan S., Hajitou A., Rangel R., Trepel M., Pasqualini R., Arap W., Gelovani J.G., Alauddin M.M.",17542189,"Nature Protocols",2, 2,0,1,6,7,3,10
2006,"In vivo detection of gold-imidazole self-assembly complexes: NIR-SERS signal reporters","Souza G.R., Levin C.S., Hajitou A., Pasqualini R., Arap W., Miller J.H.",00032700,"Analytical Chemistry",78, 17,0,1,8,9,6,15
2006,"A Hybrid Vector for Ligand-Directed Tumor Targeting and Molecular Imaging","Hajitou A., Rangel R., Sun Y., Zaoui K., Schmidt M., von Kalle C., Weitzman M.D., Gelovani J.G., Pasqualini R., Arap W., Trepel M., Lilley C.E., Soghomonyan S., Alauddin M.M., Marini III F.C., Restel B.H., Ozawa M.G., Moya C.A.",00928674,"Cell",125, 2,4,12,22,34,12,50
2006,"Vascular targeting: Recent advances and therapeutic perspectives","Hajitou A., Pasqualini R., Arap W.",10501738,"Trends in Cardiovascular Medicine",16, 3,2,10,15,25,10,37
2004,"Cell surface expression of the stress response chaperone GRP78 enables tumor targeting by circulating ligands","Arap M.A., Lahdenranta J., Mintz P.J., Hajitou A., Sarkis A.S., Arap W., Pasqualini R.",15356108,"Cancer Cell",6, 3,22,12,25,37,17,76
2004,"Plasmin-activated doxorubicin prodrugs containing a spacer reduce tumor growth and angiogenesis without systemic toxicity.","Devy L., de Groot F.M., Blacher S., Hajitou A., Beusker P.H., Scheeren H.W., Foidart J.M., Noel A.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",18, 3,10,3,1,4,1,15
2004,"Aminopeptidase A is a functional target in angiogenic blood vessels","Marchio S., Giordano R.J., Nanus D.M., Dijkman H.B.P.M., Oosterwijk E., Sidman R.L., Cooper M.D., Bussolino F., Pasqualini R., Arap W., Lahdenranta J., Schlingemann R.O., Valdembri D., Wesseling P., Arap M.A., Hajitou A., Ozawa M.G., Trepel M.",15356108,"Cancer Cell",5, 2,20,7,13,20,5,45
2004,"Model of unidirectional transluminal gene transfer","Arap M.A., Lahdenranta J., Hajitou A., Marini III F.C., Wood C.G., Wright K.C., Fueyo J., Arap W., Pasqualini R.",15250016,"Molecular Therapy",9, 2,1,1,1,2,0,3
2002,"The antitumoral effect of endostatin and angiostatin is associated with a down-regulation of vascular endothelial growth factor expression in tumor cells.","Hajitou A., Foidart J.M., Noel A., Grignet C., Devy L., Berndt S., Blacher S., Deroanne C.F., Bajou K., Fong T., Chiang Y.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",16, 13,49,17,4,21,8,78
2002,"MTI-MMP expression promotes tumor growth and angiogenesis through an up-regulation of vascular endothelial growth factor expression","Sounni N.E., Noel A., Devy L., Hajitou A., Frankenne F., Munaut C., Gilles C., Deroanne C., Thompson E.W., Foidart J.M.",08926638,"FASEB Journal",16, 6,81,18,7,25,5,111
2001,"Down-regulation of vascular endothelial growth factor by tissue inhibitor of metalloproteinase-2: Effect on in vivo mammary tumor growth and angiogenesis","Hajitou A., Nusgens B.V., Frankenne F., Maron A., Yeh P., Perricaudet M., Chang Y., Soria C., Calberg-Bacq C.-M., Foidart J.-M., Noel A., Sounni N.-E., Devy L., Grignet-Debrus C., Lewalle J.-M., Li H., Deroanne C.F., Lu H., Colige A.",00085472,"Cancer Research",61, 8,58,7,2,9,2,69
2000,"Progression in MCF-7 breast cancer cell tumorigenicity: Compared effect of FGF-3 and FGF-4","Hajitou A., Deroanne C., Noel A., Collette J., Nusgens B., Foidart J.-M., Calberg-Bacq C.-M.",01676806,"Breast Cancer Research and Treatment",60, 1,3,0,0,0,0,3
2000,"Demonstration in vivo that stromelysin-3 functions through its proteolytic activity","Noel A., Boulay A., Kebers F., Kannan R., Hajitou A., Calberg-Bacq C.-M., Basset P., Rio M.-C., Foidart J.-M.",09509232,"Oncogene",19, 12,24,7,4,11,1,36
1998,"FGF-3 and FGF-4 elicit distinct oncogenic properties in mouse mammary myoepithelial cells","Hajitou A., Baramova E.N., Bajou K., Noe V., Bruyneel E., Mareel M., Collette J., Foidart J.-M., Calberg-Bacq C.-M.",09509232,"Oncogene",17, 16,14,3,3,6,0,20
1998,"Inhibition of stromal matrix metalloproteases: Effects on breast-tumor promotion by fibroblasts","Noel A., Calberg-Bacq C.-M., Foidart J.-M., Hajitou A., L'Hoir C., Maquoi E., Baramova E., Lewalle J.-M., Remacle A., Kebers F., Brown P.",00207136,"International Journal of Cancer",76, 2,53,4,6,10,2,65
1997,"Angiogenesis by fibroblast growth factor 4 is mediated through an autocrine up-regulation of vascular endothelial growth factor expression","Deroanne C.F., Hajitou A., Calberg-Bacq C.-M., Nusgens B.V., Lapiere C.M.",00085472,"Cancer Research",57, 24,70,4,2,6,0,76
1995,"Fibroblast growth factor 3 is tumorigenic for mouse mammary cells orthotopically implanted in nude mice","Hajitou A., Calberg-Bacq C.-M.",00207136,"International Journal of Cancer",63, 5,11,0,0,0,0,11
