,"Authors: Hajnal, Joseph V.; Hajnal, Jo V.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 25 (Of the 173 documents considered for the h-Index, 25 have been cited at least 25 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3206,476,514,990,361,4557
2009,"Diffusion Tensor Imaging (DTI) of the brain in moving subjects: Application to in-utero fetal and ex-utero studies","Jiang S., Xue H., Counsell S., Anjari M., Allsop J., Rutherford M., Rueckert D., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",62, 3,0,0,0,0,0,0
2009,"Chiral Swiss rolls show a negative refractive index","Wiltshire M.C.K., Pendry J.B., Hajnal J.V.",09538984,"Journal of Physics Condensed Matter",21, 29,0,0,0,0,0,0
2009,"Cardiac MRI of myocardial salvage at the peri-infarct border zones after primary coronary intervention","O'Regan D.P., Ahmed R., Neuwirth C., Tan Y., Durighel G., Hajnal J.V., Nadra I., Corbett S.J., Cook S.A.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",297, 1,0,0,0,0,0,0
2009,"The association of lung disease with cerebral white matter abnormalities in preterm infants","Anjari M., Counsell S.J., Srinivasan L., Allsop J.M., Hajnal J.V., Rutherford M.A., Edwards A.D.",00314005,"Pediatrics",124, 1,0,0,0,0,0,0
2009,"Multi-atlas based segmentation of brain images: Atlas selection and its effect on accuracy","Aljabar P., Heckemann R.A., Hammers A., Hajnal J.V., Rueckert D.",10538119,"NeuroImage",46, 3,0,0,0,0,0,0
2009,"An efficient automated z-shim based method to correct through-slice signal loss in EPI at 3T","Marshall H., Hajnal J.V., Warren J.E., Wise R.J., Larkman D.J.",09685243,"Magnetic Resonance Materials in Physics, Biology and Medicine",22, 3,0,0,0,0,0,0
2009,"Longitudinal regional brain volume changes quantified in normal aging and Alzheimer's APP × PS1 mice using MRI","Maheswaran S., Hartkens T., Hill D.L.G., Upton N., Hajnal J.V., James M.F., Barjat H., Rueckert D., Bate S.T., Howlett D.R., Tilling L., Smart S.C., Pohlmann A., Richardson J.C.",00068993,"Brain Research",1270, C,0,0,0,0,0,0
2009,"Reperfusion hemorrhage following acute myocardial infarction: Assessment with T2*mapping and effect on measuring the area at risk","O'Regan D.P., Cook S.A., Ahmed R., Karunanithy N., Neuwirth C., Tan Y., Durighel G., Hajnal J.V., Nadra I., Corbett S.J.",00338419,"Radiology",250, 3,0,0,0,0,2,2
2009,"Analysis of serial magnetic resonance images of mouse brains using image registration","Maheswaran S., Rueckert D., Barjat H., Bate S.T., Aljabar P., Hill D.L.G., Tilling L., Upton N., James M.F., Hajnal J.V.",10538119,"NeuroImage",44, 3,0,0,0,0,0,0
2008,"Specific relations between neurodevelopmental abilities and white matter microstructure in children born preterm","Counsell S.J., Rutherford M.A., Cowan F.M., Edwards A.D., Chew A.T.M., Anjari M., Dyet L.E., Srinivasan L., Boardman J.P., Allsop J.M., Hajnal J.V.",00068950,"Brain",131, 12,0,0,0,0,2,2
2008,"Evaluation of rigid and non-rigid motion compensation of cardiac perfusion MRI.","Xue H., Guehring J., Srinivasan L., Zuehlsdorff S., Saddi K., Chefdhotel C., Hajnal J.V., Rueckert D.",,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention",11, 2,0,0,0,0,0,0
2008,"Evaluation of rigid and non-rigid motion compensation of cardiac perfusion MRI","Xue H., Guehring J., Srinivasan L., Zuehlsdorff S., Saddi K., Chefdhotel C., Hajnal J.V., Rueckert D.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",5242, 2,0,0,0,0,0,0
2008,"High b-value diffusion tensor imaging of the neonatal brain at 3T","Dudink J., Counsell S.J., Larkman D.J., Kapellou O., Boardman J.P., Allsop J.M., Cowan F.M., Hajnal J.V., Edwards A.D., Rutherford M.A.",01956108,"American Journal of Neuroradiology",29, 10,0,0,0,0,2,2
2008,"Quantitative 3T MR Imaging of the Descending Thoracic Aorta: Patients with Familial Hypercholesterolemia Have an Increased Aortic Plaque Burden Despite Long-Term Lipid-lowering Therapy","Schmitz S.A., O'Regan D.P., Fitzpatrick J., Neuwirth C., Potter E., Tosi I., Hajnal J.V., Naoumova R.P.",10510443,"Journal of Vascular and Interventional Radiology",19, 10,0,0,0,0,0,0
2008,"Deformation based morphmetry and atlas based label segmentation: Application to serial mouse brain images","Maheswaran S., Rueckert D., Barjat H., Bate S.T., Hartkens T., Hill D.L.G., Tilling L., Upton N., James M.F., Hajnal J.V.",,"2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro, Proceedings, ISBI",, ,0,0,0,0,0,0
2008,"High-speed optical observations and simulation results of SonoVue microbubbles at low-pressure insonation","Chetty K., Stride E., Sennoga C., Hajnal J., Eckersley R.",08853010,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",55, 6,0,0,0,0,2,2
2008,"Automatic volumetry on MR brain images can support diagnostic decision making","Heckemann R.A., Hammers A., Rueckert D., Aviv R.I., Harvey C.J., Hajnal J.V.",14712342,"BMC Medical Imaging",8, ,0,0,0,0,0,0
2008,"Liver fat content and T2*: Simultaneous measurement by using breath-hold multiecho MR imaging at 3.0 T - Feasibility","O'Regan D.P., Callaghan M.F., Wylezinska-Arridge M., Fitzpatrick J., Naoumova R.P., Hajnal J.V., Schmitz S.A.",00338419,"Radiology",247, 2,0,0,1,1,5,6
