,"This is a citation overview for a set of 82 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 25 (Of the 82 documents considered for the h-Index, 25 have been cited at least 25 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2900,324,402,726,222,3848
2009,"New drugs for exacerbations of chronic obstructive pulmonary disease","Hansel T.T., Barnes P.J.",01406736,"The Lancet",374, 9691,0,0,0,0,0,0
2009,"Non-specific interstitial pneumonia in cigarette smokers: A CT study","Marten K., Milne D., Antoniou K.M., Nicholson A.G., Tennant R.C., Hansel T.T., Wells A.U., Hansell D.M.",09387994,"European Radiology",19, 7,0,0,0,0,0,0
2008,"COPD-related morbidity and mortality after smoking cessation: Status of the evidence","Godtfredsen N.S., Lam T.H., Hansel T.T., Leon M.E., Gray N., Dresler C., Burns D.M., Prescott E., Vestbo J.",09031936,"European Respiratory Journal",32, 4,0,0,0,0,3,3
2008,"Rapid effect of inhaled ciclesonide in asthma: A randomized, placebo-controlled study","Erin E.M., Hansel T.T., Zacharasiewicz A.S., Nicholson G.C., Tan A.J., Neighbour H., Engelstatter R., Hellwig M., Kon O.M., Barnes P.J.",00123692,"Chest",134, 4,0,0,0,0,1,1
2008,"Antagonists of the prostaglandin D2 receptor CRTH2","Pettipher R., Hansel T.T.",02140934,"Drug News and Perspectives",21, 6,0,0,0,0,0,0
2008,"Safety of regadenoson, an adenosine A2A receptor agonist for myocardial perfusion imaging, in mild asthma and moderate asthma patients: A randomized, double-blind, placebo-controlled trial","Leaker B.R., O'Connor B., Hansel T.T., Barnes P.J., Meng L., Mathur V.S., Lieu H.D.",10713581,"Journal of Nuclear Cardiology",15, 3,0,0,0,0,3,3
2008,"Optimized dialysis and protease inhibition of sputum dithiothreitol supernatants","Erin E.M., Bush A., Jose P.J., Barnes P.J., Hansel T.T., Jenkins G.R., Kon O.M., Zacharasiewicz A.S., Nicholson G.C., Neighbour H., Tennant R.C., Tan A.J., Leaker B.R.",1073449X,"American Journal of Respiratory and Critical Care Medicine",177, 2,0,0,2,2,1,3
2007,"A study to evaluate safety and efficacy of mepolizumab in patients with moderate persistent asthma","Flood-Page P., Hansel T.T., Barnes N.C., Swenson C., Faiferman I., Matthews J., Williams M., Brannick L., Robinson D., Wenzel S., Busse W.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 11,0,2,21,23,26,49
2007,"A prospective study of decline in fat free mass and skeletal muscle strength in chronic obstructive pulmonary disease.","Hopkinson N.S., Tennant R.C., Dayer M.J., Swallow E.B., Hansel T.T., Moxham J., Polkey M.I.",1465993X,"Respiratory research",8, ,0,1,2,3,7,10
2007,"Antagonism of the prostaglandin D2 receptors DP1 and CRTH2 as an approach to treat allergic diseases","Pettipher R., Hansel T.T., Armer R.",14741776,"Nature Reviews Drug Discovery",6, 4,0,1,16,17,11,28
2007,"Does sputum eosinophilia predict the response to systemic corticosteroids in children with difficult asthma?","Lex C., Jenkins G., Wilson N.M., Zacharasiewicz A., Erin E., Hansel T.T., Bush A., Payne D.N.R.",87556863,"Pediatric Pulmonology",42, 3,0,2,3,5,1,6
2007,"From the authors [2]","Erin E.M., Onn M.K., Barnes P.J., Hansel T.T.",1073449X,"American Journal of Respiratory and Critical Care Medicine",175, 3,0,0,0,0,0,0
2007,"A novel flow cytometric assay of human whole blood neutrophil and monocyte CD11b levels: Upregulation by chemokines is related to receptor expression, comparison with neutrophil shape change, and effects of a chemokine receptor (CXCR2) antagonist","Nicholson G.C., Hansel T.T., Tennant R.C., Carpenter D.C., Sarau H.M., Kon O.M., Barnes P.J., Salmon M., Vessey R.S., Tal-Singer R.",10945539,"Pulmonary Pharmacology and Therapeutics",20, 1,0,1,3,4,2,6
2007,"From the authors [2]","Erin E.M., Onn M.K., Barnes P.J., Hansel T.T.",1073449X,"American Journal of Respiratory and Critical Care Medicine",175, 2,0,0,0,0,0,0
2006,"Airway eosinophilia in children with severe asthma: Predictive values of noninvasive tests","Lex C., Ferreira F., Zacharasiewicz A., Nicholson A.G., Haslam P.L., Wilson N.M., Hansel T.T., Payne D.N.R., Bush A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",174, 12,1,9,11,20,6,27
2006,"The effects of a monoclonal antibody directed against tumor necrosis factor-? in asthma","Erin E.M., Kon O.M., Barnes P.J., Hansel T.T., Leaker B.R., Nicholson G.C., Tan A.J., Green L.M., Neighbour H., Zacharasiewicz A.S., Barnathan E.S.",1073449X,"American Journal of Respiratory and Critical Care Medicine",174, 7,4,19,38,57,13,74
2006,"A multinational, 12-week, randomized study comparing the efficacy and tolerability of ciclesonide and budesonide in patients with asthma","Hansel T.T., Benezet O., Kafe H., Ponitz H.-H., Cheung D., Engelstatter R., Barnes P.J.",01492918,"Clinical Therapeutics",28, 6,4,7,7,14,0,18
2006,"Effects of a reversible ?-tryptase and trypsin inhibitor (RWJ-58643) on nasal allergic responses","Erin E.M., Barnes P.J., Hansel T.T., Leaker B.R., Zacharasiewicz A., Higgins L.A., Nicholson G.C., Boyce M.J., De Boer P., Jones R.C., Durham S.R.",09547894,"Clinical and Experimental Allergy",36, 4,2,1,4,5,1,8
2006,"Variability of bronchial inflammation in chronic obstructive pulmonary disease: Implications for study design","Gamble E., Rabe K.F., Barnes N.C., Jeffery P.K., Qiu Y., Wang D., Zhu J., Vignola A.M., Kroegel C., Morell F., Hansel T.T., Pavord I.D.",09031936,"European Respiratory Journal",27, 2,3,4,5,9,4,16
2005,"Single dose topical corticosteroid inhibits IL-5 and IL-13 in nasal lavage following grass pollen challenge","Erin E.M., Hansel T., Leaker B.R., Zacharasiewicz A.S., Higgins L.A., Williams T.J., Boyce M.J., De Boer P., Durham S.R., Barnes P.J.",01054538,"Allergy: European Journal of Allergy and Clinical Immunology",60, 12,0,0,5,5,1,6
2005,"Topical corticosteroid inhibits interleukin-4, -5 and -13 in nasal secretions following allergen challenge","Erin E.M., Hansel T.T., Zacharasiewicz A.S., Nicholson G.C., Tan A.J., Higgins L.A., Williams T.J., Murdoch R.D., Durham S.R., Barnes P.J.",09547894,"Clinical and Experimental Allergy",35, 12,2,5,6,11,3,16
2005,"Glycopyrrolate causes prolonged bronchoprotection and bronchodilatation in patients with asthma","Hansel T.T., Neighbour H., Erin E.M., Tan A.J., Tennant R.C., Maus J.G., Barnes P.J.",00123692,"Chest",128, 4,3,3,3,6,2,11
2005,"Nasal testing for novel anti-inflammatory agents","Erin E.M., Neighbour H., Tan A.J., Min Kon O., Durham S.R., Hansel T.T.",09547894,"Clinical and Experimental Allergy",35, 8,0,0,0,0,0,0
2005,"Clinical use of noninvasive measurements of airway inflammation in steroid reduction in children","Zacharasiewicz A., Wilson N., Lex C., Erin E.M., Li A.M., Hansel T., Khan M., Bush A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",171, 10,34,29,29,58,13,105
2005,"Sputum induction in children with difficult asthma: Safety, feasibility, and inflammatory cell pattern","Lex C., Payne D.N.R., Zacharasiewicz A., Li A.M., Wilson N.M., Hansel T.T., Bush A.",87556863,"Pediatric Pulmonology",39, 4,6,6,4,10,3,19
2004,"How do we measure the effectiveness of inhaled corticosteroids in clinical studies?","Hansel T.T.",09546111,"Respiratory Medicine",98, 2,1,1,3,4,0,5
2004,"Prospects for new drugs for chronic obstructive pulmonary disease","Barnes P.J., Hansel T.T.",01406736,"Lancet",364, 9438,43,18,23,41,6,90
2004,"Automated quantitation of peripheral blood neutrophil activation in patients with myocardial ischaemia","Leckie M.J., Clague J.R., Hansel T.T., Gomma A.H., Purcell I.F., Nyawo B., Dewar A., Okrongly D., Burman J.F., Hooper J., Barnes P.J.",01675273,"International Journal of Cardiology",95, 2-3,0,0,2,2,0,2
2004,"Theophylline: Mechanism of action and use in asthma and chronic obstructive pulmonary disease","Hansel T.T., Tennant R.C., Tan A.J., Higgins L.A., Neighbour H., Erin E.M., Barnes P.J.",00257656,"Drugs of Today",40, 1,7,2,4,6,2,15
2003,"Cough frequency in children with stable asthma: Correlation with lung function, exhaled nitric oxide, and sputum eosinopnil count","Li A.M., Lex C., Zacharasiewicz A., Wong E., Erin E., Hansel T., Wilson N.M., Bush A.",00406376,"Thorax",58, 11,8,1,3,4,0,12
2003,"Antiinflammatory Effects of the Phosphodiesterase-4 Inhibitor Cilomilast (Ariflo) in Chronic Obstructive Pulmonary Disease","Gamble E., Vignola A.M., Kroegel C., Morell F., Hansel T.T., Rennard S.I., Compton C., Amit O., Tat T., Edelson J., Pavord I.D., Grootendorst D.C., Rabe K.F., Barnes N.C., Jeffery P.K., Brightling C.E., Troy S., Qiu Y., Zhu J., Parker D., Matin D., Majumdar S.",1073449X,"American Journal of Respiratory and Critical Care Medicine",168, 8,69,27,16,43,10,122
2003,"Systematic assessment of difficult-to-treat asthma","Robinson D.S., Giembycz M., Hansel T., Jeffery P., Johnston S., Jones M., Kay A.B., Larche M., Newman Taylor A., Rogers D., Openshaw P., Campbell D.A., Durham S.R., Pfeffer J., Barnes P.J., Chung K.F., Adcock I., Belvisi M., Cullinan P.",09031936,"European Respiratory Journal",22, 3,35,13,10,23,8,66
2003,"A selective inhibitor of inducible nitric oxide synthase inhibits exhaled breath nitric oxide in healthy volunteers and asthmatics.","Hansel T.T., Kharitonov S.A., Donnelly L.E., Erin E.M., Currie M.G., Moore W.M., Manning P.T., Recker D.P., Barnes P.J.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",17, 10,62,8,9,17,4,83
2003,"Long-acting ?2-adrenoceptor agonists or tiotropium bromide for patients with COPD: Is combination therapy justified?","Tennant R.C., Erin E.M., Barnes P.J., Hansel T.T.",14714892,"Current Opinion in Pharmacology",3, 3,17,3,3,6,1,24
2003,"Sputum T lymphocytes in asthma, COPD and healthy subjects have the phenotype of activated intraepithelial T cells (CD69+ CD103+)","Leckie M.J., Jenkins G.R., Khan J., Smith S.J., Walker C., Barnes P.J., Hansel T.T.",00406376,"Thorax",58, 1,17,3,4,7,3,27
2002,"Tiotropium bromide: A novel once-daily anticholinergic bronchodilator for the treatment of COPD","Hansel T.T., Barnes P.J.",00257656,"Drugs of Today",38, 9,18,4,2,6,1,25
2002,"Responses of leukocytes to chemokines in whole blood and their antagonism by novel CC-Chemokine Receptor 3 antagonists","Bryan S.A., Sabroe I., Jose P.J., Topping J.R., Wilhelm R., Soderberg C., Kertesz D., Barnes P.J., Williams T.J., Hansel T.T.",1073449X,"American Journal of Respiratory and Critical Care Medicine",165, 12,23,4,1,5,3,31
2002,"Eotaxin receptor (CCR3) antagonism in asthma and allergic disease.","Erin E.M., Williams T.J., Barnes P.J., Hansel T.T.",1568010X,"Curr Drug Targets Inflamm Allergy",1, 2,29,3,7,10,1,40
2002,"Optimizing sputum methodology","Erin E.M., Barnes P.J., Hansel T.T.",09547894,"Clinical and Experimental Allergy",32, 5,4,1,3,4,0,8
2002,"The allergen challenge","Hansel T.T., Erin E.M., Barnes P.J.",09547894,"Clinical and Experimental Allergy",32, 2,5,1,0,1,0,6
2002,"The trials and tribulations of anti-il-5 . . . [4] (multiple letters)","Hansel T.T., Sterk P.J., Holgate S.T., Barnes P.J., O'Byrne P.M., Inman M.D., Parameswaran K.",00916749,"Journal of Allergy and Clinical Immunology",109, 3,2,0,0,0,0,2
