,"This is a citation overview for a set of 52 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 23 (Of the 52 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,747,175,197,161,533,0,1280
2008,"Don't be an ostrich","Harris J.",09598146,"BMJ",337, 7683,0,0,0,0,0,0,0
2008,"QOFing whine. Don't be an ostrich.","Harris J.",14685833,"BMJ (Clinical research ed.)",337, ,0,0,0,0,0,0,0
2008,"KIBRA interacts with discoidin domain receptor 1 to modulate collagen-induced signalling","Hilton H.N., Stanford P.M., Harris J., Oakes S.R., Kaplan W., Daly R.J., Ormandy C.J.",01674889,"Biochimica et Biophysica Acta - Molecular Cell Research",1783, 3,0,0,0,0,0,0,0
2007,"Authors' reply","McDonald J.C., Harris J.M., Berry G.",13510711,"Occupational and Environmental Medicine",64, 11,0,0,0,0,0,0,0
2007,"Early-life allergen exposure and atopy, asthma, and wheeze up to 6 years of age","Torrent M., Cullinan P., Sunyer J., Garcia R., Harris J., Iturriaga M.V., Puig C., Vall O., Anto J.M., Newman Taylor A.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 5,0,0,5,7,12,0,12
2007,"Seasonal allergic rhinitis is associated with a detrimental effect on examination performance in United Kingdom teenagers: Case-control study","Walker S., Khan-Wasti S., Fletcher M., Cullinan P., Harris J., Sheikh A.",00916749,"Journal of Allergy and Clinical Immunology",120, 2,0,1,19,15,35,0,35
2007,"Recorded infections and antibiotics in early life: Associations with allergy in UK children and their parents","Harris J.M., Mills P., White C., Moffat S., Newman Taylor A.J., Cullinan P.",00406376,"Thorax",62, 7,0,1,3,2,6,0,6
2007,"Dangerous disclosures.","Stanley N., Ridley J., Manthorpe J., Harris J., Hurst A.",14745186,"Mental health today (Brighton, England)",, ,0,0,0,0,0,0,0
2007,"Early allergen exposure and atopic eczema","Harris J.M., Williams H.C., White C., Moffat S., Mills P., Newman Taylor A.J., Cullinan P.",00070963,"British Journal of Dermatology",156, 4,0,0,3,3,6,0,6
2006,"Sixty years on: The price of assembling military gas masks in 1940","McDonald J.C., Harris J.M., Berry G.",13510711,"Occupational and Environmental Medicine",63, 12,0,1,4,3,8,0,8
2006,"Modified Th2 responses at high-dose exposures to allergen: Using an occupational model","Jeal H., Draper A., Harris J., Taylor A.N., Cullinan P., Jones M.",1073449X,"American Journal of Respiratory and Critical Care Medicine",174, 1,1,7,5,8,20,0,21
2006,"The effects of farming and birth order on asthma and allergies","Zekveld C., Bibakis I., Bibaki-Liakou V., Pedioti A., Dimitroulis I., Harris J., Newman Taylor A.J., Cullinan P.",09031936,"European Respiratory Journal",28, 1,0,2,1,2,5,0,5
2006,"Socs2 and Elf5 mediate prolactin-induced mammary gland development","Harris J., Wittlin S., Alexander W.S., Lindeman G.J., Visvader J.E., Ormandy C.J., Stanford P.M., Sutherland K., Oakes S.R., Naylor M.J., Robertson F.G., Blazek K.D., Kazlauskas M., Hilton H.N.",08888809,"Molecular Endocrinology",20, 5,4,7,9,3,19,0,23
2005,"Transcriptional changes underlying the secretory activation phase of mammary gland development","Naylor M.J., Ormandy C.J., Oakes S.R., Gardiner-Garden M., Harris J., Blazek K., Ho T.W.C., Li F.C., Wynick D., Walker A.M.",08888809,"Molecular Endocrinology",19, 7,11,4,3,7,14,0,25
2005,"Elf5 is essential for early embryogenesis and mammary gland development during pregnancy and lactation","Zhou J., Xu D., Lapinskas E.J., Visvader J., Lindeman G.J., Thomas R., Ormandy C.J., Hertzog P.J., Kola I., Pritchard M.A., Chehab R., Tkalcevic J., Naylor M.J., Harris J., Wilson T.J., Tsao S., Tellis I., Zavarsek S.",02614189,"EMBO Journal",24, 3,7,4,10,4,18,0,25
2004,"Determination of the T cell epitopes of the lipocalin allergen, Rat n 1","Jeal H., Draper A., Harris J., Taylor A.N., Cullinan P., Jones M.G.",09547894,"Clinical and Experimental Allergy",34, 12,6,1,1,2,4,0,10
2004,"Prolactin and the prolactin receptor: New targets of an old hormone","Harris J., Stanford P.M., Oakes S.R., Ormandy C.J.",07853890,"Annals of Medicine",36, 6,5,3,4,7,14,0,19
2004,"Early allergen exposure, skin prick responses, and atopic wheeze at age 5 in English children: A cohort study","Cullinan P., MacNeill S.J., Harris J.M., Moffat S., White C., Mills P., Newman Taylor A.J.",00406376,"Thorax",59, 10,22,14,10,11,35,0,57
2004,"A prospective study of Fel d1 and Der p1 exposure in infancy and childhood wheezing","Polk S., Cullinan P., Sunyer J., Munoz-Ortiz L., Barnes M., Torrent M., Figueroa C., Harris J., Vall O., Anto J.M.",00030805,"American Journal of Respiratory and Critical Care Medicine",170, 3,16,13,7,10,30,0,46
