,"Author: Hart, Ailsa L.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 8 (Of the 15 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,238,107,93,200,53,491
2009,"Effective dilation of small-bowel strictures by double-balloon enteroscopy in patients with symptomatic Crohn's disease (with video){black small square}","Despott E.J., Gupta A., Burling D., Tripoli E., Konieczko K., Hart A., Fraser C.",00165107,"Gastrointestinal Endoscopy",, ,0,0,0,0,0,0
2008,"Dynamics of the mucosa-associated flora in ulcerative colitis patients during remission and clinical relapse","Ott S.J., Plamondon S., Hart A., Begun A., Rehman A., Kamm M.A., Schreiber S.",00951137,"Journal of Clinical Microbiology",46, 10,0,0,0,0,1,1
2008,"Prospective evaluation of the relationship between stress and relapse in ulcerative colitis","Hart A.L., Plamondon S., Emmanuel A.V., Kamm M.A.",01920790,"Journal of Clinical Gastroenterology",42, 8,0,0,0,0,0,0
2007,"Topical tacrolimus in the treatment of perianal Crohn's disease: Exploratory randomized controlled trial","Hart A.L., Plamondon S., Kamm M.A.",10780998,"Inflammatory Bowel Diseases",13, 3,0,0,6,6,2,8
2005,"Characteristics of intestinal dendritic cells in inflammatory bowel diseases","Hart A.L., Al-Hassi H.O., Rigby R.J., Bell S.J., Emmanuel A.V., Knight S.C., Kamm M.A., Stagg A.J.",00165085,"Gastroenterology",129, 1,14,30,26,56,17,87
2004,"Modulation of human dendritic cell phenotype and function by probiotic bacteria","Hart A.L., Stagg A.J., Lammers K., Brigidi P., Vitali B., Rizzello F., Gionchetti P., Campieri M., Kamm M.A., Knight S.C.",00175749,"Gut",53, 11,48,30,38,68,15,131
2004,"Prospective evaluation of intestinal homing memory T cells in ulcerative colitis","Hart A.L., Kamm M.A., Knight S.C., Stagg A.J.",10780998,"Inflammatory Bowel Diseases",10, 5,1,0,0,0,0,1
2004,"Azathioprine dose escalation in inflammatory bowel disease","Rayner C.K., Hart A.L., Hayward C.M.M., Emmanuel A.V., Kamm M.A.",02692813,"Alimentary Pharmacology and Therapeutics",20, 1,1,3,1,4,1,6
2004,"Interactions between dendritic cells and bacteria in the regulation of intestinal immunity","Stagg A.J., Hart A.L., Knight S.C., Kamm M.A.",15216918,"Best Practice and Research: Clinical Gastroenterology",18, 2,14,5,2,7,1,22
2004,"Quantitative and functional characteristics of intestinal-homing memory T cells: Analysis of Crohn's disease patients and healthy controls","Hart A.L., Kamm M.A., Knight S.C., Stagg A.J.",00099104,"Clinical and Experimental Immunology",135, 1,7,1,1,2,3,12
2003,"The dendritic cell: Its role in intestinal inflammation and relationship with gut bacteria","Stagg A.J., Hart A.L., Knight S.C., Kamm M.A.",00175749,"Gut",52, 10,59,14,4,18,5,82
2003,"Use of probiotics in the treatment of inflammatory bowel disease","Hart A.L., Stagg A.J., Kamm M.A.",01920790,"Journal of Clinical Gastroenterology",36, 2,42,9,0,9,1,52
2002,"Review article: Mechanisms of initiation and perpetuation of gut inflammation by stress","Hart A., Kamm M.A.",02692813,"Alimentary Pharmacology and Therapeutics",16, 12,24,5,10,15,4,43
2002,"Review article: The role of the gut flora in health and disease, and its modification as therapy","Hart A.L., Stagg A.J., Frame M., Graffner H., Glise H., Falk P., Kamm M.A.",02692813,"Alimentary Pharmacology and Therapeutics",16, 8,25,9,5,14,3,42
1997,"An extra-ordinary cause of megacolon","Hart A.L., Kamm M.A., Palmer J.G., Talbot I.C.",01406736,"Lancet",350, 9071,3,1,0,1,0,4
