,"This is a citation overview for a set of 31 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 8 (Of the 31 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,114,40,35,75,24,213
2007,"The effect of metal ions in solution on bacterial growth compared with wear particles from hip replacements","Anwar H.A., Aldam C.H., Visuvanathan S., Hart A.J.",0301620X,"Journal of Bone and Joint Surgery - Series B",89, 12,0,0,0,0,1,1
2007,"THE PALMAR LOCKING COMPRESSION PLATE IS BIOMECHANICALLY COMPARABLE TO THE DORSAL PI PLATE FOR DORSALLY COMMINUTED, INTRAARTICULAR WRIST FRACTURES","Hart A.J., Seepaul T., Hewitt R.J., Ang S., Hansen U., Amis A.A.",17531934,"Journal of Hand Surgery: European Volume",32, 4,0,0,0,0,0,0
2006,"The association between metal ions from hip resurfacing and reduced T-cell counts","Hart A.J., Hester T., Sinclair K., Powell J.J., Goodship A.E., Pele N.L., Fersht N.L., Skinner J.",0301620X,"Journal of Bone and Joint Surgery - Series B",88, 4,0,8,13,21,9,30
2006,"Arthroscopic removal of loose bodies - A useful technique","Krishnan S.P., Hart A.J., Skinner J.A., Blackburn J.S.",00358843,"Annals of the Royal College of Surgeons of England",88, 2,0,0,0,0,0,0
2005,"Assessment of osteoarthritis after reconstruction of the anterior cruciate ligament. A study using single-photon emission computed tomography at ten years","Hart A.J., Buscombe J., Malone A., Dowd G.S.E.",0301620X,"Journal of Bone and Joint Surgery - Series B",87, 11,3,5,7,12,2,17
2005,"Hip resurfacing following previous proximal femoral osteotomy","Hart A.J., Scott G.",11207000,"HIP International",15, 2,0,0,2,2,0,2
2004,"Fixed flexion deformity of the knee following femoral physeal fracture: The Inverted Cyclops lesion","Hart A.J., Eastwood D.M., Dowd G.S.E.",00201383,"Injury",35, 12,0,0,0,0,0,0
2004,"Letters of the Editor (multiple letters)","Hart A.J., Seepaul T., Hewitt R.J., Ang S., Leung F.",02667681,"Journal of Hand Surgery",29, 1,0,0,0,0,0,0
2004,"Re: Palmer plate fixation of AO type C2 fracture of distal radius using a locking compression plate.","Hart A.J., Seepaul T., Hewitt R.J., Ang S.",02667681,"Journal of hand surgery (Edinburgh, Lothian)",29, 1,0,1,0,1,0,1
