,"Author: Haskard, Dorian O.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 34 (Of the 155 documents considered for the h-Index, 34 have been cited at least 34 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,5659,523,537,1060,349,7068
2009,"Sphingosine 1-phosphate enhances Fc gamma receptor-mediated neutrophil activation and recruitment under flow conditions.","Florey O., Haskard D.O.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",183, 4,0,0,0,0,0,0
2009,"Immunoglobulin M is required for protection against atherosclerosis in low-density lipoprotein receptor-deficient mice","Lewis M.J., Malik T.H., Ehrenstein M.R., Boyle J.J., Botto M., Haskard D.O.",00097322,"Circulation",120, 5,0,0,0,0,0,0
2009,"A novel model for the pre-clinical imaging of inflamed human synovial vasculature.","Garrood T., Blades M., Haskard D.O., Mather S., Pitzalis C.",14620332,"Rheumatology (Oxford, England)",48, 8,0,0,0,0,0,0
2009,"Induction of the cytoprotective enzyme heme oxygenase-1 by statins is enhanced in vascular endothelium exposed to laminar shear stress and impaired by disturbed flow","Ali F., Evans P.C., Mason J.C., Zakkar M., Karu K., Lidington E.A., Hamdulay S.S., Boyle J.J., Zloh M., Bauer A., Haskard D.O.",00219258,"Journal of Biological Chemistry",284, 28,0,0,0,0,0,0
2009,"Targeting gene delivery to activated vascular endothelium using anti E/P-Selectin antibody linked to PAMAM dendrimers","Theoharis S., Krueger U., Tan P.H., Haskard D.O., Weber M., George A.J.T.",00221759,"Journal of Immunological Methods",343, 2,0,0,0,0,0,0
2009,"Experimental autoimmune vasculitis: An animal model of anti-neutrophil cytoplasmic autoantibody-associated systemic vasculitis","Little M.A., Smyth L., Salama A.D., Mukherjee S., Smith J., Haskard D., Nourshargh S., Cook H.T., Pusey C.D.",00029440,"American Journal of Pathology",174, 4,0,0,0,0,0,0
2009,"In vitro and in vivo characterization of molecular interactions between calmodulin, ezrin/radixin/moesin, and L-selectin","Killock D.J., Parsons M., Zarrouk M., Ameer-Beg S.M., Ridley A.J., Haskard D.O., Zvelebil M., Ivetic A.",00219258,"Journal of Biological Chemistry",284, 13,0,0,0,0,2,2
2009,"Coronary intraplaque hemorrhage evokes a novel atheroprotective macrophage phenotype","Boyle J.J., Harrington H.A., Piper E., Elderfield K., Stark J., Landis R.C., Haskard D.O.",00029440,"American Journal of Pathology",174, 3,0,0,0,0,1,1
2009,"Heme oxygenase-1 expression enhances vascular endothelial resistance to complement-mediated injury through induction of decay-accelerating factor: A role for increased bilirubin and ferritin","Kinderlerer A.R., Soares M.P., Mason J.C., Gregoire I.P., Hamdulay S.S., Ali F., Steinberg R., Silva G., Ali N., Wang B., Haskard D.O.",00064971,"Blood",113, 7,0,0,0,0,1,1
2008,"The A20 gene protects kidneys from ischaemia/reperfusion injury by suppressing pro-inflammatory activation","Lutz J., Haskard D.O., Baumann M., Boyle J., Harten S., Maxwell P.H., Pusey C., Heemann U., Evans P.C., Luong L.A., Strobl M., Huang H., Anton M., Zakkar M., Enesa K., Chaudhury H.",09462716,"Journal of Molecular Medicine",86, 12,0,0,1,1,0,1
2008,"Brief report: Accelerated atherosclerosis in low-density lipoprotein receptor-deficient mice lacking the membrane-bound complement regulator CD59","Yun S., Leung V.W.Y., Botto M., Boyle J.J., Haskard D.O.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",28, 10,0,0,0,0,2,2
2008,"The role of complement in atherosclerosis","Haskard D.O., Boyle J.J., Mason J.C.",09579672,"Current Opinion in Lipidology",19, 5,0,0,0,0,0,0
