,"Authors: Hodes, Matthew; Hodes, Matthew; Hodes, Matthew Edward; Hodes, Matthew",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 57 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1677,198,162,360,99,2136
2008,"Depression and suicidal behaviour in children and adolescents","Gledhill J., Hodes M.",14761793,"Psychiatry",7, 8,0,0,0,0,0,0
2008,"Risk and resilience for psychological distress amongst unaccompanied asylum seeking adolescents","Hodes M., Jagdev D., Chandra N., Cunniff A.",00219630,"Journal of Child Psychology and Psychiatry and Allied Disciplines",49, 7,0,0,0,0,1,1
2007,"NICE guidelines on depression in children and young people: Not always following the evidence","Hodes M., Garralda E.",09556036,"Psychiatric Bulletin",31, 10,0,0,1,1,1,2
2007,"The relationship between CAG repeat length and age of onset differs for Huntington's disease patients with juvenile onset or adult onset","Andresen J.M., Myers R.H., Housman D.E., Wexler N.S., Lorimer J., Porter J., Gomez F., Moskowitz C., Gerstenhaber K.P., Shackell E., Marder K., Gayan J., Penchaszadeh G., Brickman A., Gray J., Dlouhy S.R., Wiktorski S., Hodes M.E., Conneally P.M., Penney J.B., Djousse L., Cha J.-H., Irizarry M., Rosas D., Hersch S., Hollingsworth Z., Young A.B., de Young M.M., Bonilla E., Roberts S., Stillings T., Negrette A., Snodgrass S.R., Martinez-Jaurrieta M.D., Ramos-Arroyoh M.A., Bickham J., Ramos J.S., Marshall F., Shoulson I., Rey G.J., Brocklebank D., Feigin A., Arnheim N., Acevedo-Cruz A., Acosta L., Alvir J., Fischbeck K., Thompson L.M., Young A., Dure L., O'Brien C.J., Cherny S.S., Paulsen J., Moran S.P., Krch D., Hogarth P., Higgins Jr. D.S., Landwehrmeyer B., Hayden M.R., Almqvist E.W., Brinkman R.R., Suchowersky O., Cardon L.R., Durr A., Dode C.Catherine, Squitieri F., Morrison P.J., Nance M., Ross C.A., Margolis R.L., Rosenblatt A., Estrella G.-T., Cabrero D.M., Gusella J.F., Trent R.J.A., McCusker E., Novelletto A., Frontali M., Jones R., Zanko A., Ashizawa T., Lazzarini A., Li J.-L., Macdonald M.E., Wheeler V.C., Russ A.L., Xu G., Mysore J.S., Gillis T., Hakky M., Cupples L.A., Saint-Hilaire M.",00034800,"Annals of Human Genetics",71, 3,0,0,5,5,5,10
2007,"Post-traumatic stress disorder in childhood","Tareen A., Garralda M.E., Hodes M.",17430585,"Archives of Disease in Childhood: Education and Practice Edition",92, 1,0,1,0,1,0,1
2006,"Violent deliberate self-harm amongst adolescent refugees","Patel N., Hodes M.",10188827,"European Child and Adolescent Psychiatry",15, 6,0,1,0,1,0,1
2005,"Heterogeneous duplications in patients with Pelizaeus-Merzbacher disease suggest a mechanism of coupled homologous and nonhomologous recombination","Woodward K.J., Hobson D.L., Garbern J.Y., Kamholz J., Heng H., Hodes M.E., Malcolm S., Hobson G.M., Cundall M., Sperle K., Sistermans E.A., Ross M., Howell G., Gribble S.M., Burford D.C., Carter N.P.",00029297,"American Journal of Human Genetics",77, 6,13,8,10,18,4,35
2005,"Genetic diagnosis of PLP gene duplications/deletions in patients with Pelizaeus-Merzbacher disease","Gao Q., Thurston V.C., Vance G.H., Dlouhy S.R., Hodes M.E.",00099163,"Clinical Genetics",68, 5,2,0,3,3,0,5
2005,"Editorial: Children and war","Hodes M.",13591045,"Clinical Child Psychology and Psychiatry",10, 2,0,0,0,0,0,0
2005,"Severely impaired young refugees","Hodes M., Tolmac J.",13591045,"Clinical Child Psychology and Psychiatry",10, 2,0,0,0,0,0,0
2005,"Non-fat-phobic anorexia nervosa in British South Asian adolescents","Tareen A., Hodes M., Rangel L.",02763478,"International Journal of Eating Disorders",37, 2,2,1,2,3,1,6
2004,"Ethnic variation among adolescent psychiatric in-patients with psychotic disorders","Tolmac J., Hodes M.",00071250,"British Journal of Psychiatry",184, ,6,3,5,8,0,14
