,"Author: Holden, David W.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 2 (Of the 5 documents considered for the h-Index, 2 have been cited at least 2 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,16,1,0,1,1,18
2009,"Salmonella regulates polyubiquitination and surface expression of MHC class II antigens","Lapaque N., Hutchinson J.L., Jones D.C., Meresse S., Holden D.W., Trowsdale J., Kelly A.P.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 33,0,0,0,0,0,0
2009,"SCAMP3 is a component of the Salmonella-induced tubular network and reveals an interaction between bacterial effectors and post-Golgi trafficking","Mota L.J., Ramsden A.E., Liu M., Castle J.D., Holden D.W.",14625814,"Cellular Microbiology",11, 8,0,0,0,0,0,0
2007,"First report of Oecophora bractella (L.) (Oecophoridae) in North America","Peterson M.A., LaGasa E.H., Passoa S.C., Robinson G.S., Holden D.",00240966,"Journal of the Lepidopterists' Society",61, 3,0,0,0,0,0,0
1999,"Pheromone components and diel periodicity of pheromonal communication in Lymantria fumida","Schaefer P.W., Gries G., Gries R., Holden D.",00980331,"Journal of Chemical Ecology",25, 10,5,1,0,1,0,6
1997,"3Z-cis-6,7-cis-9,10-di-epoxy-heneicosene: Novel class of lepidopteran pheromone","Gries R., Holden D., Gries G., Wimalaratne P.D.C., Slessor K.N., Saunders C.",00281042,"Naturwissenschaften",84, 5,11,0,0,0,1,12
