,"Author: Hooper, Richard J L",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 44 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,993,184,190,374,142,1509
2009,"The contribution of prior psychological symptoms and combat exposure to post Iraq deployment mental health in the UK military","Rona R.J., Hooper R., Jones M., Iversen A.C., Hull L., Murphy D., Hotopf M., Wessely S.",08949867,"Journal of Traumatic Stress",22, 1,0,0,0,0,1,1
2009,"The Bayesian interpretation of a P-value depends only weakly on statistical power in realistic situations","Hooper R.",08954356,"Journal of Clinical Epidemiology",, ,0,0,0,0,0,0
2008,"Cigarette and alcohol use in the UK Armed Forces, and their association with combat exposures: A prospective study","Hooper R., Rona R.J., Jones M., Fear N.T., Hull L., Wessely S.",03064603,"Addictive Behaviors",33, 8,0,0,0,0,1,1
2007,"The waters network: An integrated environmental observatory network for water research","Montgomery J.L., Graham W., Brezonik P., Harmon T., Kaiser W., Sanderson A., Haas C.N., Hooper R., Minsker B., Schnoor J., Clesceri N.L.",0013936X,"Environmental Science and Technology",41, 19,0,0,0,0,1,1
2007,"Patients' involvement in decisions about medicines: GPs' perceptions of their preferences","Cox K., Britten N., Hooper R., White P.",09601643,"British Journal of General Practice",57, 543,0,1,1,2,1,3
2006,"Comparative studies of fluid dynamic gauging and a micromanipulation probe for strength measurements","Hooper R.J., Liu W., Fryer P.J., Paterson W.R., Wilson D.I., Zhang Z.",09603085,"Food and Bioproducts Processing",84, 4 C,0,0,1,1,3,4
2006,"Comparison of whey protein model foulants for studying cleaning of milk fouling deposits","Hooper R.J., Paterson W.R., Wilson D.I.",09603085,"Food and Bioproducts Processing",84, 4 C,0,0,1,1,1,2
2006,"Mental health screening in armed forces before the Iraq war and prevention of subsequent psychological morbidity: Follow-up study","Rona R.J., Hooper R., Jones M., Hull L., Browne T., Horn O., Murphy D., Hotopf M., Wessely S.",09598146,"British Medical Journal",333, 7576,3,4,5,9,1,13
2006,"The meaning of self-perception of health in the UK armed forces","Rona R.J., Hooper R., French C., Jones M., Wessely S.",1359107X,"British Journal of Health Psychology",11, 4,0,0,0,0,0,0
2006,"Attitudes to kidney donation and registering as a donor among ethnic groups in the UK","Morgan M., Hooper R., Mayblin M., Jones R.",17413842,"Journal of Public Health",28, 3,0,0,2,2,2,4
2006,"The burden of psychological symptoms in UK Armed Forces","Jones M., Rona R.J., Hooper R., Wesseley S.",09627480,"Occupational Medicine",56, 5,0,1,5,6,1,7
2006,"Is the increased reporting of symptomatic ill health in Gulf War veterans related to how one asks the question?","Murphy D., Hooper R., French C., Jones M., Rona R., Wessely S.",00223999,"Journal of Psychosomatic Research",61, 2,0,0,1,1,1,2
2006,"Informed choice in antenatal Down syndrome screening: A cluster-randomised trial of combined versus separate visit testing","Dormandy E., Michie S., Hooper R., Marteau T.M.",07383991,"Patient Education and Counseling",61, 1,0,5,2,7,0,7
2006,"Medical downgrading, self-perception of health, and psychological symptoms in the British Armed Forces","Rona R.J., Hooper R., Greenberg N., Jones M., Wessely S.",13510711,"Occupational and Environmental Medicine",63, 4,0,1,0,1,1,2
2006,"Obstetric hysterectomy in a population of South East England","Eniola O.A., Bewley S., Waterstone M., Hooper R., Wolfe C.D.A.",01443615,"Journal of Obstetrics and Gynaecology",26, 2,1,1,1,2,4,7
2005,"Low uptake of prenatal screening for Down syndrome in minority ethnic groups and socially deprived groups: A reflection of women's attitudes or a failure to facilitate informed choices?","Dormandy E., Michie S., Hooper R., Marteau T.M.",03005771,"International Journal of Epidemiology",34, 2,5,9,6,15,6,26
2005,"Unmet expectations in primary care and the agreement between doctor and patient: A questionnaire study","Hooper R., Rona R.J., French C., Jones M., Wessely S.",13696513,"Health Expectations",8, 1,2,1,0,1,0,3
2005,"Is questionnaire-based screening part of the solution to waiting lists for children with developmental coordination disorder?","Green D., Bishop T., Wilson B.N., Crawford S., Hooper R., Kaplan B., Baird G.",03080226,"British Journal of Occupational Therapy",68, 1,3,2,6,8,2,13
2004,"Screening for physical and psychological illness in the British Armed Forces: III: The value of a questionnaire to assist a medical officer to decide who needs help","Rona R.J., Hooper R., Jones M., French C., Wessely S.",09691413,"Journal of Medical Screening",11, 3,6,1,0,1,1,8
2004,"Screening for physical and psychological illness in the British Armed Forces: I: The acceptability of the programme","Rona R.J., Jones M., French C., Hooper R., Wessely S.",09691413,"Journal of Medical Screening",11, 3,11,3,4,7,5,23
2004,"Eye on the future: Convergence and regulation - An Ofcom view","Hooper R.",00402486,"Telecommunication Journal of Australia",54, 1,0,0,0,0,0,0
2004,"Peri-operative troponin I concentration as a marker of long-term postoperative adverse cardiac outcomes - A study in high-risk surgical patients","Higham H., Sear J.W., Sear Y.M., Kemp M., Hooper R.J.L., Foex P.",00032409,"Anaesthesia",59, 4,6,1,4,5,3,14
2003,"Detection of Rare Disseminated Tumor Cells Identifies Head and Neck Cancer Patients at Risk of Treatment Failure","Partridge M., Brakenhoff R., Phillips E., Ali K., Francis R., Hooper R., Lavery K., Brown A., Langdon J.",10780432,"Clinical Cancer Research",9, 14,11,4,5,9,3,23
2003,"Predictors of falls in a high risk population: Results from the prevention of falls in the elderly trial (PROFET)","Close J.C.T., Hooper R., Glucksman E., Jackson S.H.D., Swift C.G.",13510622,"Emergency Medicine Journal",20, 5,3,4,5,9,4,16
2003,"The relationship between use of NHS Direct and deprivation in Southeast London: An ecological analysis","Burt J., Hooper R., Jessopp L.",09574832,"Journal of Public Health Medicine",25, 2,5,1,3,4,0,9
2003,"Computer assisted assessment and advice for ""non-serious"" 999 ambulance service callers: The potential impact on ambulance despatch","Dale J., George S., Higgins J., Williams S., Foster T., Snooks H., Crouch R., Hartley-Sharpe C., Glucksman E., Hooper R.",13510622,"Emergency Medicine Journal",20, 2,8,3,1,4,1,13
2003,"Postnatal morbidity after childbirth and severe obstetric morbidity","Waterstone M., Wolfe C., Hooper R., Bewley S.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",110, 2,12,2,5,7,4,23
2003,"Explicit, evidence-based criteria to assess the quality of prescribing to elderly nursing home residents","Oborne C.A., Hooper R., Swift C.G., Jackson S.H.D.",00020729,"Age and Ageing",32, 1,17,8,5,13,0,30
2002,"An indicator of appropriate neuroleptic prescribing in nursing homes","Oborne C.A., Hooper R., Li K.C., Swift C.G., Jackson S.H.D.",00020729,"Age and Ageing",31, 6,23,4,0,4,4,31
2002,"Diversion from landfill: Quality products from valuable plastics","Ambrose C.A., Hooper R., Potter A.K., Singh M.M.",09213449,"Resources, Conservation and Recycling",36, 4,6,2,2,4,2,12
2002,"Informed choice to undergo prenatal screening: A comparison of two hospitals conducting testing either as part of a routine visit or requiring a separate visit","Dormandy E., Hooper R., Michie S., Marteau T.M.",09691413,"Journal of Medical Screening",9, 3,17,2,4,6,1,24
