,"This is a citation overview for a set of 54 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 54 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,419,134,140,274,126,819
2009,"Elevated TNF? production in whole blood in patients with severe COPD: The potential link to disease severity","Von Haehling S., Hopkinson N.S., Polkey M.I., Niethammer M., Anker S.D., Genth-Zotz S.",00435325,"Wiener Klinische Wochenschrift",121, 9-10,0,0,0,0,1,1
2009,"Skeletal muscle in chronic obstructive pulmonary disease","Jackson A.S., Hopkinson N.",10680640,"Clinical Pulmonary Medicine",16, 2,0,0,0,0,0,0
2009,"Skeletal muscle dysfunction in chronic obstructive pulmonary disease","Shrikrishna D., Hopkinson N.S.",17450454,"Respiratory Medicine: COPD Update",5, 1,0,0,0,0,0,0
2008,"Mechanisms of improvement of respiratory failure in patients with COPD treated with NIV","Nickol A.H., Harta N., Hopkinson N.S., Hamnegard C.-H., Moxham J., Simonds A., Polkey M.I.",11769106,"International Journal of COPD",3, 3,0,0,0,0,2,2
2008,"Gaussian process prediction for cross channel consensus in body sensor networks","Atallah L., Elsaify A., Lo B., Hopkinson N.S., Yang G.-Z.",,"Proc. 5th Int. Workshop on Wearable and Implantable Body Sensor Networks, BSN2008, in conjunction with the 5th Int. Summer School and Symp. on Medical Devices and Biosensors, ISSS-MDBS 2008",, ,0,0,0,0,0,0
2008,"Angiotensin-converting enzyme genotype and late respiratory complications of mustard gas exposure","Hosseini-Khalili A., Thompson J., Kehoe A., Hopkinson N.S., Khoshbaten A., Soroush M.R., Humphries S.E., Montgomery H., Ghanei M.",14712466,"BMC Pulmonary Medicine",8, ,0,0,0,0,0,0
2008,"Vitamin D receptor genotypes influence quadriceps strength in chronic obstructive pulmonary disease","Hopkinson N.S., Ka W.L., Kehoe A., Humphries S.E., Roughton M., Moxham J., Montgomery H., Polkey M.I.",00029165,"American Journal of Clinical Nutrition",87, 2,0,0,1,1,7,8
2007,"Chronic obstructive pulmonary disease outreach services in the community","Hopkinson N.S.",10680640,"Clinical Pulmonary Medicine",14, 6,0,0,1,1,0,1
2007,"A novel technique for nonvolitional assessment of quadriceps muscle endurance in humans","Swallow E.B., Gosker H.R., Ward K.A., Moore A.J., Dayer M.J., Hopkinson N.S., Schols A.M.W.J., Moxham J., Polkey M.I.",87507587,"Journal of Applied Physiology",103, 3,0,2,8,10,5,15
2007,"A prospective study of decline in fat free mass and skeletal muscle strength in chronic obstructive pulmonary disease.","Hopkinson N.S., Tennant R.C., Dayer M.J., Swallow E.B., Hansel T.T., Moxham J., Polkey M.I.",1465993X,"Respiratory research",8, ,0,1,2,3,7,10
2007,"Exercise-induced depression of the diaphragm motor evoked potential is not affected by non-invasive ventilation","Dayer M.J., Polkey M.I., Jonville S., Chatwin M., Swallow E.B., Porcher R., Sharshar T., Ross E.T., Hopkinson N.S., Moxham J.",15699048,"Respiratory Physiology and Neurobiology",155, 3,0,1,1,2,0,2
2007,"Bronchoscopic lung volume reduction: Indications, effects and prospects","Hopkinson N.S.",10705287,"Current Opinion in Pulmonary Medicine",13, 2,0,0,2,2,4,6
2007,"Quadriceps strength predicts mortality in patients with moderate to severe chronic obstructive pulmonary disease","Swallow E.B., Reyes D., Hopkinson N.S., Man W.D.-C., Porcher R., Cetti E.J., Moore A.J., Moxham J., Polkey M.I.",00406376,"Thorax",62, 2,0,7,18,25,13,38
2006,"Bronchoscopic lung volume reduction","Polkey M.I., Hopkinson N.S.",09059180,"European Respiratory Review",15, 100,1,0,0,0,0,1
2006,"Authors' reply [2]","Nickol A.H., Hart N., Hopkinson N.S., Moxham J., Simonds A., Polkey M.I.",00406376,"Thorax",61, 6,0,0,0,0,0,0
2006,"+9/+9 Homozygosity of the bradykinin receptor gene polymorphism is associated with reduced fat-free mass in chronic obstructive pulmonary disease","Hopkinson N.S., Eleftheriou K.I., Payne J., Nickol A.H., Hawe E., Moxham J., Montgomery H., Polkey M.I.",00029165,"American Journal of Clinical Nutrition",83, 4,0,0,2,2,3,5
2006,"From the authors [5]","Hopkinson N.S., Polkey M.I.",1073449X,"American Journal of Respiratory and Critical Care Medicine",173, 2,0,0,0,0,0,0
2006,"Does symptom-limited cycle exercise cause low frequency diaphragm fatigue in patients with heart failure?","Dayer M.J., Hopkinson N.S., Ross E.T., Jonville S., Sharshar T., Kearney M., Moxham J., Polkey M.I.",13889842,"European Journal of Heart Failure",8, 1,0,1,2,3,1,4
2005,"Abdominal muscle and quadriceps strength in chronic obstructive pulmonary disease","Man W.D.-C., Hopkinson N.S., Harraf F., Nikoletou D., Polkey M.I., Moxham J.",00406376,"Thorax",60, 9,3,2,4,6,3,12
2005,"Mechanisms of improvement of respiratory failure in patients with restrictive thoracic disease treated with non-invasive ventilation","Nickol A.H., Hart N., Hopkinson N.S., Moxham J., Simonds A., Polkey M.I.",00406376,"Thorax",60, 9,6,7,7,14,6,26
2005,"Effect of bronchoscopic lung volume reduction on dynamic hyperinflation and exercise in emphysema","Hopkinson N.S., Toma T.P., Hansell D.M., Goldstraw P., Moxham J., Geddes D.M., Polkey M.I.",1073449X,"American Journal of Respiratory and Critical Care Medicine",171, 5,26,18,13,31,13,70
2005,"Motor control of the costal and crural diaphragm - Insights from transcranial magnetic stimulation in man","Sharshar T., Hopkinson N.S., Ross E.T., Jonville S., Dayer M.J., Nickol A.H., Lofaso F., Moxham J., Polkey M.I.",15699048,"Respiratory Physiology and Neurobiology",146, 1,0,1,1,2,0,2
2005,"Science review: The brain in sepsis - Culprit and victim","Sharshar T., Hopkinson N.S., Orlikowski D., Annane D.",13648535,"Critical Care",9, 1,3,7,7,14,7,24
2004,"Demonstration of a second rapidly conducting cortico-diaphragmatic pathway in humans","Sharshar T., Polkey M.I., Hopkinson N.S., Jonville S., Prigent H., Carlier R., Dayer M.J., Swallow E.B., Lofaso F., Moxham J.",00223751,"Journal of Physiology",560, 3,5,10,2,12,2,19
2004,"ACE gene polymorphism in COPD (multiple letters)","Gosker H.R., Montgomery H., Polkey M.I., Pennings H.-J., Schols A.M.W.J., Hopkinson N.S., Nickol A.H., Payne J., Hawe E., Man W.D.-C., Moxham J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",170, 5,6,0,1,1,2,9
