,"This is a citation overview for a set of 24 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 17 (Of the 24 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1203,154,228,142,524,0,1727
2008,"Bmx regulates LPS-induced IL-6 and VEGF production via mRNA stability in rheumatoid synovial fibroblasts","Palmer C.D., Mutch B.E., Page T.H., Horwood N.J., Foxwell B.M.J.",0006291X,"Biochemical and Biophysical Research Communications",370, 4,0,0,2,2,4,0,4
2008,"Lymphocyte-derived cytokines in inflammatory arthritis","Horwood N.",08916934,"Autoimmunity",41, 3,0,0,1,0,1,0,1
2008,"Bmx tyrosine kinase regulates TLR4-induced IL-6 production in human macrophages independently of p38 MAPK and NF?B activity","Palmer C.D., Mutch B.E., Workman S., McDaid J.P., Horwood N.J., Foxwell B.M.J.",00064971,"Blood",111, 4,0,0,3,7,10,0,10
2008,"Strontium can increase some osteoblasts without increasing hematopoietic stem cells","Lymperi S., Horwood N., Marley S., Gordon M.Y., Cope A.P., Dazzi F.",00064971,"Blood",111, 3,0,0,4,2,6,0,6
2008,"Chemical inhibition of Src family kinases affects major LPS-activated pathways in primary human macrophages","Smolinska M.J., Horwood N.J., Page T.H., Smallie T., Foxwell B.M.J.",01615890,"Molecular Immunology",45, 4,0,0,4,5,9,0,9
2007,"Potential of mesenchymal stem cell therapy","Dazzi F., Horwood N.J.",10408746,"Current Opinion in Oncology",19, 6,0,1,6,10,17,0,17
2007,"The antiproliferative effect of mesenchymal stem cells is a fundamental property shared by all stromal cells","Jones S., Horwood N., Cope A., Dazzi F.",00221767,"Journal of Immunology",179, 5,0,0,16,8,24,0,24
2006,"Bruton's tyrosine kinase is required for TLR2 and TLR4-induced TNF, but not IL-6, production","Horwood N.J., Page T.H., McDaid J.P., Palmer C.D., Campbell J., Mahon T., Brennan F.M., Webster D., Foxwell B.M.J.",00221767,"Journal of Immunology",176, 6,2,11,18,10,39,0,41
2004,"A novel mechanism for TNF-? regulation by p38 MAPK: Involvement of NF-?B with implications for therapy in rheumatoid arthritis","Campbell J., Foxwell B.M.J., Ciesielski C.J., Hunt A.E., Horwood N.J., Beech J.T., Hayes L.A., Denys A., Feldmann M., Brennan F.M.",00221767,"Journal of Immunology",173, 11,14,12,9,4,25,0,39
2004,"Secreted frizzled-related protein-1 inhibits RANKL-dependent osteoclast formation","Hausler K.D., Horwood N.J., Chuman Y., Fisher J.L., Ellis J., Martin T.J., Rubin J.S., Gillespie M.T.",08840431,"Journal of Bone and Mineral Research",19, 11,19,9,9,9,27,0,46
2003,"Bruton's tyrosine kinase is required for lipopolysaccharide-induced tumor necrosis factor ? production","Horwood N.J., Mahon T., McDaid J.P., Campbell J., Mano H., Brennan F.M., Webster D., Foxwell B.M.J.",00221007,"Journal of Experimental Medicine",197, 12,34,6,19,9,34,0,68
2003,"T-Cells Mediate an Inhibitory Effect of Interleukin-4 on Osteoclastogenesis","Mirosavljevic D., Quinn J.M.W., Elliott J., Horwood N.J., Martin T.J., Gillespie M.T.",08840431,"Journal of Bone and Mineral Research",18, 6,11,5,4,4,13,0,24
2003,"Interleukin-18 is a novel mitogen of osteogenic and chondrogenic cells","Cornish J., Gillespie M.T., Callon K.E., Horwood N.J., Moseley J.M., Reid I.R.",00137227,"Endocrinology",144, 4,3,5,5,2,12,0,15
2002,"High-efficiency gene transfer into nontransformed cells: utility for studying gene regulation and analysis of potential therapeutic targets.","Horwood N.J., Smith C., Andreakos E., Quattrocchi E., Brennan F.M., Feldmann M., Foxwell B.M.",14659905,"Arthritis research",4, ,6,0,0,0,0,0,6
