,"Author: Hughes, Alun D.;Hughes Alun, D.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 24 (Of the 195 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2424,607,566,1173,389,3986
2009,Dynamic CO2 therapy in periodic breathing: A modeling study to determine optimal timing and dosage regimes,"Mebrate Y., Willson K., Manisty C.H., Baruah R., Mayet J., Hughes A.D., Parker K.H., Francis D.P.",87507587,Journal of Applied Physiology,107,3,0,0,0,0,0,0
2009,Fluid-structure interaction analysis of a patient-specific right coronary artery with physiological velocity and pressure waveforms,"Torii R., Yang G.-Z., Thom S.A.McG., Xu X.Y., Wood N.B., Hadjiloizou N., Dowsey A.W., Wright A.R., Hughes A.D., Davies J., Francis D.P., Mayet J.",10698299,Communications in Numerical Methods in Engineering,25,5,0,0,0,0,0,0
2009,Differential effects of antihypertensive treatment on the retinal microcirculation: An anglo-scandinavian cardiac outcomes trial substudy,"Thom S., Poulter N., O'Brien E., Hughes A., Stettler C., Stanton A., Witt N., Tapp R., Chaturvedi N., Allemann S., Mayet J., Sever P.",0194911X,Hypertension,54,2,0,0,0,0,1,1
2009,Calcium channel regulation in vascular smooth muscle cells: Synergistic effects of statins and calcium channel blockers,"Clunn G.F., Sever P.S., Hughes A.D.",1675273,International Journal of Cardiology,, ,0,0,0,0,0,0
2009,"Serum amyloid A, C-reactive protein, and retinal microvascular changes in hypertensive diabetic and nondiabetic individuals: An Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT) substudy","Stettler C., Gallimore J.R., Hughes A.D., Chaturvedi N., Witt N., Tapp R.J., Thom S., Allemann S., Tillin T., Stanton A., O'Brien E., Poulter N.",1495992,Diabetes Care,32,6,0,0,0,0,0,0
2009,Stress phase angle depicts differences in coronary artery hemodynamics due to changes in flow and geometry after percutaneous coronary intervention,"Torii R., Yang G.-Z., Thom S.A.M., Xu X.Y., Wood N.B., Hadjiloizou N., Dowsey A.W., Wright A.R., Hughes A.D., Davies J., Francis D.P., Mayet J.",3636135,American Journal of Physiology - Heart and Circulatory Physiology,296,3,0,0,0,0,0,0
2009,Normal asynchrony of left ventricular long and short axes: Their relationship with aortic hemodynamics,"Page C.M.L., Khir A.W., Hughes A.D., Chung R., Henein M.Y.",1675273,International Journal of Cardiology,, ,0,0,0,0,0,0
2009,Wave intensity analysis and the development of the reservoir-wave approach,"Davies J.E., Flewitt J.A., Francis D.P., Hughes A.D., Parker K.H.",1400118,Medical and Biological Engineering and Computing,47,2,0,0,0,0,3,3
