,"Author: Hussell, Tracy",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 71 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1838,267,300,567,161,2566
2009,"Radioresistant cells expressing TLR5 control the respiratory epithelium's innate immune responses to flagellin","Janot L., Ryffel B., Erard F., Sirard J.-C., Secher T., Noulin N., Fick L., Akira S., Uematsu S., Didierlaurent A., Hussell T.",00142980,"European Journal of Immunology",39, 6,0,0,0,0,0,0
2009,"Sedation & Immunomodulation","Sanders R.D., Hussell T., Maze M.",07490704,"Critical Care Clinics",25, 3,0,0,0,0,0,0
2009,"Bacterial complications during pandemic influenza infection","Hussell T., Wissinger E., Goulding J.",17460913,"Future Microbiology",4, 3,0,0,0,0,1,1
2009,"Immune homeostasis in the respiratory tract and its impact on heterologous infection","Wissinger E., Goulding J., Hussell T.",10445323,"Seminars in Immunology",21, 3,0,0,0,0,2,2
2008,"Is it wise to target the late costimulatory molecule OX40 as a therapeutic target?","Cavanagh M.M., Hussell T.",0004069X,"Archivum Immunologiae et Therapiae Experimentalis",56, 5,0,0,0,0,0,0
2008,"A critical function for CD200 in lung immune homeostasis and the severity of influenza infection","Snelgrove R.J., Hussell T., Goulding J., Didierlaurent A.M., Lyonga D., Vekaria S., Edwards L., Gwyer E., Sedgwick J.D., Barclay A.N.",15292908,"Nature Immunology",9, 9,0,0,2,2,4,6
2008,"Manipulation of acute inflammatory lung disease","Wissinger E.L., Saldana J., Didierlaurent A., Hussell T.",19330219,"Mucosal Immunology",1, 4,0,0,0,0,0,0
2008,"Erratum: Respiratory syncytial virus infection provokes airway remodelling in allergen-exposed mice in absence of prior allergen sensitization (Clinical and Experimental Allergy (2008) 38 (1016-24))","Tourdot S., Mathie S., Hussell T., Edwards L., Openshaw P.J.M., Schwarze J., Lloyd C.M.",09547894,"Clinical and Experimental Allergy",38, 7,0,0,0,0,0,0
2008,"An antiinflammatory role for IKK? through the inhibition of ""classical"" macrophage activation","Fong C.H.Y., Bebien M., Didierlaurent A., Nebauer R., Hussell T., Broide D., Karin M., Lawrence T.",00221007,"Journal of Experimental Medicine",205, 6,0,0,2,2,6,8
2008,"Respiratory syncytial virus infection provokes airway remodelling in allergen-exposed mice in absence of prior allergen sensitization","Tourdot S., Mathie S., Hussell T., Edwards L., Wang H., Openshaw P.J.M., Schwarze J., Lloyd C.M.",09547894,"Clinical and Experimental Allergy",38, 6,0,0,1,1,3,4
2008,"Functional group/guild modelling of inter-specific pathogen interactions: A potential tool for predicting the consequences of co-infection","Lello J., Hussell T.",00311820,"Parasitology",135, 7,0,0,0,0,2,2
2008,"Sustained desensitization to bacterial Toll-like receptor ligands after resolution of respiratory influenza infection","Didierlaurent A., Sirard J.-C., Hussell T., Goulding J., Patel S., Snelgrove R., Low L., Bebien M., Lawrence T., Van Rijt L.S., Lambrecht B.N.",00221007,"Journal of Experimental Medicine",205, 2,0,0,15,15,12,27
2007,"The impact of successive infections on the lung microenvironment","Didierlaurent A., Goulding J., Hussell T.",00192805,"Immunology",122, 4,0,0,2,2,3,5
2007,"Respiratory infections: Do we ever recover?","Goulding J., Snelgrove R., Saldana J., Didierlaurent A., Cavanagh M., Gwyer E., Wales J., Wissinger E.L., Hussell T.",15463222,"Proceedings of the American Thoracic Society",4, 8,0,0,3,3,5,8
2007,"The acquired immune response to the mucosal adjuvant LTK63 imprints the mouse lung with a protective signature","Tritto E., De Gregorio E., Muzzi A., Pesce I., Monaci E., Nuti S., Galli G., Wack A., Rappuoli R., Hussell T.",00221767,"Journal of Immunology",179, 8,0,0,2,2,4,6
2007,"Discovery of a vaccine antigen that protects mice from Chlamydia pneumoniae infection","Thorpe C., Edwards L., Snelgrove R., Finco O., Rae A., Grandi G., Guilio R., Hussell T.",0264410X,"Vaccine",25, 12,0,2,2,4,1,5
2006,"The therapeutic potential of positive and negative immune cell co-stimulation during inflammation","Gwyer E., Snelgrove R., Hussell T.",03005127,"Biochemical Society Transactions",34, 6,0,0,0,0,0,0
2006,"Discussion","Schoub B., Williams T.J., Romani L., McGreal E., Hussell T., Peiris J.M., Steyn L., Steinman R., Finn O.J., Lambrecht B.N., Gordon S., Ryffel B., Didierlaurent A.",15282511,"Novartis Foundation Symposium",279, ,0,0,0,0,0,0
2006,"Discussion","Hussell T., Quesniaux V., Walzl G., Finn O.J., Ryffel B., Steinman R., Mantovani A., Brown G., Sheehan J.K., Gordon S., Lambrecht B.N., Didierlaurent A., Romani L.",15282511,"Novartis Foundation Symposium",279, ,0,0,0,0,0,0
2006,"Discussion","Hussell T., Segal A., Lawn S., Romani L., Lambrecht B.N., Bateman E., Didierlaurent A., Speert D.P., Wilkinson R.J., Mantovani A., Steinman R., Walzl G.",15282511,"Novartis Foundation Symposium",279, ,0,0,0,0,0,0
2006,"Discussion","Hussell T., Sim E., Steyn L., Feldman C., Gordon S., Speert D.P., Sheehan J.K., Brown G., Ryffel B., Romani L., Mantovani A., Segal A., Lambrecht B.N.",15282511,"Novartis Foundation Symposium",279, ,0,0,0,0,0,0
2006,"A critical role for ICOS co-stimulation in immune containment of pulmonary influenza virus infection","Humphreys I.R., Edwards L., Snelgrove R.J., Rae A.J., Coyle A.J., Hussell T.",00142980,"European Journal of Immunology",36, 11,0,1,3,4,1,5
2006,"In the absence of reactive oxygen species, T cells default to a Th1 phenotype and mediate protection against pulmonary Cryptococcus neoformans infection","Snelgrove R.J., Edwards L., Williams A.E., Rae A.J., Hussell T.",00221767,"Journal of Immunology",177, 8,0,1,8,9,2,11
2006,"Role of CCL5 (RANTES) in viral lung disease","Culley F.J., Pennycook A.M.J., Tregoning J.S., Dodd J.S., Walzl G., Wells T.N., Hussell T., Openshaw P.J.M.",0022538X,"Journal of Virology",80, 16,0,1,9,10,3,13
2006,"An absence of reactive oxygen species improves the resolution of lung influenza infection","Snelgrove R.J., Edwards L., Rae A.J., Hussell T.",00142980,"European Journal of Immunology",36, 6,2,6,10,16,4,22
2006,"Differential chemokine expression following respiratory virus infection reflects Th1- or Th2-biased immunopathology","Culley F.J., Pennycook A.M.J., Tregoning J.S., Hussell T., Openshaw P.J.M.",0022538X,"Journal of Virology",80, 9,3,12,12,24,6,33
2006,"Boosting of cellular immunity against Mycobacterium tuberculosis and modulation of skin cytokine responses in healthy human volunteers by Mycobacterium bovis BCG substrain Moreau Rio de Janeiro oral vaccine","Cosgrove C.A., Lewis D.J.M., Castello-Branco L.R.R., Hussell T., Sexton A., Giemza R., Phillips R., Williams A., Griffin G.E., Dougan G.",00199567,"Infection and Immunity",74, 4,0,3,4,7,4,11
2006,"Amelioration of influenza-induced pathology in mice by coinfection with Trichinella spiralis","Furze R.C., Hussell T., Selkirk M.E.",00199567,"Infection and Immunity",74, 3,2,3,4,7,5,14
2006,"Colonic bacterial infection abrogates eosinophilic pulmonary disease","Williams A.E., Edwards L., Hussell T.",00221899,"Journal of Infectious Diseases",193, 2,1,4,1,5,2,8
2005,"An IL-7 fusion protein that shows increased thymopoietic ability","Henson S.M., Snelgrove R., Hussell T., Wells D.J., Aspinall R.",00221767,"Journal of Immunology",175, 6,3,3,3,6,1,10
2005,"Protection against tetanus toxin using a plant-based vaccine","Tregoning J.S., Hussell T., Clare S., Bowe F., Edwards L., Fairweather N., Qazi O., Nixon P.J., Maliga P., Dougan G.",00142980,"European Journal of Immunology",35, 4,3,3,5,8,3,14
2005,"TGF-? prevents eosinophilic lung disease but impairs pathogen clearance","Williams A.E., Humphreys I.R., Cornere M., Edwards L., Rae A., Hussell T.",12864579,"Microbes and Infection",7, 3,5,2,2,4,1,10
2005,"Role of CCL11 in eosinophilic lung disease during respiratory syncytial virus infection","Matthews S.P., Tregoning J.S., Coyle A.J., Hussell T., Openshaw P.J.M.",0022538X,"Journal of Virology",79, 4,6,6,8,14,1,21
2005,"Stimulation via Toll-like receptor 9 reduces Cryptococcus neoformans-induced pulmonary inflammation in an IL-12-dependent manner","Edwards L., Williams A.E., Krieg A.M., Rae A.J., Snelgrove R.J., Hussell T.",00142980,"European Journal of Immunology",35, 1,5,9,6,15,2,22
