,"Author: Imami, Nesrina",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 80 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,858,115,120,235,79,1172
2009,"Programmed death (PD)-1 molecule and its ligand PD-L1 distribution among memory CD4 and CD8 T cell subsets in human immunodeficiency virus-1-infected individuals","Rosignoli G., Bower M., Gotch F., Imami N.",00099104,"Clinical and Experimental Immunology",157, 1,0,0,0,0,0,0
2009,"Transient nature of long-term nonprogression and broad virus-specific proliferative T-cell responses with sustained thymic output in HIV-1 controllers","Westrop S.J., Qazi N.A., Pido-Lopez J., Nelson M.R., Gazzard B., Gotch F.M., Imami N.",19326203,"PLoS ONE",4, 5,0,0,0,0,0,0
2009,"Novel approach to recognition of predicted HIV-1 Gag B*3501-restricted CD8 T-cell epitopes by HLA-B*3501+ patients: Confirmation by quantitative ELISpot analyses and characterisation using multimers","Westrop S.J., Grageda N., Imami N.",00221759,"Journal of Immunological Methods",341, 1-2,0,0,0,0,0,0
2008,"Toll-like Receptor 4 Mediates Innate Immunity to Kaposi Sarcoma Herpesvirus","Lagos D., Gotch F., Boshoff C., Vart R.J., Gratrix F., Westrop S.J., Emuss V., Wong P.-P., Robey R., Imami N., Bower M.",19313128,"Cell Host and Microbe",4, 5,0,0,0,0,3,3
2008,"Effects of recombinant human growth hormone on HIV-1-specific T-cell responses, thymic output and proviral DNA in patients on HAART: 48-week follow-up","Herasimtschuk A.A., Westrop S.J., Moyle G.J., Downey J.S., Imami N.",14768518,"Journal of Immune Based Therapies and Vaccines",6, ,0,0,0,0,1,1
2008,"Long-term increase of CD4+ central memory cells in HIV-1-infected individuals by therapeutic HIV-1 rgp160 immunization","Gudmundsdotter L., Bostrom A.-C., Burton C., Rosignoli G., Sandstrom E., Hejdeman B., Wahren B., Imami N., Gotch F.",0264410X,"Vaccine",26, 40,0,0,0,0,0,0
2008,"Restoration of anti-tetanus toxoid responses in patients initiating highly active antiretroviral therapy with or without a boost immunization: An INITIO substudy","Burton C.T., Goodall R.L., Samri A., Autran B., Kelleher A.D., Poli G., Pantaleo G., Gotch F.M., Imami N.",00099104,"Clinical and Experimental Immunology",152, 2,0,0,0,0,1,1
2007,"Three-year immune reconstitution in PI-sparing and PI-containing antiretroviral regimens in advanced HIV-1 disease","Samri A., Goodall R., Burton C., Imami N., Pantaleo G., Kelleher A., Poli G., Gotch F., Autran B.",13596535,"Antiviral Therapy",12, 4,0,0,1,1,1,2
2007,"Expression of PD-L1, a marker of disease status, is not reduced by HAART in aviraemic patients","Rosignoli G., Cranage A., Burton C., Nelson M., Steel A., Gazzard B., Gotch F., Imami N.",02699370,"AIDS",21, 10,0,0,5,5,2,7
2007,"A phase I, randomized study of combined IL-2 and therapeutic immunisation with antiretroviral therapy","Hardy G.A.D., Imami N., Nelson M.R., Sullivan A.K., Moss R., Aasa-Chapman M.M.I., Gazzard B., Gotch F.M.",14768518,"Journal of Immune Based Therapies and Vaccines",5, ,0,0,6,6,1,7
2007,"Recent HIV-1 infection in a high-risk Ugandan cohort: Implications for Phase IIB test-of-concept HIV vaccine trials","Kebba A., Imami N., Bugembe-Lule D., Senkaali D., Kaleebu P., Grosskurth H., Gotch F.",14622416,"Pharmacogenomics",8, 4,0,1,0,1,0,1
2007,"Old rhesus macaques treated with interleukin-7 show increased TREC levels and respond well to influenza vaccination","Aspinall R., Heeney J.L., Pido-Lopez J., Imami N., Henson S.M., Ngom P.T., Morre M., Niphuis H., Remarque E., Rosenwirth B.",15491684,"Rejuvenation Research",10, 1,0,0,8,8,4,12
2007,"Specificity of anti-human leukocyte antigen antibody responses after immunization with Remune, an inactivated HIV-1 vaccine","Page M., Ojugo A., Imami N., Hardy G., Gotch F., Almond N.",02699370,"AIDS",21, 3,0,3,0,3,1,4
2006,"Immune modulation and reconstitution of HIV-1-specific responses: Novel approaches and strategies","Burton C.T., Mela C.M., Rosignoli G., Westrop S.J., Gotch F.M., Imami N.",09298673,"Current Medicinal Chemistry",13, 26,0,1,1,2,1,3
2006,"An anniversary without celebration?","Imami N., Kebba A., Gotch F.",15292908,"Nature Immunology",7, 9,0,0,0,0,0,0
2006,"A case of multidrug resistant primary HIV infection with delayed CD4 T-cell count decline despite low viral load, treated with interleukin-2 [3]","Pao D., Smit E., Imami N., Fisher M.",02699370,"AIDS",20, 11,0,1,0,1,0,1
2006,"Rapid qualitative and quantitative analysis of T-cell responses in HIV-1-infected individuals receiving successful HAART and HIV-1 sero-negative controls: Concomitant assessment of perforin, IFN-? and IL-4 secretion","Burton C.T., Gotch F., Imami N.",00221759,"Journal of Immunological Methods",308, 1-2,0,0,0,0,3,3
2005,"Switch from inhibitory to activating NKG2 receptor expression in HIV-1 infection: Lack of reversion with highly active antiretroviral therapy","Mela C.M., Burton C.T., Imami N., Nelson M., Steel A., Gazzard B.G., Gotch F.M., Goodier M.R.",02699370,"AIDS",19, 16,6,8,9,17,6,29
2005,"Immunological and virological consequences of patient-directed antiretroviral therapy interruption during chronic HIV-1 infection","Burton C.T., Nelson M.R., Hay P., Gazzard B.G., Gotch F.M., Imami N.",00099104,"Clinical and Experimental Immunology",142, 2,1,3,2,5,0,6
2005,"The importance of standardisation of laboratory evaluations in HIV vaccine trials","Gotch F., Holmes H., Imami N.",12864579,"Microbes and Infection",7, 14,1,1,3,4,1,6
2005,"Mycobacterial immune reconstitution inflammatory syndrome in HIV-1 infection after antiretroviral therapy is associated with deregulated specific T-cell responses: Beneficial effect of IL-2 and GM-CSF immunotherapy","Pires A., Nelson M., Pozniak A.L., Fisher M., Gazzard B., Gotch F.M., Imami N.",14768518,"Journal of Immune Based Therapies and Vaccines",3, ,2,0,5,5,4,11
2005,"Expression of the common heat-shock protein receptor CD91 is increased on monocytes of exposed yet HIV-1-seronegative subjects","Kebba A., Stebbing J., Rowland S., Ingram R., Agaba J., Patterson S., Kaleebu P., Imami N., Gotch F.",07415400,"Journal of Leukocyte Biology",78, 1,4,2,1,3,0,7
