,"Author: Inwald, David P.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 9 (Of the 27 documents considered for the h-Index, 9 have been cited at least 9 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,225,43,52,95,31,351
2009,"Emergency management of children with severe sepsis in the united kingdom: the results of the paediatric intensive care society sepsis audit","Inwald D.P., Tasker R.C., Peters M.J., Nadel S.",00039888,"Archives of Disease in Childhood",94, 5,0,0,0,0,1,1
2008,"Hyperglycemia is associated with morbidity in critically ill children with meningococcal sepsis.","Day K.M., Haub N., Betts H., Inwald D.P.",15297535,"Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies",9, 6,0,0,0,0,1,1
2008,"The best interests test at the end of life on PICU: A plea for a family centred approach","Inwald D.",00039888,"Archives of Disease in Childhood",93, 3,0,0,0,0,1,1
2007,"Erratum: (Archives of Disease in Childhood (2006) 91 (928))","Inwald D.P., Yen Ho S., Sheppard M.N.",00039888,"Archives of Disease in Childhood",92, 1,0,0,0,0,0,0
2006,"Idiopathic infantile arterial calcification presenting as fatal hypertensive cardiomyopathy","Inwald D.P., Ho S.Y., Shepherd M.N., Doubeney P.E.F.",00039888,"Archives of Disease in Childhood",91, 11,0,0,3,3,0,3
2006,"Platelet and soluble CD40L in meningococcal sepsis","Inwald D.P., Faust S.N., Lister P., Peters M.J., Levin M., Heyderman R., Klein N.J.",03424642,"Intensive Care Medicine",32, 9,0,2,2,4,0,4
2006,"Congenital mitral stenosis presenting with haemolytic anaemia","Connor P.P., Inwald D.",00071048,"British Journal of Haematology",133, 6,0,0,0,0,0,0
2006,"Meningococcal disease: Identifying high-risk cases","Inwald D., Peters M.",13648535,"Critical Care",10, 2,0,1,0,1,0,1
2004,"Acute management of paediatric respiratory failure","Inwald D.",14623935,"Hospital Medicine",65, 10,0,0,0,0,0,0
2004,"Enterovirus myocarditis as a cause of neonatal collapse","Inwald D., Franklin O., Cubitt D., Peters M., Burch M.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",89, 5,3,1,7,8,2,13
2004,"Open lung biopsy in neonatal and paediatric patients referred for extracorporeal membrane oxygenation (ECMO)","Inwald D., Brown K., Gensini F., Malone M., Goldman A.",00406376,"Thorax",59, 4,5,1,1,2,0,7
2003,"Severe meningococcal disease is characterized by early neutrophil but not platelet activation and increased formation and consumption of platelet-neutrophil complexes","Peters M.J., Heyderman R.S., Faust S., Dixon G.L.J., Inwald D.P., Klein N.J.",07415400,"Journal of Leukocyte Biology",73, 6,5,0,0,0,2,7
2003,"CD40 is constitutively expressed on platelets and provides a novel mechanism for platelet activation","Inwald D.P., McDowall A., Peters M.J., Callard R.E., Klein N.J.",00097330,"Circulation Research",92, 9,73,20,20,40,13,126
2003,"A novel form of integrin dysfunction involving ?1, ?2, and ?3 integrins","McDowall A., Inwald D., Leitinger B., Jones A., Liesner R., Klein N., Hogg N.",00219738,"Journal of Clinical Investigation",111, 1,27,7,6,13,5,45
2001,"Paralysing agents may be given up to but not at or beyond the point of extubation","Inwald D., Vandyck W.",09598146,"British Medical Journal",323, 7309,0,2,0,2,0,2
2001,"Oxygen treatment for acute severe asthma","Inwald D., Roland M., Kuitert L., McKenzie S.A., Petros A.",09598146,"British Medical Journal",323, 7304,7,0,1,1,1,9
2001,"Current management and outcome of tracheobronchial malacia and stenosis presenting to the paediatric intensive care unit","Inwald D.P., Roebuck D., Elliott M.J., Mok Q.",03424642,"Intensive Care Medicine",27, 4,9,0,1,1,2,12
2001,"Demystified ... Adhesion molecule deficiencies","Inwald D., Daviets E.G., Klein N.",13668714,"Journal of Clinical Pathology - Molecular Pathology",54, 1,4,1,1,2,0,6
2000,"Platelet and leucocyte activation in childhood sickle cell disease: Association with nocturnal hypoxaemia","Inwald D.P., Kirkham F.J., Peters M.J., Lane R., Wade A., Evans J.P., Klein N.J.",00071048,"British Journal of Haematology",111, 2,26,7,6,13,1,40
2000,"Expression of interleukin 3 and granulocyte-macrophage colony-stimulating factor receptor common chain ?c, ?IT in normal haematopoiesis: Lineage specificity and proliferation-independent induction","Inwald D.P., Kirkham F.J., Peters M.J., Lane R., Wade A., Evans J.P., Klein N.J.",00071048,"British Journal of Haematology",111, 2,9,0,1,1,0,10
2000,"Absence of platelet CD40L identifies patients with X-linked hyper IgM syndrome","Inwald D.P., Peters M.J., Walshe D., Jones A., Davies E.G., Klein N.J.",00099104,"Clinical and Experimental Immunology",120, 3,13,0,1,1,1,15
2000,"Ethical debate: Brain stem death: Managing care when accepted medical guidelines and religious beliefs are in conflict","Inwald D., Jakobovits I., Petros A.",09598146,"British Medical Journal",320, 7244,5,1,1,2,0,7
1999,"The effect of early inhaled budesonide on pulmonary inflammation in infants with respiratory distress syndrome","Inwald D.P., Trivedi K., Murch S.H., Costeloe K.",03406199,"European Journal of Pediatrics",158, 10,2,0,0,0,1,3
1999,"Acquired immunoparalysis in paediatric intensive care: Prospective observational study","Peters M., Petros A., Dixon G., Inwald D., Klein N.",09598146,"British Medical Journal",319, 7210,19,0,0,0,0,19
1998,"High concentration of GRO-? and MCP-1 in bronchoalveolar fluid of infants with respiratory distress syndrome after surfactant [3]","Inwald D.P., Costeloe K., Murch S.H.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",78, 3,11,0,0,0,0,11
1997,"Thermal entrainment of heart rate in the preterm infant","Mannix P.A., Inwald D.P., Hathorn M.K.S., Costeloe K.",00313998,"Pediatric Research",42, 3,4,0,0,0,0,4
1996,"The deep breath vasoconstriction refLex - A new tool for autonomic assessment in infancy?","Inwald D., Hathorn M.K.S., Costeloe K.",03783782,"Early Human Development",45, 1-2,3,0,1,1,0,4
