,"Authors: Jarvelin, Marjo Riitta;Järvelin, Marjo Ritta",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 35 (Of the 230 documents considered for the h-Index, 35 have been cited at least 35 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2342,738,1027,1765,918,5025
2009,"Genetic variant near IRS1 is associated with type 2 diabetes, insulin resistance and hyperinsulinemia","Rung J., Borch-Johnsen K., Charpentier G., Dina C., Durand E., Elliott P., Hadjadj S., Jarvelin M.-R., Laitinen J., Lauritzen T., Marre M., Cauchi S., Meyre D., Montpetit A., Pisinger C., Posner B., Poulsen P., Pouta A., Prentki M., Ribel-Madsen R., Ruokonen A., Albrechtsen A., Sandbaek A., Serre D., Tichet J., Vaxillaire M., Wojtaszewski J.F.P., Vaag A., Hansen T., Polychronakos C., Pedersen O., Froguel P., Shen L., Sladek R., Rocheleau G., Cavalcanti-Proenca C., Bacot F., Balkau B., Belisle A.",10614036,Nature Genetics,, ,0,0,0,0,0,0
2009,Impact of the dopamine receptor gene family on temperament traits in a population-based birth cohort,"Nyman E.S., Freimer N., Jarvelin M.-R., Peltonen L., Loukola A., Varilo T., Ekelund J., Veijola J., Joukamaa M., Taanila A., Pouta A., Miettunen J.",1552485X,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",150,6,0,0,0,0,0,0
2009,Is prenatal alcohol exposure related to inattention and hyperactivity symptoms in children? Disentangling the effects of social adversity,"Rodriguez A., Taanila A., Ebeling H., Jarvelin M.R., Kotimaa A.J., Kaakinen M., Moilanen I., Henriksen T.B., Linnet K.M., Miettunen J., Obel C.",219630,Journal of Child Psychology and Psychiatry and Allied Disciplines,50,9,0,0,0,0,0,0
2009,Infant motor development predicts sports participation at age 14 years: Northern Finland Birth Cohort of 1966,"Ridgway C.L., Ong K.K., Tammelin T.H., Sharp S., Ekelund U., Jarvelin M.-R.",19326203,PLoS ONE,4,8,0,0,0,0,0,0
2009,Early-life origins of schizotypal traits in adulthood,"Lahti J., Veijola J., Raikkonen K., Sovio U., Miettunen J., Hartikainen A.-L., Pouta A., Taanila A., Joukamaa M., Jarvelin M.-R.",71250,British Journal of Psychiatry,195,2,0,0,0,0,0,0
2009,Genetic loci associated with C-reactive protein levels and risk of coronary heart disease,"Elliott P., Bennett D., Coin L., Ashby D., Tzoulaki I., Brown I.J., Mt-Isa S., McCarthy M.I., Peltonen L., Freimer N.B., Farrall M., Chambers J.C., Ruokonen A., Hamsten A., Lim N., Froguel P., Waterworth D.M., Vollenweider P., Waeber G., Jarvelin M.-R., Mooser V., Scott J., Zhang W., Hall A.S., Schunkert H., Anand S.S., Collins R., Samani N.J., Watkins H., Kooner J.S., Clarke R., Hopewell J.C., Peden J.F., Erdmann J., Braund P., Engert J.C.",987484,JAMA - Journal of the American Medical Association,302,1,0,0,0,0,1,1
2009,Prevalence of degenerative imaging findings in lumbar magnetic resonance imaging among young adults,"Takatalo J., Karppinen J., Niinimaki J., Taimela S., Nayha S., Jarvelin M.-R., Kyllonen E., Tervonen O.",3622436,Spine,34,16,0,0,0,0,0,0
2009,Smoking during pregnancy and hyperactivity-inattention in the offspring - Comparing results from three Nordic cohorts,"Obel C., Taanila A., Ye G., Olsen J., Linnet K.M., Henriksen T.B., Rodriguez A., Jarvelin M.R., Kotimaa A., Moilanen I., Ebeling H., Bilenberg N.",3005771,International Journal of Epidemiology,38,3,0,0,0,0,6,6
2009,Type 2 diabetes risk alleles are associated with reduced size at birth,"Freathy R.M., Lango H., Perry J.R.B., Pouta A., Ruokonen A., Hypponen E., Power C., Elliott P., Strachan D.P., Jarvelin M.-R., Smith G.D., Bennett A.J., McCarthy M.I., Frayling T.M., Hattersley A.T., Ring S.M., Shields B., Groves C.J., Timpson N.J., Weedon M.N., Zeggini E., Lindgren C.M.",121797,Diabetes,58,6,0,0,0,0,3,3
2009,"G-allele of intronic rs10830963 in MTNR1B confers increased risk of impaired fasting glycemia and type 2 diabetes through an impaired glucose-stimulated insulin release: Studies involving 19,605 Europeans","Sparso T., Cavalcanti-Proenca C., Marchand M., Vaxillaire M., Charpentier G., Jarvelin M.-R., Tichet J., Balkau B., Marre M., Levy-Marchal C., Faerch K., Bonnefond A., Borch-Johnsen K., Jorgensen T., Madsbad S., Poulsen P., Vaag A., Dina C., Hansen T., Pedersen O., Froguel P., Andersson E., Bouatia-Naji N., Holmkvist J., Wegner L., Grarup N., Gjesing A.P., Banasik K.",121797,Diabetes,58,6,0,0,0,0,1,1
