,"This is a citation overview for a set of 65 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 65 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,335,108,172,280,101,716
2009,"Ultrasound-guided radiofrequency-assisted segmental liver resection: A new technique","Curro G., Bartolotta M., Barbera A., Jiao L., Habib N., Navarra G.",00034932,"Annals of Surgery",250, 2,0,0,0,0,0,0
2009,"Pilot study for a new bipolar radiofrequency ablation/aspirator device in the management of primary and secondary liver cancers","Zacharoulis D., Khorsandi S.E., Vavra P., Dostalik J., Navarra G., Nicholls J.P., Jiao L.R., Habib N.A.",14783223,"Liver International",29, 6,0,0,0,0,0,0
2009,"Measurements of EGFR expression on circulating tumor cells are reproducible over time in metastatic breast cancer patients","Payne R.I., Yague E., Slade M.J., Apostolopoulos C., Jiao L.R., Ward B., Coombes R.C., Stebbing J.",14622416,"Pharmacogenomics",10, 1,0,0,0,0,2,2
2009,"CK1? modulates the transcriptional activity of ER? via AIB1 in an estrogen-dependent manner and regulates ER?-AIB1 interactions","Giamas G., Stebbing J., Castellano L., Feng Q., Knippschild U., Jacob J., Thomas R.S., Coombes R.C., Smith C.L., Jiao L.R.",03051048,"Nucleic Acids Research",37, 9,0,0,0,0,1,1
2009,"The relationship between prolonged antiretroviral therapy and cryptogenic liver disease","Stebbing J., Wong N., Tan L., Scourfield A., Jiao L., Shousha S., Grover D., Bower M., Nelson M.",15254135,"Journal of Acquired Immune Deficiency Syndromes",50, 5,0,0,0,0,0,0
2008,"Pancreatic mass with an unusual pathology: A case report","Healey A.J., Reed A., Jiao L.R.",08948569,"HPB Surgery",, ,0,0,0,0,0,0
2008,"Cetuximab in the first-line therapy of metastatic colorectal carcinoma: Not so CRYSTAL clear","Windsor A.C.J., Cohen R.G., Jiao L.R., Stebbing J.",14796694,"Future Oncology",4, 6,0,0,0,0,0,0
2008,"Laparoscopic liver resection assisted by the laparoscopic Habib Sealer","Jiao L.R., Ayav A., Navarra G., Sommerville C., Pai M., Damrah O., Khorsandi S., Habib N.A.",00396060,"Surgery",144, 5,0,0,0,0,1,1
2008,"Radiofrequency-assisted liver resection in cirrhotic patients with hepatocellular carcinoma","Curro G., Jiao L., Scisca C., Baccarani U., Mucciardi M., Habib N., Navarra G.",00224790,"Journal of Surgical Oncology",98, 6,0,0,0,0,0,0
2008,"Management of delayed postoperative hemorrhage after pancreaticoduodenectomy: A meta-analysis","Limongelli P., Khorsandi S.E., Pai M., Jackson J.E., Tait P., Tierris J., Habib N.A., Williamson R.C.N., Jiao L.R.",00040010,"Archives of Surgery",143, 10,0,0,0,0,0,0
2008,"Repeat hepatic resection using a radiofrequency-assisted technique","El-Gendi A.M., Khorsandi S.E., Pai M., Zacharoulis D., Nicholls J.P., Spalding D.R.C., Jiao L.R., Habib N.A.",02534886,"Digestive Surgery",25, 4,0,0,0,0,0,0
2008,"Circulating tumour cells as tumour markers","Jiao L., Apostolopoulos C., Stebbing J.",17420946,"Advances in Breast Cancer",5, 3,0,0,0,0,0,0
2008,"Liver resection with bipolar radiofrequency device: Habib? 4X","Pai M., Jiao L.R., Khorsandi S., Canelo R., Spalding D.R.C., Habib N.A.",1365182X,"HPB",10, 4,0,0,0,0,0,0
2008,"Autologous infusion of expanded mobilized adult bone marrow-derived CD34+ cells into patients with alcoholic liver cirrhosis","Pai M., Jestice K., Glibetic M., Bansi D., Khan S.A., Kyriakou D., Rountas C., Thillainayagam A., Nicholls J.P., Jensen S., Apperley J.F., Zacharoulis D., Gordon M.Y., Habib N.A., Milicevic M.N., Helmy S., Jiao L.R., Levicar N., Tait P., Scott M., Marley S.B.",00029270,"American Journal of Gastroenterology",103, 8,0,0,0,0,4,4
2008,"Liver resection with a new multiprobe bipolar radiofrequency device","Ayav A., Jiao L., Dickinson R., Nicholls J., Milicevic M., Pellicci R., Bachellier P., Habib N.",00040010,"Archives of Surgery",143, 4,0,0,1,1,1,2
2008,"Minimally invasive and selective hydrodynamic gene therapy of liver segments in the pig and human","Khorsandi S.E., Al-Waracky M., Salama H., Jiao L., Nicholls J., Davies A.J., Levicar N., Jensen S., Habib N., Bachellier P., Weber J.C., Greget M., Jaeck D., Zacharoulis D., Rountas C., Helmy S., Helmy A.",09291903,"Cancer Gene Therapy",15, 4,0,0,3,3,4,7
2008,"Management of delayed arterial hemorrhage after pancreaticoduodenectomy. A case series","Khorsandi S.E., Limongelli P., Jackson J.E., Tait P., Williamson R.C., Habib N.A., Jiao L.R.",15908577,"Journal of the Pancreas",9, 2,0,0,0,0,0,0
2008,"Long-term clinical results of autologous infusion of mobilized adult bone marrow derived CD34+ cells in patients with chronic liver disease","Levicar N., Jensen S.L., Nicholls J.P., Apperley J.F., Gordon M.Y., Pai M., Habib N.A., Tait P., Jiao L.R., Marley S.B., Davis J., Dazzi F., Smadja C.",09607722,"Cell Proliferation",41, 1,0,0,2,2,2,4
2008,"Preoperative portal vein embolization for major liver resection: A meta-analysis","Abulkhir A., Limongelli P., Healey A.J., Damrah O., Tait P., Jackson J., Habib N., Jiao L.R.",00034932,"Annals of Surgery",247, 1,0,0,9,9,15,24
2007,"Induction of tumor-specific T-cell responses by vaccination with tumor lysate-loaded dendritic cells in colorectal cancer patients with carcinoembryonic-antigen positive tumors","Tamir A., Harrison P., Stauss H., George A.J.T., Habib N., Lechler R.I., Lombardi G., Basagila E., Kagahzian A., Jiao L., Jensen S., Nicholls J., Tate P., Stamp G., Farzaneh F.",03407004,"Cancer Immunology, Immunotherapy",56, 12,0,0,4,4,6,10
2007,"Erratum: Induction of tumor-specific T-cell responses by vaccination with tumor lysate-loaded dendritic cells in colorectal cancer patients with carcinoembryonic-antigen positive tumors (Cancer Immunology, Immunotherapy DOI 10.1007/s00262-007-0299-y)","Tamir A., Harrison P., Stauss H., George A.J.T., Habib N., Lechler R.I., Lombardi G., Basaglia E., Kagahzian A., Jiao L., Jensen S., Nicholls J., Tate P., Stamp G., Farzaneh F.",03407004,"Cancer Immunology, Immunotherapy",56, 12,0,0,0,0,0,0
2007,"Editor's quiz: A cause of cholestatic jaundice","Spiller R., Wheeler P.G., Atrey A., Healey A., Taylor K.M., Jiao L.R.",00175749,"Gut",56, 10,0,0,0,0,0,0
2007,"Correlation between preoperative biliary drainage, bile duct contamination, and postoperative outcomes for pancreatic surgery","Limongelli P., Pai M., Bansi D., Thiallinagram A., Tait P., Jackson J., Habib N.A., Williamson R.C.N., Jiao L.R.",00396060,"Surgery",142, 3,0,0,0,0,4,4
2007,"Bloodless liver resection using radiofrequency energy","Ayav A., Jiao L.R., Habib N.A.",02534886,"Digestive Surgery",24, 4,0,0,8,8,1,9
2007,"Clinical and imaging experience with yttrium-90 microspheres in the management of unresectable liver tumours","Jiao L.R., Thillainayagam A., Bansi D., Rubello D., Limongelli P., Woo K., Habib N.A., Szyszko T., Al-Nahhas A., Tait P., Canelo R., Stamp G., Wasan H., Lowdell C., Philips R.",07487983,"European Journal of Surgical Oncology",33, 5,0,2,6,8,3,11
2007,"Laparoscopic liver resection assisted with radiofrequency","Bachellier P., Ayav A., Pai M., Weber J.-C., Rosso E., Jaeck D., Habib N.A., Jiao L.R.",00029610,"American Journal of Surgery",193, 4,0,0,4,4,4,8
2007,"Results of major hepatectomy without vascular clamping using radiofrequency-assisted technique compared with total vascular exclusion","Ayav A., Navarra G., Basaglia E., Tierris J., Healey A., Spalding D., Canelo R., Habib N.A., Jiao L.R.",01726390,"Hepato-Gastroenterology",54, 75,0,0,1,1,0,1
2007,"Impact of radiofrequency assisted hepatectomy for reduction of transfusion requirements","Ayav A., Bachellier P., Habib N.A., Pellicci R., Tierris J., Milicevic M., Jiao L.R.",00029610,"American Journal of Surgery",193, 2,0,1,10,11,5,16
2007,"Laparoscopic versus open hepatic resections for benign and malignant neoplasms-a meta-analysis","Simillis C., Constantinides V.A., Tekkis P.P., Darzi A., Lovegrove R., Jiao L., Antoniou A.",00396060,"Surgery",141, 2,0,4,23,27,16,43
2007,"Assessment of response to treatment of unresectable liver tumours with 90Y microspheres: Value of FDG PET versus computed tomography","Szyszko T., Al-Nahhas A., Canelo R., Habib N., Jiao L., Wasan H., Pagou M., Tait P.",01433636,"Nuclear Medicine Communications",28, 1,0,4,7,11,1,12
2007,"Management and prevention of adverse effects related to treatment of liver tumours with 90Y microspheres","Szyszko T., Thillainayagam A., Nijran K., Stamp G., O'Rourke E., Al-Nahhas A., Tait P., Rubello D., Canelo R., Habib N., Jiao L., Wasan H., Bansi D.",01433636,"Nuclear Medicine Communications",28, 1,0,3,3,6,3,9
2006,"Radio frequency assisted liver resection: The habib's technique","Jiao L.R., Navarra G., Weber J.-C., Havlic R., Nicholls J.P., Habib N.A.",00652598,"Advances in Experimental Medicine and Biology",574, ,0,0,1,1,0,1
2006,"A new technique for spleen preservation with radiofrequency","Jiao L.R., Tierris I., Ayav A., Milicevic M., Pellicci R., Navarra G., Habib N.A.",00396060,"Surgery",140, 3,0,0,1,1,1,2
2006,"Randomized clinical trial of the effects of abdominal drainage after elective hepatectomy using the crushing clamp method (Br J Surg 2006; 93: 422-426) [5]","Jiao L.R., Habib N.A.",00071323,"British Journal of Surgery",93, 8,0,0,0,0,0,0
2006,"Characterization and clinical application of human CD34+ stem/progenitor cell populations mobilized into the blood by granulocyte colony-stimulating factor","Gordon M.Y., Marley S.B., Davies J., Dazzi F., Marelli-Berg F., Tait P., Playford R., Jiao L., Jensen S., Nicholls J.P., Ayav A., Levicar N., Nohandani M., Farzaneh F., Gaken J., Dodge R., Alison M., Apperley J.F., Lechler R., Habib N.A., Pai M., Bachellier P., Dimarakis I., Al-Allaf F., M'Hamdi H., Thalji T., Welsh J.P.",10665099,"Stem Cells",24, 7,1,13,23,36,4,41
2005,"Portal hypertension secondary to 90Yttrium microspheres: An unknown complication [4]","Ayav A., Habib N., Jiao L.R.",0732183X,"Journal of Clinical Oncology",23, 32,1,5,2,7,1,9
2005,"New technique for liver resection using heat coagulative necrosis [4]","Ayav A., Navarra G., Habib N.A., Jiao L.R.",00034932,"Annals of Surgery",242, 5,0,3,2,5,0,5
2005,"Short- and -long term results of intraoperative radiofrequency ablation of liver metastases","Navarra G., Ayav A., Weber J.-C., Jensen S.L., Smadga C., Nicholls J.P., Habib N.A., Jiao L.R.",01791958,"International Journal of Colorectal Disease",20, 6,4,7,4,11,3,18
2005,"Radiofrequency assisted liver resection - A novel technique","Jiao L.R., Navarra G., Weber J.-C., Havlik R., Nicholls J.P., Habib N.A.",01726390,"Hepato-Gastroenterology",52, 66,2,6,1,7,1,10
2005,"Liver resection in a patient with concomitant thoraco-abdominal and cerebral aneurysms","Jiao L.R., Tysome J.R., Navarra G., Habib N.A.",1365182X,"HPB",7, 1,0,0,0,0,0,0
2005,"Letter to the editor [1] (multiple letters)","Bachellier P., Habib N.A., Jiao L.R., Weber J.C., Sakamoto Y., Yamamoto J.",03642313,"World Journal of Surgery",29, 1,0,1,0,1,0,1
2004,"Bloodless partial splenectomy (multiple letters)","Ferguson C.M., Huguier M., Houry S., Jiao L.R., Smadja C., Habib N.A.",00029610,"American Journal of Surgery",188, 4,0,0,0,0,0,0
2004,"Suicide gene therapy in liver tumors.","Jiao L.R., Havlik R., Nicholls J., Jensen S.L., Habib N.A.",15431894,"Methods in molecular medicine",90, ,3,0,2,2,0,5
2003,"Radiofrequency comes of age in liver surgery: Ablative technique and adjunct to resection","Jiao L.R., Williamson R.C.N., Habib N.A.",1365182X,"HPB",5, 1,3,1,0,1,1,5
2003,"Mucous cystadenoma of the appendix: is it safe to remove it by a laparoscopic approach?","Navarra G., Asopa V., Basaglia E., Jones M., Jiao L.R., Habib N.A.",14322218,"Surgical endoscopy",17, 5,4,1,1,2,0,6
2003,"Experimental study of large-volume microwave ablation in the liver (Br J Surg 2002; 89: 1003-1007) [3]","Jiao L.R., Habib N.A.",00071323,"British Journal of Surgery",90, 1,3,0,1,1,0,4
2002,"New technique for liver resection using heat coagulative necrosis","Weber J.-C., Navarra G., Jiao L.R., Nicholls J.P., Jensen S.L., Habib N.A.",00034932,"Annals of Surgery",236, 5,60,34,25,59,9,128
2002,"A novel approach to gallbladder cancer in a Jehovah's Witness.","Navarra G., Jiao L.R., Weber J.C., Nicholls J.P., Jensen S.L., Habib N.A.",14322218,"Surgical endoscopy",16, 7,0,0,1,1,0,1
