,"This is a citation overview for a set of 223 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 33 (Of the 223 documents considered for the h-Index, 33 have been cited at least 33 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2848,241,246,487,132,3467
2008,"Non-invasive means of measuring hepatic fat content","Mehta S.R., Thomas E.L., Bell J.D., Johnston D.G., Taylor-Robinson S.D.",10079327,"World Journal of Gastroenterology",14, 22,0,0,2,2,11,13
2008,"Co-associations between insulin sensitivity and measures of liver function, subclinical inflammation, and hematology","Godsland I.F., Johnston D.G.",00260495,"Metabolism: Clinical and Experimental",57, 9,0,0,0,0,1,1
2008,"Procoagulant activities of plasma factor VIIc and factor Xc are positively and independently associated with concentrations of the high-density lipoprotein apolipoprotein, apo A-II","Atta M., Crook D., Shafique F., Johnston D.G., Godsland I.F.",03406245,"Thrombosis and Haemostasis",100, 3,0,0,0,0,0,0
2008,"Magnetic resonance imaging of the normal pituitary gland using ultrashort TE (UTE) pulse sequences (REV 1.0)","Portman O., Flemming S., Cox J.P.D., Johnston D.G., Bydder G.M.",00283940,"Neuroradiology",50, 3,0,0,1,1,1,2
2008,"Surgical management of morbid obesity","Aggarwal R., Hodgson L., Rao C., Ashrafian H., Chow A., Zacharakis E., Athanasiou T., Darzi A., Johnston D.",17508460,"British Journal of Hospital Medicine",69, 2,0,0,0,0,0,0
2007,"Long-term changes and variability in diabetes risk factors prior to the development of impaired glucose homeostasis","Laspa E., Christen A., Efstathiadou Z., Johnston D.G., Godsland I.F.",07423071,"Diabetic Medicine",24, 11,0,0,1,1,1,2
2007,"Rate of change and instability in body mass index, insulin resistance, and lipid metabolism as predictors of atherosclerotic vascular disease","Christen A., Efstathiadou Z., Laspa E., Johnston D.G., Godsland I.F.",0021972X,"Journal of Clinical Endocrinology and Metabolism",92, 10,0,0,2,2,0,2
2007,"Mechanisms of Disease: Lessons from ethnicity in the role of triglyceride metabolism in ischemic heart disease","Godsland I.F., Johnston D.G., Chaturvedi N.",17458366,"Nature Clinical Practice Endocrinology and Metabolism",3, 7,0,1,2,3,1,4
