,"Authors: Jones, Michael D.",,,,,,,,,,,
,ID: 175,,,,,,,,,,,
,"h index = 6 (Of the 8 documents considered for the h-Index, 6 have been cited at least 6 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1465,96,79,175,67,1707
2009,Emerging role of the interleukin-8 cleaving enzyme SpyCEP in clinical Streptococcus pyogenes infection.,"Turner C.E., Kurupati P., Jones M.D., Edwards R.J., Sriskandan S.",221899,The Journal of infectious diseases,200,4,0,0,0,0,0,0
2005,"Candida glabrata Ste11 is involved in adaptation to hypertonic stress, maintenance of wild-type levels of filamentation and plays a role in virulence","Calcagno A.-M., Bignell E., Rogers T.R., Jones M.D., Muhlschlegel F.A., Haynes K.",13693786,Medical Mycology,43,4,0,1,1,2,1,3
2004,Inactivation of transcription factor gene ACE2 in the fungal pathogen Candida glabrata results in hypervirulence,"Kamran M., Rogers T., Muhlschlegel F.A., Haynes K., Calcagno A.-M., Findon H., Bignell E., Jones M.D., Warn P., Hopkins P., Denning D.W., Butler G.",15359778,Eukaryotic Cell,3,2,11,5,2,7,2,20
2003,Candida glabrata STE12 is required for wild-type levels of virulence and nitrogen starvation induced filamentation,"Calcagno A.-M., Bignell E., Warn P., Jones M.D., Denning D.W., Muhlschlegel F.A., Rogers T.R., Haynes K.",0950382X,Molecular Microbiology,50,4,12,3,2,5,1,18
2003,Genetic diversity: Frameshift mechanisms alter coding of a gene (Epstein-Barr virus LF3 gene) that contains multiple 102-base-pair direct sequence repeats,"Xue S.-A., Jones M.D., Lu Q.-L., Middeldorp J.M., Griffin B.E.",2707306,Molecular and Cellular Biology,23,6,2,4,2,6,0,8
2000,Expression of two related viral early genes in Epstein-Barr virus- associated tumors,"Xue S.-A., Lu Q.-L., Poulsom R., Karran L., Jones M.D., Griffin B.E.",0022538X,Journal of Virology,74,6,10,2,2,4,0,14
1998,Regulation of cytoskeletal association by a basic amino acid motif in polyoma virus middle T antigen,"Elliott J., Jones M.D., Griffin B.E., Krauzewicz N.",9509232,Oncogene,17,14,4,0,0,0,2,6
1997,Splicing by over-lap extension by PCR using asymmetric amplification: An improved technique for the generation of hybrid proteins of immunological interest,"Warrens A.N., Jones M.D., Lechler R.I.",3781119,Gene,186,1,46,10,11,21,13,80
1995,"The DNA sequence of human herpesvirus-6: Structure, coding content, and genome evolution","Gompels U.A., Nicholas J., Lawrence G., Jones M.D., Thomson B.J., Martin M.E.D., Efstathiou S., Craxton M., Macaulay H.A.",426822,Virology,209,1,326,8,10,18,7,351
1995,"Expression of a B-cell marker, CD24, on nasopharyngeal carcinoma cells","Karran L., Jones M.D., Morley G., Van Noorden S., Smith P., Lampert I., Griffin B.E.",207136,International Journal of Cancer,60,4,20,0,2,2,2,24
1995,Simultaneous identification of bacterial virulence genes by negative selection,"Hensel M., Shea J.E., Gleeson C., Jones M.D., Dalton E., Holden D.W.",368075,Science,269,5222,538,50,31,81,23,642
1994,Characterization and tissue-specific expression of the human 'very low density lipoprotein (VLDL) receptor' mRNA,"Webb J.C., Patel D.D., Jones M.D., Knight B.L., Soutar A.K.",9646906,Human Molecular Genetics,3,4,69,1,3,4,1,74
1994,Transformation by polyoma virus middle T-antigen involves the binding and tyrosine phosphorylation of Shc,"Dilworth S.M., Brewster C.E.P., Jones M.D., Lanfrancone L., Pelicci G., Pelicci P.G.",280836,Nature,367,6458,114,0,1,1,4,119
1993,Complex nature of the major viral polyadenylated transcripts in Epstein- Barr virus-associated tumors,"Smith P.R., Gao Y., Karran L., Jones M.D., Snudden D., Griffin B.E.",0022538X,Journal of Virology,67,6,28,0,1,1,1,30
1993,Identification and analysis of the transport/capsid assembly protein (tp/cap) gene of human herpesvirus-6 (HHV6),"Jones M.D., Teo I.A.",426822,Virology,197,1,3,0,0,0,0,3
1992,Alternative splicing determines the carboxy terminus of the Epstein-Barr virus nuclear antigen 5 species expressed in the Burkitt's lymphoma cell line Daudi,"Ring C.J.A., Jones M.D., Griffin B.E.",221317,Journal of General Virology,73,10,1,0,0,0,0,1
1991,New herpesviruses and their relevance for man,"Griffin B.E., Teo I., Jones M.D.",9609822,Current Biology,1,3,0,0,0,0,0,0
1991,The genome of human herpesvirus 6: Maps of unit-length and concatemeric genomes for nine restriction endonucleases,"Martin M.E.D., Jones M.D., Thomson B.J., Honess R.W., Craxton M.A., Gompels U.A., Liu M.-Y., Littler E., Arrand J.R., Teo I.",221317,Journal of General Virology,72,1,35,0,0,0,0,35
1991,Characterization of the DNA polymerase gene of human herpesvirus 6,"Teo I.A., Griffin B.E., Jones M.D.",0022538X,Journal of Virology,65,9,23,1,1,2,0,25
1990,Hepatotropin mRNA expression in human foetal liver development and in liver regeneration,"Selden C., Jones M.D., Wade D., Hodgson H.",145793,FEBS Letters,270, 1-2,36,1,0,1,0,37
1990,Myristylated polyomavirus VP2: Role in the life cycle of the virus,"Krauzewicz N., Streuli C.H., Stuart-Smith N., Jones M.D., Wallace S., Griffin B.E.",0022538X,Journal of Virology,64,9,15,2,0,2,1,18
1989,Reverse transcription of mRNA by Thermus aquaticus DNA polymerase.,"Jones M.D., Foulkes N.S.",3051048,Nucleic Acids Research,17,20,25,0,1,1,1,27
1989,Variation in restriction map of HHV-6 genome,"Jarrett R.F., Gallagher A., Gledhill S., Jones M.D., Teo I., Griffin B.E.",1406736,Lancet,1,8635,5,0,0,0,0,5
1989,EBV gene expression in an NPC-related tumour,"Hitt M.M., Allday M.J., Hara T., Karran L., Jones M.D., Busson P., Tursz T., Ernberg I., Griffin B.E.",2614189,EMBO Journal,8,9,84,4,4,8,3,95
1987,Rapid processing of nitrocellulose filter lifts of bacteriophage lambda libraries.,"Allday M.J., Jones M.D.",3051048,Nucleic Acids Research,15,24,1,0,0,0,0,1
1986,Natural variation of tyrosyl-tRNA synthetase and comparison with engineered mutants,Jones M.D.,62960,Biochemistry,25,8,11,0,0,0,0,11
1986,Site-specific mutagenesis in vivo by single methylated or deaminated purine bases,"Hill-Perkins M., Jones M.D., Karran P.",,Mutation Research,162,2,31,3,5,8,5,44
1980,The complete amino-acid sequence of elongation factor Tu from Escherichia coli,"Jones M.D., Petersen T.E., Nielsen K.M.",142956,European Journal of Biochemistry,108,2,15,1,0,1,0,16
