,"Author: Kampmann, Beate",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 27 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,82,68,140,208,107,397
2009,"LTBI: Latent tuberculosis infection or lasting immune responses to M. tuberculosis? A TBNET consensus statement","Mack U., Kampmann B., Arend S.M., Detjen A., Bothamley G., Zellweger J.P., Milburn H., Diel R., Ravn P., Cobelens F., Cardona P.J., Migliori G.B., Kan B., Solovic I., Duarte R., Cirillo D.M., Lange C., Sester M., Rieder H.L., Ehlers S., Goletti D., Bossink A., Magdorf K., Holscher C.",09031936,"European Respiratory Journal",33, 5,0,0,0,0,4,4
2008,"Is IP-10 a better biomarker for active and latent tuberculosis in children than IFN??","Whittaker E., Gordon A., Kampmann B.",19326203,"PLoS ONE",3, 12,0,0,0,0,4,4
2008,"Perinatal tuberculosis. New challenges in the diagnosis and treatment of tuberculosis in infants and the newborn","Whittaker E., Kampmann B.",03783782,"Early Human Development",84, 12,0,0,0,0,0,0
2008,"Paediatric tuberculosis","Newton S.M., Brent A.J., Anderson S., Whittaker E., Kampmann B.",14733099,"The Lancet Infectious Diseases",8, 8,0,0,0,0,8,8
2008,"Presentation, diagnosis and management of tuberculosis in HIV-infected children in the UK","Cohen J.M., Whittaker E., Walters S., Lyall H., Tudor-Williams G., Kampmann B.",14642662,"HIV Medicine",9, 5,0,0,0,0,1,1
2008,"Reduction of chemokine secretion in response to mycobacteria in infliximab-treated patients","Newton S.M., Pasvol G., Mackie S.L., Martineau A.R., Wilkinson K.A., Kampmann B., Fisher C., Dutta S., Levin M., Wilkinson R.J.",15566811,"Clinical and Vaccine Immunology",15, 3,0,0,1,1,2,3
2008,"Childhood tuberculosis: out of sight, out of mind?","Brent A.J., Anderson S.T., Kampmann B.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",102, 3,0,0,1,1,1,2
2007,"IFN-?- and TNF-independent vitamin D-inducible human suppression of mycobacteria: The role of cathelicidin LL-37 (Journal of Immunology (2007) 178 (7190-7198))","Martineau A.R., Griffiths C.J., Wilkinson R.J., Wilkinson K.A., Newton S.M., Floto R.A., Norman A.W., Skolimowska K., Davidson R.N., Sorensen O.E., Kampmann B.",00221767,"Journal of Immunology",179, 12,0,0,0,0,0,0
2007,"Erratum: Small molecule enhancers of rapamycin-induced TOR inhibition promote autophagy, reduce toxicity in Huntington's disease models and enhance killing of mycobacteria by macrophages (Autophagy)","Floto R.A., Sarkar S., Perlstein E.O., Kampmann B., Schreiber S.L., Rubinsztein D.C.",15548627,"Autophagy",3, 6,0,0,8,8,6,14
2007,"Enhanced anti-mycobacterial immunity in children with erythema nodosum and a positive tuberculin skin test","Nicol M.P., Anderson S.T.B., Kampmann B., Lawrence P., Wood K., Pienaar S., Pienaar D., Eley B., Levin M., Beatty D.",0022202X,"Journal of Investigative Dermatology",127, 9,0,0,0,0,0,0
2007,"A single dose of vitamin D enhances immunity to mycobacteria","Martineau A.R., Maunsell Z.J., Rainbow S.J., Berry J.L., Griffiths C.J., Wilkinson R.J., Wilkinson K.A., Newton S.M., Kampmann B., Hall B.M., Packe G.E., Davidson R.N., Eldridge S.M.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 2,0,6,32,38,19,57
2007,"Neutrophil-mediated innate immune resistance to mycobacteria","Martineau A.R., Wilkinson R.J., Newton S.M., Wilkinson K.A., Kampmann B., Hall B.M., Nawroly N., Packe G.E., Davidson R.N., Griffiths C.J.",00219738,"Journal of Clinical Investigation",117, 7,0,1,10,11,7,18
2007,"Evidence for boosting Mycobacterium tuberculosis-specific IFN-? responses at 6 weeks following tuberculin skin testing [2]","Naseer A., Naqvi S., Kampmann B.",09031936,"European Respiratory Journal",29, 6,0,2,5,7,9,16
2007,"IFN-?- and TNF-independent vitamin D-inducible human suppression of mycobacteria: The role of cathelicidin LL-37","Martineau A.R., Griffiths C.J., Wilkinson R.J., Wilkinson K.A., Newton S.M., Floto R.A., Norman A.W., Skolimowska K., Davidson R.N., Sorensen O.E., Kampmann B.",00221767,"Journal of Immunology",178, 11,0,5,15,20,14,34
2007,"Erratum: A deletion defining a common Asian lineage of Mycobacterium tuberculosis associates with immune subversion (Proceedings of the National Academy of Sciences of the United States of America (October 17, 2006) 103, 42 (15594-15598) DOI: 10.1073/pnas.0604283103))","Newton S.M., Fandrich S., Smallie T., Foxwell B., Al-Obaidi A., Shafi J., Rajakumar K., Kampmann B., Andrew P.W., Ziegler-Heitbrock L., Barer M.R., Smith R.J., Wilkinson R.J., Wilkinson K.A., Nicol M.P., Garton N.J., Staples K.J., Stewart G.R., Wain J.R., Martineau A.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 2,0,0,0,0,0,0
2006,"Dendritic cell stimulation by mycobacterial Hsp70 is mediated through CCR5","Floto R.A., Day C., Oehlmann W., Singh M., Smith K.G.C., Lehner P.J., MacAry P.A., Boname J.M., Mien T.S., Kampmann B., Hair J.R., Huey O.S., Houben E.N.G., Pieters J.",00368075,"Science",314, 5798,0,13,18,31,7,38
2006,"A deletion defining a common Asian lineage of Mycobacterium tuberculosis associates with immune subversion","Newton S.M., Fandrich S., Smallie T., Foxwell B., Al-Obaidi A., Shafi J., Rajakumar K., Kampmann B., Andrew P.W., Ziegler-Heitbrock L., Barer M.R., Smith R.J., Wilkinson R.J., Wilkinson K.A., Nicol M.P., Garton N.J., Staples K.J., Stewart G.R., Wain J.R., Martineau A.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 42,0,5,9,14,4,18
2006,"Blood tests for diagnosis of tuberculosis","Kampmann B., Tena-Coki G., Anderson S.",01406736,"Lancet",368, 9532,1,0,3,3,0,4
2006,"Reconstitution of antimycobacterial immune responses in HIV-infected children receiving HAART","Kampmann B., Tena-Coki G.N., Nicol M.P., Levin M., Eley B.",02699370,"AIDS",20, 7,1,7,8,15,3,19
2005,"Acquired predisposition to mycobacterial disease due to autoantibodies to IFN-?","Kampmann B., Waddell S., Langford P., Sheehan B., Semple L., Wilkinson K.A., Wilkinson R.J., Ress S., Hibberd M., Levin M., Hemingway C., Stephens A., Davidson R., Goodsall A., Anderson S., Nicol M., Scholvinck E., Relman D.",00219738,"Journal of Clinical Investigation",115, 9,2,8,13,21,5,28
2004,"Novel human in vitro system for evaluating antimycobacterial vaccines","Kampmann B., Tena G.N., Mzazi S., Eley B., Young D.B., Levin M.",00199567,"Infection and Immunity",72, 11,5,4,0,4,1,10
2002,"Investigation of the relationships between immune-mediated inhibition of mycobacterial growth and other potential surrogate markers of protective Mycobacterium tuberculosis immunity","Hoft D.F., Yun H., Silver R.F., Worku S., Kampmann B., Whalen C.C., Ellner J.J., Hirsch C.S., Brown R.B., Larkin R., Li Q.",00221899,"Journal of Infectious Diseases",186, 10,19,6,6,12,7,38
2002,"Bactericidal activity in whole blood as a potential surrogate marker of immunity after vaccination against tuberculosis","Cheon S.-H., Silver R.F., Hoft D.F., Wallis R.S., Kampmann B., Hise A.G., Phillips M., Song H.-Y., Landen K., Li Q., Larkin R., Ellner J.J.",1071412X,"Clinical and Diagnostic Laboratory Immunology",9, 4,8,3,4,7,3,18
2001,"Childhood tuberculosis: Advances in immunopathogenesis, treatment and prevention","Kampmann B., Young D.",10569103,"Infectious Diseases in Clinical Practice",10, 4,0,0,0,0,0,0
2000,"Evaluation of human antimycobacterial immunity using recombinant reporter mycobacteria","Kampmann B., Gaora P.O., Snewin V.A., Gares M.-P., Young D.B., Levin M.",00221899,"Journal of Infectious Diseases",182, 3,22,6,7,13,1,36
1998,"Childhood tuberculosis: Advances in immunopathogenesis, treatment and prevention","Kampmann B., Young D.",09517375,"Current Opinion in Infectious Diseases",11, 3,1,1,0,1,0,2
1996,"Vertical transmission of Kaposi's sarcoma","McCarthy G.A., Kampmann B., Novelli V., Miller R.F., Mercey D.E., Gibb D.",00039888,"Archives of Disease in Childhood",74, 3,12,1,0,1,1,14
1994,"Fallout from Chernobyl [1]","Williams E.D., Dorries A., Gruters A., Mikkelsen M., Butturini A., Izzi G., Benaglia G., Lloyd D., Pass B., Gale R.P., Boice J., Abelin T., Egger M., Ruchti C., Petridou E., Kampmann B., Sperling K., Pelz J., Wegner R.-D.",09598146,"British Medical Journal",309, 6964,11,0,0,0,0,11
