,"Author: Korchev, Yuri E.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 20 (Of the 57 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,789,174,211,385,158,1332
2009,"Epidermal growth factor stimulates translocation of the class II phosphoinositide 3-kinase PI3K-C2? to the nucleus","Banfic H., Visnjic D., Mise N., Balakrishnan S., Deplano S., Korchev Y.E., Domin J.",02646021,"Biochemical Journal",422, 1,0,0,0,0,0,0
2009,"Loss of T-tubules and other changes to surface topography in ventricular myocytes from failing human and rat heart","Lyon A.R., MacLeod K.T., Zhang Y., Garcia E., Kanda G.K., Lab M.J., Korchev Y.E., Harding S.E., Gorelik J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 16,0,0,0,0,0,0
2009,"Nanoscale live-cell imaging using hopping probe ion conductance microscopy","Novak P., Lab M.J., Moss G.W.J., Frolenkov G.I., Klenerman D., Korchev Y.E., Li C., Shevchuk A.I., Stepanyan R., Caldwell M., Hughes S., Smart T.G., Gorelik J., Ostanin V.P.",15487091,"Nature Methods",6, 4,0,0,0,0,1,1
2008,"Non-invasive imaging of stem cells by scanning ion conductance microscopy: Future perspective","Gorelik J., Bennett D.C., Lako M., Harding S.E., Stojkovic M., Korchev Y.E., Ali N.N., Sheikh Abdul Kadir S.H., Lab M., Stojkovic P., Armstrong L., Sviderskaya E.V., Negulyaev Y.A., Klenerman D.",19373384,"Tissue Engineering - Part C: Methods",14, 4,0,0,0,0,0,0
2008,"Immortalization of human alveolar epithelial cells to investigate nanoparticle uptake","Kemp S.J., Thorley A.J., Gorelik J., Seckl M.J., O'Hare M.J., Arcaro A., Korchev Y., Goldstraw P., Tetley T.D.",10441549,"American Journal of Respiratory Cell and Molecular Biology",39, 5,0,0,0,0,4,4
2008,"Noncontact measurement of the local mechanical properties of living cells using pressure applied via a pipette","Sanchez D., Frolenkov G.I., Benham C., Lab M., Ostanin V.P., Schaffer T.E., Klenerman D., Korchev Y.E., Johnson N., Li C., Novak P., Rheinlaender J., Zhang Y., Anand U., Anand P., Gorelik J.",00063495,"Biophysical Journal",95, 6,0,0,0,0,3,3
2008,"Cannabinoid receptor CB2 localisation and agonist-mediated inhibition of capsaicin responses in human sensory neurons","Anand U., Chessell I.P., Anand P., Otto W.R., Sanchez-Herrera D., Facer P., Yiangou Y., Korchev Y., Birch R., Benham C., Bountra C.",03043959,"Pain",138, 3,0,0,1,1,7,8
2008,"Characterization and application of controllable local chemical changes produced by reagent delivery from a nanopipet","Piper J.D., Li C., Lo C.-J., Berry R., Korchev Y., Ying L., Klenerman D.",00027863,"Journal of the American Chemical Society",130, 31,0,0,0,0,1,1
2008,"High resolution imaging using scanning ion conductance microscopy with improved distance feedback control","Li C., Johnson N., Ostanin V., Shevchuk A., Ying L., Korchev Y., Klenerman D.",10020071,"Progress in Natural Science",18, 6,0,0,0,0,0,0
2008,"Imaging single virus particles on the surface of cell membranes by high-resolution scanning surface confocal microscopy","Shevchuk A.I., Hobson P., Lab M.J., Klenerman D., Krauzewicz N., Korchev Y.E.",00063495,"Biophysical Journal",94, 10,0,0,0,0,1,1
2008,"Endocytic pathways: Combined scanning ion conductance and surface confocal microscopy study","Shevchuk A.I., Hobson P., Lab M.J., Klenerman D., Krauzewicz N., Korchev Y.E.",00316768,"Pflugers Archiv European Journal of Physiology",456, 1,0,0,1,1,2,3
2008,"Spatial distribution of maxi-anion channel on cardiomyocytes detected by smart-patch technique","Dutta A.K., Korchev Y.E., Shevchuk A.I., Hayashi S., Okada Y., Sabirov R.Z.",00063495,"Biophysical Journal",94, 5,0,0,0,0,2,2
2007,"Nanopipette delivery of individual molecules to cellular compartments for single-molecule fluorescence tracking","Bruckbauer A., James P., Zhou D., Ji W.Y., Excell D., Korchev Y., Jones R., Klenerman D.",00063495,"Biophysical Journal",93, 9,0,1,4,5,3,8
2007,"Basolateral P2X4-like receptors regulate the extracellular ATP-stimulated epithelial Na+ channel activity in renal epithelia","Zhang Y., Sanchez D., Gorelik J., Klenerman D., Lab M., Edwards C., Korchev Y.",03636127,"American Journal of Physiology - Renal Physiology",292, 6,0,0,4,4,1,5
2007,"Localized and non-contact mechanical stimulation of dorsal root ganglion sensory neurons using scanning ion conductance microscopy","Sanchez D., Korchev Y., Anand U., Gorelik J., Benham C.D., Bountra C., Lab M., Klenerman D., Birch R., Anand P.",01650270,"Journal of Neuroscience Methods",159, 1,0,0,2,2,2,4
2006,"A renewable nanosensor based on a glass nanopipette","Piper J.D., Clarke R.W., Korchev Y.E., Ying L., Klenerman D.",00027863,"Journal of the American Chemical Society",128, 51,0,0,3,3,3,6
2006,"A novel Z-groove index characterizing myocardial surface structure","Gorelik J., Yang L.Q., Zhang Y., Lab M., Korchev Y., Harding S.E.",00086363,"Cardiovascular Research",72, 3,0,0,2,2,1,3
2006,"Potential biomedical applications of the scanned nanopipette.","Klenerman D., Korchev Y.",17486963,"Nanomedicine (London, England)",1, 1,0,1,0,1,3,4
2006,"Genes encoding bile acid, phospholipid and anion transporters are expressed in a human fetal cardiomyocyte culture","Gorelik J., Patel P., Ng'andwe C., Vodyanoy I., Diakonov I., Lab M., Korchev Y., Williamson C.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",113, 5,0,0,0,0,0,0
2006,"Functional characterization of embryonic stem cell-derived cardiomyocytes using scanning ion conductance microscopy","Gorelik J., Ali N.N., Shevchuk A.I., Lab M., Williamson C., Harding S.E., Korchev Y.E.",10763279,"Tissue Engineering",12, 4,0,1,2,3,0,3
2006,"Imaging proteins in membranes of living cells by high-resolution scanning ion conductance microscopy","Shevchuk A.I., Frolenkov G.I., Sanchez D., James P.S., Freedman N., Lab M.J., Jones R., Klenerman D., Korchev Y.E.",14337851,"Angewandte Chemie - International Edition",45, 14,1,4,10,14,6,21
2006,"Nanoscale pipetting for controlled chemistry in small arrayed water droplets using a double-barrel pipet","Rodolfa K.T., Bruckbauer A., Zhou D., Schevchuk A.I., Korchev Y.E., Klenerman D.",15306984,"Nano Letters",6, 2,2,4,2,6,5,13
