,"This is a citation overview for a set of 18 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 18 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1092,157,160,317,102,1511
2009,"Role of cleavage by separase of the Rec8 kleisin subunit of cohesin during mammalian meiosis I","Kudo N.R., Anger M., Peters A.H.F.M., Stemmann O., Theussl H.-C., Helmhart W., Kudo H., Heyting C., Nasmyth K.",00219533,"Journal of Cell Science",122, 15,0,0,0,0,0,0
2009,"Regulation of APC/C Activity in Oocytes by a Bub1-Dependent Spindle Assembly Checkpoint","McGuinness B.E., Novak B., Nasmyth K., Anger M., Kouznetsova A., Gil-Bernabe A.M., Helmhart W., Kudo N.R., Wuensche A., Taylor S., Hoog C.",09609822,"Current Biology",19, 5,0,0,0,0,3,3
2006,"Resolution of Chiasmata in Oocytes Requires Separase-Mediated Proteolysis","Kudo N.R., Maro B., Ellenberg J., de Boer P., Nasmyth K., Wassmann K., Anger M., Schuh M., Wirth K.G., Xu H., Helmhart W., Kudo H., Mckay M.",00928674,"Cell",126, 1,2,8,22,30,10,42
2006,"Separase: A universal trigger for sister chromatid disjunction but not chromosome cycle progression","Wirth K.G., Firnberg N., Peters J.-M., Nasmyth K., Wutz G., Kudo N.R., Desdouets C., Zetterberg A., Taghybeeglu S., Seznec J., Ducos G.M., Ricci R.",00219525,"Journal of Cell Biology",172, 6,8,10,15,25,11,44
2005,"Shugoshin prevents dissociation of cohesin from centromeres during mitosis in vertebrate cells.","McGuinness B.E., Hirota T., Kudo N.R., Peters J.M., Nasmyth K.",15457885,"PLoS biology.",3, 3,13,10,11,21,2,36
2005,"Shugoshin prevents dissociation of cohesin from centromeres during mitosis in vertebrate cells","McGuinness B.E., Hirota T., Kudo N.R., Peters J.-M., Nasmyth K.",15449173,"PLoS Biology",3, 3,30,10,15,25,11,66
2004,"Loss of the anaphase-promoting complex in quiescent cells causes unscheduled hepatocyte proliferation","Wirth K.G., Ricci R., Gimenez-Abian J.F., Taghybeeglu S., Kudo N.R., Jochum W., Vasseur-Cognet M., Nasmyth K.",08909369,"Genes and Development",18, 1,20,10,4,14,2,36
2002,"New Rev-transport inhibitor with anti-HIV activity from Valerianae Radix","Murakami N., Ye Y., Kawanishi M., Aoki S., Kudo N., Yoshida M., Nakayama E.E., Shioda T., Kobayashi M.",0960894X,"Bioorganic and Medicinal Chemistry Letters",12, 20,6,1,3,4,1,11
2000,"Oxidative stress abolishes leptomycin B-sensitive nuclear export of transcription repressor Bach2 that counteracts activation of Maf recognition element","Hoshino H., Kobayashi A., Yoshida M., Kudo N., Oyake T., Motohashi H., Hayashi N., Yamamoto M., Igarashi K.",00219258,"Journal of Biological Chemistry",275, 20,36,6,3,9,2,47
2000,"Developmentally regulated activity of CRM1/XPO1 during early Xenopus embryogenesis","Callanan M., Kudo N., Gout S., Brocard M.-P., Yoshida M., Dimitrov S., Khochbin S.",00219533,"Journal of Cell Science",113, 3,11,2,1,3,0,14
2000,"A nuclear export signal in the N-terminal regulatory domain of I?B? controls cytoplasmic localization of inactive NF-?B/I?B? complexes","Huang T.T., Kudo N., Yoshida M., Miyamoto S.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",97, 3,123,18,18,36,7,166
1999,"Identification of a novel nuclear export signal sensitive to oxidative stress in yeast AP-1-like transcription factor","Kudo N., Taoka H., Yoshida M., Horinouchi S.",00778923,"Annals of the New York Academy of Sciences",886, ,1,0,0,0,0,1
1999,"Leptomycin B inactivates CRM1/exportin 1 by covalent modification at a cysteine residue in the central conserved region","Kudo N., Matsumori N., Taoka H., Fujiwara D., Schreiner E.P., Wolff B., Yoshida M., Horinouchi S.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",96, 16,309,43,27,70,29,408
1999,"Leptomycin: a specific inhibitor of protein nuclear export","Yoshida M., Kudo N., Horinouchi S.",00399450,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",44, 9,1,1,0,1,0,2
1999,"A novel nuclear export signal sensitive to oxidative stress in the fission yeast transcription factor Pap1","Kudo N., Taoka H., Toda T., Yoshida M., Horinouchi S.",00219258,"Journal of Biological Chemistry",274, 21,67,5,5,10,2,79
1998,"Leptomycin B inhibition of signal-mediated nuclear export by direct binding to CRM1","Kudo N., Wolff B., Sekimoto T., Schreiner E.P., Yoneda Y., Yanagida M., Horinouchi S., Yoshida M.",00144827,"Experimental Cell Research",242, 2,346,30,30,60,17,423
1997,"Molecular cloning and cell cycle-dependent expression of mammalian CRM1, a protein involved in nuclear export of proteins","Kudo N., Khochbin S., Nishi K., Kitano K., Yanagida M., Yoshida M., Horinouchi S.",00219258,"Journal of Biological Chemistry",272, 47,108,3,6,9,5,122
1995,"Cloning and characterization of a gene involved in aerial mycelium formation in Streptomyces griseus","Kudo N., Kimura M., Beppu T., Horinouchi S.",00219193,"Journal of Bacteriology",177, 22,11,0,0,0,0,11
