,"Author: Laffan, Mike A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 61 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1102,184,177,361,103,1566
2009,"Blocking von Willebrand factor: A novel anti-platelet therapy","Laffan M., Mckinnon T.A.J.",15387933,"Journal of Thrombosis and Haemostasis",7, 7,0,0,0,0,0,0
2009,"Rituximab and immune tolerance in severe hemophilia A: A consecutive national cohort","Collins P.W., Mathias M., Hanley J., Keeling D., Keenan R., Laffan M., Perry D., Liesner R.",15387933,"Journal of Thrombosis and Haemostasis",7, 5,0,0,0,0,0,0
2009,"Thrombotic thrombocytopenic purpura precipitated by acute pancreatitis: A report of seven cases from a regional UK TTP registry","McDonald V., Laffan M., Benjamin S., Bevan D., Machin S., Scully M.A.",00071048,"British Journal of Haematology",144, 3,0,0,0,0,1,1
2008,"Von Willebrand disease and angiodysplasia responding to atorvastatin","Sohal M., Laffan M.",00071048,"British Journal of Haematology",142, 2,0,0,0,0,0,0
2008,"Acute myocardial infarction following tranexamic acid use in a low cardiovascular risk setting","Sirker A., Malik N., Bellamy M., Laffan M.A.",00071048,"British Journal of Haematology",141, 6,0,0,0,0,0,0
2008,"A nonsynonymous SNP in the ITGB3 gene disrupts the conserved membrane-proximal cytoplasmic salt bridge in the ?IIb? 3 integrin and cosegregates dominantly with abnormal proplatelet formation and macrothrombocytopenia","Ghevaert C., Vainchenker W., De Groot P.G., Huntington J.A., Laffan M., Kieffer N., Ouwehand W.H., Salsmann A., Watkins N.A., Schaffner-Reckinger E., Rankin A., Garner S.F., Stephens J., Smith G.A., Debili N.",00064971,"Blood",111, 7,0,0,2,2,7,9
2008,"N-linked glycosylation of VWF modulates its interaction with ADAMTS13","McKinnon T.A.J., Chion A.C.K., Millington A.J., Lane D.A., Laffan M.A.",00064971,"Blood",111, 6,0,0,0,0,2,2
2007,"Inadvertent postdialysis anticoagulation due to heparin line locks","Pepper R.J., Gale D.P., Wajed J., Bommayya G., Ashby D., McLean A., Laffan M., Maxwell P.H.",14927535,"Hemodialysis International",11, 4,0,0,2,2,0,2
2007,"Proteolysis of the endothelial cell protein C receptor by neutrophil proteinase 3","Villegas-Mendez A., Montes R., Ambrose L.R., Warrens A.N., Laffan M., Lane D.A.",15387933,"Journal of Thrombosis and Haemostasis",5, 5,0,0,3,3,1,4
2006,"Effect of L-carnitine administration on erythrocyte survival in haemodialysis patients [7]","Arduini A., Bonomini M., Clutterbuck E.J., Laffan M.A., Pusey C.D.",09310509,"Nephrology Dialysis Transplantation",21, 9,0,3,0,3,1,4
2006,"Efficacy of recombinant activated factor VII in unselected patients with uncontrolled haemorrhage: A single centre experience","Payne E.M., Brett S.J., Laffan M.A.",09575235,"Blood Coagulation and Fibrinolysis",17, 5,0,3,1,4,3,7
2006,"Antithrombin Nagasaki (Ser 116 to Pro): A rare antithrombin variant with abnormal heparin binding presenting during pregnancy","O'Donnell J.S., Hinkson L., McCarthy A., Manning R., Khan A., Laffan M.A.",09575235,"Blood Coagulation and Fibrinolysis",17, 3,0,0,0,0,0,0
2005,"Low-density lipoprotein receptor-related protein polymorphisms in patients with elevated factor VIII coagulant activity and venous thrombosis","Cunningham N., Laffan M.A., Manning R.A., O'Donnell J.S.",09575235,"Blood Coagulation and Fibrinolysis",16, 7,2,4,1,5,0,7
2005,"Bombay phenotype is associated with reduced plasma-VWF levels and an increased susceptibility to ADAMTS13 proteolysis","O'Donnell J.S., McKinnon T.A.J., Crawley J.T.B., Lane D.A., Laffan M.A.",00064971,"Blood",106, 6,2,7,5,12,3,17
2005,"Thrombin generation and phenotypic correlation in haemophilia A","Beltran-Miranda C.P., Khan A., Jaloma-Cruz A.R., Laffan M.A.",13518216,"Haemophilia",11, 4,6,8,17,25,8,39
2005,"Use of recombinant activated factor VII for bleeding in pancreatitis: A case series","Laffan M.A., Wendon J., Piotrowska K., Tait R.C., Blatny J., Espersen K., Grabowska I., Loch-Bakonska L., Pauzkowska A., Stasiak-Pikula E., Michalska G.",08853177,"Pancreas",30, 3,1,2,1,3,1,5
2004,"Role of receptor activator of nuclear factor-kappa B ligand (RANKL), osteoprotegerin and macrophage protein 1-alpha (MIP-1a) in monoclonal gammopathy of undetermined significance (MGUS)","Politou M., Terpos E., Anagnostopoulos A., Szydlo R., Laffan M., Layton M., Apperley J.F., Dimopoulos M.-A., Rahemtulla A.",00071048,"British Journal of Haematology",126, 5,15,7,4,11,2,28
2004,"Thrombocythemia and hemoperitoneum after transvaginal oocyte retrieval for in vitro fertilization","El-Shawarby S.A., Margara R.A., Trew G.H., Laffan M.A., Lavery S.A.",00150282,"Fertility and Sterility",82, 3,1,0,2,2,2,5
2004,"Two novel mutations in severe factor VII deficiency","Gomez K., Laffan M.A., Kemball-Cook G., Pasi J., Layton M., Singer J.D., Tuddenham E.G.D., McVey J.H.",00071048,"British Journal of Haematology",126, 1,4,1,2,3,1,8
2004,"The diagnosis of von Willebrand diesease: A guideline from the UK Haemophilia Centre Doctors' Organization","Laffan M., Brown S.A., Collins P.W., Cumming A.M., Hill F.G.H., Keeling D., Peake I.R., Pasi K.J.",13518216,"Haemophilia",10, 3,22,10,8,18,7,47
2004,"Management of von Willebrand disease: A guideline from the UK Haemophilia Centre Doctor's Organization","Pasi K.J., Peake I.R., Collins P.W., Keeling D.M., Brown S.A., Cumming A.M., Dolan G.C., Hay C.R.M., Hill F.G.H., Laffan M.",13518216,"Haemophilia",10, 3,11,11,9,20,6,37
