,"This is a citation overview for a set of 109 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 34 (Of the 109 documents considered for the h-Index, 34 have been cited at least 34 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2325,515,612,1127,368,3820
2009,"The novel molecule 2-[5-(2-chloroethyl)-2-acetoxy-benzyl]-4-(2-chloroethyl) -phenyl acetate inhibits phosphoinositide 3-kinase/Akt/mammalian target of rapamycin signalling through JNK activation in cancer cells","Ho K.-K., Behrendt J.M., Myatt S.S., Hailes H.C., Woscholski R., Lam E.W.-F., Rosivatz E., Gunn R.M., Smith M.E.B., Stavropoulou A.V., Rosivatz E., Numbere M.G., Wong J.B., Lafitte V.G.H.",1742464X,"FEBS Journal",276, 15,0,0,0,0,0,0
2009,"FoxM1 is a downstream target and marker of HER2 overexpression in breast cancer","Francis R.E., Gojis O., Palmieri C., Peston D., Shousha S., Yu Q., Sicinski P., Charles Coombes R., Lam E.W.-F., Myatt S.S., Krol J., Hartman J., Peck B., McGovern U.B., Guest S.K., Filipovic A.",10196439,"International Journal of Oncology",35, 1,0,0,0,0,0,0
2009,"CD40 and B-cell receptor signalling induce MAPK family members that can either induce or repress Bcl-6 expression","Batlle A., Papadopoulou V., Gomes A.R., Willimott S., Melo J.V., Naresh K., Lam E.W.-F., Wagner S.D.",01615890,"Molecular Immunology",46, 8-9,0,0,0,0,0,0
2009,"BH3-only protein Bim more critical than Puma in tyrosine kinase inhibitor-induced apoptosis of human leukemic cells and transduced hematopoietic progenitors carrying oncogenic FLT3","Nordigarden A., Kraft M., Eliasson P., Labi V., Lam E.W.-F., Villunger A., Jonsson J.-I.",00064971,"Blood",113, 10,0,0,0,0,0,0
2009,"Gefitinib (Iressa) represses FOXM1 expression via FOXO3a in breast cancer","McGovern U.B., Coombes R.C., Lam E.W.-F., Francis R.E., Peck B., Guest S.K., Myatt S.S., Krol J., Kwok J.M.-M., Polychronis A.",15357163,"Molecular Cancer Therapeutics",8, 3,0,0,0,0,1,1
2009,"Studying the subcellular localization and DNA-binding activity of FoxO transcription factors, downstream effectors of PI3K/Akt.","Essafi A., Gomes A.R., Pomeranz K.M., Zwolinska A.K., Varshochi R., McGovern U.B., Lam E.W.",10643745,"Methods in molecular biology (Clifton, N.J.)",462, ,0,0,0,0,0,0
2009,"Calpain small-1 modulates Akt/FoxO3A signaling and apoptosis through PP2A","Bertoli C., Copetti T., Lam E.W.-F., Demarchi F., Schneider C.",09509232,"Oncogene",28, 5,0,0,0,0,0,0
2008,"Resist or die: FOXO transcription factors determine the cellular response to chemotherapy","Gomes A.R., Brosens J.J., Lam E.W.-F.",15384101,"Cell Cycle",7, 20,0,0,1,1,1,2
2008,"Thiostrepton selectively targets breast cancer cells through inhibition of forkhead box M1 expression","Kwok J.M.-M., Myatt S.S., Marson C.M., Coombes R.C., Constantinidou D., Lam E.W.-F.",15357163,"Molecular Cancer Therapeutics",7, 7,0,0,0,0,4,4
2008,"FOXO3a mediates the cytotoxic effects of cisplatin in colon cancer cells","De Mattos S.F., Villalonga P., Clardy J., Lam E.W.-F.",15357163,"Molecular Cancer Therapeutics",7, 10,0,0,1,1,0,1
