,"Author: Laruelle, Marc A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 47 (Of the 141 documents considered for the h-Index, 47 have been cited at least 47 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,6005,1068,1082,2150,822,8977
2009,"In vivo quantification of regional dopamine-D3 receptor binding potential of (+)-PHNO: Studies in non-human primates and transgenic mice","Rabiner E.A., Gentile G., Gunn R.N., Laruelle M.A., Slifstein M., Nobrega J., Plisson C., Huiban M., Raymond R., Diwan M., Wilson A.A., McCormick P.",08874476,"Synapse",63, 9,0,0,0,0,1,1
2009,"Dopamine D3 receptor antagonists: The quest for a potentially selective PET ligand. Part 3: Radiosynthesis and in vivo studies","Bennacef I., Huang Y., Holmes I., Micheli F., Heidbreder C., Gentile G., Rossi T., Laruelle M., Salinas C.A., Bonasera T.A., Gunn R.N., Audrain H., Jakobsen S., Nabulsi N., Weinzimmer D., Carson R.E.",0960894X,"Bioorganic and Medicinal Chemistry Letters",19, 17,0,0,0,0,0,0
2009,"Baseline and Amphetamine-Stimulated Dopamine Activity Are Related in Drug-Naïve Schizophrenic Subjects","Abi-Dargham A., van de Giessen E., Slifstein M., Kegeles L.S., Laruelle M.",00063223,"Biological Psychiatry",65, 12,0,0,0,0,0,0
2009,"Kinetic modeling of11C-SB207145 binding to 5-HT4 receptors in the human brain in vivo","Marner L., Gunn R.N., Laruelle M., Knudsen G.M., Gillings N., Comley R.A., Baare W.F.C., Rabiner E.A., Wilson A.A., Houle S., Hasselbalch S.G., Svarer C.",01615505,"Journal of Nuclear Medicine",50, 6,0,0,0,0,0,0
2009,"Dopamine D1 receptors in cocaine dependence measured with PET and the choice to self-administer cocaine","Martinez D., Kleber H.D., Laruelle M., Slifstein M., Narendran R., Foltin R.W., Broft A., Hwang D.-R., Perez A., Abi-Dargham A., Fischman M.W.",0893133X,"Neuropsychopharmacology",34, 7,0,0,0,0,0,0
2009,"Within-subject comparison of striatal D2 receptor occupancy measurements using [123I]IBZM SPECT and [11C]Raclopride PET","Catafau A.M., Suarez M., Bullich S., Llop J., Nucci G., Gunn R.N., Brittain C., Laruelle M.",10538119,"NeuroImage",46, 2,0,0,0,0,0,0
2009,"Positron emission tomography imaging of amphetamine-induced dopamine release in the human cortex: A comparative evaluation of the high affinity dopamine D2/3 radiotracers [11C]FLB 457 and [ 11C]fallypride","Narendran R., Cooper T.B., Mathis C.A., Laruelle M., Frankle W.G., Mason N.S., Rabiner E.A., Gunn R.N., Searle G.E., Vora S., Litschge M., Kendro S.",08874476,"Synapse",63, 6,0,0,0,0,1,1
2009,"Dopamine transporters, D2 receptors, and Dopamine release in generalized social anxiety disorder","Schneier F.R., Abi-Dargham A., Martinez D., Slifstein M., Hwang D.-R., Liebowitz M.R., Laruelle M.",10914269,"Depression and Anxiety",26, 5,0,0,0,0,0,0
2009,"Positron Emission Tomography Imaging of the Serotonin Transporter and 5-HT1A Receptor in Alcohol Dependence","Martinez D., Abi-Dargham A., Slifstein M., Gil R., Hwang D.-R., Huang Y., Perez A., Frankle W.G., Laruelle M., Krystal J.",00063223,"Biological Psychiatry",65, 2,0,0,0,0,1,1
2008,"Dose-occupancy study of striatal and extrastriatal dopamine D2 receptors by aripiprazole in schizophrenia with PET and [18F] fallypride","Kegeles L.S., Gil R., Laruelle M., Abi-Dargham A., Slifstein M., Frankle W.G., Xu X., Hackett E., Bae S.-A., Gonzales R., Kim J.-H., Alvarez B.",0893133X,"Neuropsychopharmacology",33, 13,0,0,0,0,6,6
2008,"COMT genotype predicts cortical-limbic D1 receptor availability measured with [11C]NNC112 and PET","Slifstein M., Abi-Dargham A., Kolachana B., Simpson E.H., Tabares P., Cheng B., Duvall M., Gordon Frankle W., Weinberger D.R., Laruelle M.",13594184,"Molecular Psychiatry",13, 8,0,0,6,6,9,15
2008,"D2 receptor occupancy of olanzapine pamoate depot using positron emission tomography: An open-label study in patients with schizophrenia","Mamo D., Kapur S., Keshavan M., Laruelle M., Taylor C.C., Kothare P.A., Barsoum P., McDonnell D.",0893133X,"Neuropsychopharmacology",33, 2,0,0,4,4,4,8
2007,"PET and microdialysis measurement of dopamine release in striatum and extrastriatal brain regions following amphetamine","Slifstein M., Moore H., Kegeles L., Laruelle M., Abi-Dargham A.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 1,0,0,0,0,0,0
2007,"Graphical analysis of occupancy studies","Cunningham V.J., Gunn R.N., Rabiner E., Slifstein M., Laruelle M.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 1,0,0,0,0,0,0
2007,"The surface D2-binding profile of the atypical antipsychotic drug amisulpride","Guo N., Guo W., Guillin O., Laruelle M., Javitch J., Rayport S.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 1,0,0,0,0,0,0
2007,"Combining PET and equilibrium dialysis to assess blood brain barrier transport","Gunn R., Jeffrey P., Laruelle M., Summerfield S., Salinas C., Read K., Searle G., Ruffo A., Parker C., Stevens A., Bonasera T.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 1,0,0,0,0,0,0
2007,"[11C]NNC 112 selectivity for dopamine D1 and serotonin 5-HT2A receptors: A PET study in healthy human subjects","Slifstein M., Kegeles L.S., Gonzales R., Frankle W.G., Xu X., Laruelle M., Abi-Dargham A.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 10,0,0,2,2,4,6
2007,"Consensus nomenclature for in vivo imaging of reversibly binding radioligands","Innis R.B., Ichise M., Iida H., Ito H., Kimura Y., Koeppe R.A., Knudsen G.M., Knuuti J., Lammertsma A.A., Laruelle M., Logan J., Cunningham V.J., Maguire R.P., Mintun M.A., Morris E.D., Parsey R., Price J.C., Slifstein M., Sossi V., Suhara T., Votaw J.R., Wong D.F., Delforge J., Carson R.E., Fujita M., Gjedde A., Gunn R.N., Holden J., Houle S., Huang S.-C.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 9,0,3,55,58,63,121
2007,"In vivo DA D1 receptor selectivity of NNC 112 and SCH 23390","Ekelund J., Laruelle M., Slifstein M., Narendran R., Guillin O., Belani H., Guo N.-N., Hwang Y., Hwang D.-R., Abi-Dargham A.",15361632,"Molecular Imaging and Biology",9, 3,0,1,3,4,4,8
2007,"Amphetamine-induced dopamine release: Markedly blunted in cocaine dependence and predictive of the choice to self-administer cocaine","Martinez D., Kleber H.D., Laruelle M., Narendran R., Foltin R.W., Slifstein M., Hwang D.-R., Broft A., Huang Y., Cooper T.B., Fischman M.W.",0002953X,"American Journal of Psychiatry",164, 4,0,4,13,17,14,31
2007,"Neurobiology of Dopamine in Schizophrenia","Guillin O., Abi-Dargham A., Laruelle M.",00747742,"International Review of Neurobiology",78, ,0,2,13,15,12,27
2007,"Amphetamine-induced dopamine release: Duration of action as assessed with the D2/3 receptor agonist radiotracer (-)-N-[11C]propyl- norapomorphine ([11C]NPA) in an anesthetized nonhuman primate","Narendran R., Slifstein M., Hwang D.-R., Hwang Y., Scher E., Reeder S., Martinez D., Laruelle M.",08874476,"Synapse",61, 2,0,1,2,3,2,5
2006,"Dopamine (D2/3) receptor agonist Positron Emission Tomography radiotracer [11C]-(+)-PHNO is a D3 receptor preferring agonist in vivo","Narendran R., Slifstein M., Guillin O., Hwang Y., Hwang D.-R., Scher E., Reeder S., Rabiner E., Laruelle M.",08874476,"Synapse",60, 7,0,3,11,14,9,23
2006,"Serotonin 1A receptor availability in patients with schizophrenia and schizo-affective disorder: A positron emission tomography imaging study with [11C]WAY 100635","Frankle W.G., Gil R., Laruelle M., Abi-Dargham A., Lombardo I., Kegeles L.S., Slifstein M., Martin J.H., Huang Y., Hwang D.-R., Reich E., Cangiano C.",00333158,"Psychopharmacology",189, 2,0,5,4,9,4,13
2006,"Estimation of serotonin transporter parameters with11C-DASB in healthy humans: Reproducibility and comparison of methods","Frankle W.G., Slifstein M., Gunn R.N., Huang Y., Hwang D.-R., Darr E.A., Narendran R., Abi-Dargham A., Laruelle M.",01615505,"Journal of Nuclear Medicine",47, 5,0,7,6,13,4,17
2006,"Modulation of amphetamine-induced dopamine release by group II metabotropic glutamate receptor agonist LY354740 in non-human primates studied with positron emission tomography","Van Berckel B.N.M., Kegeles L.S., Waterhouse R., Guo N., Hwang D.-R., Huang Y., Narendran R., Van Heertum R., Laruelle M.",0893133X,"Neuropsychopharmacology",31, 5,0,3,3,6,4,10
2006,"Biodistribution and radiation dosimetry of the dopamine D2 ligand 11C-raclopride determined from human whole-body PET","Slifstein M., Hwang D.-R., Martinez D., Ekelund J., Huang Y., Hackett E., Abi-Dargham A., Laruelle M.",01615505,"Journal of Nuclear Medicine",47, 2,0,2,5,7,2,9
2005,"11C-GR103545, a radiotracer for imaging ?-opioid receptors in vivo with PET: Synthesis and evaluation in baboons","Talbot P.S., Narendran R., Butelman E.R., Huang Y., Ngo K., Slifstein M., Martinez D., Laruelle M., Hwang D.-R.",01615505,"Journal of Nuclear Medicine",46, 3,4,5,5,10,0,14
2005,"Increased dopamine transporter availability associated with the 9-repeat allele of the SLC6A3 gene","Van Dyck C.H., Malison R.T., Jacobsen L.K., Seibyl J.P., Staley J.K., Laruelle M., Baldwin R.M., Innis R.B., Gelernter J.",01615505,"Journal of Nuclear Medicine",46, 5,6,16,11,27,15,48
2005,"Striatal dopamine transporter availability with [123I]?-CIT SPECT is unrelated to gender or menstrual cycle","Best S.E., Sarrel P.M., Malison R.T., Laruelle M., Zoghbi S.S., Baldwin R.M., Seibyl J.P., Innis R.B., Van Dyck C.H.",00333158,"Psychopharmacology",183, 2,0,4,5,9,6,15
2005,"Neuroreceptor Imaging in Psychiatry: Theory and Applications","Frankle W.G., Slifstein M., Talbot P.S., Laruelle M.",00747742,"International Review of Neurobiology",67, ,1,1,1,2,0,3
2005,"Altered prefrontal dopaminergic function in chronic recreational ketamine users","Narendran R., Hwang D.-R., Khenissi L., Cooper T.B., Laruelle M., Abi-Dargham A., Gordon Frankle W., Keefe R., Gil R., Martinez D., Slifstein M., Kegeles L.S., Talbot P.S., Huang Y.",0002953X,"American Journal of Psychiatry",162, 12,4,11,5,16,5,25
2005,"Alcohol dependence is associated with blunted dopamine transmission in the ventral striatum","Martinez D., Krystal J., Laruelle M., Abi-Dargham A., Gil R., Slifstein M., Hwang D.-R., Huang Y., Perez A., Kegeles L., Talbot P., Evans S.",00063223,"Biological Psychiatry",58, 10,8,13,20,33,11,52
2005,"Synthesis of potent and selective serotonin 5-HT1B receptor ligands","Huang Y., Bae S.-A., Roth B.L., Laruelle M.",0960894X,"Bioorganic and Medicinal Chemistry Letters",15, 21,1,2,1,3,1,5
2005,"Mechanism of action of antipsychotic drugs: From dopamine D2 receptor antagonism to glutamate NMDA facilitation","Laruelle M., Frankle W.G., Narendran R., Kegeles L.S., Abi-Dargham A.",01492918,"Clinical Therapeutics",27, 1,7,10,9,19,11,37
2005,"Epibatidine analogues as selective ligands for the ? x?2-containing subtypes of nicotinic acetylcholine receptors","Huang Y., Zhu Z., Xiao Y., Laruelle M.",0960894X,"Bioorganic and Medicinal Chemistry Letters",15, 19,4,4,1,5,1,10
2005,"Measurement of the proportion of D2 receptors configured in state of high affinity for agonists in vivo: A positron emission tomography study using [11C]N-propyl-norapomorphine and [11C] raclopride in baboons","Narendran R., Laruelle M., Hwang D.-R., Slifstein M., Hwang Y., Huang Y., Ekelund J., Guillin O., Scher E., Martinez D.",00223565,"Journal of Pharmacology and Experimental Therapeutics",315, 1,5,3,3,6,6,17
2005,"Functional neuroimaging and electrophysiology biomarkers for clinical trials for cognition in schizophrenia","Cho R.Y., Ford J.M., Krystal J.H., Laruelle M., Cuthbert B., Carter C.S.",05867614,"Schizophrenia Bulletin",31, 4,1,2,0,2,0,3
2005,"A positron emission tomography radioligand for the in vivo labeling of metabotropic glutamate 1 receptor: (3-Ethyl-2-[11C]methyl-6- quinolinyl)(cis-4-methoxycyclohexyl)methanone","Huang Y., Narendran R., Bischoff F., Guo N., Zhu Z., Bae S.-A., Lesage A.S., Laruelle M.",00222623,"Journal of Medicinal Chemistry",48, 16,2,3,1,4,1,7
2005,"Prediction of panic response to a respiratory stimulant by reduced orbitofrontal cerebral blood flow in panic disorder","Kent J.M., Gorman J.M., Coplan J.D., Mawlawi O., Martinez J.M., Browne S.T., Slifstein M., Martinez D., Abi-Dargham A., Laruelle M.",0002953X,"American Journal of Psychiatry",162, 7,4,9,6,15,1,20
