,"This is a citation overview for a set of 23 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 23 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,502,164,140,304,81,887
2009,"The AMP-regulated kinase family: Enigmatic targets for diabetes therapy","Rutter G.A., Leclerc I.",03037207,"Molecular and Cellular Endocrinology",297, 1-2,0,0,0,0,4,4
2007,"The relationship between p38 mitogen-activated protein kinase and AMP-activated protein kinase during myocardial ischemia","Jacquet S., Zarrinpashneh E., Chavey A., Ginion A., Leclerc I., Viollet B., Rutter G.A., Bertrand L., Marber M.S.",00086363,"Cardiovascular Research",76, 3,0,0,3,3,2,5
2006,"Stimulation of AMP-activated protein kinase is essential for the induction of drug metabolizing enzymes by phenobarbital in human and mouse liver","Rencurel F., Meyer U.A., Foretz M., Kaufmann M.R., Stroka D., Looser R., Leclerc I., Xavier G.D.S., Rutter G.A., Viollet B.",0026895X,"Molecular Pharmacology",70, 6,0,5,9,14,4,18
2006,"ChREBP binding to fatty acid synthase and L-type pyruvate kinase genes is stimulated by glucose in pancreatic ?-cells","Da Silva Xavier G., Rutter G.A., Diraison F., Andreolas C., Leclerc I.",00222275,"Journal of Lipid Research",47, 11,0,2,8,10,2,12
2005,"Over-expression of AMP-activated protein kinase impairs pancreatic ?-cell function in vivo","Richards S.K., Parton L.E., Leclerc I., Rutter G.A., Smith R.M.",00220795,"Journal of Endocrinology",187, 2,5,13,8,21,7,33
2004,"Impact of adenoviral transduction with SREBP1c or AMPK on pancreatic islet gene expression profile: Analysis with oligonucleotide microarrays","Diraison F., Motakis E., Parton L.E., Nason G.P., Leclerc I., Rutter G.A.",00121797,"Diabetes",53, 3,4,3,7,10,1,15
2004,"Imaging glucose-regulated insulin secretion and gene expression in single islet beta-cells: control by AMP-activated protein kinase.","Rutter G.A., Leclerc I., Tsuboi T., Xavier G.S., Diraison F., Qian Q.",15590283,"Cell biochemistry and biophysics",40, 3,1,0,0,0,0,1
2004,"AMP-activated protein kinase: A new ?-cell glucose sensor? Regulation by amino acids and calcium ions","Leclerc I., Rutter G.A.",00121797,"Diabetes",53, 3,8,10,4,14,3,25
