,"This is a citation overview for a set of 75 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 23 (Of the 75 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1110,173,160,333,141,1584
2009,"Sudden cardiac death in the young: a 1-year post-mortem analysis in the Republic of Ireland","Morris V.B., Keelan T., Leen E., Keating J., Magee H., O'Neill J.O., Galvin J.",00211265,"Irish Journal of Medical Science",, ,0,0,0,0,0,0
2009,"Contrast-enhanced 3D ultrasound in the radiofrequency ablation of liver tumors","Leen E., Kumar S., Khan S.A., Low G., Ong K.O., Tait P., Averkiou M.",10079327,"World Journal of Gastroenterology",15, 3,0,0,0,0,3,3
2009,"Collagenous colitis as a possible cause of toxic megacolon","FitzGerald S.C., Conlon S., Leen E., Walsh T.N.",00211265,"Irish Journal of Medical Science",178, 1,0,0,0,0,0,0
2008,"The role of imaging in the pre-operative staging and post-operative follow-up of rectal cancer","Low G., Tho L.M., Leen E., Wiebe E., Kakumanu S., McDonald A.C., Poon F.W.",1479666X,"Surgeon",6, 4,0,0,0,0,1,1
2008,"A contrast-enhanced ultrasound study of benign and malignant breast tissue","Barnard S., Leen E., Cooke T., Angerson W.",02569574,"South African Medical Journal",98, 5,0,0,0,0,0,0
2008,"Intra-operative examination of the sentinel node in breast cancer","AlSahaf M., AlShaban B., Mulsow J., Power C., Leen E., Walsh T.N.",03323102,"Irish Medical Journal",101, 4,0,0,0,0,0,0
2008,"Guidelines and good clinical practice recommendations for contrast enhanced ultrasound (CEUS) - Update 2008","Claudon M., D'Onofrio M., Evans D.H., Filice C., Greiner L., Jager K., De Jong N., Leen E., Lencioni R., Lindsell D., Martegani A., Cosgrove D., Meairs S., Nolsoe C., Piscaglia F., Ricci P., Seidel G., Skjoldbye B., Solbiati C., Thorelius L., Tranquart F., Weskott H.P., Albrecht T., Whittingham T., Bolondi L., Boslo M., Calliada F., Correas J.-M., Darge K., Dietrich C.",01724614,"Ultraschall in der Medizin",29, 1,0,0,15,15,28,43
