,"Author: Leff, Donna Richard",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 6 (Of the 31 documents considered for the h-Index, 6 have been cited at least 6 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,64,21,37,58,30,152
2009,"The Neurocognitive Enhancement of Surgeons: An Ethical Perspective","Warren O.J., Leff D.R., Athanasiou T., Kennard C., Darzi A.",00224804,"Journal of Surgical Research",152, 1,0,0,0,0,0,0
2008,"Modelling dynamic fronto-parietal behaviour during minimally invasive surgery--a Markovian trip distribution approach.","Leff D.R., Orihuela-Espina F., Leong J., Darzi A., Yang G.Z.",,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention",11, 2,0,0,0,0,0,0
2008,"Modelling dynamic fronto-parietal behaviour during minimally invasive surgery - A Markovian trip distribution approach","Leff D.R., Orihuela-Espina F., Leong J., Darzi A., Yang G.-Z.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",5242, 2,0,0,0,0,0,0
2008,"Functional prefrontal reorganization accompanies learning-associated refinements in surgery: A manifold embedding approach","Leff D.R., Orihuela-Espina F., Atallah L., Athanasiou T., Leong J.J.H., Darzi A.W., Yang G.-Z.",10929088,"Computer Aided Surgery",13, 6,0,0,0,0,0,0
2008,"Investigation of partial directed coherence for hand-eye coordination in laparoscopic training","Leong J.J.H., Atallah L., Mylonas G.P., Leff D.R., Emery R.J., Darzi A.W., Yang G.-Z.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",5128, ,0,0,0,0,0,0
2008,"Validation of orthopaedic bench models for trauma surgery","Leong J.J.H., Leff D.R., Das A., Aggarwal R., Reilly P., Atkinson H.D.E., Emery R.J., Darzi A.W.",0301620X,"Journal of Bone and Joint Surgery - Series B",90, 7,0,0,0,0,0,0
2008,"Near-Infrared Spectroscopy: Potential Clinical Benefits in Surgery","Leff D.R., Leong J.J.H., Warren O., Athanasiou T., Yang G.-Z., Darzi A.",10727515,"Journal of the American College of Surgeons",206, 4,0,0,0,0,0,0
