,"This is a citation overview for a set of 22 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 17 (Of the 22 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,662,99,99,93,291,0,953
2008,"Cell-collagen interactions: The use of peptide Toolkits to investigate collagen-receptor interactions","Farndale R.W., Jarvis G.E., Raynal N., Lisman T., Bihan D., Hamaia S., Smerling C.S., Pugh N., Konitsiotis A., Leitinger B., De Groot P.G.",03005127,"Biochemical Society Transactions",36, 2,0,0,2,7,9,0,9
2008,"Characterization of high affinity binding motifs for the discoidin domain receptor DDR2 in collagen","Konitsiotis A.D., Raynal N., Bihan D., Hohenester E., Farndale R.W., Leitinger B.",00219258,"Journal of Biological Chemistry",283, 11,0,0,6,10,16,0,16
2007,"Mammalian collagen receptors","Leitinger B., Hohenester E.",0945053X,"Matrix Biology",26, 3,0,3,11,15,29,0,29
2006,"A transmembrane leucine zipper is required for activation of the dimeric receptor tyrosine kinase DDR1","Noordeen N.A., Carafoli F., Hohenester E., Horton M.A., Leitinger B.",00219258,"Journal of Biological Chemistry",281, 32,0,3,5,4,12,0,12
2006,"The discoidin domain receptor DDR2 is a receptor for type X collagen","Leitinger B., Kwan A.P.L.",0945053X,"Matrix Biology",25, 6,0,3,5,5,13,0,13
2005,"Erratum: The D2 period of collagen II contains a specific binding site for the human discoidin domain receptor, DDR2 (Journal of Molecular Biology (2004) 344 (993-1003) DOI: 10.1016/j.jmb.2004.09.089)","Leitinger B., Steplewski A., Fertala A.",00222836,"Journal of Molecular Biology",346, 2,0,0,0,0,0,0,0
2004,"The D2 period of collagen II contains a specific binding site for the human discoidin domain receptor, DDR2","Leitinger B., Steplewski A., Fertala A.",00222836,"Journal of Molecular Biology",344, 4,7,10,4,3,17,0,24
2003,"LFA-1-induced T cell migration on ICAM-1 involves regulation of MLCK-mediated attachment and ROCK-dependent detachment","Smith A., Bracke M., Leitinger B., Porter J.C., Hogg N.",00219533,"Journal of Cell Science",116, 15,38,13,12,12,37,0,75
2003,"Molecular analysis of collagen binding by the human discoidin domain receptors, DDR1 and DDR2. Identification of collagen binding sites in DDR2","Leitinger B.",00219258,"Journal of Biological Chemistry",278, 19,17,6,4,6,16,0,33
2003,"A novel form of integrin dysfunction involving ?1, ?2, and ?3 integrins","McDowall A., Inwald D., Leitinger B., Jones A., Liesner R., Klein N., Hogg N.",00219738,"Journal of Clinical Investigation",111, 1,27,7,6,5,18,0,45
2002,"Mechanisms contributing to the activity of integrins on leukocytes","Hogg N., Henderson R., Leitinger B., McDowall A., Porter J., Stanley P.",01052896,"Immunological Reviews",186, ,70,13,7,7,27,0,97
2002,"The involvement of lipid rafts in the regulation of integrin function","Leitinger B., Hogg N.",00219533,"Journal of Cell Science",115, 5,95,15,14,5,34,0,129
2001,"Shape and shift changes related to the function of leukocyte integrins LFA-1 and Mac-1","Hogg N., Leitinger B.",07415400,"Journal of Leukocyte Biology",69, 6,34,4,1,1,6,0,40
2000,"The regulation of integrin function by Ca2+","Leitinger B., McDowall A., Stanley P., Hogg N.",01674889,"Biochimica et Biophysica Acta - Molecular Cell Research",1498, 2-3,44,8,6,3,17,0,61
2000,"From crystal clear ligand binding to designer I domains","Leitinger B., Hogg N.",10728368,"Nature Structural Biology",7, 8,16,1,1,0,2,0,18
2000,"Effects of I domain deletion on the function of the ?2 integrin lymphocyte function-associated antigen-1","Leitinger B., Hogg N.",10591524,"Molecular Biology of the Cell",11, 2,33,2,1,3,6,0,39
1999,"Integrin I domains and their function","Leitinger B., Hogg N.",03005127,"Biochemical Society Transactions",27, 6,15,0,1,1,2,0,17
1998,"The I domain of integrin leukocyte function-associated antigen-1 is involved in a conformational change leading to high affinity binding to ligand intercellular adhesion molecule 1 (ICAM-1)","McDowall A., Leitinger B., Stanley P., Bates P.A., Randi A.M., Hogg N.",00219258,"Journal of Biological Chemistry",273, 42,75,1,0,0,1,0,76
1995,"Biosynthetic transport of the asialoglycoprotein receptor H1 to the cell surface occurs via endosomes","Leitinger B., Hille-Rehfeldi A., Spiess M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",92, 22,60,4,6,1,11,0,71
1994,"Protein EnvM is the NADH-dependent enoyl-ACP reductase (FabI) of Escherichia coli","Bergler H., Wallner P., Ebeling A., Leitinger B., Fuchsbichler S., Aschauer H., Kollenz G., Hogenauer G., Turnowsky F.",00219258,"Journal of Biological Chemistry",269, 8,61,5,6,3,14,0,75
1994,"Tagging secretory and membrane proteins with a tyrosine sulfation site. Tyrosine sulfation precedes galactosylation and sialylation in COS-7 cells","Leitinger B., Brown J.L., Spiess M.",00219258,"Journal of Biological Chemistry",269, 11,18,1,1,1,3,0,21
1993,"Related signals for endocytosis and basolateral sorting of the asialoglycoprotein receptor","Geffen I., Fuhrer C., Leitinger B., Weiss M., Huggel K., Griffiths G., Spiess M.",00219258,"Journal of Biological Chemistry",268, 28,52,0,0,1,1,0,53
