,"Author: Levin, Michael E.;Levin Michael",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 38 (Of the 212 documents considered for the h-Index, 38 have been cited at least 38 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,5557,797,842,1639,529,7725
2009,Is Acceptance and Commitment Therapy Superior to Established Treatment Comparisons?,"Levin M., Hayes S.C.",333190,Psychotherapy and Psychosomatics,78,6,0,0,0,0,0,0
2009,Creating a strategy for progress: A contextual behavioral science approach,"Vilardaga R., Hayes S.C., Levin M.E., Muto T.",7386729,Behavior Analyst,32,1,0,0,0,0,0,0
2009,Regression Mixture Models of Alcohol Use and Risky Sexual Behavior Among Criminally-Involved Adolescents,"Schmiege S.J., Levin M.E., Bryan A.D.",13894986,Prevention Science,, ,0,0,0,0,0,0
2009,A Z-set unknotting theorem for Nöbeling spaces,Levin M.,162736,Fundamenta Mathematicae,202,1,0,0,0,0,0,0
2009,Randomized Trial of Group Interventions to Reduce HIV/STD Risk and Change Theoretical Mediators Among Detained Adolescents,"Schmiege S.J., Broaddus M.R., Levin M., Bryan A.D.",0022006X,Journal of Consulting and Clinical Psychology,77,1,0,0,0,0,0,0
2008,Does exercise cause asthma?,"Katz I., Moshe S., Levin M., Slodownik D., Yagev Y.",9627480,Occupational Medicine,58,7,0,0,0,0,0,0
2008,Biliary cirrhosis in a child with inherited interleukin-12 deficiency,"Pulickal A.S., Levin M., Pollard A.J., Hambleton S., Callaghan M.J., Moore C.E., Goulding J., Goodsall A., Baretto R., Lammas D.A., Anderson S.T.",1426338,Journal of Tropical Pediatrics,54,4,0,0,0,0,1,1
2008,Total IgE in urban Black South African teenagers: The influence of atopy and helminth infection,"Levin M.E., Le Souef P.N., Motala C.",9056157,Pediatric Allergy and Immunology,19,5,0,0,0,0,1,1
2008,A Hurewicz theorem for the Assouad-Nagata dimension,"Brodskiy N., Dydak J., Levin M., Mitra A.",246107,Journal of the London Mathematical Society,77,3,0,0,0,0,0,0
2008,KCNQ1 and KCNE1 K channel components are involved in early left-right patterning in Xenopus laevis embryos,"Morokuma J., Blackiston D., Levin M.",10158987,Cellular Physiology and Biochemistry,21, 5-6,0,0,3,3,2,5
2008,"H,K-ATPase protein localization and Kir4.1 function reveal concordance of three axes during early determination of left-right asymmetry","Aw S., Adams D.S., Qiu D., Levin M.",9254773,Mechanisms of Development,125, 3-4,0,0,3,3,5,8
2008,Ceftriaxone drug alert: No longer for first line use in meningococcal sepsis [11],"Faust S.N., Pollard A.J., Nadel S., Ninis N., Levin M.",39888,Archives of Disease in Childhood,93,2,0,0,1,1,1,2
